"","Table 1#10# Relation of Real Gross Domestic Product, Real Gross ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176","F177","F178","F179","F180","F181","F182","F183","F184","F185","F186","F187","F188","F189","F190","F191","F192","F193","F194","F195","F196","F197","F198","F199","F200","F201","F202","F203","F204","F205","F206","F207","F208","F209","F210","F211","F212","F213","F214","F215","F216","F217","F218","F219","F220","F221","F222","F223","F224","F225","F226"
"11","Less: Income payments to the rest of the world","3","A655RX",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,134.9,141.1,146.8,153.2,160.8,163.4,173.6,181.2,189.4,198.6,193.2,186.8,189.8,186.7,190.1,181,174.6,164.8,160,145,141.5,143.7,137.3,133.8,129.6,138.7,135.5,152.8,152,167,183.3,198.5,208.6,214,224.3,218,213.9,220.8,233.8,241.5,256.1,264.8,275.9,275.1,275.1,281,282.3,280.7,260,267.9,291.8,298.6,321.8,338.8,337.9,335.9,324.2,274.8,264.9,213.1,239.2,268.2,NA
"12","Equals: Gross national product","4","A001RX",1488.9,1496.9,1500.5,1524.3,1546.6,1571.1,1577.6,1580.5,1558.2,1553.6,1570.7,1553.9,1618.4,1667.2,1733.1,1763.9,1782.9,1814.9,1851.6,1855.8,1876.7,1878.2,1889.9,1951.9,1987.4,2004.3,1990.2,1958.6,1949.7,1952.6,1973.7,2014.1,2071.6,2104.3,2132.4,2143.9,2136.4,2152.8,2150.8,2184.1,2198.8,2195,2215.5,2189.2,2131,2143.6,2190.9,2239.7,2286.2,2345.5,2345.5,2354.1,2405.4,2393.9,2398.9,2369.3,2383.7,2427.1,2467.2,2517.5,2561,2590.3,2615.7,2625.1,2654.8,2688.2,2739.8,2760.3,2823.2,2855.7,2894.7,2900.5,2974,3014.6,3073.6,3144.5,3222.6,3234.8,3254.7,3283.7,3313.4,3310.7,3336.6,3360.8,3429.2,3488.3,3513.4,3528.1,3582.2,3590.6,3610.3,3593.3,3589.1,3597.4,3628.3,3587.6,3691.3,3712.8,3738.4,3749.2,3823.4,3910,3950.7,4018.7,4125,4168.3,4158,4192.5,4168.1,4176.5,4126.5,4098,4040.1,4075.6,4148.4,4206.7,4304.2,4341.2,4362,4398.4,4457.6,4535.9,4616.4,4616.6,4636,4804.8,4854.6,4925.8,4939.6,4949.3,4995.6,5011.4,5028.8,4922.5,4911.3,4986.3,5086.4,5048.1,5110.5,5056.8,4969.4,4996.9,4963.4,4964.8,5021.5,5142.2,5233.9,5342,5452.6,5544.3,5591.1,5627.1,5664.3,5710.9,5788.6,5839.6,5887.3,5901.9,5959,5981.7,6027.6,6095.8,6145.8,6254.1,6302,6372.8,6402,6487.4,6565.6,6599.7,6633.4,6663.4,6743.6,6760.8,6742.6,6713.3,6667.4,6692.1,6704.7,6749.4,6811.1,6873.8,6923.3,7015.1,7020.9,7056,7092.4,7182.1,7249.8,7346.3,7385.1,7476,7510.2,7528.6,7572.3,7645.2,7703.1,7820.4,7853.5,7947.9,8025.1,8145.6,8225.1,8276.9,8405.4,8448.7,8517.6,8662,8755.5,8801.8,8906.4,9071.1,9119.7,9233,9238.2,9274,9241.7,9224.3,9199.8,9283.5,9367.5,9376.7,NA
"13","Less: Consumption of fixed capital","5","A262RX",147,145.4,144.4,143.6,143.8,143.7,143.7,143.8,144.1,144.5,145.1,145.4,145.9,146.9,147.9,149.1,150.5,152.1,153.8,155.7,157.5,159.5,161.4,163.6,165.9,168,169.9,171.9,174,175.7,177.6,179.4,181.2,183,184.7,186.3,188,189.7,191.3,192.8,194.5,195.8,197.2,198.3,199.2,200.2,201.2,202.3,203,204.5,206,207.7,209.7,211.3,213,214.5,215.8,217.3,218.9,220.6,222.7,224.5,226.6,228.6,230.9,233,235.2,237.5,239.8,242.2,244.8,247.6,250.5,253.7,257.1,260.7,264.5,268.3,272.1,275.8,279.4,283.1,286.7,290.3,293.9,297.5,301.2,304.9,308.9,312.5,316.1,319.5,322.9,325.9,328.9,331.8,336.1,337.2,340.1,342.9,346.2,368.1,353.2,357,360.9,373.1,369.4,373.9,378.6,385,386.8,390.7,393.8,397.1,400.3,403.4,406.5,411.2,413.2,416.9,420.7,427.3,430.3,434.7,440.4,445.9,451.8,457.5,463.5,473,480.4,481,488.8,494.5,497.6,503.2,508.8,514.2,519.4,524.3,529.2,533.8,538.5,549.1,547.5,552.7,565.8,564.6,571.8,579,586.8,594.8,603.4,611.8,624.7,632.8,636.3,644,651.4,658.6,665.4,672.3,679.1,685.8,692.6,699.5,706.3,713.3,720.2,727.3,753.9,759.2,749.4,756.5,763.2,769.7,775.8,781.7,794.2,792.4,796.9,802.3,888.4,814.9,829.1,830,852.7,846.6,938.8,864.7,874.2,883.9,893.8,904.2,915,936,937.9,949.8,962.2,974.9,988.9,1003.4,1018.9,1035.3,1052.7,1071.3,1090.4,1109.9,1127.1,1144.3,1174.2,1180,1198.4,1217,1235.4,1253.6,1270.8,1300.8,1378.1,1333.5,1357.9,1390.9,1417
"14","        Private","6","B024RX",82.8,84.1,85.6,87.2,89.2,91,92.7,94.3,95.7,97.3,98.8,100.3,101.8,103.3,104.8,106.2,107.8,109.1,110.3,111.4,112.1,113.1,114.1,115.2,116.4,117.6,118.7,119.9,121,122.2,123.5,124.9,126.4,127.8,129.3,130.7,132.1,133.4,134.8,136.1,137.4,138.6,139.6,140.5,141.3,142,142.6,143.3,143.6,144.5,145.5,146.7,148.1,149.2,150.4,151.4,152.3,153.3,154.3,155.5,156.7,158,159.3,160.7,162.3,163.9,165.5,167.2,168.9,170.8,172.9,175.2,177.7,180.3,183.2,186.1,189.4,192.5,195.5,198.4,201.2,204,206.8,209.6,212.3,215.2,218.2,221.3,224.7,227.9,231,234,236.9,239.8,242.5,245.2,249.4,250.6,253.5,256.6,259.9,281.6,266.9,270.8,274.7,287,283.3,287.7,292.5,298.7,300.6,304.1,307.1,310.1,313,315.9,318.6,323,324.8,328.2,331.9,338.2,340.9,345,350.2,355.4,360.7,366.1,371.7,380.5,387.4,387.4,394.5,399.6,402.1,406.9,411.9,416.6,421,425.3,429.5,433.5,437.4,447.2,444.7,449,461.1,458.9,464.8,470.9,477.2,483.9,490.9,497.7,508.8,515.2,517,523,528.7,534.2,539.2,544.4,549.6,554.8,560.1,565.4,570.8,576.3,581.7,587.3,612.2,615.2,604.7,610.1,615.4,620.3,625.1,629.5,640.6,637.6,641,645.3,729.7,655.6,668.7,668.6,690.3,683.3,772.8,699.5,708,716.7,725.8,735.2,744.9,764.7,765.4,776.2,787.3,798.9,811.3,824.4,838.4,853.2,869,885.9,903.1,920.7,935.9,951.1,979,982.7,999.1,1015.8,1032.3,1048.8,1064.6,1093,1163,1122.2,1144.8,1176.2,1200.9
"15","        Government","7","A264RX",67.3,64.2,61.4,58.9,56.9,54.8,53,51.3,50,48.7,47.6,46.3,45.2,44.5,43.9,43.6,43.3,43.6,44.1,44.9,46.1,47.2,48.2,49.4,50.5,51.6,52.3,53.3,54.3,54.8,55.4,55.8,56.1,56.4,56.7,56.8,57.1,57.4,57.7,57.8,58.1,58.4,58.7,58.9,59.1,59.4,59.6,60,60.5,61.1,61.6,62.3,62.8,63.3,63.9,64.4,64.8,65.4,65.9,66.5,67.4,67.9,68.7,69.3,70,70.6,71.2,71.8,72.4,72.9,73.3,73.8,74.3,74.7,75.2,75.8,76.4,77,77.8,78.6,79.4,80.3,81.1,81.9,82.8,83.4,84.1,84.6,85.3,85.7,86,86.4,86.9,86.9,87.2,87.3,87.3,87.2,87.2,86.9,87,86.9,86.7,86.8,86.7,86.6,86.6,86.8,86.6,86.8,86.8,87.2,87.3,87.6,87.9,88.1,88.5,88.8,89,89.3,89.4,89.6,90,90.2,90.7,90.9,91.5,91.8,92.2,92.7,93.2,93.8,94.4,95.1,95.6,96.3,97,97.7,98.4,99,99.7,100.3,101.1,101.9,102.7,103.7,104.7,105.7,107,108.1,109.5,110.9,112.5,114.1,115.8,117.6,119.3,120.9,122.7,124.5,126.2,127.9,129.5,131.1,132.5,134.1,135.6,137.1,138.6,140.1,141.6,144.1,144.9,146.5,148,149.6,151,152.4,153.8,155,156.2,157.3,158.4,159.5,160.6,161.6,162.6,163.5,165.8,165.3,166.3,167.2,168.1,169.1,170.1,171.3,172.5,173.6,174.9,176.1,177.6,179,180.6,182.1,183.7,185.4,187.3,189.3,191.3,193.4,195.5,197.5,199.6,201.6,203.5,205.2,206.8,208.5,216.1,212.1,214,215.8,217.5
"16","          General government","8","A265RX",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,108.4,109.9,111.4,112.7,114.1,115.5,116.8,118.1,119.4,120.7,122.1,123.5,125,126.4,127.8,129.1,130.3,131.5,132.7,133.7,134.7,135.6,136.5,137.4,138.2,139,139.7,140.5,141.2,141.9,142.6,143.4,144.1,144.9,145.8,146.8,147.7,148.7,149.8,150.8,152,153.3,154.6,155.9,157.2,158.7,160.3,162,163.7,165.5,167.3,169,170.8,172.5,174.1,175.6,177,178.4,179.9,181.5,183.2,184.7,186.1
"17","          Government enterprises","9","A266RX",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.8,18,18.1,18.3,18.5,18.6,18.8,19,19.2,19.3,19.5,20.6,19.9,20.1,20.3,20.5,20.7,20.9,21.1,21.3,21.5,21.7,21.9,22.1,22.4,22.6,22.8,23,24.6,23.4,23.6,23.8,24,24.2,24.3,24.5,24.7,24.9,25.1,25.3,25.6,25.8,26,26.2,26.5,26.7,27,27.3,27.6,27.9,28.2,28.5,28.8,29.1,29.4,29.6,29.9,30.1,36,30.6,30.9,31.1,31.3
"18","Equals: Net national product","10","A027RX",1348,1358,1362.7,1387.7,1410.3,1435.4,1442,1444.9,1421.7,1416.6,1433.4,1415.8,1481.1,1529.8,1595.8,1625.9,1643.8,1674.6,1710.1,1712.2,1731.4,1730.6,1740.1,1801,1834.6,1849.3,1832.6,1797.7,1786.3,1787,1806.4,1845.7,1902.3,1933.6,1960.2,1970.2,1960.4,1975.2,1971.1,2003.4,2016.4,2010.8,2030.3,2001.7,1940.8,1952.4,1999.8,2048.6,2095.4,2154.6,2152.7,2159.4,2209.6,2195.8,2198.9,2166.5,2179.8,2222.4,2261.5,2311.2,2353.2,2380.9,2404.5,2411.6,2439.3,2470.9,2521.1,2539.2,2601,2631.2,2668.1,2670.8,2742.4,2780.1,2836.4,2904.6,2979.9,2987.8,3003.6,3028.9,3055,3047.8,3070.1,3090.5,3156.3,3212.4,3233.6,3244.2,3294.9,3299.1,3315,3293.7,3285.4,3290.3,3318.4,3273.4,3374.3,3395,3417.7,3425.4,3497.2,3560,3619.2,3684,3788,3817.9,3811.7,3841.5,3811.2,3812.3,3758.9,3725,3661.8,3694.1,3764.9,3820.9,3917.2,3949.4,3968.2,4001.1,4057.2,4129.4,4208.2,4203,4215.9,4382.5,4426.4,4492.3,4499.2,4497.2,4535.6,4551.3,4559.4,4442.8,4427.5,4497.7,4593.5,4547.4,4605,4543.5,4447.3,4469.8,4429.5,4417.8,4478.1,4595.6,4673.6,4785.7,4890.1,4975.1,5013.6,5040.9,5068.8,5106.6,5170.8,5213.3,5257.8,5263.9,5313.3,5328.2,5367,5428.6,5471.6,5574,5615,5679.1,5701,5779.8,5851.2,5877.8,5882.4,5906.8,5999,6008.5,5982.7,5946.1,5893.2,5911.8,5911.2,5958.2,6015.3,6072.6,6032.6,6201.5,6192.5,6226.8,6239.9,6336.3,6309.4,6482.5,6511.6,6592.7,6616.8,6624.5,6657.4,6709,6765.2,6870.7,6891.3,6973,7036.2,7142.2,7206.3,7241.9,7352.9,7378.2,7428.5,7553.5,7630.1,7659.8,7735.5,7893.5,7924.4,8019.4,8007.6,8026.1,7978.8,7933.7,7838.8,7961.1,8022,8001.6,NA
"19","Addenda:",NA," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","  Gross domestic income \1\","11","A261RX",1477.9,1475.7,1479.3,1497.7,1538.5,1571.2,1570.3,1576.8,1546.4,1538.5,1548.1,1528.4,1586.6,1648.4,1717.1,1754.3,1758.8,1779.8,1811.8,1827.4,1845.5,1852.6,1864.3,1920.6,1953.8,1970.3,1958.4,1918.5,1919.2,1921,1938.8,1983.7,2035.4,2077.5,2103.2,2119.8,2120.1,2142.7,2141,2177.5,2179.8,2179.6,2192.2,2172.1,2120.3,2122.2,2161.5,2215.2,2271,2337.3,2318.5,2334,2387,2382,2379.9,2367.6,2369.2,2410.2,2447.9,2503.9,2535.9,2563.8,2589.6,2614,2636.2,2678.3,2714.2,2740,2784.4,2822.8,2865.3,2892.5,2953,2992,3034.9,3102.2,3166.2,3189,3209.5,3240,3255.5,3268.8,3300,3332.7,3383.4,3435.1,3479,3501.5,3534,3555.8,3579.1,3574,3548.3,3548.7,3577.4,3543,3618.3,3640.9,3669.1,3713.2,3771.3,3836.6,3886.3,3989.5,4067.5,4087.5,4102.8,4139.8,4108.1,4091.5,4070.9,4017.8,3958.7,3995.9,4083.3,4123,4212.5,4242.1,4271.3,4289.2,4349.1,4436.7,4522.2,4546.1,4579.4,4724.1,4758.7,4807.5,4843.2,4826.6,4837.2,4869.5,4885.6,4780,4793.2,4905.1,4965.9,4949.6,5026.7,4963.9,4919.2,4938.5,4913.9,4891.5,4936,5016,5102.9,5202.1,5346.7,5459,5530.4,5579.7,5634.4,5668.8,5735.3,5766.6,5825.3,5832.3,5860.4,5898.7,5974.4,6062,6155.3,6243.3,6318.7,6389.3,6437.4,6537.9,6568.7,6555.4,6574.3,6591.4,6647.6,6692,6695,6654.7,6624.1,6645.9,6664,6684.4,6774.9,6813.6,6842.5,6899.6,6904.3,6976.4,6994.4,7104.1,7174.1,7245.3,7313.5,7414.3,7433.6,7477.9,7558.2,7597.3,7641.9,7753.2,7816.9,7909.2,7976.3,8063.7,8190.2,8290.5,8368.6,8479,8607.5,8700.3,8784.3,8829.3,8917,9053.4,9228.2,9287,9371.7,9359.4,9327.2,9296.3,9293.6,9369.5,9463.1,9541.4,NA
"21","  Gross national income \2\","12","A023RX",1485.1,1483.2,1486.8,1505.6,1547.2,1580.3,1579.4,1585.9,1555.1,1546.9,1556.3,1535.8,1594.5,1656.7,1727.2,1764.3,1768.2,1791,1823.7,1840,1857.5,1864.7,1876.3,1932.1,1965.2,1982.2,1969.1,1929.3,1930.8,1932.7,1950.5,1996.9,2049,2090.8,2116.7,2133.7,2135.4,2157.7,2156.4,2191.2,2195.8,2197,2208.8,2185.4,2134,2136.1,2175,2228.4,2284.1,2350.4,2332.5,2349,2401.4,2396.8,2395.3,2384.1,2386.5,2426.7,2464.5,2521.1,2552.8,2582.6,2608.6,2635.7,2656.9,2698.2,2734.4,2760.9,2807.3,2844.7,2887.9,2913.5,2976.9,3016.6,3057.8,3123.1,3187.8,3210.5,3230.5,3261.8,3277,3289.8,3323,3355.1,3406.4,3458.6,3503.1,3525.5,3558.1,3578.8,3601.1,3596,3570.9,3572.2,3600.5,3564.1,3643.6,3667.5,3693,3738.6,3797.8,3862.6,3914.7,4017.7,4100.1,4122.6,4143.8,4181.2,4157.1,4137.6,4112.9,4053.8,3988.9,4026.3,4116.2,4162.5,4250.7,4281.8,4311.4,4330.3,4396.3,4482.9,4568,4586.6,4626.5,4763.2,4801.6,4857.2,4894.5,4884.5,4906.6,4938.3,4955.5,4844.7,4854.2,4954.8,5019.8,5000.4,5080.4,5023.7,4974.3,4999.9,4965.2,4940.6,4985.1,5068.4,5156.3,5257.3,5397,5509.5,5580.3,5623.7,5669,5705.8,5765.3,5800.1,5853.8,5850.9,5881.5,5911,5988.6,6080.7,6173.1,6263,6344.8,6412.2,6457.1,6560.1,6590.4,6575.8,6597.1,6621.3,6675,6721.1,6718.2,6703.7,6660.2,6669.4,6683.9,6713,6802.6,6840.6,6866.1,6924.1,6936.5,7001.3,7024.8,7117.5,7194.4,7261.4,7328.4,7429.2,7455.1,7503.1,7569.1,7620.5,7668.5,7770.7,7828.4,7925.8,7985,8077.3,8198.7,8294.5,8377.6,8484.7,8596.6,8694.4,8806.6,8855.6,8936.5,9084.4,9250.5,9314.4,9391.3,9389.6,9339,9327.6,9307.1,9404.2,9467.4,9525.7,NA
"22","  Net domestic product","13","A362RX",1340.8,1350.4,1355.3,1379.8,1401.6,1426.3,1432.8,1435.6,1412.9,1408.1,1425.2,1408.4,1473.2,1521.4,1585.7,1616,1634.3,1663.3,1698.3,1699.6,1719.3,1718.4,1728.1,1789.3,1823.2,1837.1,1821.9,1786.9,1774.6,1775.5,1794.6,1832.3,1888.6,1920.2,1946.7,1956.3,1944.9,1959.9,1955.4,1989.7,2000.2,1993.3,2013.6,1988.3,1927.1,1938.5,1986.3,2035.4,2082.3,2141.6,2138.6,2144.3,2195.2,2181,2183.5,2150.1,2162.4,2206,2244.8,2293.9,2336,2362,2385.5,2389.7,2418.5,2450.9,2500.7,2518.2,2578.1,2609.1,2645.3,2649.6,2718.2,2755.1,2813.3,2883.6,2958.2,2966.2,2982.5,3006.9,3033.3,3026.7,3046.8,3067.9,3133.1,3188.7,3209.3,3220.1,3270.6,3275.9,3292.9,3271.7,3262.7,3266.8,3295.2,3252.3,3349,3368.2,3393.5,3399.8,3470.5,3533.7,3590.5,3655.6,3755,3782.6,3770.2,3799.7,3761.7,3765.5,3716.4,3688.6,3631.4,3663.5,3731.7,3780.9,3878.6,3909.3,3927.7,3959.6,4009.4,4082.7,4162,4162.2,4168.2,4343.1,4383,4442,4447.2,4438.6,4465.1,4481.2,4488.4,4377.1,4365.5,4447.4,4539,4495.9,4550.6,4482.9,4391.5,4407.5,4377.4,4368,4428.4,4542.5,4619.5,4729.7,4839.2,4924.1,4963.3,4996.5,5034,5069.1,5140.7,5179.5,5229.2,5245.2,5292.2,5316.1,5352.9,5410,5454,5554.4,5588.8,5656.1,5681.3,5757.7,5829.5,5857.6,5859.6,5877,5971.6,5979.5,5959.6,5896.7,5857,5888.2,5891.4,5929.6,5987.4,6045.5,6009,6177,6160.2,6201.9,6209.5,6322.9,6288.9,6466.4,6496.6,6577.9,6595.3,6599.2,6646.4,6685.8,6738.6,6853.2,6879.8,6956.4,7027.6,7128.6,7197.8,7237.9,7343.9,7372.5,7439.3,7559.3,7607.8,7633.7,7716.2,7862.7,7902.1,7992.3,7988.1,7996.3,7967.1,7902.6,7825.3,7926.7,8017.7,8017,8065.4
"23"," 1. Gross domestic income deflated by the implicit price deflator for gross domestic product.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24"," 2. Gross national income deflated by the implicit price deflator for gross national product.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","  Note.  Except as noted in footnotes 1 and 2, chained (1996) dollar series are calculated as the product of the chain-type ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
