"","Table 1BU# Real Manufacturing and Trade Inventories, Seasonally ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150"
"11","3","A   Durable goods manufacturing industries","KS30D0",249555,250871,250837,252990,254263,254940,256782,258125,258712,260327,259991,261952,264324,267053,269251,271112,272582,274129,274555,276197,277299,279138,279764,279874,277965,279451,282041,281427,282541,282027,283764,283106,284333,284120,286162,288423,286881,287813,287107,288915,288425,290818,291194,292325,291655,293341,295369,295680,298046,297862,294589,294535,292901,290528,288620,286701,283797,282746,280569,277476,276236,275343,273084,272220,271197,270208,269707,269462,269182,268984,268309,270654,268902,271223,269580,269055,268350,265638,264106,263299,262174,263362,262121,264215,263424,263104,263093,262768,262734,263788,264702,265199,264346,264791,266038,265855,268869,271228,272552,272985,274371,274530,277533,277512,277301,278247,279730,279740,280346,279065,280211,281587,281656,281994,283412,283222,284737,286072,286210,286410,287602,287433,286275,285624,284736,283479,282708,282063,282922,283461,284472,286361,286760,286526,287123,286418,284849,283520,282734,282511,282094,284050,287468,292010,292336,291813,289446
"12","4","A     Wood product manufacturing","KS3210",8273,8316,8296,8308,8281,8343,8426,8581,8725,8829,8832,8805,8677,8692,8674,8738,8841,8754,8791,8865,8982,9138,9294,9276,9432,9484,9504,9443,9504,9536,9686,9557,9396,9442,9561,9810,9945,9889,9859,9939,9771,9855,9910,9887,9848,10005,10043,10099,10022,9980,9885,9864,9937,10092,10042,10034,10055,9988,9903,9725,9953,9896,10079,10009,10146,10044,9966,9974,10032,10027,10081,10054,10142,10232,10117,10108,9977,9878,9824,9736,9675,9798,9915,9924,10006,10220,10473,10600,10625,10454,10443,10530,10745,10547,10684,10622,11215,11368,11644,11586,11500,11401,11325,11284,11209,11315,11289,11409,11174,11353,11315,11499,11648,11780,11768,11893,11897,11772,11647,11570,11444,11372,11261,11098,11021,11008,11023,10941,10835,10782,10711,10691,10583,10253,10014,9829,9753,9741,9824,9827,9895,9892,9810,9826,9960,10010,10356
"13","5","A     Nonmetallic mineral product manufacturing","KS3270",9634,9679,9684,9765,9821,9881,9816,9783,9776,9667,9716,9736,9727,9755,9806,9766,9800,9785,9765,9730,9765,9768,9845,9787,9827,9800,9742,9681,9792,9719,9766,9981,9979,10094,10045,10121,10182,10176,10016,10142,10081,10078,10097,10081,10102,10050,10118,10271,10244,10172,10239,10205,10126,10142,10112,9963,10002,9957,9913,9801,9736,9694,9675,9624,9573,9658,9645,9747,9743,9796,9802,9866,9820,9999,10097,10119,10197,10214,10225,10142,10121,9920,9639,9605,9602,9622,9600,9572,9617,9548,9537,9594,9574,9745,9783,9735,9787,9866,9840,9810,9821,9859,9907,9858,9736,9656,9607,9668,9714,9693,9694,9799,9766,9800,9881,9916,10035,10129,10157,10148,10090,10088,10038,10017,9953,9867,9786,9797,9827,9826,9805,9850,9783,9729,9732,9691,9566,9455,9371,9349,9343,9368,9364,9348,9387,9308,9211
"14","6","A     Primary metal manufacturing","KS3310",19068,19243,19527,19418,19475,19498,19580,19762,19712,19828,19927,20205,20401,20360,20412,20632,20779,20944,21216,21469,21646,21621,21711,21812,21886,21931,21746,21777,22029,21915,22012,21990,21836,21922,22111,22273,22503,22448,22392,22610,22673,22606,22759,22502,22305,22168,22019,21863,21894,21816,21576,21554,21259,20896,20733,20520,20464,20345,20210,20047,19849,19711,19443,19390,19223,19271,19239,19396,19404,19482,19633,19686,19662,19714,19523,19379,19222,18560,18285,18154,17781,17523,17521,17316,17160,16933,16896,16859,16953,17233,17239,17412,17587,18098,18297,18435,19041,19377,19921,20049,20273,20323,20397,20325,20015,19841,19747,19749,19838,19893,19703,19692,19699,19480,19500,19651,20123,20413,20378,20360,20174,19939,19769,19523,19142,19174,19140,18978,18761,18443,18213,18124,18067,17933,17989,17891,17817,17703,17570,17886,18080,18479,18905,18935,18992,18865,18475
"15","7","A     Fabricated metal product manufacturing","KS3320",29505,29548,29668,29791,29819,30151,30088,30139,30231,30340,30471,30825,30742,31020,31020,31339,31349,31941,31745,31907,32016,32005,32125,32087,32214,32018,32079,32245,32363,32163,32377,32377,32529,32765,32920,33039,33128,33112,32864,33113,33470,33833,33776,33885,33773,33793,33840,33675,33897,33859,33734,33881,33879,33642,33465,33458,33385,33384,33076,32570,32550,32443,32385,32448,32232,32142,32179,32302,32368,32308,32338,32286,31981,33458,33599,32959,32951,32721,32293,32142,31935,31991,31830,31516,31267,31190,31007,30656,30669,30626,30828,31017,30955,30837,30891,31220,31428,31807,32047,32306,32668,32594,32735,32736,32656,32589,32801,32765,33016,33044,33148,33182,33142,33150,33049,33086,33107,33149,33194,33426,33853,33754,33618,33445,33094,32838,32729,32404,32568,32708,32630,32758,32614,32340,32056,31925,31523,31157,31034,30819,30693,30625,30941,31486,31723,31780,31502
"16","8","A     Machinery manufacturing","KS3330",35898,35609,35618,36238,36349,36531,36557,36478,36359,36631,36523,36794,36908,37600,37751,37584,37570,37640,37920,38187,38406,38174,38324,37962,38177,37915,38168,38259,38224,37941,37974,37720,37773,38138,38253,38416,38498,38607,38160,39072,38594,39086,39407,39799,39766,40338,40342,41063,41292,41090,41150,40852,40266,39919,39268,38856,38421,37958,37321,36873,36567,36496,36510,36098,35902,35495,35441,35264,35102,34922,34814,35212,34573,34602,34004,34027,33765,33332,33071,32826,32776,33107,32816,33347,33260,33293,33214,32954,32977,33085,33106,33135,32936,32659,32996,32939,33333,33488,33483,33770,34154,34233,34952,35265,35261,35030,35108,35088,35309,35205,35487,35705,35937,35852,35816,35857,36259,36312,36025,36710,36854,37066,36910,36975,36873,36853,36965,36955,37221,37369,37423,37472,37537,37548,37817,37404,36996,36597,36245,35866,35720,35798,36282,36875,37486,37277,36697
"17","9","A     Computer and electronic product manufacturing","KS3340",44487,44869,45170,45906,46648,47066,48561,49074,49423,49870,50278,50593,50999,51512,52111,52331,52369,52137,51784,51752,51794,52065,51807,51323,50873,51756,53143,53423,53683,54039,54093,54688,55126,54650,54908,56091,55529,56099,56550,57696,59011,60383,61453,62605,62263,64080,66061,67266,69077,69837,67976,67424,67099,66728,66284,65426,62824,62129,62217,60066,60166,59672,59273,59121,58651,57645,57882,57597,57632,57575,57628,57005,56539,56790,56290,56092,55734,55275,55356,55298,55598,56610,56949,58437,57648,57611,58525,59079,59187,60019,60261,60312,60365,61065,60795,60969,61557,61405,60988,60991,61281,61295,62009,61997,62311,63037,64081,64064,64710,63386,64198,64551,64357,64307,64547,64729,64200,64037,64044,63248,63868,63715,63379,63362,63601,62823,61485,61751,62598,63023,63481,63953,64173,64519,64901,65145,65069,64762,64829,65108,64921,65445,65326,65977,65469,65466,64817
"18","10","A     Electrical equipment, appliance, and component manufacturing","KS3350",12593,12700,12722,12974,13138,13235,13397,13375,13374,13348,13366,13305,13412,13454,13530,13415,13343,13340,13423,13524,13529,13660,13750,13806,13702,13659,13695,13818,13865,13866,13830,13754,13912,13938,13938,13796,13887,13863,13680,13779,13891,13951,14043,14282,14256,14378,14324,14604,14601,14688,14665,14628,14478,14295,13963,14007,13881,13921,13783,13661,13586,13572,13528,13616,13611,13591,13595,13549,13511,13456,13505,13357,13355,13270,13212,13195,13174,13043,12934,12888,12801,12815,12856,12872,12833,12607,12597,12488,12576,12635,12717,12841,12774,12628,12537,12519,12534,12529,12604,12681,12631,12573,12543,12517,12625,12580,12525,12520,12654,12615,12713,12678,12510,12571,12592,12754,12544,12543,12581,12808,12783,12751,12750,12717,12544,12444,12518,12521,12399,12611,12739,12826,12924,12977,12798,12820,12601,12600,12463,12454,12531,12478,12448,12507,12279,12164,12133
"19","11","A     Transportation equipment manufacturing","KS3360",69395,70171,69327,69854,69869,69109,69327,69647,69791,70332,69172,69798,71570,72662,73739,74953,76147,77314,77421,78397,78756,80414,80514,81590,79536,80371,81266,79870,80073,79867,81063,80086,80637,79984,81151,81363,79502,79859,79729,78544,76789,76762,75427,74627,74594,73766,73821,72238,72247,71505,70600,71465,71279,70288,70269,70063,70291,70667,69811,70419,69694,69698,68119,67787,67608,67867,67199,67086,66831,67026,66145,68557,67918,68111,67416,67931,67991,67328,66630,66633,66457,66617,65757,66339,66718,66796,66230,66475,65980,66029,66424,66162,65298,64850,65661,64989,65507,66652,67067,66487,66691,66605,67745,67162,67303,68307,68718,68653,68185,67969,68227,68806,69010,69686,70754,69647,70435,71358,71871,71439,71925,72101,72077,72700,72738,72658,72931,72889,73055,73123,74114,75672,76207,76815,77692,78004,78137,78291,78539,78477,77985,79010,80970,83476,83038,83044,82470
"20","12","D       Motor vehicle and parts manufacturing","KS3MV0",22466,22824,22857,23210,23588,22916,23082,23063,23447,23058,22795,22823,23024,23191,23643,23262,23226,23464,22912,22720,23037,23137,23810,23981,23811,23780,24737,24185,24319,24637,24736,24814,24606,24903,25522,25635,25676,25889,25497,25666,25814,25792,25788,25884,25880,25928,25814,25455,25324,25096,24656,25025,24720,24534,24256,24076,23808,23654,23196,22983,22753,22644,22856,23209,23363,23549,23773,23642,24005,23997,23894,24003,24031,24447,23909,24179,24129,23969,24103,24313,24114,24037,24050,24352,24971,25031,25121,24961,24778,25064,24888,24903,25129,24801,24871,24454,24879,25088,25454,25440,25384,25623,25287,25374,24897,25322,25361,24906,24782,24765,24815,24915,24879,24985,25080,25038,24842,25096,25463,25245,25426,25413,25092,24795,24675,24351,24286,24069,23956,23867,23627,23634,23263,22978,22859,22416,22126,21904,21513,21166,20817,20820,20595,20325,19908,19641,19210
"21","13","D       Other transportation equipment manufacturing","KS3OT0",46897,47311,46424,46593,46219,46143,46192,46534,46284,47231,46330,46934,48515,49441,50059,51678,52919,53852,54530,55708,55739,57302,56716,57619,55730,56598,56535,55690,55760,55234,56333,55274,56036,55085,55631,55731,53826,53968,54232,52877,50973,50968,49639,48745,48717,47842,48011,46786,46926,46411,45944,46440,46558,45753,46011,45984,46479,47006,46606,47421,46920,47022,45257,44590,44261,44332,43451,43460,42854,43049,42272,44556,43893,43680,43513,43760,43867,43365,42543,42341,42359,42592,41727,42010,41787,41805,41154,41553,41243,41008,41575,41298,40212,40088,40828,40569,40665,41601,41652,41088,41348,41028,42495,41832,42443,43022,43395,43794,43449,43251,43459,43939,44179,44752,45732,44661,45656,46328,46471,46257,46562,46755,47056,47987,48149,48399,48741,48920,49202,49361,50608,52178,53106,54019,55034,55818,56264,56659,57336,57649,57520,58576,60821,63663,63653,63935,63796
"22","14","A     Furniture and related product manufacturing","KS3370",7119,7121,7101,7084,7256,7245,7291,7191,7192,7162,7174,7227,7218,7274,7297,7371,7425,7346,7360,7349,7356,7389,7397,7384,7442,7478,7500,7470,7489,7533,7574,7591,7523,7647,7629,7729,7792,7841,7864,7876,7937,8002,7981,8087,8085,8043,8101,7963,8065,8088,8093,8073,8023,7975,7914,7813,7846,7767,7758,7557,7587,7555,7500,7499,7571,7643,7695,7715,7743,7715,7847,7873,8050,7994,8056,8056,8067,8066,8147,8006,7819,7783,7738,7658,7706,7657,7552,7627,7629,7678,7721,7749,7720,7800,7747,7813,7801,7826,7811,7833,7864,7896,7922,7974,8029,7952,8076,8087,8077,8033,8146,8097,8055,8066,8011,8040,8032,8062,8081,7944,7956,7976,7815,7741,7708,7656,7621,7582,7557,7549,7533,7463,7431,7355,7313,7191,7169,7047,6997,6932,6887,6825,6841,6815,6792,6652,6545
"23","15","A     Miscellaneous durable goods manufacturing","KS3390",14242,14234,14237,14120,13970,14179,13822,14115,14114,14273,14390,14519,14552,14625,14808,14886,14892,14913,15154,15072,15112,14979,15100,14995,15034,15157,15243,15477,15562,15466,15412,15366,15627,15558,15667,15773,15892,15889,15952,16085,16151,16198,16280,16508,16603,16671,16668,16626,16713,16846,16666,16571,16538,16522,16536,16523,16575,16571,16529,16672,16483,16528,16530,16599,16646,16772,16817,16774,16774,16628,16505,16630,16735,16904,17096,16989,17030,16983,17142,17287,17086,17197,17198,17472,17422,17424,17414,16983,17054,17099,17071,17051,17001,17168,17146,17090,17047,17122,17121,17386,17348,17604,17895,18313,18214,18202,18243,18204,18176,18120,18030,18109,18060,17940,18206,18299,18449,18472,18418,18696,18755,18856,18862,18393,18738,18674,18737,18651,18797,18938,18985,18880,18884,18703,18595,18459,18314,18373,18289,18131,18200,18297,18491,18734,18991,19104,19209
"24","16","A   Nondurable goods manufacturing industries","KS30N0",162298,162227,163113,163824,164416,164779,164365,165430,166370,167598,168413,169003,168940,169620,169986,169757,169831,169843,170406,169781,169398,169647,170752,169352,170031,169934,170611,171503,172679,172725,173066,173620,174407,175423,176756,177841,178265,178573,178485,178921,179036,179770,180385,179690,179813,179726,179444,178466,178553,177709,177444,177138,176632,175546,175391,175022,175076,174987,174867,175332,174875,174355,176037,176059,175618,176049,176707,177158,177899,177748,177171,176279,176211,177508,176767,177041,176624,176888,176410,176733,176131,175411,175328,173262,173051,174002,174151,173993,174597,174957,175295,175509,174149,174116,174978,174180,176059,176385,176835,176570,175105,176002,176261,175450,174769,175424,174435,175941,178255,177827,178866,179565,180041,181164,181047,181665,181732,181505,181859,181049,180089,179732,179455,179461,180153,180155,179881,179096,180112,178818,178543,177847,180217,180288,180275,177528,176875,177454,176124,175987,172955,171053,170114,164328,164507,163454,163997
"25","17","A     Food manufacturing","KS3110",30597,30775,30950,30971,31000,31313,31290,31429,31492,31674,31788,31937,32151,32348,32140,32105,32039,32040,31997,31802,31899,31896,31902,32049,32366,32392,32517,32696,32731,32717,32836,32729,33182,33388,33641,33679,34000,34242,34550,34285,34260,34207,34210,34179,34119,33846,33974,34159,34053,33935,33871,33890,33902,33847,33892,33691,33517,33272,33615,33848,34042,34065,33951,34301,34392,34579,34584,34627,34577,34553,34563,34204,34123,34217,34214,33954,34166,33932,33754,33764,33658,33781,33803,33244,33217,33151,33169,32805,32755,32662,32750,32660,32612,32417,32266,32363,32116,32161,32221,32612,32399,32427,32533,32522,32585,32514,32509,32533,32892,32883,32818,32711,32630,32716,32604,32559,32724,33180,33350,33383,33107,32888,32697,32701,32870,32806,32989,33197,33151,32604,32335,32159,32111,31921,31657,31425,31299,31143,30709,30230,30124,30417,30792,31051,31274,31250,31482
"26","18","A     Beverage and tobacco product manufacturing","KS3120",11533,11400,11352,11566,11605,11586,11740,11825,11921,12083,12218,12154,12445,12270,12382,12162,12105,12005,12055,11779,11835,12156,12200,12074,11962,12102,11836,11925,12003,11846,11665,11682,11478,11661,11613,11908,12006,12112,12037,12019,11976,12062,12003,11986,12119,12028,12058,11798,11762,11788,11984,12006,12070,11997,12271,12292,12287,12205,12214,12364,12429,12341,12535,12344,12449,12596,12374,12452,12668,12510,12338,12400,12242,12233,12138,12405,12300,12222,12243,12119,12087,12172,12276,11996,11963,12154,11983,12016,12002,12249,12144,12622,12591,12253,12175,12105,12265,12160,12041,12127,12067,12004,12166,12124,12022,12390,12468,12369,12358,12346,12166,12186,12062,11992,12091,12245,12175,12323,12358,12401,12499,12433,12465,12515,12594,12514,12531,12462,12287,12334,12264,12232,12290,12387,12331,12345,12304,12244,12176,12160,12187,12205,12222,12282,12166,12281,12334
"27","19","A     Textile mills","KS3130",6744,6715,6726,6763,6724,6722,6711,6753,6704,6707,6662,6684,6696,6754,6762,6740,6784,6757,6809,6754,6798,6795,6792,6813,6815,6802,6775,6771,6767,6824,6813,6801,6849,6800,6881,7001,6871,6823,6839,6820,6783,6772,6732,6712,6663,6685,6663,6578,6548,6511,6432,6452,6436,6382,6314,6262,6222,6126,6061,5961,5775,5767,5706,5590,5600,5577,5603,5665,5631,5654,5598,5683,5720,5741,5778,5807,5825,5860,5813,5787,5816,5732,5723,5678,5640,5620,5643,5639,5621,5590,5589,5577,5561,5525,5531,5500,5494,5472,5426,5439,5467,5420,5401,5318,5343,5389,5384,5418,5440,5429,5462,5417,5332,5370,5385,5380,5415,5321,5275,5261,5207,5188,5097,5069,5047,5052,5007,5029,5017,5011,4991,4983,4966,4936,4933,4876,4836,4748,4814,4785,4791,4789,4807,4759,4688,4624,4586
"28","20","A     Textile product mills","KS3140",3491,3529,3562,3602,3640,3690,3711,3729,3762,3756,3785,3801,3812,3827,3788,3758,3736,3685,3662,3665,3640,3598,3578,3581,3501,3551,3654,3702,3729,3792,3798,3812,3823,3904,3898,3924,3953,3977,4033,4068,4155,4212,4248,4245,4293,4285,4337,4341,4339,4354,4350,4354,4305,4315,4290,4336,4362,4411,4454,4509,4348,4216,4089,4055,4007,3940,3903,3812,3738,3628,3497,3425,3499,3522,3500,3519,3509,3482,3482,3507,3460,3439,3501,3553,3527,3512,3522,3542,3518,3521,3531,3527,3572,3563,3550,3512,3626,3661,3676,3641,3623,3614,3578,3601,3577,3621,3566,3667,3650,3658,3674,3682,3643,3726,3768,3766,3759,3755,3722,3699,3667,3648,3601,3561,3593,3577,3553,3542,3542,3526,3521,3504,3510,3485,3466,3450,3389,3335,3388,3371,3357,3356,3347,3321,3151,3094,3080
