"","Table 1#7#6# Relation of Real Gross Domestic Product, Real Gross","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93"
"1","[Billions of chained (2009) dollars]; Seasonally adjusted at annual rates                                                                 ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Quarterly data from 1947 To 1969",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published July 31, 2013     ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 8/7/2013 2:39:17 PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1947,1947,1947,1947,1948,1948,1948,1948,1949,1949,1949,1949,1950,1950,1950,1950,1951,1951,1951,1951,1952,1952,1952,1952,1953,1953,1953,1953,1954,1954,1954,1954,1955,1955,1955,1955,1956,1956,1956,1956,1957,1957,1957,1957,1958,1958,1958,1958,1959,1959,1959,1959,1960,1960,1960,1960,1961,1961,1961,1961,1962,1962,1962,1962,1963,1963,1963,1963,1964,1964,1964,1964,1965,1965,1965,1965,1966,1966,1966,1966,1967,1967,1967,1967,1968,1968,1968,1968,1969,1969
"8",NA,NA,NA,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2
"9","1","Gross domestic product","A191RX1",1932.6,1930.4,1928.4,1958.8,1987.6,2019.9,2031.2,2033.3,2005.6,1998.8,2020.8,2002.7,2082.5,2145.5,2228.2,2271.2,2302.3,2342.3,2390.5,2395.8,2421.1,2426.2,2443.7,2523.9,2570.9,2591,2576.4,2537.3,2525.6,2528.3,2556.9,2606.8,2681.2,2724.8,2761.5,2778.1,2767.4,2790.2,2787.9,2833.5,2851.8,2845.5,2873.2,2843.7,2770,2788.3,2852.7,2919.5,2973.8,3046.1,3040.2,3052.2,3120.2,3108.4,3116.1,3078.4,3099.3,3156.9,3209.6,3274.6,3333.6,3369.5,3401.6,3414.8,3452.8,3497.8,3566.1,3591.5,3669.2,3712.9,3763.3,3776.6,3869.8,3922.7,4002.4,4096.7,4197.9,4215.1,4245.2,4281.6,4320.9,4324.7,4362,4397.1,4486.4,4562.2,4595,4615.4,4687.1,4702.1
"10","2","Plus: Income receipts from the rest of the world","A645RX1",13.9,14.4,14.2,15.6,16.4,17.2,18.1,17.4,17.6,17,16.7,15.6,16.6,17.4,20,20,19.7,22.4,22.9,24,22.6,23.2,22.9,22.7,22.3,23.3,21.5,22,23,22.9,23,25.3,25.8,26.1,26.4,26.9,29.2,28.8,29.7,26.9,30.5,32.3,31.3,26.3,27.1,26.8,26.5,26.6,26.8,27.2,29.3,31.2,31.5,31.6,32.4,33.3,34.9,33.6,34.5,35.4,34.6,37.3,37.6,41.8,40.5,40,41,42.4,45.3,44.3,45.2,43.7,47.9,49.3,47.2,44.7,45.9,46.2,46.7,48.5,48.1,47.2,50.2,50.1,52,54,55.5,55.5,57.9,59.5
"11","3","Less: Income payments to the rest of the world","A655RX1",4.1,4,3.8,4.5,4.2,4.2,5,4.4,5.1,5,5.1,5.2,5.4,5.5,5.7,5.7,6.1,6.2,6.1,6,5.8,6.2,6.3,6.5,6.4,6.4,6.6,6.9,6.7,6.7,6.6,6.6,6.8,7.4,7.5,7.5,7.5,7.3,7.7,7.7,7.7,7.7,7.9,7.9,8.1,7.5,7.9,8.3,8.7,9.1,9.6,10.2,11.3,10.9,10.8,10.4,10.6,10.6,11,11.3,10.8,11,11.1,11.2,11.4,11.9,12.5,12.9,13.1,13.4,13.4,14.1,14.2,14.5,14.9,15.3,15.5,15.8,16.9,17.3,17.3,17.3,17.2,18,19.1,20.3,20.8,21.1,23.3,25.9
