"","Table 1#2#4# Price Indexes for Gross Domestic Product by Major T","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176","F177","F178","F179","F180","F181"
"11","3","       Change in private inventories","ZZZZZZ3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","4","Goods","A353RG3",40.215,40.638,41.096,41.481,41.899,42.312,42.473,42.913,43.266,43.67,43.789,43.879,44.383,44.437,44.693,44.983,45.593,46.343,47.239,47.935,48.867,49.695,51.358,53.188,54.438,55.037,56.189,56.994,57.343,57.592,58.191,59.109,59.747,60.414,60.838,61.577,62.435,63.593,64.62,65.874,67.191,68.725,69.561,70.349,71.696,73.016,74.502,76.188,77.961,79.04,80.445,81.293,81.919,82.596,83.409,83.638,84.174,84.8,85.273,85.755,86.336,86.512,86.758,86.868,87.551,87.757,87.837,87.867,87.619,87.556,87.759,87.909,88.413,88.606,88.941,89.43,89.667,90.311,91.58,92.08,92.613,93.501,93.995,94.152,95.145,96.092,96.707,96.928,98.173,98.866,99.255,99.44,99.287,99.449,99.502,99.749,100.041,100.085,100.175,100.715,100.864,100.975,101.259,101.404,101.559,101.638,101.836,101.83,102.136,102.273,102.155,101.957,102.096,102.292,102.006,101.7,101.215,100.943,100.901,100.61,100.471,100.423,100.16,99.998,99.907,100.31,100.367,100.181,100.014,100.667,100.524,100.248,99.844,99.555,99.49,99.195,98.477,98.304,98.509,98.412,98.471,98.684,98.31,98.461,98.445,98.416,98.67,98.021,98.159,98.65,99.067,98.543,99.203,99.677,99.129,98.397,97.966,97.273,97.683,98.771,100.411,100.298,99.837,99.453,99.047,99.308,99.912,100.619,100.621,101.02,101.78,101.427,101.669,102.118,103.17,102.929,102.798,102.492
"13","5","    Final sales","A325RG3",39.89,40.311,40.774,41.151,41.566,41.982,42.145,42.58,42.926,43.321,43.445,43.542,44.054,44.099,44.337,44.616,45.247,45.986,46.879,47.604,48.507,49.29,50.913,52.768,53.997,54.618,55.758,56.588,56.958,57.198,57.788,58.708,59.346,60.002,60.471,61.23,62.079,63.24,64.248,65.478,66.8,68.331,69.134,69.903,71.238,72.536,74.041,75.721,77.394,78.456,79.876,80.758,81.427,82.129,82.937,83.191,83.689,84.335,84.837,85.287,85.845,85.983,86.239,86.391,87.112,87.34,87.443,87.474,87.245,87.222,87.449,87.565,88.041,88.215,88.556,89.086,89.369,90.032,91.355,91.832,92.356,93.252,93.738,93.906,94.904,95.876,96.488,96.767,97.986,98.7,99.057,99.243,99.121,99.288,99.341,99.59,99.9,99.924,99.992,100.564,100.69,100.818,101.134,101.263,101.398,101.476,101.69,101.719,102.066,102.207,102.07,101.9,102.046,102.273,102.018,101.719,101.278,101.024,101,100.701,100.565,100.533,100.275,100.11,100.029,100.452,100.507,100.326,100.142,100.817,100.676,100.392,99.975,99.692,99.643,99.353,98.648,98.473,98.682,98.588,98.634,98.838,98.445,98.584,98.561,98.535,98.805,98.122,98.243,98.743,99.143,98.6,99.272,99.753,99.2,98.436,98.023,97.354,97.884,98.628,100.287,100.25,99.895,99.568,99.123,99.336,99.92,100.594,100.637,101.088,101.855,101.502,101.757,102.199,103.277,103.011,102.902,102.602
"14","6","    Change in private inventories","ZZZZZZ3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","7","  Durable goods","A354RG3",51.326,51.666,52.095,52.58,53.031,53.569,53.596,54.233,55.047,55.48,55.345,55.339,56.006,56.112,56.188,56.098,56.311,56.464,56.893,57.249,58.324,59.305,61.518,63.658,65.709,67.316,68.476,69.687,70.816,71.604,72.315,73.865,74.474,75.015,75.784,76.919,77.686,78.524,79.447,81.049,82.131,84.084,85.536,86.444,88.595,91.086,92.918,94.697,96.61,98.806,100.814,102.095,103.157,104.603,105.709,106.363,106.673,106.797,107.256,107.766,108.026,108.407,108.907,109.087,109.745,109.722,109.618,109.269,108.483,108.522,108.718,108.915,108.753,108.527,108.824,109.039,108.942,108.917,109.859,110.209,110.777,111.188,112.001,112.272,112.767,113.109,113.609,113.812,114.929,115.546,115.97,115.808,115.578,115.692,115.395,115.437,115.677,115.895,115.85,116.145,116.381,116.75,116.9,116.524,116.901,116.619,116.436,116.332,116.552,116.048,116.011,115.834,115.821,115.334,114.784,114.154,113.379,112.698,112.057,111.43,110.76,110.452,109.853,109.733,109.443,109.404,109.438,109.343,108.525,108.223,107.661,107.441,106.931,106.367,106.037,105.666,104.665,104.133,103.451,102.884,102.667,102.574,102.168,102.293,102.447,102.61,102.323,102.358,102.37,102.176,101.998,101.844,101.946,101.824,101.022,100.453,100.399,99.47,99.762,100.031,100.404,100.283,99.612,99.701,99.21,99.122,99.137,99.257,99.239,99.469,99.615,99.492,99.75,99.995,99.948,99.746,99.834,99.892
"16","8","    Final sales","A326RG3",51.838,52.185,52.634,53.117,53.571,54.108,54.128,54.79,55.607,56.034,55.888,55.884,56.563,56.667,56.746,56.655,56.861,56.985,57.412,57.73,58.766,59.695,61.873,64.026,66.125,67.753,68.919,70.144,71.285,72.075,72.776,74.346,74.944,75.478,76.25,77.387,78.152,78.961,79.866,81.455,82.499,84.451,85.905,86.833,89.005,91.492,93.306,95.05,96.912,99.063,101.045,102.326,103.415,104.859,105.951,106.616,106.903,107.031,107.483,107.985,108.22,108.561,109.052,109.222,109.886,109.86,109.752,109.387,108.587,108.614,108.799,109.01,108.842,108.579,108.887,109.093,108.963,108.924,109.867,110.199,110.763,111.191,112.007,112.279,112.782,113.127,113.628,113.835,114.957,115.577,116.004,115.848,115.63,115.748,115.462,115.513,115.752,115.956,115.913,116.21,116.445,116.82,116.975,116.589,116.973,116.68,116.509,116.432,116.686,116.174,116.131,115.936,115.906,115.45,114.947,114.337,113.594,112.928,112.292,111.668,111.005,110.705,110.105,109.983,109.689,109.659,109.695,109.609,108.796,108.484,107.914,107.685,107.177,106.616,106.286,105.916,104.901,104.37,103.7,103.148,102.919,102.801,102.364,102.469,102.609,102.785,102.498,102.518,102.505,102.279,102.072,101.912,102.017,101.903,101.102,100.544,100.487,99.585,99.888,100.13,100.371,100.19,99.637,99.803,99.339,99.247,99.259,99.368,99.314,99.534,99.683,99.568,99.828,100.066,100.019,99.815,99.903,99.96
"17","9","    Change in private inventories \1\","ZZZZZZ3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","10","  Nondurable goods","A356RG3",29.094,29.511,29.93,30.213,30.56,30.852,31.064,31.34,31.407,31.74,31.977,32.109,32.464,32.482,32.802,33.269,34.045,35.085,36.186,37.028,37.777,38.424,39.563,41.005,41.619,41.543,42.561,43.031,42.864,42.748,43.214,43.625,44.219,44.907,45.057,45.457,46.298,47.583,48.592,49.489,50.882,51.982,52.303,52.932,53.589,53.995,55.106,56.566,58.077,58.31,59.185,59.674,59.969,60.105,60.651,60.603,61.209,62.074,62.512,62.936,63.696,63.715,63.762,63.81,64.452,64.803,65.011,65.316,65.486,65.357,65.552,65.653,66.628,67.134,67.476,68.151,68.641,69.79,71.26,71.863,72.341,73.58,73.78,73.827,75.188,76.597,77.273,77.495,78.771,79.485,79.822,80.278,80.194,80.386,80.728,81.135,81.46,81.353,81.557,82.294,82.355,82.231,82.62,83.23,83.175,83.589,84.146,84.236,84.618,85.38,85.186,84.973,85.26,86.154,86.153,86.202,86.044,86.233,86.866,86.967,87.45,87.707,87.845,87.631,87.779,88.73,88.814,88.515,89.152,90.972,91.338,90.996,90.723,90.769,91.029,90.826,90.457,90.728,92.042,92.539,92.953,93.556,93.227,93.411,93.172,92.892,93.875,92.297,92.605,94.008,95.234,94.217,95.631,96.92,96.719,95.757,94.798,94.436,95.019,97.234,100.469,100.324,100.087,99.119,98.815,99.52,100.878,102.332,102.361,102.989,104.577,103.915,104.133,104.852,107.372,107.079,106.657,105.872
"19","11","    Final sales","A334RG3",28.327,28.735,29.146,29.416,29.756,30.054,30.266,30.525,30.586,30.907,31.152,31.29,31.649,31.657,31.946,32.385,33.172,34.183,35.252,36.139,36.866,37.477,38.58,40.043,40.606,40.561,41.553,42.051,41.913,41.793,42.25,42.664,43.256,43.923,44.145,44.582,45.405,46.693,47.681,48.551,49.956,51.056,51.333,51.924,52.558,52.938,54.092,55.562,56.949,57.194,58.108,58.645,58.981,59.155,59.7,59.676,60.246,61.136,61.621,61.998,62.724,62.714,62.787,62.91,63.603,63.992,64.242,64.562,64.772,64.72,64.965,65.002,65.929,66.417,66.757,67.501,68.083,69.262,70.808,71.376,71.843,73.073,73.258,73.325,74.678,76.126,76.794,77.116,78.344,79.094,79.374,79.832,79.794,79.993,80.327,80.733,81.088,80.958,81.12,81.904,81.928,81.831,82.274,82.858,82.764,83.179,83.74,83.871,84.295,85.064,84.841,84.7,85.017,85.937,85.951,85.994,85.891,86.096,86.759,86.839,87.315,87.597,87.748,87.532,87.704,88.686,88.759,88.456,89.054,90.96,91.346,90.996,90.692,90.746,91.037,90.844,90.514,90.773,92.083,92.568,92.962,93.576,93.242,93.424,93.189,92.898,93.914,92.287,92.583,94.052,95.273,94.22,95.656,96.956,96.749,95.697,94.788,94.445,95.293,96.711,100.196,100.328,100.208,99.268,98.844,99.439,100.753,102.145,102.313,103.066,104.64,103.976,104.223,104.933,107.477,107.133,106.763,105.992
"20","12","    Change in private inventories \1\","ZZZZZZ3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
