"","Table 2#4#5# Personal Consumption Expenditures by Type of Produc","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47"
"1","[Billions of dollars]                                                                                                                                                                                                                                     ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1969 To 2012",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published August 07, 2013   ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 9/26/2013 2:31:45 PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
"8","1","      Personal consumption expenditures","DPCERC1",604.5,647.7,701,769.4,851.1,932,1032.8,1150.2,1276.7,1426.2,1589.5,1754.6,1937.5,2073.9,2286.5,2498.2,2722.7,2898.4,3092.1,3346.9,3592.8,3825.6,3960.2,4215.7,4471,4741,4984.2,5268.1,5560.7,5903,6316.9,6801.6,7106.9,7385.3,7764.4,8257.8,8790.3,9297.5,9744.4,10005.5,9842.9,10201.9,10711.8,11149.6
"9","2","Goods","DGDSRC1",304.7,318.8,342.1,373.8,416.6,451.5,491.3,546.3,600.4,663.6,737.9,799.8,869.4,899.3,973.8,1063.7,1137.6,1195.6,1256.3,1337.3,1423.8,1491.3,1497.4,1563.3,1642.3,1746.6,1815.5,1917.7,2006.8,2108.7,2286.8,2452.9,2525.2,2598.6,2721.6,2900.3,3080.3,3235.8,3361.6,3375.7,3198.4,3362.8,3602.7,3769.7
"10","3","  Durable goods","DDURRC1",90.5,90,102.4,116.4,130.5,130.2,142.2,168.6,192,213.3,226.3,226.4,243.9,253,295,342.2,380.4,421.4,442,475.1,494.3,497.1,477.2,508.1,551.5,607.2,635.7,676.3,715.5,779.3,855.6,912.6,941.5,985.4,1017.5,1079.8,1127.2,1156.1,1184.6,1102.3,1023.3,1070.7,1129.9,1202.7
"11","4","    Motor vehicles and parts","DMOTRC1",37.4,34.5,43.2,49.4,54.4,48.2,52.6,68.2,79.8,89.2,90.2,84.4,93,100,122.9,147.2,170.1,187.5,188.2,202.2,207.8,205.1,185.7,204.8,224.7,249.8,255.7,273.5,293.1,320.2,350.7,363.2,383.3,401.3,401.5,409.3,410,395,400.6,339.6,317.1,342,368.7,401.7
"12","5","      New motor vehicles (55)","DNMVRC1",26.8,23.4,30.5,35.2,38.7,31.7,34.6,46.6,55.9,62.7,61.4,54.3,59.1,64.3,82.9,99.7,117.8,134,128.8,138.2,139.3,134.7,112.9,126.7,138.9,151.2,147.5,153,162.2,179.4,200.1,210.7,230,243.6,251.6,252.4,248.9,233,233.2,185.2,165.6,182.3,207.8,236.8
"13","6","      Net purchases of used motor vehicles (56)","DNPVRC1",5.2,5,5.6,6.2,6.8,7,7.8,10.2,11.1,12,12.4,12.2,14.3,15.3,18,24.7,28.8,29.9,35.5,37.7,41.5,42.2,45,49.4,55,64.9,72.9,82.9,91.7,101.4,109.6,110.7,112,116.1,105.8,109.8,110.5,108.5,111.2,99.6,99.7,104.2,101.4,103.1
"14","7","      Motor vehicle parts and accessories (58)","DMVPRC1",5.4,6.1,7.1,8,8.9,9.5,10.3,11.4,12.9,14.4,16.3,17.9,19.6,20.4,22.1,22.8,23.5,23.5,23.9,26.3,27,28.3,27.8,28.7,30.8,33.7,35.4,37.6,39.1,39.5,41.1,41.8,41.3,41.7,44.1,47.1,50.6,53.4,56.2,54.8,51.8,55.5,59.6,61.8
"15","8","    Furnishings and durable household equipment","DFDHRC1",27.6,28.2,29.9,33.5,38,40.9,42.6,47.2,53.4,59,65.3,67.8,71.5,71.8,79.8,88.8,94.6,103.5,109.5,115.2,121.4,120.9,118.8,124.3,131.4,140.5,146.7,153.5,160.5,173.6,191.2,208.1,214.9,225.9,235.2,254.3,271.3,283.6,283.5,268.7,244.3,250.4,260.1,275.1
"16","9","      Furniture and furnishings (parts of 31 and 32)","DFFFRC1",15.7,15.8,16.6,18.6,21.2,22.9,23.5,26,29.6,32.6,36.1,36.9,38.4,37.8,43.2,49.3,53.1,59.4,64.5,67.5,70.8,69.2,67.1,69.3,73.5,79.4,83.4,88.3,93.8,101.2,111.3,121.7,124.5,130.2,136.1,148.9,160.6,169.8,171.8,160.5,144.6,148.4,153.7,164.1
"17","10","      Household appliances (part of 33)","DAPPRC1",6.8,7.3,7.9,9,9.9,10.3,10.6,11.5,12.7,13.6,14.8,15.1,15.5,15.2,16.8,18.4,19.8,21.2,21.8,22.7,23.9,23.7,23.3,24.3,25.2,25.8,26.6,26.8,26.5,28.6,31.6,34.1,35.7,37.6,38.9,42.1,45.1,47,46.8,45.2,41.1,41.7,42.9,43.9
"18","11","      Glassware, tableware, and household utensils (34)","DUTERC1",3.5,3.6,3.7,4.1,4.7,5.2,5.7,6.5,7.3,8.6,9.5,10.6,11.8,12.8,13.4,14.1,14.4,15.1,15.1,16.3,17.5,18.4,18.5,20.1,21.1,22.8,23.7,24.8,25.7,28.3,31.9,35.3,37.1,40,41.3,43.1,44.6,45.5,44.8,43.7,41.1,42.7,45,47.5
"19","12","      Tools and equipment for house and garden (35)","DTOORC1",1.5,1.6,1.7,1.8,2.2,2.5,2.8,3.2,3.7,4.2,4.9,5.3,5.7,6,6.5,7,7.3,7.7,8.1,8.7,9.2,9.7,9.9,10.7,11.5,12.5,13,13.6,14.5,15.4,16.4,17.1,17.6,18.1,18.8,20.2,21,21.3,20.1,19.3,17.5,17.6,18.4,19.6
"20","13","    Recreational goods and vehicles","DREQRC1",16.7,17.9,19.2,22.6,25.3,26.6,30.4,34.2,37.7,41.7,45.8,46.5,49.9,51.3,58.7,67.8,74.1,83,91.8,99.9,103.9,105.6,107.7,111,123.5,140.3,153.7,164.9,174.6,191.4,210.9,230.9,234.9,244.8,259.2,284.1,305,324.1,335.8,329.3,303.8,312.7,321.1,334.5
"21","14","      Video, audio, photographic, and information processing equipment and media (75, 76, and part of 93)","DVAPRC1",8.3,8.8,9.2,10.6,12.1,13,14.3,15.9,17,18.6,20.7,21.9,23.5,24.5,30.2,34.2,38.5,44.8,49.5,54.2,55.8,56.1,58.1,59.7,66.7,76.7,84.7,91.1,96.2,106.3,117.2,127.7,128.6,134.1,141.5,157.9,172.7,185.8,195.6,194.8,184.9,194.1,198.3,205
