"","Table 1#3#6# Real Gross Value Added by Sector, Chained Dollars  ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47"
"1","[Billions of chained (2009) dollars]                                            ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1969 To 2012",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published September 26, 2013",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 9/25/2013 3:04:08 PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
"8","1","    Gross domestic product","A191RX1",4707.9,4717.7,4873,5128.8,5418.2,5390.2,5379.5,5669.3,5930.6,6260.4,6459.2,6443.4,6610.6,6484.3,6784.7,7277.2,7585.7,7852.1,8123.9,8465.4,8777,8945.4,8938.9,9256.7,9510.8,9894.7,10163.7,10549.5,11022.9,11513.4,12071.4,12565.2,12684.4,12909.7,13270,13774,14235.6,14615.2,14876.8,14833.6,14417.9,14779.4,15052.4,15470.7
"9","2","Business \1\","A195RX1",3107.7,3106.3,3223.8,3433.1,3670.7,3614.6,3579.4,3820.1,4037.3,4292.9,4442,4399.8,4529.8,4394,4634.5,5042.6,5275.2,5468.6,5661.8,5904.5,6131.4,6231.7,6194.9,6457.3,6642,6964.4,7181.1,7516.3,7915.5,8321.9,8801.8,9197.1,9253.4,9418.4,9805.7,10248.9,10634.7,10948.1,11155.1,11049.6,10596.7,10929.3,11191.5,11598
"10","3","  Nonfarm \2\","A358RX1",3085.2,3081.2,3196.4,3410.5,3657.2,3602.2,3542.4,3794.8,4010.9,4276.6,4418.4,4379.1,4480.6,4337.5,4619.6,5005.9,5219.7,5418.6,5612.4,5868,6084.4,6178.1,6140.8,6390.2,6588.4,6893.4,7132.8,7455.5,7844.8,8257.9,8735.3,9116.5,9179.7,9341.3,9719.3,10155.8,10535.8,10848.6,11074.6,10957.4,10486.9,10817.9,11088.7,11499.1
