"","Table 1#3#6# Real Gross Value Added by Sector, Chained Dollars  ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176","F177","F178","F179","F180","F181"
"11","3","  Nonfarm \2\","A358RX1",3079.8,3083.3,3100,3077.6,3073.8,3079.5,3110.8,3060.7,3164.5,3185.3,3213.7,3222.2,3306.8,3398.5,3436.1,3500.7,3633.1,3674.5,3663.5,3657.9,3634.9,3634.8,3583.7,3555.6,3471.3,3496.7,3568.6,3633.2,3747.7,3785,3806.9,3839.7,3904,3995.6,4078.6,4065.5,4087.4,4289,4324.9,4405,4396.8,4402.6,4434.8,4439.6,4450.1,4325,4319.6,4421.7,4521.3,4466.4,4502.6,4432.2,4329.4,4355.3,4332.7,4332.6,4416.1,4568.2,4691.7,4802.6,4902.8,4998.6,5043,5079.4,5129.4,5180.1,5260.7,5308.5,5363.4,5392,5445.5,5473.5,5511.9,5583.3,5623.7,5730.6,5755.4,5853.7,5887.1,5975.6,6025.4,6072.3,6117.7,6122,6189.2,6210.6,6197,6115.5,6070.1,6131.6,6167.9,6193.6,6277.7,6354.8,6423.2,6505.2,6510.2,6549.1,6599.4,6695,6759.8,6873.6,6915.1,7024.9,7057.5,7083.1,7163.9,7226.8,7277,7422.9,7513.5,7608.7,7668.9,7805.9,7917,7987.3,8083.7,8175.3,8301,8471.7,8566.7,8644.2,8777.1,8953.1,8956.5,9153.5,9154.1,9201.9,9159.2,9217.5,9169.1,9173.2,9298.6,9330.2,9371.9,9364.6,9453.9,9595.6,9841.3,9986.7,10015.6,10114.5,10204.5,10288.7,10426.5,10485.7,10582,10648.9,10807.4,10822.5,10827.7,10937,10941.2,11047.6,11140,11169.5,11039.1,11104.1,11016.6,10669.9,10465.9,10436.2,10458.2,10587.4,10641.6,10764.9,10876.7,10988.5,10930.3,11056.3,11103.9,11264.3,11402.1,11447,11564,11583.3,11575.6,11668.6
"12","4","  Farm","B359RX1",27,27.2,27.6,27.5,27.5,27.8,28.3,28.6,29.2,29.6,29.8,29.7,27.4,30.1,29.6,31.1,27.7,29.8,26.2,33.2,27.8,29.1,28.5,28.8,32.8,34.3,34.8,34.3,32.9,32.3,32.1,32.6,31.9,33.7,34.2,37.2,32.2,32.9,35.6,31.5,35.2,35.1,36.6,37.1,36.4,35.9,33,34.1,39.7,42.5,52.3,49.6,49.5,49.3,47.2,47.5,39.7,30.6,26.2,29.4,37.1,42.3,45.1,46.3,49.7,50.3,57.4,52.9,51.7,47.8,51.9,50.5,50.7,50.2,52.4,51,50.5,46.1,44.1,41.2,50.6,51.4,52.2,52.8,54.9,54.1,55.6,57.4,55.4,55.3,54.7,57,62.4,66,66.3,63.2,57.6,59.8,48.9,60.8,69.8,70.4,70.9,65,56.4,55.2,52.3,55.7,62.1,65.4,62.7,64.3,67.7,70.6,74.2,72.1,67.9,66.4,68.2,68.2,67.9,72.2,69.9,72.9,82.2,83.7,86.3,83.4,80.7,72.9,70.6,86.6,64.1,80.4,88.1,91.1,92.3,97.4,88.9,80.7,100.4,87.4,93.9,102.6,99.4,102.8,103.1,101.2,98.3,113.4,103.1,94.9,91.4,86.6,81,85.7,96.1,90.9,88.9,102.9,102.9,104.2,118.7,113.3,108.2,115.5,115.1,106.9,110,100.2,101.8,111.3,110.4,111.8,102,94.3,121.9,124.5
"13","5","Households and institutions","A193RX1",623.2,630.7,635.8,639.5,639.1,639.6,645.4,654,663.7,669.8,677,683.5,691.9,698.2,703.8,709.2,714.1,720.8,728.9,737.7,746.4,752.8,758.9,765.5,773.6,781.2,787.1,790.4,790.5,793.8,796.7,798.1,792,797.8,806.8,811.4,824.9,832.8,839.2,850.8,858.2,863.2,869.6,874.3,885.2,893.1,900.8,904.6,908.3,912.2,915.7,924.8,931.1,937.1,946.2,950.2,958.5,965.6,973.1,987.2,991.3,990.3,1001.7,1016,1019,1023.3,1027.2,1038.6,1049.7,1057.4,1064.7,1070.2,1081.3,1090.5,1117,1128.8,1142.8,1154.2,1168.2,1187,1194.4,1206.1,1213.6,1222.2,1233.4,1243.9,1253.7,1261.2,1266.3,1270.1,1278.3,1287.1,1289.4,1302,1318.5,1333.7,1357.2,1370.8,1384,1392.7,1401.7,1413.1,1428.5,1438.5,1449.9,1460.3,1466.4,1475.8,1479.9,1488.2,1496.3,1506.1,1517.1,1529.7,1544.4,1560.7,1572.8,1585.2,1596.6,1605.6,1614.2,1628,1640.5,1658,1673.8,1689.7,1706.8,1727.2,1729.2,1735.9,1742.9,1745.4,1753.2,1765.6,1769.9,1777.6,1737.7,1703.3,1683.9,1698.7,1719.9,1741.9,1759.3,1773.7,1786.6,1798.6,1812.4,1823.8,1840.9,1852.8,1860.2,1865.5,1872.4,1879.4,1886.3,1894.7,1901,1910.2,1913,1913.9,1907.3,1907.3,1915.3,1924.6,1930.8,1931.2,1928.8,1932.2,1938.7,1948.1,1952.5,1957.3,1959.2,1960,1961.7,1962.7,1968.6,1968.3
"14","6","  Households","B701RX1",346.9,351.7,355.1,358.3,358.2,358.9,362.1,367.6,372.6,376.2,381.7,387.7,391.7,394.7,396.9,400.3,403,406.9,412,417.2,423.5,426.9,430.3,434.3,437,440.8,443.5,445.1,445.8,448.2,449.8,449.6,441.5,445.8,453,456.1,467.5,472,476.4,484.5,487.5,488.3,491.3,494.6,501.3,507.2,510,511.8,513,514.6,514.9,517.8,518.4,518.8,522.1,522.3,526.7,529.4,532.6,542.3,543.1,539.8,550,561.4,566.2,568.9,570.1,575.5,579.9,581.2,584.9,585.6,591.5,593.3,608.3,613.3,618.2,621.8,627.4,637.9,639.3,644.4,646.9,648.6,652.1,656.2,659.3,662.6,664.5,665.5,671.4,675.8,675.2,683.4,691.9,698.2,710.5,714.3,721.3,728.4,738.6,747.5,759.1,766.2,772.2,778,780.6,786.2,788.9,792.6,797.4,802.6,807.8,813.5,820.2,827.8,829.6,835.9,842,848.5,857.7,868.6,878,888.3,897.9,907.1,917.4,928.8,935.3,942.6,948.9,947.2,947.1,951,950.7,956.3,967.1,972.9,975.9,991.6,998.3,1009.1,1020.7,1033.7,1050,1062,1072.3,1081.2,1091.4,1095.3,1094.3,1089.4,1082.7,1079.9,1083.5,1092.7,1104.3,1116.5,1120.5,1121.3,1110.8,1106.2,1108.8,1114.5,1118.2,1117.3,1113.1,1113.2,1117.6,1120.6,1118.4,1119.4,1117.5,1115.8,1116.1,1114.4,1117.7,1116.5
"15","7","  Nonprofit institutions serving households \3\","B702RX1",276.6,278.9,280.3,280.3,279.9,279.5,282.1,284.9,289.7,292.2,293.2,292.8,297.6,301.1,304.8,306.6,308.8,311.6,314.4,317.8,319.9,322.8,325.5,328.1,333.9,337.8,341.2,342.9,342.2,342.9,344.3,346.1,349.3,350.5,351.8,353.1,354.2,357.5,359.4,362.5,367,371.7,375.3,376.5,380.5,382.1,387.3,389.5,392.2,394.7,398.2,405,411.4,417.7,424.1,428.4,432.3,437.1,441.8,445.6,449.3,452.3,452.4,454.4,452,453.6,456.5,462.6,469.8,476.9,480.7,486,491.2,499.5,510.8,518,527.8,536.3,545.2,553.5,560,567,572.4,580.1,588.3,595.2,602.5,607,610.3,613.3,615.4,619.9,623.2,627.3,635.4,644.8,656.2,666.9,673.2,674.3,671.9,673.8,676.9,679.6,685.1,689.7,693.3,697,698.3,703.1,706.3,711,717,724.2,732.5,741.6,753.1,759.3,764.6,766.8,765.1,767.3,769.8,776.8,782.9,789.5,796.2,805.2,799.5,798.2,798.4,803.2,812.1,821.2,826.3,828.1,772.1,729.9,707.2,706.5,721.1,732.5,738.3,739.7,736.3,736.2,739.7,742.2,749.1,757,765.5,775.9,789.8,800,803.3,802.3,796.7,793.6,792.5,792.5,796.4,801.1,806.5,810.1,812.6,813.9,815.6,818.9,821.1,827.5,834,837.9,841.5,844.1,845.5,848.1,850.8,851.7
"16","8","General government \4\","A765RX1",1129,1138.4,1147.8,1152.4,1146.1,1146.8,1148.3,1149.2,1150.8,1148.9,1149.9,1151.3,1145.4,1145.4,1150.6,1157.5,1154.3,1153.8,1154.8,1161.3,1172.8,1177.2,1181.3,1187.3,1195,1197.1,1199.7,1201.1,1204.2,1206.1,1210.9,1215.9,1217.2,1219,1225.3,1229.5,1237.2,1241.2,1250.7,1258.7,1260.8,1258.9,1259.4,1269.1,1276.2,1283.9,1284.7,1282.1,1283.9,1286.9,1295.2,1299.8,1303.4,1307.7,1308.3,1310.9,1316,1318.8,1321.9,1321.5,1326.1,1334.7,1345.5,1352.8,1363.3,1374.2,1390.4,1397.8,1405.7,1414.2,1423.1,1436.1,1442.4,1450,1456.7,1472.5,1485.9,1491.1,1499.5,1511.1,1519.4,1528.6,1540.2,1548.7,1563.1,1569.8,1578.3,1581.3,1591,1590.4,1588.2,1588.7,1594.2,1595.9,1599.3,1597.4,1601.3,1601.1,1601.9,1599,1601.4,1603.5,1604.9,1600.8,1606.2,1608.2,1608.3,1598.4,1597.4,1613,1612.5,1612.5,1615.9,1618.8,1623.7,1625.5,1631.4,1637.2,1642.5,1645,1648.4,1649.4,1655,1662.4,1671.3,1684.8,1682.2,1685.2,1696.4,1707.5,1717.3,1723.5,1732.5,1741.3,1748.6,1751.6,1760.6,1765.6,1766.6,1767.9,1771.9,1775,1778.8,1785.7,1790.1,1791.6,1796.2,1798.5,1798.8,1802.9,1813.6,1820.9,1823.8,1829.3,1837.4,1848.2,1858,1865.7,1879.7,1888.4,1896.3,1909.1,1910.4,1914.7,1917.2,1925.8,1918.4,1916.5,1915.4,1913,1909.8,1910.7,1912.2,1910.7,1913.7,1911.6,1910,1909
"17","9","  Federal","A766RX1",493.2,496.4,499.4,497.6,487.4,482.8,478.7,474.4,471.1,465.6,461.1,456.6,450.4,444.8,444.7,445.6,439.5,434.8,430.9,431.2,435.3,434.9,434.2,434.8,434.4,433.5,433.4,433.7,434.7,435.2,435.7,436.4,436.3,437.1,438.9,439.3,442.1,444.3,445.8,445.3,445.2,445.6,446.6,446.6,449.5,455.2,456.4,455.2,458.9,461.1,463.9,465.6,467.3,470.1,473.2,476.1,480,483.1,486.5,487.7,491.6,495.9,500.1,503.1,507.8,512.9,518,520,523.6,526.1,529.4,532.7,538.1,541.9,548,552.8,554.3,553.7,556.4,560.4,561.5,563.6,566.8,569,573.6,574.9,577,576.9,584.1,580.9,577.1,574.7,573.5,571.2,569,566.3,566.3,563.1,559.6,553.8,552.2,547.5,543.9,537.6,534.5,532.7,529.7,515.2,515.5,519.2,516.6,511.6,510.2,508.4,507,502.3,502.3,501.7,501.7,501.3,501.2,497.8,496.7,496.5,499.1,507.1,499.6,497.7,501.5,503.4,504.2,503,507.3,510.3,513.4,515.5,521.4,525.4,526.6,527.7,530.5,531.2,534.1,537.9,539.6,539.7,540.5,543.4,541.5,542.9,547.7,549,549.4,550,555.2,558,563.4,569.3,577.7,586.3,592.6,603.6,607.5,610.8,617.5,627.4,625.4,626.7,629.3,630.3,630.3,631.8,631.7,630.5,629.6,628.5,626.6,624.1
"18","10","  State and local","A767RX1",603.6,609.8,616.3,623.7,630.2,637.2,644.3,651.1,657.4,662.8,670,677.7,679.6,687.3,693.6,700.1,705,710.9,717.5,724.6,732.1,737.6,743.2,749.1,758.5,762,765.1,766.4,768.4,770,774.8,779.4,781,781.9,786.6,790.7,795.7,797.2,805.8,815.5,817.9,815.3,814.5,825.3,829.5,830.6,829.9,828.5,825.6,826.1,831.6,834.5,836.2,837.4,833.9,833,833.5,832.6,831.7,829.6,829.8,833.7,840.3,844.5,850,855.5,866.9,872.4,876.4,882.6,888.1,898.1,898.4,901.9,902,913.1,925.5,931.6,937.3,945,952.5,959.6,968.2,974.6,984.4,989.9,996.3,999.5,1001.7,1004.5,1006.4,1009.5,1016.4,1020.7,1026.5,1027.4,1031.3,1034.5,1039,1042.1,1046.3,1053.3,1058.5,1061,1069.8,1073.7,1077,1082.2,1080.8,1092.8,1095,1100.4,1105.3,1110.1,1116.6,1123.3,1129.4,1135.8,1141.1,1144,1147.5,1152.1,1159,1166.6,1172.9,1178.3,1183.3,1188.2,1195.6,1204.8,1213.9,1221.2,1225.9,1231.7,1235.9,1236.8,1239.9,1240.7,1240.5,1240.7,1241.7,1244.2,1245.1,1248.1,1250.8,1252.3,1256,1255.4,1257.6,1260.3,1266.2,1272.1,1274.8,1279.7,1282.5,1290.4,1294.8,1296.6,1302.1,1302.1,1303.7,1305.5,1302.9,1303.9,1299.7,1298.4,1292.9,1289.8,1286,1282.6,1279.4,1278.8,1280.4,1280.2,1284.1,1283,1283.3,1284.9
"19","11","Residual","A961RX1",-140,-145.2,-147.2,-154,-154.2,-154.6,-153.5,-163.4,-154.6,-154.3,-154.2,-157.2,-156.5,-143.8,-145.9,-138.9,-142.4,-132.9,-158.4,-125.4,-162.3,-160.7,-172.6,-179.3,-181.2,-177.7,-171.1,-167.1,-159.3,-158.8,-160,-157.6,-151.1,-138,-132,-130.2,-146.5,-125.7,-119.4,-131,-123.5,-124.7,-119,-122.9,-129.4,-150.3,-160.2,-146.7,-122.1,-125.2,-107.8,-126.7,-144.2,-145.3,-153.4,-153.7,-157.2,-159.9,-157.8,-143.2,-120.8,-104.4,-101.3,-101,-93.6,-91.4,-82.6,-87.5,-89,-95.1,-90.4,-95.4,-95.4,-94,-95.8,-95,-101.3,-102.7,-108.3,-112,-100.9,-101.6,-102.1,-106.4,-105,-108.8,-113.4,-121.1,-130,-126.2,-125.2,-123.7,-115.2,-109.7,-109,-108.6,-118.1,-117.8,-125.3,-111.3,-101,-95.4,-95.5,-92.7,-99.6,-101.3,-99.1,-93,-85.2,-78.1,-76.3,-71.2,-67.8,-60.5,-55.5,-56.2,-57,-55.7,-50.5,-42.6,-38.3,-34.5,-30.4,-24.4,-26.3,-20.5,-22.1,-23.2,-26.1,-26.6,-31,-29.2,-30.5,-30.1,-29.6,-29.5,-18.1,-10.1,-6.4,-8.2,-1,-8.2,-5.6,-3,-2.4,-1.5,-0.7,-0.3,1.1,0.2,-0.1,0.1,-1.2,-2.3,-4,-2.5,1,-1.8,-3.2,-0.4,-0.2,0.1,-0.1,0.2,-0.1,0.6,0.5,-1.6,-0.3,-6.2,-5.7,-1.4,-2,-1.7,-7.3,-12,8,9.4
"20",NA,"Addendum:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","12","  Gross housing value added","A2009X1",442,448.1,453.4,458.1,460,462.8,467.5,473.3,478.6,484.5,491.3,499.1,505.3,510,514.2,519.1,522.4,526.8,531.7,537.2,545.7,553,560,566.3,569.5,572.9,576.6,579.2,580,581.5,581.9,581.2,583.8,588.1,592.4,597.7,610.5,615.3,616.5,622.4,628.3,631.1,635.3,640.7,648.1,656.9,664.2,668.8,671,673.2,673,680,684.1,683.5,690.8,694.7,698.1,702.5,709.5,717,717.2,715.1,726.1,746.7,754.1,757.2,768.9,777.4,782,787.5,789.9,790.7,801.4,801.6,816.2,820.1,827.1,832.1,838.1,848.2,847.9,852.2,854.6,857.1,862.4,867.9,873,877.8,881.8,884.9,892.9,898.9,900.5,909.8,919.2,926.5,936.7,940.6,947.6,955.1,966.6,976.5,990.4,999.5,1008.9,1016.9,1021.1,1027.5,1029.9,1033.6,1038.5,1043.8,1049.8,1056.5,1064.3,1072.7,1075,1081.9,1088.8,1096.2,1106.9,1119,1129,1139.3,1148.1,1157.6,1168.4,1180.6,1189.7,1198.3,1205.4,1204.3,1203.5,1205.6,1202.7,1205,1211.9,1215,1216.8,1232.8,1240.7,1253,1266.4,1280.9,1299.3,1313.2,1325.1,1335,1346.7,1352.7,1354.8,1354.2,1352,1353.1,1359.3,1370.2,1383.1,1397.2,1404.4,1409.3,1403.7,1403.4,1410,1419,1425.5,1428.1,1428.4,1434,1444.4,1453.1,1455.8,1460.8,1462.5,1463.7,1465.8,1464.9,1469.8,1470.6
"22",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","1. Equals gross domestic product excluding gross value added of households and institutions",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","and of general government.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","2. Equals gross domestic business value added excluding gross farm value added.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","3. Equals compensation of employees of nonprofit institutions, the rental value of",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","nonresidential fixed assets owned and used by nonprofit institutions serving households,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","and rental income of persons for tenant-occupied housing owned by nonprofit institutions.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","4. Equals compensation of general government employees plus general government consumption",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
