"","Table 1#9#3# Real Net Value Added by Sector, Quantity Indexes   ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47"
"1","[Index numbers, 2009=100]                                                       ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1969 To 2012",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published August 07, 2013   ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 9/25/2013 3:11:01 PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
"8","1","    Net domestic product","A362RA3",35.447,35.316,36.47,38.461,40.663,40.17,39.877,42.176,44.167,46.695,48.038,47.545,48.671,47.236,49.532,53.39,55.531,57.331,59.18,61.653,63.87,64.89,64.499,66.895,68.698,71.544,73.335,76.051,79.391,82.741,86.551,89.787,90.028,91.364,93.866,97.48,100.66,103.113,104.609,103.706,100,102.88,104.898,108.019
"9","2","Business \1\","A363RA3",31.839,31.638,32.807,34.993,37.421,36.545,35.972,38.557,40.818,43.467,44.838,44.036,45.232,43.358,45.862,50.205,52.427,54.248,56.076,58.488,60.703,61.495,60.806,63.517,65.271,68.488,70.407,73.589,77.371,81.108,85.561,89.024,88.887,90.234,94.139,98.597,102.336,105.202,106.875,105.203,100,103.643,106.319,110.45
"10","3","  Nonfarm \2\","A364RA3",32.179,31.945,33.106,35.38,37.953,37.082,36.221,38.986,41.273,44.078,45.39,44.607,45.478,43.486,46.479,50.6,52.612,54.495,56.33,58.901,61.011,61.73,61.021,63.6,65.517,68.564,70.762,73.836,77.546,81.4,85.866,89.2,89.138,90.461,94.301,98.733,102.45,105.343,107.248,105.436,100,103.666,106.476,110.7
"11","4","  Farm","A365RA3",16,16.486,17.503,17.374,16.968,16.361,20.114,18.749,19.863,18.735,20.721,19.707,29.561,31.974,16.667,27.329,37.277,35.96,37.23,32.202,38.595,42.433,42.782,52.536,44.767,57.99,42.421,51.317,58.864,54.393,57.702,74.159,66.433,70.229,80.773,87.471,93.29,93.35,72.408,81.703,100,101.063,93.181,91.032
"12","5","Households and institutions","W503RA3",36.9,37.454,39.143,40.615,41.821,43.521,45.013,45.328,45.194,46.972,48.405,50.076,51.194,52.889,54.777,56.381,57.803,59.596,62.051,65.517,68.098,70.263,71.68,73.588,77.527,80.024,82.43,83.896,86.284,88.904,90.912,94.253,95.919,96.784,91.497,93.075,95.502,97.58,98.566,99.874,100,101.104,102.258,102.865
"13","6","  Households","W504RA3",34.737,35.508,37.333,38.878,40.055,41.987,43.142,43.369,42.639,45.036,46.122,47.774,48.435,49.007,50.342,51.838,53.955,54.824,56.385,58.708,60.325,61.391,62.429,64.161,67.436,70.994,73.603,74.896,76.767,78.44,81.512,85.309,88.065,87.871,89.654,92.761,97.269,98.825,96.691,100.422,100,100.979,101.66,101.377
"14","7","  Nonprofit institutions serving households \3\","W505RA3",39.507,39.619,40.994,42.284,43.502,44.775,46.758,47.2,48,48.788,50.708,52.37,54.136,57.51,60.214,61.944,62.28,65.437,69.198,74.316,78.301,82.101,84.062,86.194,91.047,91.91,93.969,95.663,98.777,102.775,103.139,105.749,105.8,108.184,93.646,93.435,93.515,96.176,100.756,99.241,100,101.249,102.951,104.592
"15","8","General government \4\","A194RA3",68.264,68.284,68.383,68.333,68.734,70.365,71.555,72.101,72.788,74.24,74.922,75.857,75.968,76.478,76.516,76.952,78.73,80.13,81.356,83.16,84.841,86.715,87.174,87.202,87.202,87.175,87.239,87.312,87.946,88.886,89.488,90.906,92.505,94.226,95.142,95.338,95.713,95.94,96.826,98.503,100,100.133,99.135,98.748
