"","Table 1#1#6B# Real Gross Domestic Product, Chained (1952) Dollar","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24"
"1","[Billions of chained (1952) dollars]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1942 To 1962",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published August 07, 2013   ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 8/7/2013 2:36:02 PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962
"8","1","    Gross domestic product","A191BX1",265.3,310.5,335.3,332.1,293.6,290.4,302.4,300.8,327,353.3,367.7,385,382.8,410.1,418.8,427.7,424.5,453.8,465.5,477.3,506.5
"9","2","Personal consumption expenditures","DPCEBX1",145.6,149.7,153.9,163.5,183.8,187.3,191.5,196.9,209.5,212.8,219.5,229.9,234.8,252.1,259.5,265.9,268.2,283.4,291.2,297.2,311.9
"10","3","  Goods","DGDSBX1",86.6,85.8,86.4,92.3,109.4,112.6,114.8,118.3,127.5,126,128.8,135.5,136.9,149.5,151.8,154.4,152.8,162.4,165.3,166.3,174.9
"11","4","    Durable goods","DDURBX1",12.8,11.5,10.6,11.8,21.3,24.9,26.6,28.7,34.8,31.9,31.2,34.9,34.7,42.2,40.6,40.9,37.8,42.3,43.1,41.7,46.5
"12","5","    Nondurable goods","DNDGBX1",74.1,74.6,76.1,80.9,88.2,87.6,88.3,89.6,92.6,94,97.5,100.6,102.2,107.5,111.3,113.5,115,120.2,122.2,124.6,128.5
"13","6","  Services","DSERBX1",59.2,64,67.5,71.2,74.4,74.7,76.7,78.5,82,86.8,90.7,94.5,97.8,102.7,107.6,111.3,114.9,120.6,125.3,129.9,136.1
"14","7","Gross private domestic investment","A006BX1",20.8,13,15.5,19.9,47.6,45.9,57.8,44.7,62.2,62.4,57.3,60.5,58.1,71.5,71.3,68.7,63.7,75.9,76.2,76.4,85.5
"15","8","  Fixed investment","A007BX1",18,14.2,16.9,22.4,39.8,47.3,51.8,47.5,56.4,54.1,53.8,58,59,66.5,67.5,67,62.8,71.3,72.1,72.6,78.8
"16","9","    Nonresidential","A008BX1",13.3,11.2,14.2,19.4,28.1,32.2,33.7,30.7,33.5,34.9,34.9,38.4,37.8,41.9,44.7,45.5,41.3,44.6,47.1,47.4,51.3
"17","10","      Structures","B009BX1",4.5,3.3,4.3,5.8,11.5,10.5,11,10.6,11.4,12.3,12.2,13.3,13.8,14.8,16.3,16.3,15.4,15.8,17,17.3,18
"18","11","      Equipment","Y033BX1",6.6,6,8,11.4,14.3,19.4,20.4,17.9,19.7,20.3,19.7,21.5,20.3,23.1,23.7,24.3,20.7,23.2,24.1,23.6,26.3
