"","Table 1#3#6# Real Gross Value Added by Sector, Chained Dollars  ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44"
"1","[Billions of chained (2009) dollars]                                            ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1929 To 1969",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published July 31, 2013     ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 8/7/2013 2:37:11 PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969
"8","1","    Gross domestic product","A191RX1",1055.6,965.8,904.1,787.5,777.6,861.4,938.2,1059.6,1113.6,1076.7,1162.6,1265,1488.9,1770.3,2072,2237.5,2215.9,1959,1937.6,2018,2007,2181.9,2357.7,2453.7,2568.9,2554.4,2736.4,2794.7,2853.5,2832.6,3028.1,3105.8,3185.1,3379.9,3527.1,3730.5,3972.9,4234.9,4351.2,4564.7,4707.9
"9","2","Business \1\","A195RX1",689.8,620.7,574.9,488.3,478.2,534.6,588.3,668.6,712.7,678.2,741.3,813,957.5,1106.5,1223,1289.6,1267.8,1260.1,1292.4,1359.2,1344,1474.8,1568.8,1619.2,1700.7,1680.3,1816.6,1849,1881,1849,1994.9,2033.2,2076.1,2210.5,2311.3,2456.8,2632.9,2812.3,2870.3,3015.4,3107.7
"10","3","  Nonfarm \2\","A358RX1",638.8,572.2,515.8,432.6,424.9,491.2,533.9,624.8,657,623.2,679.8,759.2,897.9,1043.5,1168.1,1239.4,1216.7,1208,1256.9,1309.3,1298.4,1429.4,1535.4,1582.1,1661.9,1637.1,1775.6,1808.8,1845,1809,1959.4,1993.9,2037.1,2176.4,2276.9,2428.4,2603.1,2790.3,2842.6,2993.9,3085.2
"11","4","  Farm","B359RX1",17,16,19.4,18.9,18,14.1,17.5,15.1,18.4,18,20.1,17.6,19.7,21.3,20.8,20.5,20.5,20.6,18.4,21.3,20.4,21.5,20.3,21.4,22.5,23.3,23.8,23.9,22.9,23.7,23.6,24.9,25.2,24.7,25.5,24.7,26.2,25.3,27.3,26.4,27.3
"12","5","Households and institutions","A193RX1",145.7,143.2,138.5,132.9,131.3,132.3,133.2,134.6,136.2,136.4,139.3,143.8,148.7,156.5,160,167.6,173,174.1,184.2,195.6,207.8,224.3,239.5,254.8,270.6,287.3,311.1,330.7,348.8,369.4,391.1,418.4,436.6,461.3,480.6,501.4,527,552.4,576.5,605,632.3
"13","6","  Households","B701RX1",83.1,80.6,77.1,73.5,72.9,74.1,74.6,75.1,76.3,76,77.6,79.5,82.3,87.8,90,94.5,98.5,97.4,102.9,107.2,114.3,124.7,134.5,144.2,153.8,163.9,178.6,190.5,201.3,212.9,225.9,240,251.7,266,277.2,288.9,302.8,316,329.5,338.4,353
"14","7","  Nonprofit institutions serving households \3\","B702RX1",59.9,62.4,63.1,62.2,60.5,59.3,59.8,61,61.2,62.2,63.3,67.1,69.3,69.8,70.7,73.3,73.4,78.2,83,92.7,97.6,102.4,106.2,110.6,116.3,122,129.7,136.5,143.1,152.1,160.2,174.5,179.8,189.6,197.5,206.5,218.6,231.6,242.2,266,279
"15","8","General government \4\","A765RX1",177.9,186.6,190,187.5,198,223.1,238.3,277.9,265.8,286.5,292.2,308.7,393.8,615.2,1023.6,1230.6,1240.2,672.1,526.5,507.4,509.2,518.9,631.8,687.4,699.7,700.2,703,717.4,735.9,746.4,759.2,788.2,819.9,855.8,883.9,916.8,949.5,1010.8,1067.7,1111.4,1141.9
"16","9","  Federal","A766RX1",32.6,35.1,33.9,32.5,39.6,51.7,57.5,92.9,81.2,91.5,93.4,104.1,167.7,337.3,654.2,818,822.7,388.5,273.9,256.1,248.3,250.8,335.5,374.5,376.6,368.5,361.6,360.3,363.2,357.6,358,368,379.7,398.4,405.7,413.5,419.9,448.8,479.6,491.3,496.7
"17","10","  State and local","A767RX1",159.7,166.2,171.9,171.2,172.5,183,191.9,181.7,187.2,194.9,198.5,201,202.7,199.9,195.1,190.6,194.5,204.7,217.7,223.3,238.1,246.3,252.8,261.1,272.5,284.6,297.7,316.4,333.8,354.3,368.9,388.5,408.6,423.5,445.6,472.4,501.1,530.9,553.3,586.5,613.3
"18","11","Residual","A961RX1",64.5,33.3,22.9,-3.4,-10.8,-12,3,9,32.3,10.9,29.9,36.5,49.3,10.7,-126.9,-198.8,-210.4,-38.4,-15.2,8.1,-10.1,6.8,-27,-40.2,-34.7,-45,-30.6,-41.7,-55.8,-77,-67.9,-84,-97,-98.7,-101.3,-103.9,-98.8,-108,-123.3,-137.8,-146.6
"19",NA,"Addendum:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","12","  Gross housing value added","A2009X1",88.6,88.4,88.2,87.9,85.3,87.6,87.4,86.9,88.2,91.6,92.8,95.2,99.6,107.1,113.4,118.3,120.7,122.7,128.5,135.1,144.1,154.1,165.7,178.5,189.3,201.5,213.1,224.6,238.8,252.6,271.1,288.6,305.5,325,341.3,357.4,377,395,414.5,429.7,450.4
"21",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
