"","Table 7#4#4# Price Indexes for Housing Sector Output, Gross Valu","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47"
"1","[Index numbers, 2009=100]                                                                                                                                                                                                                                 ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1969 To 2012",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published August 07, 2013   ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 9/25/2013 3:38:40 PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
"8","1","Housing output \1\","A2007G3",17.039,17.768,18.593,19.263,20.083,20.834,22.183,23.634,25.626,27.384,29.498,32.207,35.488,38.409,40.717,42.838,45.396,48.083,50.269,52.525,54.706,57.278,59.087,60.705,62.36,64.113,66.095,68.097,70.007,72.223,74.225,76.526,79.545,82.732,84.83,86.967,89.215,92.342,95.655,98.254,100,100.058,101.403,103.706
"9","2","  Nonfarm housing","A2008G3",16.956,17.663,18.475,19.123,19.952,20.7,22.08,23.55,25.557,27.312,29.437,32.172,35.494,38.494,40.841,42.995,45.608,48.356,50.574,52.819,54.992,57.564,59.359,60.959,62.554,64.249,66.226,68.23,70.203,72.444,74.453,76.762,79.791,82.99,85.079,87.062,89.202,92.325,95.615,98.248,100,100.021,101.3,103.521
"10","3","    Owner-occupied","DOWNRG3",17.076,17.787,18.607,19.26,20.092,20.85,22.236,23.716,25.738,27.509,29.65,32.404,35.746,38.784,41.134,43.245,45.788,48.509,50.751,53.074,55.283,57.935,59.62,61.226,62.864,64.633,66.774,68.892,70.899,73.196,75.191,77.428,80.397,83.667,85.711,87.664,89.693,92.818,95.957,98.372,100,99.987,101.146,103.196
"11","4","    Tenant-occupied","DTENRG3",16.512,17.205,17.99,18.618,19.436,20.154,21.503,22.94,24.888,26.592,28.66,31.323,34.567,37.443,39.767,42.022,44.791,47.586,49.726,51.753,53.816,56.157,58.232,59.806,61.271,62.741,64.235,65.895,67.755,69.816,71.859,74.39,77.608,80.564,82.807,84.902,87.457,90.577,94.416,97.821,100,100.135,101.79,104.534
"12","5","  Farm housing","DFARRG3",19.303,20.663,21.92,23.323,23.754,24.568,24.662,25.263,26.538,28.229,29.711,31.082,32.215,31.208,31.497,31.803,31.4,30.67,30.962,33.769,36.353,38.849,41.49,44.204,49.654,55.277,57.561,59.439,56.978,57.469,59.05,60.805,63.118,65.55,68.148,80.5,90.188,93.627,98.666,98.722,100,102.844,109.406,118.104
"13","6","Less: Intermediate goods and services consumed","B1027G3",22.168,23.075,24.093,24.879,25.531,26.432,28.273,29.727,32.268,34.545,37.077,38.878,41.639,43.151,45.312,47.611,54.944,57.264,58.885,60.853,62.432,63.158,63.664,63.417,66.192,68.254,69.882,71.81,73.652,74.961,75.657,78.133,80.745,83.404,88.208,92.523,96.879,100.795,103.619,104.888,100,102.89,104.291,107.432
"14","7","Equals: Gross housing value added","A2009G3",16.338,17.041,17.839,18.49,19.323,20.052,21.335,22.78,24.695,26.38,28.439,31.303,34.677,37.816,40.149,42.249,44.116,46.853,49.115,51.408,53.671,56.502,58.499,60.383,61.887,63.601,65.626,67.637,69.557,71.895,74.078,76.357,79.432,82.694,84.424,86.269,88.24,91.264,94.645,97.418,100,99.698,101.037,103.232
