"","Table 1#9#4# Price Indexes for Net Value Added by Sector        ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47"
"1","[Index numbers, 2009=100]                                                       ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1969 To 2012",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published August 07, 2013   ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 9/25/2013 3:11:02 PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
"8","1","    Net domestic product","A362RG3",20.986,22.1,23.22,24.236,25.558,27.77,30.248,31.892,33.821,36.152,39.109,42.594,46.579,49.428,51.607,53.618,55.494,56.626,58.082,60.17,62.646,65.14,67.456,69.218,70.974,72.533,74.023,75.556,77.027,78.023,79.248,81.115,83.163,84.643,86.513,88.925,91.624,94.342,96.918,98.852,100,101.458,103.498,105.277
"9","2","Business \1\","A363RG3",24.646,25.694,26.766,27.697,29.168,31.988,34.967,36.766,38.889,41.571,45.071,49.07,53.56,56.593,58.773,60.644,62.486,63.315,64.55,66.611,69.158,71.579,73.721,75.074,76.969,78.398,79.774,81.207,82.575,83.166,83.776,85.416,87.124,87.89,88.37,90.464,93.224,95.905,98.375,99.503,100,101.366,103.541,105.348
"10","3","  Nonfarm \2\","A364RG3",23.964,25.009,26.075,26.873,27.81,30.682,33.887,35.72,37.91,40.372,43.77,47.973,52.566,55.841,57.859,59.674,61.825,62.699,63.917,65.865,68.359,70.827,73.127,74.527,76.424,77.916,79.272,80.524,82.118,82.785,83.555,85.302,86.924,87.786,88.149,90.049,93.071,95.846,98.002,99.131,100,101.178,102.91,104.701
"11","4","  Farm","A365RG3",149.265,149.389,150.598,181.172,314.906,297.083,241.116,232.958,215.283,269.672,292.446,234.885,209.963,170.911,206.201,220.251,161.571,154.59,158.445,181.077,193.091,186.459,161.09,155.06,156.499,147.74,152.214,186.437,150.576,138.492,110.715,94.905,109.342,95.046,112.578,140.748,108.681,98.889,150.786,151.316,100,123.903,182.883,186.626
"12","5","Households and institutions","W503RG3",12.982,13.92,14.714,15.399,16.188,16.927,17.956,19.292,20.788,22.256,23.872,26.24,29.16,31.633,33.815,36.03,37.759,39.796,41.986,44.152,46.106,48.748,51.113,53.302,54.258,56.026,57.905,59.89,61.557,63.67,66.356,68.328,71.043,74.606,82.223,84.475,85.791,87.747,89.735,95.508,100,100.002,101.592,103.985
"13","6","  Households","W504RG3",16.308,17.104,17.841,18.416,19.033,19.472,20.57,22.042,23.801,25.023,26.721,29.201,32.774,36.254,38.927,41.197,42.595,45.268,47.456,49.894,52.276,55.618,57.877,59.862,61.125,62.65,64.881,67.26,69.406,72.147,74.222,75.945,78.671,82.357,83.286,83.741,83.977,86.296,90.435,94.862,100,99.777,101.487,103.842
"14","7","  Nonprofit institutions serving households \3\","W505RG3",9.546,10.632,11.49,12.297,13.277,14.348,15.313,16.515,17.744,19.482,21.021,23.287,25.54,26.992,28.684,30.835,32.882,34.283,36.463,38.352,39.891,41.873,44.285,46.609,47.281,49.233,50.767,52.365,53.575,55.093,58.293,60.473,63.155,66.57,81.037,85.33,87.923,89.441,88.948,96.265,100,100.264,101.716,104.151
"15","8","General government \4\","A194RG3",11.204,12.386,13.607,14.885,15.849,16.697,18.105,19.175,20.458,21.842,23.411,25.399,27.82,29.888,31.747,33.892,35.839,37.414,39.098,41.068,43.468,45.956,48.765,51.761,53.452,55.308,56.883,58.388,60.131,62.16,65.308,68.353,71.641,75.031,79.205,83.68,87.354,91.078,94.953,98.212,100,103.474,105.119,106.086
