"","Table 1#9#5# Net Value Added by Sector                          ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47"
"1","[Billions of dollars]                                                                                                                                                                                                                                     ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1969 To 2012",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published August 07, 2013   ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 9/25/2013 3:11:04 PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
"8","1","    Net domestic product","A362RC1",895,939.1,1018.9,1121.6,1250.5,1342.7,1451.4,1618.4,1797.6,2031.5,2261,2436.5,2725.9,2810.7,3077.6,3446.4,3710.1,3908,4142.3,4470.2,4821.6,5092.7,5242.9,5579.5,5875.1,6253.2,6541.2,6924.1,7368.5,7778.9,8264.8,8775.5,9021.3,9318.1,9785,10445.3,11113.5,11721.9,12216,12356.9,12049.6,12576.7,13081.3,13701.7
"9","2","Business \1\","A363RC1",706.6,732,790.7,872.8,982.9,1053.1,1132.7,1276.5,1429.8,1627.6,1820.3,1945.7,2179.8,2211.1,2429.2,2743.8,2952.3,3094.9,3266.1,3515.1,3787.8,3970.7,4044.5,4302.2,4532.5,4844.4,5067.4,5391.7,5763.9,6085.6,6466.9,6860,6986.5,7154.8,7505.3,8047.3,8607.4,9102.8,9485,9448.3,9021.8,9477.5,9931,10496.6
"10","3","  Nonfarm \2\","A364RC1",688.6,713.4,770.8,849,942.5,1016.4,1096.1,1243.5,1397.4,1589.4,1774.5,1910.7,2132.8,2169.8,2403.2,2698.3,2906.7,3052.8,3221.5,3471,3731.4,3910.9,3992.4,4240.6,4479.5,4779.6,5018.5,5319.4,5696.9,6028.6,6418.6,6806.8,6931.6,7104.3,7436.5,7954.2,8530.7,9033,9402.5,9354.8,8946.2,9382.8,9802.1,10368.6
"11","4","  Farm","A365RC1",18.1,18.6,19.9,23.8,40.4,36.8,36.7,33,32.3,38.2,45.8,35,46.9,41.3,26,45.5,45.5,42,44.6,44.1,56.4,59.8,52.1,61.6,53,64.8,48.8,72.4,67,57,48.3,53.2,54.9,50.5,68.8,93.1,76.7,69.8,82.6,93.5,75.6,94.7,128.9,128
"12","5","Households and institutions","W503RC1",72.4,78.7,87,94.5,102.3,111.3,122.1,132.1,141.9,157.9,174.5,198.5,225.5,252.7,279.8,306.8,329.6,358.2,393.5,436.9,474.2,517.3,553.4,592.4,635.3,677.2,720.9,758.9,802.2,854.9,911.1,972.7,1029.2,1090.6,1136.3,1187.5,1237.5,1293.2,1335.9,1440.7,1510.3,1527.1,1569,1615.5
"13","6","  Households","W504RC1",46,49.4,54.1,58.2,62,66.4,72.1,77.7,82.5,91.6,100.2,113.4,129,144.4,159.3,173.6,186.8,201.7,217.5,238.1,256.3,277.5,293.6,312.1,335,361.5,388.1,409.4,433,459.9,491.7,526.5,563.1,588.1,606.8,631.3,663.8,693.1,710.7,774.2,812.7,818.8,838.5,855.6
"14","7","  Nonprofit institutions serving households \3\","W505RC1",26.3,29.4,32.9,36.3,40.3,44.8,50,54.4,59.4,66.3,74.4,85.1,96.5,108.3,120.5,133.3,142.9,156.5,176,198.8,217.9,239.8,259.7,280.3,300.3,315.7,332.8,349.5,369.2,395,419.4,446.1,466.2,502.4,529.4,556.2,573.6,600.1,625.2,666.5,697.6,708.2,730.6,760
"15","8","General government \4\","A194RC1",116.1,128.3,141.2,154.3,165.3,178.3,196.6,209.8,226,246,266.2,292.3,320.7,346.8,368.6,395.7,428.1,454.9,482.6,518.2,559.6,604.7,645,684.9,707.3,731.6,753,773.5,802.4,838.4,886.8,942.8,1005.6,1072.8,1143.4,1210.5,1268.7,1325.9,1395.1,1467.9,1517.4,1572.2,1581.2,1589.6
"16","9","  Federal","B568RC1",51.4,55.2,58.8,62.6,64.6,67.8,72.5,76.5,80.9,87.1,92,100.8,112.2,122,127.7,136.5,145,149.1,153.1,161.9,168.5,176,186.5,189.6,188.1,186.1,183.3,182.2,183.5,185.8,191.7,202.4,211.2,236.4,266.9,284.2,303.7,314.8,329.6,350.2,375.5,404.8,413.2,411.1
"17","10","  State and local","B251RC1",64.6,73.2,82.4,91.7,100.7,110.5,124,133.3,145.1,158.9,174.2,191.6,208.5,224.8,240.9,259.2,283.2,305.8,329.6,356.3,391.1,428.7,458.5,495.3,519.2,545.5,569.6,591.4,619,652.5,695.1,740.4,794.4,836.4,876.5,926.3,965,1011.1,1065.5,1117.7,1141.9,1167.4,1168,1178.5
"18",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","1. Equals net domestic product excluding net value added of households",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","and institutions and of general government.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","2. Equals net domestic business value added excluding net farm value added.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","3. Equals gross value added of nonprofit institutions excluding consumption of",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","fixed capital on fixed assets owned and used by nonprofit instututions",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
