"","Table 1#17#1# Percent Change From Preceding Period in Real Gross","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43"
"1","[Percent]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1930 To 1969",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published July 31, 2013     ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 8/7/2013 2:39:57 PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969
"8",NA,"Production in the United States:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","1","    Gross domestic product","A191RL1",-8.5,-6.4,-12.9,-1.3,10.8,8.9,12.9,5.1,-3.3,8,8.8,17.7,18.9,17,8,-1,-11.6,-1.1,4.1,-0.5,8.7,8.1,4.1,4.7,-0.6,7.1,2.1,2.1,-0.7,6.9,2.6,2.6,6.1,4.4,5.8,6.5,6.6,2.7,4.9,3.1
"10","2","    Gross domestic income","A261RL1",-7.4,-7.7,-12.4,-1.7,11.2,9.9,11,6.6,-4.1,7.3,9.2,18.6,19.8,17.5,5.8,-1.5,-10.6,-1.7,5.5,-1.3,8.9,7.4,4.4,4.4,-0.3,7.4,3.1,1.7,-0.9,7,2.9,2.5,6,4.6,5.5,6.4,6,3,5,3.3
"11","3","    Net domestic product \1\","A362RL1",-9.7,-7.2,-14.4,-1.1,12.8,10.1,14.4,5.3,-3.9,8.8,9.6,19.1,19.6,17.1,7.2,-2,-13,-1.1,4.7,-0.8,9.6,8.6,3.9,4.6,-1.3,7.5,1.8,1.8,-1.5,7.4,2.5,2.4,6.4,4.3,5.9,6.6,6.7,2.3,4.8,2.8
"12","4","    Net domestic income \1\","W256RL1",-8.5,-8.7,-13.9,-1.6,13.3,11.2,12.2,7,-4.8,8.1,10,20.1,20.7,17.6,4.8,-2.6,-11.9,-1.8,6.2,-1.6,9.9,7.9,4.3,4.2,-1,7.8,2.9,1.3,-1.7,7.6,2.8,2.3,6.2,4.6,5.6,6.5,6,2.6,4.9,3.1
"13",NA,"Production by labor and capital supplied by U.S. residents:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","5","    Gross national product","A001RL1",-8.5,-6.5,-12.9,-1.4,10.6,9,12.8,5.2,-3.3,8,8.7,17.8,18.8,17,8,-1,-11.5,-1,4.2,-0.6,8.7,8.1,4.1,4.6,-0.5,7.2,2.2,2.1,-0.8,6.9,2.6,2.6,6.2,4.4,5.8,6.5,6.5,2.7,4.9,3.1
"15","6","    Gross national income","A023RL1",-7.4,-7.8,-12.5,-1.8,11,9.9,10.9,6.8,-4.1,7.3,9.1,18.7,19.8,17.4,5.8,-1.6,-10.5,-1.6,5.5,-1.3,9,7.5,4.4,4.4,-0.3,7.4,3.2,1.7,-1,7,2.9,2.5,6,4.6,5.5,6.4,5.9,3,5,3.3
"16","7","    Net national product \1\","A027RL1",-9.7,-7.3,-14.4,-1.2,12.6,10.2,14.2,5.5,-3.9,8.8,9.4,19.1,19.5,17,7.2,-2,-12.9,-0.9,4.8,-0.8,9.6,8.7,3.9,4.5,-1.2,7.5,1.9,1.8,-1.6,7.4,2.5,2.4,6.4,4.3,5.9,6.6,6.6,2.3,4.8,2.8
"17",NA,"Final expenditures by U.S. residents:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","8","    Gross domestic purchases","A712RL1",-8.3,-6.2,-12.7,-1.2,10.5,9.8,12.7,4.6,-4.2,8,8.4,18.6,20.3,18.2,7.9,-1.6,-15.2,-2.2,6.6,-0.6,10.2,7.3,4.7,5.4,-1,7.2,1.8,1.9,0.1,6.9,1.9,2.5,6.4,4.2,5.5,6.9,6.9,3,5.2,3.2
"19","9","    Final sales to domestic purchasers \2\","A713RL1",-6.5,-5.6,-11.1,-2.9,9.1,7.1,12.8,3.7,-2.2,7.3,6.4,17.6,22.7,19.7,7.9,-1.3,-17.8,0.8,4,2.3,7.3,6.7,6.2,5.7,-0.1,5.6,2.1,2.4,0.3,6.1,2,2.6,5.9,4.3,5.6,6.3,6.4,3.5,5.4,3.2
"20",NA,"Purchasing power of income: \3\"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","10","    Command-basis gross domestic product","C191RL1",-8.1,-6.9,-12.9,-1.2,11.5,9,12.8,5.6,-4.2,8.1,9.3,18.1,18.7,16.8,8.1,-1,-11.9,-1.3,4,-0.8,8.6,8.1,3.8,4.8,-0.8,7.5,2.2,2,-0.7,6.9,2.6,2.6,6.2,4.3,5.7,6.6,6.6,2.9,4.9,3.2
"22","11","    Command-basis net domestic product \1\","C362RL1",-9.2,-7.8,-14.5,-1,13.7,10.2,14.2,5.8,-4.9,8.9,10.1,19.5,19.4,16.9,7.3,-2,-13.3,-1.3,4.5,-1.1,9.5,8.6,3.6,4.7,-1.5,7.9,1.9,1.7,-1.4,7.5,2.5,2.5,6.4,4.2,5.8,6.7,6.7,2.5,4.9,2.9
"23","12","    Command-basis gross national product","CB22RL1",-8,-7,-13,-1.3,11.4,9,12.6,5.6,-4.2,8,9.1,18.2,18.6,16.7,8.1,-1,-11.7,-1.1,4.1,-0.9,8.7,8.2,3.8,4.8,-0.7,7.5,2.2,2.1,-0.8,6.9,2.6,2.7,6.2,4.3,5.7,6.6,6.5,2.9,5,3.1
"24","13","    Command-basis net national product \1\","C027RL1",-9.2,-7.9,-14.5,-1.1,13.6,10.2,14,5.9,-4.9,8.9,9.9,19.6,19.3,16.8,7.3,-2,-13.2,-1.1,4.6,-1.2,9.5,8.7,3.6,4.6,-1.5,7.9,1.9,1.7,-1.5,7.4,2.6,2.5,6.5,4.2,5.8,6.7,6.6,2.5,4.9,2.8
"25",NA,"After-tax income received by the personal sector:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","14","    Disposable personal income","A067RL1",-6.3,-3.4,-13.1,-2.9,9.6,9.7,12.6,3.4,-5.5,8.4,6.8,15.8,13.4,4.8,3.1,-1.1,-1.1,-4.1,5.3,0.8,9.2,3.4,3.5,4.9,1.4,6.6,4.8,2.6,1.1,4.3,2.6,3.5,4.8,3.8,7.1,6.2,5.3,4.3,4.5,3.4
"27",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","1. In this table, the net measures are the corresponding gross measures excluding the depreciation",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
