"","Table 1#3#3# Real Gross Value Added by Sector, Quantity Indexes ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47"
"1","[Index numbers, 2009=100]                                                       ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1969 To 2012",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published September 26, 2013",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 9/25/2013 3:03:46 PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
"8","1","    Gross domestic product","B191RA3",32.653,32.721,33.798,35.572,37.58,37.385,37.311,39.321,41.133,43.421,44.8,44.69,45.85,44.974,47.057,50.473,52.613,54.46,56.346,58.715,60.875,62.044,61.998,64.202,65.965,68.628,70.493,73.169,76.453,79.855,83.725,87.149,87.977,89.539,92.038,95.534,98.735,101.368,103.182,102.883,100,102.507,104.4,107.302
"9","2","Business \1\","B195RA3",29.327,29.314,30.422,32.398,34.64,34.11,33.779,36.049,38.099,40.512,41.918,41.52,42.747,41.465,43.736,47.586,49.781,51.606,53.43,55.72,57.861,58.807,58.46,60.937,62.68,65.722,67.767,70.93,74.697,78.533,83.062,86.792,87.324,88.881,92.536,96.718,100.358,103.316,105.27,104.274,100,103.138,105.613,109.449
"10","3","  Nonfarm \2\","B358RA3",29.419,29.381,30.48,32.522,34.874,34.35,33.78,36.186,38.247,40.78,42.133,41.758,42.726,41.361,44.051,47.735,49.773,51.67,53.518,55.955,58.019,58.912,58.557,60.935,62.825,65.733,68.017,71.094,74.806,78.745,83.297,86.932,87.535,89.076,92.681,96.843,100.466,103.449,105.604,104.487,100,103.156,105.738,109.652
"11","4","  Farm","B359RA3",24.871,25.562,26.908,26.911,26.617,26.016,31.001,29.587,31.2,30.103,32.783,31.752,41.942,44.039,28.691,38.889,47.897,45.968,46.482,41.429,47.126,50.537,50.64,58.69,51.71,62.878,50.019,57.933,64.803,61.651,64.42,76.408,70.757,73.704,81.813,87.503,92.574,93.273,78.482,86.259,100,101.507,96.373,95.296
"12","5","Households and institutions","B193RA3",33.043,33.68,35.194,36.621,37.906,39.502,40.921,41.534,41.911,43.736,45.27,46.818,47.83,49.182,50.747,52.247,53.67,55.419,57.714,60.778,63.183,65.219,66.651,68.503,71.916,74.228,76.458,78.001,80.369,83.092,85.45,88.805,90.842,92.316,89.144,91.382,94.343,96.929,98.41,99.786,100,100.894,101.857,102.471
"13","6","  Households","B701RA3",31.799,32.583,34.191,35.663,36.914,38.624,39.78,40.388,40.457,42.798,44.178,45.726,46.398,46.881,47.992,49.42,51.362,52.509,54.197,56.42,58.087,59.236,60.292,61.905,64.735,67.82,70.196,71.651,73.626,75.581,78.659,82.23,84.994,85.695,88.003,91.475,96.064,98.426,97.716,100.502,100,100.483,100.801,100.531
"14","7","  Nonprofit institutions serving households \3\","B702RA3",34.724,35.044,36.338,37.65,38.973,40.333,42.186,42.798,43.703,44.603,46.376,47.899,49.473,52.32,54.66,56.262,56.774,59.53,62.833,67.29,70.921,74.454,76.507,78.739,83.091,84.071,86.029,87.699,90.703,94.7,95.796,98.746,99.539,102.288,90.715,91.213,91.92,94.817,99.418,98.796,100,101.461,103.309,105.134
"15","8","General government \4\","B765RA3",59.859,60.158,60.297,60.27,60.601,61.839,62.812,63.393,64.098,65.367,66.157,67.19,67.701,68.545,69.173,70.232,72.416,74.426,76.295,78.469,80.426,82.465,83.327,83.701,83.917,84.013,84.152,84.338,84.974,85.919,86.694,88.114,89.702,91.396,92.533,93.196,94.05,94.833,96.175,98.182,100,100.622,100.241,100.233
