"","Table 1#1#6# Real Gross Domestic Product, Chained Dollars       ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176","F177","F178","F179","F180","F181"
"11","3","  Goods","DGDSRX1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2393.6,2449.8,2478.8,2521.3,2559.1,2572.6,2599.4,2621.9,2628,2635.1,2653.9,2749.5,2742.6,2753.6,2788.3,2796.2,2811.7,2872.2,2953.5,2980.4,3012.8,3029.5,3066,3099.4,3136.5,3177.8,3195.5,3198.8,3262.2,3267.8,3294.5,3345.6,3363.5,3376.3,3392.3,3394.9,3348.7,3360.4,3296.6,3185.5,3188.8,3166.9,3222.9,3215.2,3247,3288,3319.1,3380.5,3402.8,3404.6,3415.2,3457,3495.8,3514.7,3546.7,3579.2,3611.9,3639.6
"12","4","    Durable goods","DDURRX1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,664,695.8,712.5,721,761.2,747.2,759.8,765.1,777.7,777,785.9,851.4,841,849.2,874.1,862,864.7,904.4,944.7,956.8,972.7,982.2,1001.3,1015.5,1026.3,1055.4,1067.3,1038.8,1081.3,1080.2,1095.1,1109.6,1122,1138.3,1150.9,1155.5,1122.5,1119,1084.7,1006.8,1008.6,1002.6,1050.6,1031.5,1045.2,1076.3,1093.8,1127.4,1142.3,1140,1154.4,1191.7,1219.7,1228.6,1253.4,1285.2,1303.5,1323.2
"13","5","    Nondurable goods","DNDGRX1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1780.2,1796.8,1805.1,1841.8,1825.7,1862,1874.3,1892.3,1881,1889.8,1898.6,1914.7,1921.7,1922.7,1927.4,1952.6,1966,1980.3,2017,2030.9,2046.3,2052.6,2068.5,2087.2,2114,2123.2,2127.9,2164.2,2182.1,2189.3,2200.3,2237,2241.6,2237.1,2240.2,2238.4,2226.2,2241.8,2212.2,2178.6,2180.2,2164.4,2172.5,2183.5,2201.6,2212.1,2226,2254.5,2262.6,2266.5,2263.8,2271,2283.6,2293.9,2303,2306.7,2322.2,2331.7
"14","6","  Services","DSERRX1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5253,5311,5375,5440,5523.9,5588,5641.9,5692.4,5716.3,5731.9,5739.2,5757.6,5794.6,5829.6,5853.5,5882.1,5909.2,5943,5985.8,6024.5,6084.1,6123.7,6173.4,6235.2,6271.9,6328.3,6382.1,6415.4,6457.8,6504.5,6536.5,6580.2,6620.3,6640.7,6664.3,6676.3,6703.6,6710.6,6696.6,6691.7,6655.3,6634.7,6639.5,6648.5,6668.3,6707.2,6744.6,6788.5,6818.2,6854.1,6896.6,6915.5,6951.2,6981.4,6993.4,7004.7,7031.1,7051.5
"15","7","Gross private domestic investment","A006RX1",627.2,623.5,636.2,605.5,587.4,588.7,598.3,566.5,632.5,650.5,658.4,640.6,682.9,721.6,731.9,736.5,779.6,812.9,783.4,811.3,765,761.9,722.4,726.8,609.7,591.6,637.5,655.2,718.5,746.9,749.5,755.1,790.1,846.8,889.6,867.3,884.2,941.6,969.1,991.5,993.1,992.2,975.5,958.2,951.6,870.7,813.3,889.2,971.7,931.3,983.5,948.4,854.9,853.8,845.7,780.3,807.5,879.1,934.2,1025.1,1124.2,1160.7,1185.8,1170.4,1138.3,1157.7,1149.8,1192.2,1191.9,1171,1139.5,1143,1173.8,1174.4,1174.6,1254.6,1194.4,1222.9,1229.7,1248.4,1290.7,1278.3,1266.9,1257.7,1270,1270.4,1245.6,1176.3,1137.1,1137.2,1159.8,1201,1178.9,1245.7,1255.8,1294.2,1324.6,1332.1,1323.1,1392.5,1446.2,1517.1,1492.2,1553.5,1570.3,1537.7,1528.6,1566.7,1590.6,1667.7,1744.5,1743.9,1781.6,1880,1913.6,1940.7,2027.1,2013.4,2067.2,2125.5,2186.1,2188,2242.8,2308.6,2287.8,2424.5,2394.1,2395.6,2285.3,2277.1,2236.6,2126.9,2202.8,2224.9,2224.6,2220.7,2239.5,2251.3,2330.9,2413.1,2414.5,2500.9,2539.4,2590.6,2664.4,2630.5,2657.9,2737.6,2773.8,2755.7,2727.6,2663,2638.5,2674.7,2658.1,2605.2,2517.5,2472.6,2403.8,2190,1937.7,1820.5,1804.7,1949.6,2012.9,2116.9,2185.7,2166.1,2124.3,2196.1,2209.9,2368.2,2427.8,2418,2456.5,2441.8,2470.1,2524.9
"16","8","  Fixed investment","A007RX1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2101.6,2151.2,2200.4,2210.5,2272,2322.9,2332.4,2337.5,2325.4,2294.7,2276.1,2223.8,2210.7,2205.2,2197.8,2190.9,2206.8,2254.4,2325.9,2370.9,2362.5,2422.8,2472,2518.2,2558.8,2599.2,2640.4,2645.5,2700.7,2676.8,2649.6,2622.8,2618.2,2624.9,2609,2586.3,2539.1,2503.4,2424.1,2263.8,2089.3,2011,2008.4,1994.1,1997.9,2062.8,2060.8,2103.1,2100.7,2144.4,2219.8,2273.4,2320.8,2347.9,2363.5,2429.1,2420,2458.4
"17","9","    Nonresidential","A008RX1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1459,1497.3,1539.3,1544.9,1599.9,1650.5,1667.9,1672.3,1658.8,1621.2,1600,1553.6,1522.1,1501.9,1493,1475.1,1478.6,1514.3,1544.7,1566.8,1549.4,1583.8,1626.9,1661.4,1681.9,1706.1,1737.4,1744.3,1808.7,1831.3,1853.1,1865.2,1897.2,1934.4,1964.4,1997.6,1998.1,1986.6,1933,1820.1,1688.3,1634,1613.1,1598.4,1615,1659.3,1692.8,1728.1,1724.1,1765.3,1835,1877.3,1903.8,1925,1926.4,1971.9,1949,1971.3
"18","10","      Structures","B009RX1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,497.6,492.4,492.2,497.3,507.8,529,547.6,549.5,534,536.9,541.2,489.4,463.4,438,417.3,411.4,408.5,419.3,417.5,418,409.3,411.6,417.9,417.7,423.1,420.9,418.6,422.3,437.8,450.9,458.9,458.4,474.8,500.6,524,536.8,539,547.7,543.7,530.3,490.5,453.3,422.6,386.5,359.7,369.8,364.4,371.2,339.8,365.3,388.9,402.2,409,416,422,439.4,407.9,424.8
"19","11","      Equipment","Y033RX1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,635.4,658,680.3,675.9,706.4,732.5,735.1,733.7,728.1,697.8,679.7,677,665.5,657.9,659.4,649.2,649.5,671.3,691,704.3,692.8,719.9,744.6,767.4,774.2,791,817.9,823.4,866.5,869.6,871.9,875.2,886.1,896.2,900.9,910,899.4,876.6,831.6,736.8,653.9,631.6,639.9,651.9,697.7,735.2,766.2,787.8,810.6,819.2,858,879.1,896.9,908.5,899.5,918.8,922.5,929.9
"20","12","      Intellectual property products","Y001RX1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,371.3,385.3,400.3,407.6,419.4,425.3,427.5,432,435.1,430.2,426.6,420.1,419.8,425.8,430.1,427.9,433,436.6,446.2,452.9,454.7,457.8,468.6,478.4,487,495,499.9,498,503.8,511,522.9,532.1,537,538.9,541.1,552.4,561.2,563.3,558.2,552.5,543.6,549.4,550.9,559.8,557.6,554.7,563,570,575.2,582,589.6,597.6,599.6,602.3,606.4,614.9,620.6,618.3
