"","Table 1#11# Percentage Shares of Gross Domestic Income          ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44"
"1","[Percent]                                                                                                                                                                                                                                                 ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1929 To 1969",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published August 07, 2013   ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 8/7/2013 2:39:32 PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969
"8","1","    Gross domestic income","A261RE1",100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
"9","2","Compensation of employees, paid","A4002E1",49.5,51,52.3,52.9,52.6,52.1,50.6,51.8,52,52.4,52.7,51.8,51.3,52.8,55,56.1,56.4,54.1,53.6,52.5,53.3,53,54.1,55.1,55.8,55.2,54.5,55.2,55.4,55.1,54.8,55.5,55.2,55,54.9,55,54.7,55.6,56.3,56.6,57.5
"10","3","  Wages and salaries","A4102E1",48.6,49.9,51.1,51.5,51.2,50.8,49.3,50.1,49.6,49.6,49.9,48.9,48.1,49.2,51.6,52.6,52.4,49.4,49.8,49.2,49.7,49.2,49.9,50.8,51.6,50.8,50,50.7,50.5,50.1,49.8,50.1,49.7,49.5,49.2,49.3,49,49.4,50,50.2,50.9
"11","4","      To persons","W270RE1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49.2,49.7,49.2,49.9,50.8,51.5,50.8,50,50.6,50.5,50.1,49.7,50.1,49.7,49.4,49.2,49.2,48.9,49.4,50,50.2,50.9
"12","5","      To the rest of the world","B4189E1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0,0,0,0,0,0,0,0
"13","6","  Supplements to wages and salaries","A038RE1",0.9,1.1,1.2,1.5,1.4,1.3,1.3,1.6,2.4,2.8,2.8,2.9,3.2,3.6,3.4,3.4,4,4.7,3.8,3.2,3.6,3.8,4.2,4.3,4.3,4.4,4.4,4.6,4.8,4.9,5.1,5.3,5.4,5.5,5.7,5.7,5.7,6.2,6.3,6.4,6.6
"14","7","Taxes on production and imports","W056RE1",6.6,7.5,8.7,11.1,12.1,11.5,10.7,10.1,9.6,10.3,9.9,9.6,8.6,6.9,6.1,6.2,6.7,7.4,7.3,7.2,7.7,7.7,7.2,7.4,7.5,7.4,7.4,7.6,7.7,7.8,7.9,8.2,8.3,8.3,8.3,8.4,8.2,7.8,7.9,8.1,8.2
"15","8","Less: Subsidies \1\","A107RE1",0,0.1,0.2,0.2,0.3,0.7,0.8,0.3,0.4,0.6,0.9,0.7,0.4,0.3,0.3,0.5,0.5,0.6,0.2,0.2,0.2,0.3,0.3,0.2,0.1,0.1,0,0.2,0.2,0.3,0.2,0.2,0.4,0.4,0.3,0.4,0.4,0.5,0.4,0.4,0.4
"16","9","Net operating surplus","W271RE1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,24.1,24.4,24.8,25,25.1,25.7,25.3,24.2,23.6,22.4
"17","10","  Private enterprises","W260RE1",33.9,30.6,26.8,22.1,21.4,24.5,28.1,28,28.3,26.3,27.3,28.9,31.1,31.7,30.4,28.6,27.1,27.7,27.4,29.1,27.3,28.4,28.1,26.5,25.5,25.6,26.6,25.4,24.8,24.4,24.9,24,24.3,24.7,24.8,25,25.6,25.3,24.2,23.6,22.4
"18","11","    Net interest and miscellaneous payments, domestic industries","W272RE1",3.9,4.6,5.6,6.9,6.5,5.7,5.2,4.4,3.9,4.1,3.9,3.3,2.5,1.9,1.4,1.1,1,0.8,1,0.9,1,1,1,1.1,1.2,1.4,1.4,1.5,1.7,2,1.8,1.9,2.2,2.3,2.3,2.5,2.6,2.7,2.9,2.9,3.3
"19","12","    Business current transfer payments (net)","B029RE1",0.5,0.5,0.7,1,0.9,0.8,0.7,0.6,0.6,0.5,0.5,0.4,0.4,0.3,0.3,0.4,0.4,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.2,0.3,0.4,0.4,0.4,0.3,0.3,0.3,0.3,0.4,0.4,0.5,0.4,0.4,0.4,0.5
"20","13","    Proprietors' income with inventory valuation and capital consumption adjustments","A041RE1",13.5,11.7,10.8,8.5,9.3,10.5,13.6,12.4,13.5,12.2,12.1,12,12.9,14,13.8,13.2,13.7,15.7,14,14.3,12.8,12.5,12.4,11.8,10.9,10.9,10.4,10.1,10.1,10.4,9.6,9.3,9.4,9.1,8.8,8.6,8.6,8.4,8.1,7.9,7.6
"21","14","    Rental income of persons with capital consumption adjustment","A048RE1",5.8,5.8,5.8,6.1,5,3.8,3.4,3.2,3.2,4,4,3.8,3.4,3.3,2.9,2.9,2.9,3,2.8,2.7,2.9,2.9,2.8,3,3.1,3.4,3.2,3,3,3.1,3,3,3,3,2.9,2.7,2.6,2.5,2.4,2.1,2
"22","15","    Corporate profits with inventory valuation and capital consumption adjustments, domestic industries","A445RE1",10.2,7.9,3.9,-0.3,-0.3,3.7,5.2,7.3,7.3,5.4,6.8,9.4,11.9,12.2,12,11.1,9,7.7,9.4,11,10.3,11.6,11.5,10.3,10,9.7,11.3,10.4,9.7,8.6,10.1,9.5,9.3,10,10.4,10.7,11.4,11.3,10.4,10.2,9
"23","16","      Taxes on corporate income","A054RE1",1.3,0.9,0.6,0.6,0.9,1.1,1.3,1.7,1.6,1.2,1.6,2.8,5.9,6.8,6.9,5.8,4.8,4,4.6,4.5,3.8,6,6.6,5.3,5.3,4.5,5.2,4.9,4.5,3.9,4.5,4.2,4.1,4,4.1,4.1,4.2,4.2,3.8,4.2,3.9
"24","17","      Profits after tax with inventory valuation and capital consumption adjustments","W273RE1",8.9,7,3.2,-0.9,-1.2,2.6,3.9,5.6,5.7,4.2,5.2,6.6,6,5.4,5.1,5.2,4.2,3.7,4.8,6.4,6.5,5.6,4.9,5,4.7,5.1,6.1,5.5,5.2,4.6,5.6,5.3,5.3,6,6.3,6.6,7.2,7.1,6.5,6,5.1
"25","18","        Net dividends","A449RE1",5.4,5.8,5.3,4.4,3.6,3.8,3.6,5.3,4.9,3.4,3.9,3.7,3.3,2.4,2.1,1.9,1.9,2.3,2.3,2.3,2.4,2.6,2.2,2,2,2,2.1,2.1,2.1,2,2.1,2.1,2,2,2.1,2.2,2.3,2.2,2.1,2.1,2
"26","19","        Undistributed corporate profits with inventory valuation and capital consumption adjustments","W274RE1",3.5,1.3,-2.1,-5.3,-4.8,-1.2,0.3,0.4,0.8,0.9,1.4,2.9,2.7,3,3,3.3,2.3,1.5,2.5,4.2,4.2,3,2.8,3,2.7,3.1,4,3.4,3.1,2.6,3.5,3.2,3.2,3.9,4.1,4.4,4.9,4.9,4.4,3.9,3.1
"27","20","  Current surplus of government enterprises \1\","A108RE1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0,0,0,0
"28","21","Consumption of fixed capital","A262RE1",10,11,12.4,14,14.1,12.7,11.4,10.5,10.5,11.6,10.9,10.4,9.3,8.9,8.8,9.6,10.3,11.4,11.8,11.4,11.9,11.2,11,11.1,11.3,11.8,11.5,12,12.4,13,12.5,12.5,12.5,12.2,12.2,12,11.8,11.8,12.1,12.1,12.3
"29","22","  Private","A024RE1",9.1,10,11.2,12.6,12.4,11,9.8,9,9,9.9,9.3,8.8,7.7,6.7,5.6,5.4,5.6,6.3,7.2,7.6,8.3,8.1,8.1,8.1,8.1,8.5,8.3,8.6,8.9,9.3,9,8.9,8.8,8.6,8.5,8.4,8.3,8.3,8.5,8.6,8.8
"30","23","  Government","A264RE1",0.9,1,1.2,1.4,1.7,1.7,1.5,1.5,1.5,1.7,1.6,1.6,1.6,2.2,3.2,4.2,4.8,5.1,4.6,3.8,3.6,3,2.9,3,3.1,3.4,3.3,3.4,3.5,3.6,3.6,3.6,3.7,3.7,3.7,3.7,3.6,3.5,3.5,3.5,3.5
"31",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","1. Prior to 1959, subsidies (line 8) and the current surplus of government enterprises (line 20) are",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","not shown separately; subsidies are presented net of the current surplus of government enterprises.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
