"","Table 1#3#4# Price Indexes for Gross Value Added by Sector      ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47"
"1","[Index numbers, 2009=100]                                                       ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1969 To 2012",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published September 26, 2013",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 9/25/2013 3:03:54 PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
"8","1","    Gross domestic product","B191RG3",21.692,22.835,23.996,25.038,26.399,28.763,31.435,33.161,35.213,37.685,40.795,44.485,48.663,51.63,53.664,55.57,57.347,58.51,59.941,62.042,64.455,66.848,69.063,70.639,72.322,73.859,75.402,76.776,78.097,78.944,80.071,81.894,83.767,85.055,86.754,89.13,91.989,94.816,97.338,99.208,100,101.215,103.203,105.008
"9","2","Business \1\","B195RG3",25.24,26.323,27.435,28.391,29.87,32.786,35.979,37.871,40.119,42.919,46.54,50.711,55.394,58.544,60.553,62.308,64.054,64.934,66.137,68.231,70.716,73.059,75.137,76.341,78.103,79.48,80.884,82.143,83.346,83.783,84.299,85.862,87.379,88.01,88.433,90.453,93.292,96.051,98.471,99.708,100,101.155,103.294,105.159
"10","3","  Nonfarm \2\","B358RG3",24.684,25.768,26.876,27.709,28.7,31.669,35.066,36.989,39.297,41.896,45.426,49.777,54.552,57.913,59.775,61.482,63.515,64.427,65.615,67.61,70.047,72.433,74.652,75.893,77.657,79.087,80.472,81.57,82.973,83.475,84.129,85.787,87.23,87.944,88.261,90.111,93.175,96.016,98.162,99.394,100,100.997,102.755,104.608
"11","4","  Farm","B359RG3",83.588,84.386,85.875,100.344,159.998,154.887,134.034,132.42,127.075,153.468,166.973,147.34,141.04,124.935,142.634,150.234,121.129,118.66,121.564,134.947,142.904,140.171,126.564,123.922,125.527,121.031,124.545,145.635,123.867,116.728,100.293,90.644,100.521,91.486,103.644,123.76,102.823,97.009,131.75,133.404,100,116.392,156.875,159.982
"12","5","Households and institutions","B193RG3",13.851,14.773,15.623,16.382,17.311,18.297,19.533,20.935,22.632,24.433,26.422,29.093,32.114,34.592,36.636,38.775,40.486,42.587,44.848,47.012,48.999,51.477,53.625,55.587,56.754,58.604,60.538,62.411,64.003,66.002,68.621,70.775,73.597,76.826,83.655,86.401,88.6,91.08,92.907,97.157,100,99.835,101.168,103.29
"13","6","  Households","B701RG3",16.322,17.078,17.872,18.551,19.39,20.201,21.508,23.018,25.012,26.761,28.954,31.77,35.234,38.396,40.686,42.785,44.215,46.826,49.109,51.442,53.744,56.618,58.526,60.221,61.799,63.555,65.801,67.975,69.943,72.441,74.646,76.782,79.822,83.101,84.799,86.615,88.526,91.576,94.839,97.394,100,99.637,100.923,102.881
"14","7","  Nonprofit institutions serving households \3\","B702RG3",10.741,11.876,12.803,13.672,14.727,15.95,17.104,18.375,19.7,21.58,23.32,25.822,28.289,29.91,31.651,33.834,35.885,37.357,39.586,41.539,43.148,45.157,47.537,49.763,50.468,52.396,53.958,55.471,56.623,58.044,61.094,63.25,65.797,68.945,82.127,86.142,88.749,90.412,90.24,96.828,100,100.106,101.505,103.846
"15","8","General government \4\","B765RG3",13.072,14.324,15.616,16.927,18.024,19.244,20.884,22.074,23.483,25.047,26.858,29.225,32.041,34.405,36.287,38.392,40.206,41.675,43.262,45.203,47.506,49.876,52.525,55.152,56.829,58.678,60.394,61.773,63.357,65.119,67.949,70.829,73.66,76.511,80.089,84.116,87.747,91.344,95.194,98.427,100,102.941,104.716,105.841
