"","Table 1#3#3# Real Gross Value Added by Sector, Quantity Indexes ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176","F177","F178","F179","F180","F181"
"11","3","  Nonfarm \2\","B358RA3",29.368,29.402,29.561,29.347,29.311,29.365,29.664,29.186,30.175,30.374,30.645,30.726,31.532,32.407,32.766,33.382,34.644,35.039,34.934,34.881,34.661,34.66,34.173,33.905,33.101,33.343,34.029,34.645,35.737,36.092,36.302,36.614,37.228,38.101,38.892,38.767,38.976,40.899,41.241,42.005,41.927,41.981,42.289,42.335,42.434,41.241,41.19,42.164,43.114,42.59,42.935,42.264,41.284,41.53,41.315,41.314,42.11,43.561,44.738,45.796,46.752,47.665,48.088,48.436,48.913,49.396,50.164,50.621,51.144,51.417,51.927,52.193,52.56,53.241,53.625,54.645,54.882,55.819,56.138,56.982,57.457,57.904,58.337,58.377,59.018,59.223,59.093,58.316,57.883,58.469,58.815,59.061,59.862,60.597,61.249,62.031,62.079,62.451,62.93,63.841,64.46,65.544,65.941,66.987,67.298,67.542,68.313,68.913,69.392,70.782,71.647,72.554,73.129,74.435,75.495,76.164,77.084,77.957,79.156,80.784,81.69,82.429,83.696,85.374,85.407,87.285,87.291,87.747,87.339,87.895,87.434,87.473,88.669,88.97,89.368,89.298,90.149,91.501,93.843,95.23,95.506,96.449,97.307,98.11,99.424,99.989,100.907,101.545,103.056,103.2,103.249,104.292,104.332,105.347,106.228,106.509,105.265,105.886,105.051,101.745,99.8,99.516,99.726,100.958,101.475,102.651,103.717,104.783,104.228,105.429,105.883,107.413,108.727,109.156,110.271,110.455,110.382,111.269
"12","4","  Farm","B359RA3",24.61,24.756,25.104,25.013,25.063,25.35,25.746,26.089,26.576,26.915,27.122,27.019,24.984,27.374,26.949,28.339,25.184,27.176,23.882,30.228,25.327,26.485,25.992,26.258,29.895,31.234,31.676,31.201,29.967,29.422,29.255,29.705,29.074,30.694,31.181,33.849,29.332,29.95,32.434,28.695,32.087,31.988,33.31,33.748,33.164,32.691,30.078,31.075,36.15,38.749,47.676,45.192,45.079,44.912,42.943,43.22,36.175,27.906,23.901,26.783,33.829,38.547,41.052,42.129,45.296,45.836,52.3,48.157,47.041,43.544,47.304,45.981,46.129,45.691,47.705,46.403,46.016,42.006,40.186,37.507,46.047,46.794,47.557,48.104,50.026,49.283,50.607,52.234,50.445,50.361,49.837,51.914,56.819,60.069,60.354,57.521,52.462,54.444,44.564,55.368,63.613,64.135,64.563,59.201,51.356,50.295,47.672,50.754,56.572,59.533,57.104,58.523,61.664,64.319,67.572,65.656,61.864,60.518,62.094,62.13,61.843,65.789,63.675,66.376,74.847,76.237,78.579,75.971,73.517,66.429,64.257,78.826,58.346,73.239,80.279,82.95,84.026,88.748,80.983,73.495,91.43,79.637,85.541,93.406,90.569,93.62,93.931,92.176,89.502,103.294,93.875,86.42,83.204,78.883,73.799,78.042,87.541,82.783,80.97,93.742,93.756,94.938,108.088,103.218,98.564,105.198,104.869,97.397,100.216,91.229,92.69,101.358,100.587,101.852,92.889,85.858,111.02,113.432
"13","5","Households and institutions","B193RA3",32.566,32.959,33.228,33.42,33.397,33.424,33.724,34.177,34.681,35.002,35.377,35.715,36.157,36.488,36.781,37.059,37.316,37.668,38.09,38.551,39.006,39.34,39.656,40.004,40.426,40.824,41.133,41.303,41.311,41.483,41.635,41.707,41.388,41.691,42.163,42.401,43.107,43.518,43.855,44.462,44.845,45.107,45.441,45.688,46.258,46.671,47.071,47.274,47.468,47.67,47.852,48.329,48.657,48.969,49.445,49.654,50.086,50.457,50.853,51.591,51.804,51.749,52.345,53.092,53.252,53.477,53.678,54.274,54.855,55.255,55.64,55.927,56.508,56.989,58.372,58.988,59.722,60.313,61.049,62.029,62.415,63.026,63.421,63.869,64.452,65.001,65.515,65.908,66.173,66.37,66.8,67.259,67.38,68.038,68.898,69.694,70.922,71.635,72.326,72.781,73.249,73.845,74.647,75.172,75.77,76.314,76.629,77.12,77.334,77.77,78.192,78.706,79.28,79.937,80.703,81.557,82.189,82.841,83.432,83.905,84.354,85.077,85.726,86.641,87.468,88.298,89.195,90.26,90.362,90.716,91.08,91.208,91.616,92.265,92.489,92.894,90.807,89.008,87.995,88.768,89.877,91.025,91.937,92.687,93.365,93.99,94.709,95.306,96.202,96.821,97.208,97.487,97.845,98.211,98.573,99.012,99.341,99.822,99.969,100.014,99.669,99.671,100.086,100.574,100.897,100.918,100.792,100.971,101.31,101.803,102.03,102.284,102.381,102.423,102.514,102.564,102.876,102.857
"14","6","  Households","B701RA3",31.248,31.682,31.992,32.273,32.268,32.334,32.617,33.114,33.564,33.886,34.387,34.928,35.282,35.557,35.755,36.057,36.304,36.654,37.11,37.587,38.147,38.46,38.766,39.123,39.365,39.712,39.95,40.094,40.157,40.379,40.516,40.498,39.774,40.163,40.804,41.09,42.11,42.522,42.914,43.645,43.92,43.986,44.254,44.553,45.158,45.694,45.945,46.107,46.213,46.353,46.381,46.643,46.701,46.738,47.03,47.055,47.45,47.69,47.976,48.853,48.927,48.629,49.549,50.574,51.006,51.247,51.352,51.844,52.242,52.358,52.685,52.751,53.287,53.449,54.801,55.248,55.692,56.011,56.515,57.461,57.593,58.052,58.276,58.426,58.747,59.112,59.395,59.688,59.862,59.953,60.481,60.874,60.825,61.565,62.331,62.898,64.001,64.346,64.976,65.615,66.538,67.338,68.386,69.02,69.56,70.083,70.319,70.822,71.065,71.404,71.833,72.302,72.767,73.281,73.886,74.569,74.733,75.302,75.851,76.437,77.268,78.248,79.095,80.025,80.889,81.715,82.646,83.67,84.256,84.912,85.478,85.329,85.317,85.669,85.643,86.149,87.122,87.644,87.915,89.33,89.933,90.9,91.95,93.117,94.588,95.671,96.6,97.397,98.318,98.67,98.576,98.139,97.537,97.28,97.609,98.437,99.48,100.579,100.935,101.013,100.067,99.651,99.882,100.399,100.728,100.645,100.275,100.283,100.673,100.946,100.751,100.836,100.672,100.515,100.546,100.393,100.689,100.575
"15","7","  Nonprofit institutions serving households \3\","B702RA3",34.422,34.708,34.881,34.887,34.83,34.78,35.107,35.46,36.057,36.369,36.489,36.435,37.037,37.467,37.934,38.163,38.431,38.777,39.13,39.554,39.813,40.179,40.507,40.833,41.559,42.039,42.468,42.679,42.592,42.674,42.849,43.077,43.47,43.617,43.784,43.941,44.078,44.486,44.728,45.12,45.676,46.265,46.704,46.858,47.359,47.558,48.206,48.473,48.814,49.117,49.56,50.402,51.196,51.988,52.781,53.313,53.802,54.399,54.983,55.458,55.911,56.283,56.302,56.554,56.254,56.452,56.813,57.577,58.464,59.344,59.824,60.487,61.135,62.158,63.573,64.467,65.686,66.737,67.857,68.88,69.693,70.558,71.239,72.194,73.219,74.077,74.981,75.539,75.956,76.331,76.587,77.153,77.557,78.071,79.079,80.249,81.671,82.996,83.781,83.916,83.614,83.86,84.238,84.574,85.262,85.832,86.279,86.742,86.905,87.499,87.904,88.487,89.237,90.129,91.158,92.289,93.719,94.501,95.155,95.428,95.217,95.492,95.797,96.676,97.429,98.256,99.089,100.212,99.497,99.339,99.362,99.956,101.066,102.201,102.832,103.052,96.084,90.836,88.018,87.923,89.744,91.158,91.887,92.062,91.635,91.624,92.051,92.37,93.229,94.212,95.27,96.559,98.293,99.562,99.969,99.845,99.155,98.769,98.628,98.632,99.114,99.699,100.369,100.819,101.13,101.294,101.504,101.916,102.188,102.984,103.789,104.274,104.73,105.045,105.218,105.545,105.878,105.989
"16","8","General government \4\","B765RA3",59.184,59.677,60.168,60.41,60.082,60.114,60.193,60.243,60.328,60.229,60.281,60.352,60.045,60.042,60.318,60.676,60.508,60.482,60.537,60.877,61.482,61.708,61.925,62.239,62.643,62.752,62.89,62.964,63.125,63.228,63.479,63.74,63.808,63.9,64.231,64.451,64.856,65.064,65.564,65.984,66.091,65.991,66.017,66.527,66.898,67.305,67.346,67.21,67.305,67.463,67.896,68.138,68.326,68.551,68.583,68.72,68.989,69.132,69.298,69.273,69.517,69.965,70.532,70.914,71.465,72.036,72.889,73.276,73.688,74.137,74.6,75.281,75.614,76.01,76.364,77.192,77.892,78.165,78.605,79.212,79.651,80.131,80.737,81.183,81.94,82.292,82.736,82.893,83.404,83.369,83.255,83.28,83.568,83.661,83.837,83.737,83.942,83.93,83.974,83.82,83.948,84.057,84.13,83.917,84.199,84.306,84.312,83.791,83.736,84.555,84.529,84.53,84.706,84.86,85.119,85.212,85.523,85.822,86.101,86.231,86.409,86.462,86.76,87.145,87.614,88.321,88.183,88.339,88.926,89.511,90.025,90.346,90.819,91.281,91.662,91.819,92.292,92.557,92.61,92.675,92.884,93.047,93.246,93.607,93.841,93.918,94.16,94.28,94.296,94.51,95.073,95.452,95.607,95.894,96.318,96.883,97.396,97.803,98.537,98.99,99.405,100.08,100.146,100.37,100.502,100.954,100.563,100.467,100.408,100.282,100.113,100.16,100.239,100.161,100.321,100.209,100.124,100.071
"17","9","  Federal","B766RA3",81.712,82.238,82.731,82.441,80.749,79.977,79.297,78.591,78.048,77.131,76.389,75.637,74.614,73.692,73.663,73.814,72.807,72.034,71.389,71.437,72.108,72.04,71.929,72.031,71.958,71.816,71.802,71.845,72.023,72.093,72.175,72.297,72.275,72.415,72.705,72.778,73.237,73.605,73.861,73.776,73.761,73.822,73.99,73.991,74.463,75.405,75.606,75.414,76.027,76.391,76.851,77.14,77.422,77.875,78.391,78.872,79.527,80.031,80.595,80.803,81.44,82.15,82.845,83.339,84.125,84.965,85.81,86.138,86.745,87.157,87.708,88.247,89.148,89.776,90.785,91.576,91.825,91.737,92.183,92.832,93.019,93.375,93.895,94.257,95.018,95.234,95.587,95.57,96.758,96.23,95.611,95.205,95.007,94.631,94.261,93.81,93.818,93.278,92.706,91.751,91.473,90.702,90.102,89.057,88.543,88.256,87.756,85.358,85.406,86.014,85.586,84.746,84.519,84.23,83.993,83.22,83.21,83.108,83.116,83.049,83.033,82.474,82.279,82.249,82.676,84.007,82.766,82.448,83.077,83.399,83.527,83.322,84.038,84.538,85.059,85.398,86.371,87.045,87.243,87.413,87.893,88.006,88.478,89.108,89.394,89.401,89.542,90.02,89.713,89.938,90.737,90.955,91.011,91.113,91.971,92.44,93.328,94.305,95.709,97.13,98.171,100,100.645,101.185,102.296,103.94,103.609,103.824,104.259,104.422,104.424,104.669,104.647,104.448,104.295,104.126,103.807,103.39
"18","10","  State and local","B767RA3",46.288,46.767,47.261,47.829,48.332,48.863,49.413,49.933,50.414,50.828,51.381,51.975,52.119,52.71,53.188,53.689,54.061,54.517,55.027,55.564,56.141,56.562,56.993,57.449,58.168,58.437,58.674,58.77,58.925,59.051,59.415,59.769,59.896,59.959,60.323,60.639,61.021,61.133,61.796,62.541,62.725,62.522,62.461,63.292,63.61,63.697,63.642,63.538,63.316,63.351,63.777,63.995,64.128,64.217,63.952,63.881,63.921,63.851,63.784,63.622,63.637,63.938,64.439,64.762,65.186,65.609,66.479,66.905,67.212,67.687,68.106,68.871,68.894,69.166,69.172,70.024,70.971,71.441,71.881,72.469,73.043,73.592,74.246,74.736,75.493,75.916,76.407,76.651,76.822,77.036,77.176,77.417,77.947,78.272,78.716,78.789,79.091,79.336,79.679,79.916,80.24,80.777,81.177,81.366,82.038,82.338,82.59,82.99,82.883,83.806,83.976,84.386,84.76,85.13,85.629,86.143,86.607,87.1,87.509,87.732,88.003,88.348,88.88,89.46,89.95,90.363,90.742,91.121,91.688,92.395,93.087,93.652,94.014,94.459,94.775,94.848,95.082,95.149,95.132,95.147,95.226,95.413,95.482,95.715,95.923,96.034,96.323,96.271,96.443,96.652,97.101,97.557,97.758,98.135,98.351,98.961,99.297,99.433,99.852,99.854,99.978,100.115,99.914,99.993,99.672,99.57,99.151,98.911,98.622,98.361,98.113,98.067,98.194,98.173,98.477,98.392,98.415,98.532
"19",NA,"Addendum:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","11","  Gross housing value added","A2009A3",31.368,31.805,32.178,32.514,32.649,32.849,33.182,33.594,33.968,34.385,34.87,35.425,35.859,36.198,36.494,36.839,37.076,37.385,37.737,38.126,38.726,39.247,39.741,40.191,40.42,40.663,40.922,41.109,41.166,41.273,41.299,41.248,41.43,41.736,42.044,42.42,43.332,43.67,43.757,44.173,44.594,44.788,45.088,45.475,45.994,46.623,47.14,47.464,47.621,47.775,47.765,48.259,48.549,48.512,49.026,49.306,49.547,49.861,50.355,50.889,50.898,50.751,51.533,52.995,53.519,53.739,54.571,55.171,55.498,55.892,56.064,56.117,56.874,56.894,57.925,58.205,58.7,59.053,59.478,60.2,60.178,60.483,60.655,60.827,61.205,61.594,61.958,62.3,62.583,62.805,63.369,63.793,63.908,64.571,65.24,65.754,66.477,66.755,67.251,67.788,68.602,69.303,70.288,70.939,71.606,72.169,72.467,72.923,73.093,73.36,73.707,74.079,74.506,74.985,75.532,76.128,76.292,76.782,77.272,77.802,78.559,79.416,80.125,80.857,81.486,82.156,82.921,83.787,84.433,85.043,85.553,85.469,85.414,85.562,85.358,85.522,86.01,86.233,86.357,87.492,88.051,88.93,89.881,90.905,92.21,93.201,94.042,94.745,95.577,96.001,96.15,96.107,95.956,96.028,96.473,97.248,98.159,99.164,99.67,100.017,99.62,99.602,100.07,100.708,101.167,101.352,101.376,101.772,102.511,103.129,103.318,103.676,103.796,103.883,104.029,103.969,104.314,104.371
"21",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","1. Equals gross domestic product excluding gross value added of households and institutions",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","and of general government.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","2. Equals gross domestic business value added excluding gross farm value added.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","3. Equals compensation of employees of nonprofit institutions, the rental value of",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","nonresidential fixed assets owned and used by nonprofit institutions serving households,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","and rental income of persons for tenant-occupied housing owned by nonprofit institutions.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","4. Equals compensation of general government employees plus general government consumption",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","of fixed capital.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
