"","Table 3#9#2# Contributions to Percent Change in Real Government ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93"
"1","; Seasonally adjusted at annual rates                                                                 ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Quarterly data from 1947 To 1969",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published July 31, 2013     ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 8/7/2013 2:43:07 PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1947,1947,1947,1947,1948,1948,1948,1948,1949,1949,1949,1949,1950,1950,1950,1950,1951,1951,1951,1951,1952,1952,1952,1952,1953,1953,1953,1953,1954,1954,1954,1954,1955,1955,1955,1955,1956,1956,1956,1956,1957,1957,1957,1957,1958,1958,1958,1958,1959,1959,1959,1959,1960,1960,1960,1960,1961,1961,1961,1961,1962,1962,1962,1962,1963,1963,1963,1963,1964,1964,1964,1964,1965,1965,1965,1965,1966,1966,1966,1966,1967,1967,1967,1967,1968,1968,1968,1968,1969,1969
"8",NA,NA,NA,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2
"9",NA,"Percent change at annual rate:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","1","    Government consumption expenditures and gross investment","A822RL1",NA,3.5,2.6,-2.8,5.2,14.1,8.2,15.4,11.6,18.6,3.6,-8,-6,7,-6.4,31.9,50,64.8,51.6,22.8,12.3,14.1,4.1,6.8,13.1,8.5,-4.2,-1.1,-9.7,-12.9,-8.3,-2.5,0.3,-3.7,2.5,-7.6,-0.1,8.3,-3.3,10.4,9,-2.1,3.4,6.9,-3.5,10.4,2.4,8.5,-4.4,5.1,3.5,-3.2,-6.6,4.4,10.1,2.7,6,0.9,8.7,9,7.9,1.9,9.5,2.8,-5.3,0.3,19,-3.9,1.2,3.7,0.5,-0.1,-0.4,4.9,13.9,7.8,7.7,7.8,11.3,7.1,17.8,-1.6,4.6,3.2,7.3,2.1,1.3,0.4,1,-1.3
"11",NA,"Percentage points at annual rates:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2","      Consumption expenditures \1\","A955RZ2",NA,2.42,-4.76,-7,-3.44,8.42,5.61,10.31,4.46,8.42,-3.98,-6.21,0.82,3.31,-9.34,30.93,33.89,42.63,34.15,8.3,11.36,13.5,2.87,4.31,6.85,5.1,-3.86,2.06,-12.57,-10.01,-2.54,-0.39,0.01,-5.68,7.16,-6.15,-2.74,6.08,-6.28,7.46,5.83,-0.8,0.85,5.83,-6.61,8.59,0.24,3.89,-10.48,4.88,3.37,0.53,-7.48,4.05,4.85,2.58,-2.76,4.74,4.46,4.26,6.9,2.66,6.55,2.56,-5.03,-0.03,12.26,-1.68,-0.27,2.09,0.44,-0.37,1.04,3.92,9.12,6.93,2.27,9.3,6.75,3.6,14.18,1.43,2.84,3.33,8.39,0.91,1.7,2.2,-0.93,3.88
"13","3","      Gross investment \2\","A782RZ2",NA,1.1,7.36,4.18,8.63,5.67,2.62,5.06,7.09,10.18,7.62,-1.76,-6.79,3.64,2.97,0.93,16.08,22.2,17.46,14.53,0.94,0.61,1.2,2.47,6.29,3.45,-0.33,-3.2,2.83,-2.95,-5.75,-2.09,0.25,1.94,-4.66,-1.5,2.65,2.19,2.95,2.93,3.14,-1.3,2.51,1.03,3.14,1.83,2.18,4.57,6.06,0.19,0.1,-3.74,0.88,0.34,5.22,0.12,8.8,-3.82,4.24,4.77,1.03,-0.73,2.99,0.25,-0.27,0.37,6.7,-2.23,1.52,1.57,0.05,0.23,-1.47,1.01,4.77,0.9,5.42,-1.53,4.59,3.49,3.65,-2.99,1.71,-0.16,-1.09,1.21,-0.45,-1.84,1.94,-5.13
"14","4","        Structures","A760RZ2",NA,2.33,3.34,3.97,1.49,4.52,3.28,1.39,3.56,5.94,6.43,1.01,-0.7,2.93,0.18,1.03,3.04,7.52,2.3,1.22,2.64,0.36,0.24,1.5,1.52,-0.91,0.08,2.11,2.83,-1.56,0.99,-0.9,1.11,0.33,-2.09,-0.52,1.12,1.23,0.73,0.09,2.58,-0.61,0.44,1.31,3.67,-0.07,2.29,2.74,0.35,-0.41,-2.13,-3.52,0.9,2.02,2.26,0.82,3.99,-4.11,1.04,3.81,-1.76,0.27,-0.28,1.08,0.92,0.17,3.56,-2.33,1.12,1.7,0.17,-0.12,-0.5,2.16,2.9,0.83,0.71,-0.77,-0.09,1.78,1.43,-1.26,-0.99,1.04,0.45,1.45,0.12,-0.35,-1.02,-0.44
