"","Table 2#5#3# Real Personal Consumption Expenditures by Function,","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47"
"1","[Index numbers, 2009=100]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1969 To 2012",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published August 07, 2013   ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 9/26/2013 2:32:18 PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
"8","1","      Personal consumption expenditures","DPCERA3",28.815,29.494,30.62,32.498,34.109,33.827,34.595,36.524,38.063,39.737,40.681,40.552,41.155,41.74,44.119,46.446,48.888,50.941,52.664,54.867,56.468,57.633,57.764,59.907,61.988,64.392,66.318,68.635,71.218,75.027,79.124,83.127,85.214,87.376,90.076,93.525,96.798,99.715,101.957,101.588,100,101.96,104.555,106.854
"9","2","Household consumption expenditures \1\","DPHCRA3",29.853,30.538,31.693,33.642,35.333,35.046,35.852,37.848,39.459,41.192,42.164,41.992,42.567,43.058,45.435,47.744,50.231,52.259,53.984,56.138,57.654,58.64,58.618,60.6,62.647,65.015,66.935,69.242,72.024,75.811,79.913,83.896,85.886,87.894,90.536,94.048,97.428,100.134,102.375,101.66,100,101.992,104.654,106.87
"10","3","  Food and beverages purchased for off-premises consumption","DFXARA3",58.647,60.286,61.004,62.221,61.137,59.904,60.985,63.975,64.921,64.638,65.537,66.212,65.988,67.268,68.968,70.355,72.431,73.91,73.438,75.378,76.318,77.899,77.802,77.499,78.132,80.309,80.723,81.533,82.243,83.389,86.774,88.907,90.131,90.528,92.636,94.78,98.397,101.411,102.769,101.547,100,102.145,103.75,105.12
"11","4","    Food and nonalcoholic beverages purchased for off-premises consumption","DTFDRA3",62.871,64.171,64.311,65.19,63.381,61.456,62.608,65.755,66.329,65.888,66.575,67.078,66.669,67.939,69.69,71.377,73.395,74.91,74.591,76.78,77.689,79.047,79.845,80.153,80.642,82.574,82.733,83.208,83.638,84.363,87.556,89.134,90.05,90.263,92.727,94.945,98.775,101.533,102.861,101.551,100,101.594,102.876,103.915
"12","5","    Alcoholic beverages purchased for off-premises consumption","DAOPRA3",34.738,37.608,40.886,43.468,45.941,47.744,48.649,50.689,53.802,55.018,57.452,59.326,60.254,61.833,63.275,63.017,65.495,66.837,65.812,66.316,67.601,70.689,65.309,61.604,63.094,66.643,68.569,71.401,73.832,77.466,82.027,87.507,90.619,92.084,92.125,93.805,96.106,100.594,102.244,101.54,100,105.639,109.391,112.773
"13","6","    Food produced and consumed on farms","DFFDRA3",485.661,508.741,480.747,488.226,467.141,558.843,518.733,530.059,517.329,422.94,390.192,371.577,367.831,332.122,325.713,303.341,294.877,281.186,213.535,206.865,180.245,159.116,157.446,155.087,142.649,145.369,136.474,126.33,110.535,114.529,109.676,94.367,79.547,87.688,75.095,82.873,93,114.173,90.361,95.702,100,88.621,70.27,102.097
"14","7","  Clothing, footwear, and related services","DCAFRA3",24.605,24.251,25.037,26.707,28.368,27.672,28.212,29.362,30.82,33.798,35.507,36.385,38.406,38.862,41.464,44.808,46.726,50.103,51.987,53.682,56.488,56.122,55.965,58.915,61.277,64.594,67.279,70.436,72.681,77.014,81.912,85.715,86.308,88.523,92.467,96.327,101.045,104.288,106.108,105.311,100,104.941,108.784,110.059
