"","Table 2#3#6U# Real Personal Consumption Expenditures by Major Ty","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20"
"1","[Millions of chained (2009) dollars; quarters and months are seasonally adjusted at annual rates]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1999 To 2015",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published February 1, 2016  ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 1/29/2016 10:09:14 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
"8",NA,"Personal consumption expenditures by major type of product (From NIPA table 2.3.x):"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","1","      Personal consumption expenditures (PCE)","DPCERX0",7775909,8170682,8382636,8598775,8867559,9208180,9531811,9821691,10041554,10007182,9846969,10036322,10263452,10413244,10590418,10875734,11211269
"10","2","Goods","DGDSRX0",2460874,2588250,2666644,2770177,2904451,3051921,3177160,3292529,3381763,3297792,3198444,3308651,3411777,3504263,3612775,3731170,3871511
"11","3","  Durable goods","DDURRX0",698312,758332,798016,856587,917639,992924,1046946,1091545,1141662,1083235,1023318,1085658,1151531,1236206,1307562,1384101,1466967
"12","4","    Motor vehicles and parts","DMOTRX0",335750,346435,364142,383313,394574,405492,399996,385132,392789,340814,317058,323406,333773,359113,375780,396728,411475
"13","5","    Furnishings and durable household equipment","DFDHRX0",171234,187747,197294,211699,226793,248326,264837,278298,280443,267670,244311,261502,276600,288743,304260,323940,344315
"14","6","    Recreational goods and vehicles","DREQRX0",113096,132046,144203,160652,181585,209327,237637,268788,298972,308742,303775,336804,370162,413259,449760,481629,526208
"15","7","    Other durable goods","DODGRX0",105980,115397,112918,119881,131131,142773,153326,164427,172196,166497,158174,164876,173942,180457,186576,192934,202422
"16","8","  Nondurable goods","DNDGRX0",1805974,1863598,1896024,1931107,1998542,2063650,2132331,2202167,2239326,2214659,2175126,2223535,2263186,2277548,2319834,2367796,2431377
"17","9","    Food and beverages purchased for off-premises consumption","DFXARX0",668124,684549,693975,697031,713257,729766,757613,780821,791281,781866,769958,786471,795145,795662,803439,807533,807571
"18","10","    Clothing and footwear","DCLORX0",243190,254958,257369,265228,278318,291162,306770,317445,323901,322312,306499,322664,335293,338867,343461,348411,360052
"19","11","    Gasoline and other energy goods","DGOERX0",302321,294435,294152,296443,296758,299290,297997,297429,296838,283403,284500,282220,274345,270012,274727,276766,286334
"20","12","    Other nondurable goods","DONGRX0",605825,636117,656047,675748,709548,740594,765910,803343,825151,828317,814169,832974,863208,880669,906253,944987,987631
"21","13","Services","DSERRX0",5331616,5599291,5730960,5838171,5966894,6156565,6353416,6526598,6656427,6708594,6648525,6727642,6851401,6908120,6977030,7144607,7341602
"22","14","  Household consumption expenditures (for services)","DHCERX0",5192523,5446959,5562791,5648037,5762973,5949126,6147337,6291789,6415226,6435098,6372509,6449344,6575943,6614321,6677914,6839494,7034705
"23","15","    Housing and utilities","DHUTRX0",1550457,1600525,1643038,1653822,1675982,1717906,1788366,1823187,1840778,1860103,1880993,1904255,1927997,1929149,1938832,1961175,1977945
"24","16","    Health care","DHLCRX0",1178313,1218812,1279578,1355577,1392522,1442266,1490444,1525245,1563233,1598825,1627380,1649189,1690339,1726972,1743871,1791602,1876706
"25","17","    Transportation services","DTRSRX0",317464,332782,330532,320820,322948,331523,334702,335529,339008,321283,289695,287109,294129,299196,308699,323852,340411
"26","18","    Recreation services","DRCARX0",316826,325956,325423,327300,338353,355787,364675,377427,392074,388972,376000,380956,389590,397399,404537,416154,424037
"27","19","    Food services and accommodations","DFSARX0",511361,534650,533653,541717,561600,584207,605102,624667,632592,626109,600334,609606,625260,641459,651467,671078,701753
