"","Table 5#7#5BU3# Inventory Valuation Adjustment by Industry","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22"
"1","[Millions of dollars; quarters seasonally adjusted at annual rates]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1997 To 2015",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published February 1, 2016  ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 1/29/2016 11:05:49 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
"8","1","    Nonfarm industries","B017RC0",18718,22756,-6509,-23078,17052,2845,-14266,-55222,-46060,-35792,-57197,-47783,7715,-58213,-84941,-18824,-12314,-5226,62478
"9","2","Mining, utilities, and construction","ICMU0",216,1380,-2425,-4902,5099,-3269,-1773,-7500,-11781,6364,-6824,-6329,2669,-2622,-4998,2155,-5120,-1473,10001
"10","3","Manufacturing industries","I300",7703,10015,-92,-10417,5073,4940,-7577,-25144,-17910,-18495,-21234,-19887,7259,-25884,-30730,-8684,-8431,-4060,28080
"11",NA,"  By type of industry:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","4","    Durable goods industries","I30D0",5268,6630,647,-3663,2874,4304,-870,-14926,-5815,-13460,-5024,-15968,6987,-10819,-11802,-1897,-1333,-4130,12644
"13","5","      Wood product manufacturing","I3210",-255,246,29,116,169,232,-226,-503,-183,-67,-462,-495,186,-44,-23,-442,-404,-461,110
"14","6","      Nonmetallic mineral product manufacturing","I3270",-25,-74,-163,-384,-139,39,-137,-257,-547,-514,-396,-844,-226,-268,-259,-252,-171,-172,87
"15","7","      Primary metal manufacturing","I3310",68,1811,259,-464,594,258,-592,-3383,-995,-3389,-1069,-1960,1666,-2653,-1417,-264,1343,214,2585
"16","8","      Fabricated metal product manufacturing","I3320",12,418,135,-509,740,476,-326,-3987,-894,-2543,-1404,-3592,2503,-2318,-2193,-315,136,-354,2636
"17","9","      Machinery manufacturing","I3330",38,-121,-234,-533,237,1001,-576,-2473,-961,-1757,-1450,-3676,1219,-1267,-2416,-187,-726,-1006,1971
"18","10","      Computer and electronic product manufacturing","I3340",5167,3469,1190,479,798,1516,2237,398,335,-646,1515,-100,472,-374,-420,325,202,-100,1471
"19","11","      Electrical equipment, appliance, and component manufacturing","I3350",-10,423,-36,-177,49,336,-50,-842,-550,-1027,-378,-648,325,-865,-732,-104,-142,-225,679
