"","Table 6#17B# Corporate Profits Before Tax by Industry           ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22"
"1","[Millions of dollars]                                                                                                                                                                                                                                     ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1969 To 1987",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published August 07, 2013   ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 1/29/2014 10:05:59 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987
"8","1","      Corporate profits before tax","A053RC0",96652,86263,99271,115885,146131,161527,154773,196214,228493,270410,301142,282758,276625,232327,263887,298240,289649,266194,330791
"9","2","Domestic industries","E561RC0",90057,79163,91417,106350,131234,144057,140142,179665,209382,247540,266531,247289,246947,199740,228832,261671,251553,226720,282781
"10","3","  Agriculture, forestry, and fishing","A3003C0",233,80,221,508,943,514,849,770,673,1310,1303,681,386,78,-101,209,-94,1542,1858
"11","4","    Farms","B3004C0",129,2,98,311,778,318,699,503,412,974,906,442,114,-55,-180,-57,-299,924,868
"12","5","    Agricultural services, forestry, and fishing","B3005C0",105,78,123,196,165,196,150,268,261,336,397,239,272,132,79,266,205,618,990
