"","Table 7#13# Relation of Consumption of Fixed Capital in the Nati","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47"
"1","[Billions of dollars]                                                                                                                                                                                                                                     ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1969 To 2012",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published August 07, 2013   ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 2/11/2014 3:02:50 PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
"8",NA,"      Corporations"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","1","Depreciation and amortization, IRS","B1208C1",49.5,53.7,58,64.7,71.3,79.3,87.2,94.1,108,122.5,139.5,158.7,201.1,229.7,255.2,286.9,323.4,327.4,342.9,362.1,375.7,381.5,390.1,397.5,417.2,454.1,496.7,535.8,583.5,626.5,678,718.7,761.8,829.4,823.6,825.7,675.2,720.8,772.3,939.4,903.3,918.3,NA,NA
"10",NA,"Less:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2","  Depreciation of assets of foreign branches","B1209C1",0.8,1,1.1,1.2,1.3,1.4,1.6,1.7,1.9,2.2,2.4,2.6,3,2.6,2.7,2.9,2.9,3,3,2.8,2.4,2.6,2.8,3.1,3.2,2.6,3.3,3.5,3.3,3.2,2.7,3.2,3.2,2.8,3.4,2.9,3.3,3.2,3.5,3.9,3.2,3.1,NA,NA
"12","3","  Depreciation or amortization of intangible assets \1\","B1210C1",0.4,0.4,0.4,0.4,0.5,0.6,0.7,0.8,0.9,1,1.1,1.2,1.7,2.2,2.6,3.1,3.7,7.1,8.6,10.4,13.3,16.3,18.6,21.2,22.9,24.1,27.7,32,38.5,46.8,56.1,67.2,78.8,84.4,89.7,96.1,104.1,114.7,127.3,136.1,142.2,144.4,NA,NA
"13","4","  Other \2\","B1211C1",0,0,0,0,0,0,0,0,0,0.2,0.5,0.6,0.8,0.9,1,1.1,1.1,1.2,1.3,1.4,1.5,1.7,1.8,1.9,2,1.8,1.8,1.9,1.9,2.3,2.4,2.4,2.6,2.6,2.6,2.7,2.7,2.7,2.7,2.8,2.7,2.6,NA,NA
"14",NA,"Plus:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","5","  Normal accidental damage to fixed capital other than repairable damage","B1212C1",0.8,0.8,0.8,1.1,1,1.1,1.2,1,1.2,1.3,1.2,1.4,1.5,1.5,1.6,1.7,1.9,2.1,2.2,2.3,2.5,2.7,2.9,3,4.5,3.3,3.5,4,4,4.1,4.4,4.7,5,5.1,5.2,5.4,5.7,5.8,6,6.3,6.5,6.7,NA,NA
"16","6","  Depreciation of intellectual property products not in IRS depreciation \3\","Y373RC1",9.8,10.8,11.9,13,14.3,15.8,17.4,19.2,21.2,23.1,25.6,28.6,32.3,36.7,41.6,47.3,53.9,60.8,67.7,75,83.3,92.8,103.1,113.3,123.1,132.3,141.5,151.7,165,181.6,201.3,224.1,246.2,265.2,281.2,296.4,309.8,323,338.5,356.8,373.9,388.3,NA,NA
"17","7","  Depreciation of mining exploration, shafts, and wells charged to current expense","B1213C1",1.8,1.9,2,2.1,2.1,2.2,2.5,2.9,3.2,3.8,4.7,6,7.8,10,12,13.8,15.6,16.7,17.1,17.4,17.8,18,18,16.9,15.9,14.5,13.3,12.3,12.3,12.1,12.3,12.6,13.4,14.1,14.7,15.9,17.5,20.2,24.3,29.4,33.8,37.3,NA,NA
"18","8","  Depreciation of motor vehicles not in IRS depreciation \4\","B1315C1",0.8,0.8,0.8,0.9,0.9,1,1,1,1,1.7,1.9,2.1,2.2,2.3,2.6,3,3.4,3.8,4.1,4.3,4.7,5.1,5.4,5.4,5.3,5.5,5.4,5.4,5.4,5.5,5.5,5.7,5.9,6,5.9,5.9,6.2,6.3,6.3,6.1,5.5,5.2,NA,NA
"19","9","  Depreciation of railroad track charged to current expense \5\","B1628C1",0.5,0.6,0.7,0.7,0.7,0.9,0.9,1.3,1.5,1.5,1.7,1.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","10","  Other \6\","B1214C1",1.3,1.2,0.9,0.6,0.3,0.2,0.2,0.3,0.3,0.6,0.7,0.9,0.9,3,2.5,1.1,1.3,1.5,1.6,1.6,1.6,1.7,1.8,1.8,1.9,2,2,2.1,2.2,2.2,2.2,2.3,2.4,2.7,3,3.3,3.7,3.8,3.7,3.6,3.4,3.5,NA,NA
"21","11","Equals: Capital consumption allowances, NIPAs","A677RC1",63.3,68.3,73.6,81.4,88.8,98.4,108.1,117.3,133.4,151.1,171.3,195,240.4,277.6,309.2,346.8,391.7,401,422.7,448.1,468.4,481.3,498,511.8,539.8,583.1,629.7,674,728.8,779.6,842.6,895.4,950.2,1032.6,1038,1050.9,908.1,959.3,1017.6,1198.8,1178.3,1209.2,1392.4,1195.2
"22","12","Less: Capital consumption adjustment","A059RC1",7.6,6.5,6,7.9,6.8,2.4,-5.4,-7.8,-7,-8.1,-12,-17.1,-4.5,5,23.3,43.6,64.8,51.1,51.4,48.7,41.2,26,17.1,15.5,20.1,32.6,36,44.2,54.8,60.3,68,50.9,55.4,112.1,96.5,68.2,-143.5,-169.2,-179.9,-60.4,-82.2,-53.3,86.4,-170.5
"23","13","Equals: Consumption of fixed capital, NIPAs","B128RC1",55.7,61.8,67.6,73.4,82,96,113.5,125,140.5,159.3,183.4,212.1,244.9,272.5,285.9,303.2,326.9,349.9,371.3,399.4,427.2,455.3,480.9,496.2,519.8,550.4,593.6,629.8,674,719.3,774.6,844.5,894.9,920.5,941.5,982.7,1051.6,1128.6,1197.5,1259.2,1260.6,1262.5,1306,1365.7
