"","Table 1#3#3# Real Gross Value Added by Sector, Quantity Indexes ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44"
"1","[Index numbers, 2009=100]                                                       ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1929 To 1969",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published November 1, 2013  ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 10/31/2013 10:30:34 PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969
"8","1","    Gross domestic product","B191RA3",7.322,6.699,6.27,5.462,5.393,5.975,6.507,7.349,7.723,7.468,8.064,8.774,10.327,12.278,14.371,15.519,15.369,13.587,13.439,13.996,13.92,15.133,16.353,17.019,17.817,17.717,18.979,19.384,19.792,19.647,21.002,21.541,22.091,23.442,24.463,25.874,27.555,29.373,30.179,31.66,32.653
"9","2","Business \1\","B195RA3",6.553,5.896,5.461,4.638,4.543,5.078,5.588,6.351,6.77,6.443,7.042,7.723,9.095,10.511,11.618,12.25,12.043,11.97,12.277,12.911,12.767,14.009,14.902,15.381,16.155,15.961,17.256,17.564,17.867,17.564,18.95,19.313,19.721,20.998,21.955,23.337,25.011,26.715,27.265,28.643,29.52
"10","3","  Nonfarm \2\","B358RA3",6.132,5.492,4.951,4.153,4.079,4.715,5.125,5.998,6.307,5.983,6.525,7.287,8.619,10.017,11.213,11.897,11.68,11.595,12.065,12.568,12.463,13.721,14.738,15.187,15.953,15.714,17.044,17.363,17.711,17.365,18.809,19.14,19.554,20.892,21.856,23.311,24.988,26.784,27.287,28.739,29.615
