"","Table 1#3#6# Real Gross Value Added by Sector, Chained Dollars  ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44"
"1","[Billions of chained (2009) dollars]                                            ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1929 To 1969",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published November 1, 2013  ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 10/31/2013 10:30:43 PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969
"8","1","    Gross domestic product","A191RX1",1055.6,965.8,904.1,787.5,777.6,861.4,938.2,1059.6,1113.6,1076.7,1162.6,1265,1488.9,1770.3,2072,2237.5,2215.9,1959,1937.6,2018,2007,2181.9,2357.7,2453.7,2568.9,2554.4,2736.4,2794.7,2853.5,2832.6,3028.1,3105.8,3185.1,3379.9,3527.1,3730.5,3972.9,4234.9,4351.2,4564.7,4707.9
"9","2","Business \1\","A195RX1",694.4,624.8,578.6,491.5,481.4,538.1,592.1,673,717.4,682.7,746.2,818.3,963.8,1113.8,1231.1,1298.1,1276.1,1268.4,1300.9,1368.2,1352.9,1484.5,1579.1,1629.8,1711.9,1691.3,1828.6,1861.2,1893.4,1861.2,2008.1,2046.6,2089.8,2225.1,2326.6,2473,2650.3,2830.9,2889.2,3035.2,3128.2
"10","3","  Nonfarm \2\","A358RX1",643,576,519.2,435.5,427.7,494.5,537.5,629,661.4,627.4,684.3,764.2,903.9,1050.4,1175.9,1247.7,1224.8,1216,1265.2,1318,1307,1438.9,1545.6,1592.6,1672.9,1647.9,1787.4,1820.8,1857.3,1821,1972.4,2007.2,2050.6,2190.9,2292.1,2444.6,2620.5,2808.9,2861.5,3013.8,3105.7
"11","4","  Farm","B359RX1",17,16,19.4,18.9,18,14.1,17.5,15.1,18.4,18,20.1,17.6,19.7,21.3,20.8,20.5,20.5,20.6,18.4,21.3,20.4,21.5,20.3,21.4,22.5,23.3,23.8,23.9,22.9,23.7,23.6,24.9,25.2,24.7,25.5,24.7,26.2,25.3,27.3,26.4,27.3
"12","5","Households and institutions","A193RX1",140.2,137.7,133.2,127.8,126.3,127.2,128.1,129.5,131.1,131.2,134,138.4,143,150.6,153.9,161.2,166.4,167.5,177.2,188.2,199.9,215.8,230.4,245.1,260.3,276.4,299.3,318.1,335.5,355.4,376.3,402.5,420,443.7,462.3,482.3,507,531.4,554.6,582,608.3
"13","6","  Households","B701RX1",83.1,80.6,77.1,73.5,72.9,74.1,74.6,75.1,76.3,76,77.6,79.5,82.3,87.8,90,94.5,98.5,97.4,102.9,107.2,114.3,124.7,134.5,144.2,153.8,163.9,178.6,190.5,201.3,212.9,225.9,240,251.7,266,277.2,288.9,302.8,316,329.5,338.4,353
"14","7","  Nonprofit institutions serving households \3\","B702RX1",54.7,57,57.6,56.8,55.2,54.1,54.6,55.7,55.8,56.8,57.8,61.3,63.3,63.8,64.5,66.9,67.1,71.4,75.8,84.7,89.1,93.5,97,100.9,106.2,111.3,118.4,124.6,130.6,138.9,146.3,159.3,164.2,173.1,180.3,188.6,199.6,211.4,221.1,242.8,254.7
"15","8","General government \4\","A765RX1",177.9,186.6,190,187.5,198,223.1,238.3,277.9,265.8,286.5,292.2,308.7,393.8,615.2,1023.6,1230.6,1240.2,672.1,526.5,507.4,509.2,518.9,631.8,687.4,699.7,700.2,703,717.4,735.9,746.4,759.2,788.2,819.9,855.8,883.9,916.8,949.5,1010.8,1067.7,1111.4,1141.9
"16","9","  Federal","A766RX1",32.6,35.1,33.9,32.5,39.6,51.7,57.5,92.9,81.2,91.5,93.4,104.1,167.7,337.3,654.2,818,822.7,388.5,273.9,256.1,248.3,250.8,335.5,374.5,376.6,368.5,361.6,360.3,363.2,357.6,358,368,379.7,398.4,405.7,413.5,419.9,448.8,479.6,491.3,496.7
"17","10","  State and local","A767RX1",159.7,166.2,171.9,171.2,172.5,183,191.9,181.7,187.2,194.9,198.5,201,202.7,199.9,195.1,190.6,194.5,204.7,217.7,223.3,238.1,246.3,252.8,261.1,272.5,284.6,297.7,316.4,333.8,354.3,368.9,388.5,408.6,423.5,445.6,472.4,501.1,530.9,553.3,586.5,613.3
"18","11","Residual","A961RX1",65.5,34.9,25,-0.9,-8.3,-10.1,4.6,10.1,33.3,12.1,30.9,37.3,49.3,9.8,-128.5,-200.7,-212.2,-39.6,-16.3,7.4,-10.2,6.2,-28,-41,-35.6,-45.1,-31.1,-41.8,-55.6,-75.8,-67,-82.1,-94.9,-96.7,-99.3,-102.2,-97.2,-106.4,-121.1,-134.5,-142.8
"19",NA,"Addendum:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","12","  Gross housing value added","A2009X1",88.6,88.4,88.2,87.9,85.3,87.6,87.4,86.9,88.2,91.6,92.8,95.2,99.6,107.1,113.4,118.3,120.7,122.7,128.5,135.1,144.1,154.1,165.7,178.5,189.3,201.5,213.1,224.6,238.8,252.6,271.1,288.6,305.5,325,341.3,357.4,377,395,414.5,429.7,450.4
"21",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
