"","Table 3#17# Selected Government Current and Capital Expenditures","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49"
"1","[Billions of dollars]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1959 To 2004",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published October 13, 2005  ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 1/26/2006 11:06:34 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004
"8",NA,"        Current expenditures \1\"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9",NA,"Consumption expenditures:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","1","      Government","A955RC1",80.7,83.3,88.2,96.8,102.7,108.6,115.9,132,149.7,165.8,178.2,190.2,204.7,220.8,234.8,261.7,294.6,316.6,346.6,376.5,412.3,465.9,520.6,568.2,610.6,657.6,720.2,776.1,815.2,852.8,901.4,964.4,1014.1,1047.8,1072.2,1104.1,1136.5,1171.1,1216.6,1256,1334,1417.1,1501.6,1616.9,1736.7,1843.4
"11","2","General public service","G170021",4.6,4.9,5.4,5.8,6,6.5,7.2,7.9,8.4,9.4,11.4,13.4,15.4,17.5,19.6,23.3,27.2,29.4,33,34.6,37.6,41.7,44,48.1,52,55,64.4,76.2,76.8,80,81.6,88.6,93.7,100.7,103.5,106.3,109.2,108.8,116.2,122.7,134,139,146.6,154.6,163.5,177.5
"12","3","National defense","A997RC1",40.1,41,42.7,46.6,48.3,48.8,50.6,60,70,77.2,78.2,76.6,77.1,79.5,79.4,84.5,90.9,95.8,104.2,112.7,123.8,143.7,167.3,191.2,208.8,232.9,253.7,268,283.6,293.6,299.5,308.1,319.8,315.3,307.6,300.7,297.3,302.5,304.7,300.7,312.9,321.5,342.4,381.7,436.6,484.2
"13","4","Public order and safety","G170041",4.1,4.4,4.8,5,5.3,5.7,6.1,6.7,7.5,8.7,9.6,11,12.6,14.1,15.9,18.1,20.7,22.8,25.1,28.7,31.9,35.7,40,44.6,48.5,52.6,58.1,63.2,68.4,75.3,82.8,91.6,99.7,107.4,114.7,122.9,131.9,140.4,147.7,157.4,169.4,181.5,194.3,209.1,222.6,238.3
"14","5","Economic affairs","G170051",12,10.9,11.1,13.2,14.5,16.2,17.4,18.1,19.5,21.5,23.5,24.7,27.1,29.1,30.7,35.1,40.6,42.5,46.4,51.5,56.2,65,74.7,77.5,82.5,81,88.8,95.7,95.5,92.1,102.1,111.5,116.7,124.5,128.2,133.7,137.1,140.7,147.3,149.2,159.7,171.7,179.3,195.2,204.4,213.7
"15","6","Housing and community services","G170061",0.6,0.6,0.6,0.7,0.8,0.8,0.8,0.9,1.1,1,1.1,1.3,1.7,1.7,1.9,2,2.1,2.2,2.3,2.5,2.5,2.9,3.2,3.1,3.2,3.3,3.4,3.8,3.7,4.2,4.6,5.1,5.5,5.6,6.2,5.8,5.5,6,6.4,6.8,7.7,7.7,8,8.1,8.6,8.3
