"","Table 6#13B# Noncorporate Capital Consumption Allowances by Indu","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43"
"1","[Millions of dollars]                                                                                                                                                                                                                                     ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1948 To 1987",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published January 23, 2004  ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 1/26/2006 11:22:19 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987
"8","1","      Noncorporate capital consumption allowances","A1700C0",4263,5058,5620,6283,6756,7163,7495,7775,8504,8912,9180,9487,9653,9779,10209,10607,11105,11463,12142,12901,13565,14762,15817,16847,18916,20853,23234,25782,28009,31115,35305,41297,47158,57008,63299,73974,86528,98601,107476,107678
"9","2","Agriculture, forestry, and fishing","A1701C0",1143,1390,1623,1828,1983,2113,2225,2324,2383,2432,2585,2663,2691,2725,2802,2901,3053,3222,3412,3662,3827,3988,4183,4385,4662,5043,5555,6073,6791,7500,8356,9287,10228,10627,11229,11208,11484,11755,11487,11517
"10","3","  Farms","B1702C0",1112,1351,1579,1776,1922,2049,2154,2238,2289,2328,2456,2546,2556,2597,2669,2773,2888,3043,3246,3452,3637,3782,3949,4135,4372,4741,5244,5788,6380,7036,7789,8666,9404,9868,10142,10136,10259,10212,9980,9805
"11","4","  Agricultural services, forestry, and fishing","B1703C0",31,39,44,52,61,64,71,86,94,104,129,117,135,128,133,128,165,179,166,210,190,206,234,250,290,302,311,285,411,464,567,621,824,759,1087,1072,1225,1543,1507,1712
"12","5","Mining","B1704C0",165,166,182,214,223,246,266,306,357,317,344,267,345,323,300,294,298,303,312,376,377,400,431,439,515,498,567,740,978,1258,1531,1987,2762,4152,5778,7103,7514,8467,9439,9781
"13","6","Construction","B1705C0",225,282,331,378,422,454,484,563,634,627,648,677,641,577,571,598,602,632,668,679,714,755,775,795,904,1068,1211,1333,1366,1522,1751,1977,2066,2256,2618,2804,3121,3627,4595,4203
"14","7","Manufacturing","A1706C0",278,324,340,384,393,407,385,422,426,450,416,426,410,371,357,367,385,399,399,416,445,430,517,518,583,582,667,688,750,777,945,1091,1523,1495,1489,1928,2508,3031,3172,3259
"15","8","  Durable goods","B1707C0",142,171,187,221,230,239,226,253,253,286,235,277,261,229,219,236,250,273,282,292,292,294,352,356,383,401,473,478,504,530,633,712,897,847,835,1188,1559,1948,1698,1872
"16","9","  Nondurable goods","B1708C0",136,153,153,163,163,168,159,169,173,164,181,149,149,142,138,131,135,126,117,124,153,136,165,162,200,181,194,210,246,247,312,379,626,648,654,740,949,1083,1474,1387
"17","10","Transportation and public utilities","A1709C0",271,310,323,352,361,370,360,421,503,578,597,560,562,561,573,670,667,743,742,757,843,879,968,994,1195,1334,1558,1682,1813,2177,2644,3139,3420,3587,4059,4376,5287,6283,7788,8872
"18","11","  Transportation","B1710C0",225,256,259,282,282,286,270,324,399,467,483,438,436,436,439,521,502,568,557,553,627,638,702,716,855,968,1144,1186,1172,1407,1769,2156,2250,2355,2557,2793,2948,3284,3747,3838
"19","12","  Communication","B1711C0",6,8,11,14,18,19,21,21,22,23,23,42,40,36,40,45,50,52,55,35,31,34,37,34,55,59,73,76,124,148,175,192,221,251,432,493,923,1365,1848,2814
"20","13","  Electric, gas, and sanitary services","B1712C0",40,46,53,56,61,65,69,76,82,88,91,80,86,89,94,104,115,123,130,169,185,207,229,244,285,307,341,420,517,622,700,791,949,981,1070,1090,1416,1634,2193,2220
"21","14","Wholesale trade","B1713C0",314,298,345,419,421,445,420,471,519,566,558,584,583,553,566,562,547,481,499,503,442,488,478,518,589,617,648,651,684,655,725,800,791,750,932,1022,971,1022,949,1066
"22","15","Retail trade","B1714C0",650,916,982,1038,1219,1308,1255,1172,1305,1346,1357,1435,1443,1344,1355,1342,1375,1286,1316,1328,1380,1437,1457,1498,1572,1689,1713,1820,1964,2160,2463,2869,2953,3775,4154,4504,4853,5688,5067,5444
"23","16","Finance, insurance, and real estate","A1715C0",580,625,703,805,833,959,986,1057,1097,1212,1246,1372,1493,1774,2055,2180,2417,2591,2897,3090,3358,3976,4411,4959,5827,6603,7611,8445,9014,9791,10940,13225,15527,19913,20982,26417,32777,37816,43042,41823
"24","17","  Finance and insurance","B1716C0",24,32,39,48,54,61,66,86,84,100,98,104,98,107,103,108,111,107,120,119,125,143,146,153,150,164,268,336,323,438,426,791,777,1582,2023,2309,2454,2645,2818,2167
"25","18","  Real estate \1\","A1717C0",556,593,664,757,779,898,920,971,1013,1112,1148,1268,1395,1667,1952,2072,2306,2484,2777,2971,3233,3833,4265,4806,5677,6439,7343,8109,8691,9353,10514,12434,14750,18331,18959,24108,30323,35171,40224,39656
"26","21","Services","B1720C0",637,747,791,865,901,861,1114,1039,1280,1384,1429,1503,1485,1551,1630,1693,1761,1806,1897,2090,2179,2409,2597,2741,3069,3419,3704,4350,4649,5275,5950,6922,7888,10453,12058,14612,18013,20912,21937,21713
"27","22","  Hotels and other lodging places","B2616C0",113,139,153,170,177,168,216,199,228,281,280,257,254,277,290,304,312,310,318,353,353,383,430,460,493,516,586,673,689,729,917,1124,1146,1569,1807,2288,2853,3731,4075,4639
"28","23","  Personal services","B2617C0",136,157,166,178,183,178,228,206,226,227,250,268,263,303,323,327,336,327,332,352,351,347,379,361,402,395,377,403,397,477,495,544,539,642,686,853,1110,1302,1400,1331
"29","24","  Business services","B2618C0",49,59,65,77,82,82,111,112,130,129,112,158,155,139,144,140,164,181,214,263,263,348,400,430,531,688,867,1175,1273,1551,1802,2104,2529,3440,4445,5281,5842,6984,7095,6310
"30","25","  Auto repair, services, and parking","B2619C0",0,0,0,0,0,0,0,0,95,129,94,92,90,116,107,123,121,127,129,173,163,201,191,216,227,261,276,285,355,392,441,555,615,650,803,1000,1123,1430,1438,1505
