"","Table 6#7D# Self-Employed Persons by Industry                   ","F2","F3","F4","F5","F6","F7","F8","F9","F10"
"1","[Thousands]                                                                                                                                                                                                                                               ",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1998 To 2004",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published August 04, 2005   ",NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 1/26/2006 11:21:18 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1998,1999,2000,2001,2002,2003,2004
"8","1","      Self-employed persons \1\","A4501C0",10341,10121,10233,10133,9963,10297,10429
"9","2","Agriculture, forestry, fishing, and hunting","N4502C0",1007,985,996,975,990,951,964
"10","3","  Farms \2\","N4503C0",888,869,879,881,907,852,847
"11","4","  Forestry, fishing and related activities","N4504C0",118,116,117,94,83,99,117
"12","5","Mining","N4505C0",9,9,9,20,12,9,13
"13","6","Utilities","N4506C0",0,0,0,0,0,0,0
"14","7","Construction","N4507C0",1756,1719,1738,1685,1608,1717,1848
"15","8","Manufacturing","N4508C0",327,320,324,355,315,325,316
"16","9","  Durable goods","N4509C0",210,206,208,227,192,198,207
"17","10","  Nondurable goods","N4510C0",117,115,116,128,123,127,109
"18","11","Wholesale trade","N4511C0",233,228,231,222,221,239,189
"19","12","Retail trade","N4512C0",1016,994,1005,985,955,1008,963
"20","13","Transportation and warehousing","N4513C0",352,344,348,375,368,357,410
"21","14","Information","N4514C0",136,134,135,126,142,152,146
"22","15","Finance and insurance, real estate, rental, and leasing","N4515C0",742,727,735,688,676,736,792
"23","16","Professional and business services \3\","N4516C0",1954,1912,1933,2009,1869,1908,1993
"24","17","Educational services, health care, and social assistance","N4517C0",1124,1100,1112,1095,1125,1138,1105
"25","18","Arts, entertainment, recreation, accommodation, and food services","N4518C0",672,658,665,637,634,686,660
"26","19","Other services, except government","N4519C0",1013,991,1002,961,1048,1071,1030
"27",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","1. Consists of active proprietors or partners who devote a majority of their working hours to",NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","their unincorporated businesses.",NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","2. NAICS crop and animal production.",NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","3. Consists of professional, scientific, and technical services; management of companies and",NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","enterprises; and administrative and waste management services.",NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","Note.  Estimates in this table are based on the 1997 North American Industry Classification",NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","System (NAICS).",NA,NA,NA,NA,NA,NA,NA,NA,NA
