"","Table 6#1D# National Income Without Capital Consumption Adjustme","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31"
"1","[Billions of dollars]; Seasonally adjusted at annual rates                                                                 ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Quarterly data from 2001 To 2007",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published February 28, 2008 ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 2/28/2008 11:51:33 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,2001,2001,2001,2001,2002,2002,2002,2002,2003,2003,2003,2003,2004,2004,2004,2004,2005,2005,2005,2005,2006,2006,2006,2006,2007,2007,2007,2007
"8",NA,NA,NA,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4
"9","1","      National income without capital consumption adjustment","A422RC1",8893.9,8904.8,8787.2,8833.6,8911.9,8991.4,9031.3,9119.4,9219.3,9321,9482.1,9678.7,9890.6,10056.8,10162.6,10405.1,10828.1,10979.9,10899.7,11284.4,11586,11748.1,11830.2,12002.7,12154.5,12344.4,12443.5,NA
"10","2","Domestic industries","A423RC1",8855.1,8860.3,8770.5,8759,8885.7,8974.8,9001.7,9069.4,9179.9,9264.4,9428.5,9600.9,9794.4,9984,10079.6,10352.4,10758.1,10912.2,10812.9,11234.9,11523.1,11684.2,11785.2,11942.6,12091.3,12273.8,12342.3,NA
"11","3","  Private industries","A736RC1",7823.9,7816.9,7710.4,7682.3,7779.1,7855.1,7866.7,7918,7998.8,8067.8,8222.1,8384.1,8549.8,8726.9,8812.7,9075.1,9453.8,9598.3,9501.6,9899.2,10163.8,10311.5,10395.2,10538,10667.2,10830.9,10879.9,NA
"12","4","    Agriculture, forestry, fishing, and hunting","N5004C1",67.6,67.5,68.7,73.6,62.9,59.9,67.2,73.4,73.8,80.9,82.5,85.6,97.9,99.4,91.7,93.8,86.6,86.7,84,85.7,83.8,80.2,87.3,96.7,102.1,108.1,115,NA
"13","5","    Mining","N5005C1",112.8,109.4,99.8,82.2,76.7,78.7,81.9,88.4,99.5,102.1,106.4,108,116.8,122.4,123.1,134.2,142.6,151.8,150.8,190,193.1,193.4,207.4,203,186.8,203.5,208.1,NA
"14","6","    Utilities","N5006C1",145.6,147.5,155.3,148.3,138.2,143.3,145.3,148.2,147.8,146.8,149.6,151.1,157.7,161.6,161.2,165.9,177.5,179.7,169,186.4,187.3,193.2,196.2,198.2,199.2,206.1,213.3,NA
"15","7","    Construction","N5007C1",459.8,464.9,466.5,462.1,466.7,468.9,471.9,475.7,478.6,472,475.6,486.9,495.9,511.8,530.7,556,573.1,598.1,610,624.2,634.7,634.7,618,597.9,571.5,535.9,532.4,NA
"16","8","    Manufacturing","N5008C1",1169.4,1133.3,1074.8,998.8,1045.8,1069.7,1079.5,1091.6,1096.9,1085.5,1106,1160.6,1166.3,1202.8,1233.4,1254.4,1337.8,1342,1352.7,1372.4,1404.5,1418.7,1439.9,1423.2,1459.8,1510.9,1465.6,NA
"17","9","      Durable goods","N5009C1",690.7,647.2,592.1,541.3,588.7,615,623.7,627.9,627,619.1,619.9,655.6,650.4,672.5,692.4,699,738.3,748.4,752.4,751.7,775.1,759,777.2,799.2,811.3,818.8,833.5,NA
"18","10","      Nondurable goods","N5010C1",478.7,486,482.7,457.5,457.1,454.6,455.9,463.7,469.9,466.4,486.1,505,516,530.4,541,555.4,599.5,593.6,600.2,620.7,629.4,659.8,662.7,624,648.5,692.2,632.1,NA
"19","11","    Wholesale trade","N5011C1",565.4,556.5,553.6,555.4,548.6,556.5,551.5,556.9,561.1,565.1,583.1,594.5,607.5,627.6,647.3,645,664.1,689.7,676.8,698.3,706.4,707.4,743.9,728.8,744.4,761.5,772.6,NA
"20","12","    Retail trade","N5012C1",686.7,687,685,697.2,698.7,709.8,715.1,716.7,724,735,741.9,748.7,757.8,761.4,761.5,776.6,797.3,830.9,818,845.1,851.5,858.2,868.7,881.1,894.8,901.4,911.2,NA
"21","13","    Transportation and warehousing","N5013C1",260,261.9,238.6,247.1,246.4,247.3,251,256.5,257.8,251.8,260.6,264.9,280.9,294.5,293.6,293.8,311.8,319,321.2,321.3,334.1,350.4,355.8,352.3,357.7,369.7,376.1,NA
