"","Table 2BUI# Implicit Price Deflators for Manufacturing and Trade","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176","F177","F178","F179","F180","F181","F182","F183","F184","F185","F186","F187","F188","F189","F190","F191","F192","F193"
"11","3","  Durable goods manufacturing industries","PK30D3",98.473,98.421,98.51,98.428,98.122,98.087,97.959,97.827,97.714,97.55,97.504,97.385,97.281,97.183,97.105,96.929,96.786,96.667,96.631,96.478,96.421,96.311,96.291,96.103,95.908,95.872,95.798,95.716,95.752,95.743,95.648,95.639,95.599,95.709,95.702,95.739,95.792,95.847,95.89,95.811,95.751,95.782,95.874,95.818,95.898,95.707,95.753,95.709,95.687,95.52,95.559,95.494,95.521,95.5,95.476,95.328,95.387,94.871,94.935,95,94.866,94.915,94.927,94.835,94.805,94.899,94.754,94.683,94.81,94.785,94.77,94.609,94.594,94.549,94.782,94.439,94.471,94.434,94.563,94.543,94.606,94.805,95.003,95.002,95.141,95.662,96.261,96.825,97.394,97.565,97.624,98.202,98.577,98.828,98.916,99.301,99.714,99.856,99.907,99.894,99.791,99.674,99.865,99.818,100.138,100.267,100.417,100.584,101.259,101.52,101.823,102.227,102.898,103.224,103.291,103.723,104.051,103.781,104.315,104.515,104.59,104.555,104.655,105.118,105.3,105.273,105.203,104.856,104.552,105.183,105.352,105.219,105.677,106.169,106.815,107.798,108.741,109.31,110.088,110.438,110.317,110.289,109.314,108.542,108.269,107.832,107.462,107.114,106.936,106.929,106.84,107.31,107.474,107.962,108.038,108.152,108.335,108.581,108.747,109.365,109.647,109.276,108.962,108.966,109.041,109.604,109.704,109.79,110.345,111.146,111.511,112.112,112.149,112.284,112.439,112.428,112.207,112.405,112.346,112.311,112.313,112.767,112.831,112.896,112.694,112.597,112.443,112.412,112.472,112.849
"12","4","    Wood product manufacturing","PK3213",87.567,88.031,89.065,89.194,89.688,89.096,89.251,89.142,89.379,89.803,90.581,90.291,90.096,90.469,90.247,89.927,89.555,88.63,89.091,89.718,89.705,89.155,89.037,89.15,89.16,89.496,89.948,89.874,90.51,91.895,93.448,92.829,91.723,90.69,90.823,91.204,91.389,91.038,91.024,90.244,89.091,88.842,88.334,87.657,87.714,88.229,88.244,88.045,87.476,87.605,87.644,87.514,90.1,90.825,89.018,88.84,88.691,87.746,87.541,87.283,87.502,87.523,88.048,87.974,87.588,87.145,87.28,87.743,87.457,87.557,87.571,87.746,87.684,88.037,87.5,87.662,87.764,88.473,90.196,90.8,93.614,94.396,95.161,94.398,92.924,96.066,98.262,99.238,100.937,99.117,97.894,100.566,101.22,99.091,97.37,98.589,98.763,100.49,100.237,99.705,98.241,100.725,99.712,98.841,100.88,101.891,99.771,100.56,101.253,101.023,101.022,100.711,100.983,99.49,99.411,98.28,98.359,97.879,98.001,98.505,98.769,98.902,98.657,98.941,98.833,99.089,100.307,99.014,98.748,98.537,98.357,98.119,97.63,97.558,97.881,97.843,99.883,100.848,100.363,100.637,100.567,99.841,99.597,99.088,97.74,96.767,95.735,95.132,94.935,95,96.074,95.919,96.347,95.148,95.665,96.011,94.11,95.829,96.931,99.012,100.992,98.382,97.698,96.588,96.3,96.28,96.439,96.997,95.99,95.926,96.238,95.852,95.163,95.234,95.315,95.71,95.705,96.751,96.66,96.443,96.9,97.527,98.27,98.417,99.685,99.764,99.148,100.489,100.988,100.865
"13","5","    Nonmetallic mineral product manufacturing","PK3273",84.09,84.135,84.236,84.441,84.386,84.352,84.396,84.559,84.534,84.708,84.766,84.731,84.468,84.52,84.549,85.054,85.251,85.483,85.851,86.1,86.206,86.384,86.419,86.453,86.475,87.031,87.107,87.196,87.424,87.58,87.61,88.016,88.075,88.348,88.371,88.272,88.597,88.671,88.795,88.816,88.838,88.931,88.848,88.724,88.916,88.862,88.854,88.718,88.911,89.395,89.386,89.499,89.567,89.393,89.648,89.737,89.832,90.042,90.228,90.146,90.037,89.749,89.678,89.838,90.113,90.205,90.22,90.513,90.526,90.566,90.549,90.652,90.484,90.612,90.639,90.76,90.753,90.778,90.828,90.927,90.997,91.078,91.38,91.336,91.349,92.013,91.993,92.361,92.905,93.34,93.833,94.548,95.169,95.573,95.818,96.044,97.081,97.703,98.164,98.572,98.932,99.391,100.29,100.701,101.157,101.707,102.679,103.077,104.958,105.722,106.209,106.637,107.181,107.561,108.262,108.43,108.503,108.457,108.656,108.727,109.308,109.367,109.733,109.994,109.938,110.06,109.733,109.667,109.811,109.796,109.876,110,110.431,110.521,110.811,111.193,111.458,111.654,112.312,112.945,113.326,113.931,114.21,114.405,115.374,115.296,114.9,115.047,114.623,114.398,114.155,113.888,113.617,113.215,113.034,113.018,112.879,113.106,113.097,112.938,112.911,113.005,112.859,113.089,113.011,113.059,113.03,113.076,112.972,113.399,113.74,113.965,113.974,114.221,114.652,114.708,114.586,114.367,114.606,115.218,115.878,116.534,116.26,116.53,116.375,116.63,116.986,117.155,117.226,117.296
"14","6","    Primary metal manufacturing","PK3313",79.698,80.096,80.639,80.552,80.377,80.645,80.313,80.479,80.523,80.439,80.402,80.176,79.801,79.616,79.147,78.964,78.551,77.972,77.333,77.159,76.731,76.178,75.682,75.022,74.405,73.895,73.666,73.426,73.642,73.684,73.788,74.047,74.448,75.071,75.239,75.674,76.553,77.2,77.266,77.506,77.318,77.055,77.152,77.091,77.13,77.035,76.285,76.191,75.839,75.601,75.269,74.642,74.512,74.31,74.031,73.761,73.502,73.098,72.916,72.876,72.803,72.709,73.132,73.156,73.628,74.375,74.758,74.919,75.431,75.566,75.938,76.132,76.134,76.185,76.005,75.489,75.445,75.439,75.367,75.704,75.973,76.608,77.433,78.529,80.307,83.172,85.541,88.827,91.002,90.959,92.427,95.101,96.855,98.219,99.449,100.692,102.452,102.914,102.06,100.852,99.336,97.581,96.684,95.784,97.174,99.227,102.075,103.884,106.211,107.398,107.849,109.683,114.708,116.758,119.474,120.406,121.428,122.29,121.411,121.969,118.802,119.244,120.883,125.432,127.476,127.013,126.714,123.596,121.215,121.02,121.31,121.022,122.38,125.542,131.323,136.919,143.127,147.18,150.008,149.901,146.244,136.155,125.946,116.805,111.799,108.082,105.81,103.024,102.478,103.142,104.205,109.011,112.749,114.8,114.193,116.163,118.716,120.582,122.064,126.582,128.279,126.767,123.622,122.72,124.288,126.308,128.218,128.666,131.609,136.599,138.097,141.142,140.883,140.04,140.33,139.581,138.198,135.007,134.152,132.382,131.813,134.322,134.261,133.3,131.564,130.01,128.532,127.049,128.389,128.386
"15","7","    Fabricated metal product manufacturing","PK3323",84.84,84.915,85.059,85.16,85.22,85.276,85.424,85.534,85.574,85.739,85.755,85.765,85.875,85.975,86.043,86.093,86.224,86.337,86.339,86.315,86.354,86.36,86.511,86.5,86.449,86.44,86.41,86.492,86.52,86.563,86.601,86.642,86.761,86.901,87.04,87.072,87.208,87.273,87.459,87.552,87.603,87.738,87.814,87.846,87.878,87.977,88.022,88.081,88.268,88.293,88.361,88.422,88.491,88.468,88.512,88.53,88.537,88.602,88.573,88.647,88.723,88.696,88.692,88.748,88.793,88.834,88.981,88.977,89.028,89.069,89.097,89.109,89.138,89.164,89.219,89.19,89.182,89.202,89.331,89.363,89.412,89.463,89.69,89.839,90.457,91.17,92.484,93.69,94.688,95.32,95.727,96.431,96.97,97.322,97.638,97.813,98.433,99.135,99.469,99.77,99.842,99.983,99.956,100.139,100.29,100.62,100.921,101.236,101.84,102.082,102.486,102.976,103.402,103.985,104.769,105.338,105.564,106.034,106.244,106.639,107.22,107.659,108.091,108.529,108.932,108.702,108.806,109.22,109.1,109.48,109.786,110.333,111.361,112.151,113.124,114.92,116.377,117.394,119.019,120.036,120.418,120.438,120.312,120.054,120.149,119.409,118.823,118.009,117.599,117.219,116.851,116.664,116.854,116.965,116.941,117.032,117.215,117.619,117.909,118.164,118.628,118.667,118.802,119.163,118.501,118.599,118.69,118.988,119.758,120.52,121.114,121.909,122.436,122.882,123.132,123.205,123.286,123.177,123.225,123.607,123.658,124.005,124.141,124.55,124.57,124.779,124.061,123.984,124.309,124.498
"16","8","    Machinery manufacturing","PK3333",88.808,88.901,89.009,89.138,89.209,89.205,89.357,89.455,89.486,89.579,89.604,89.682,89.797,89.901,90.003,90.086,90.138,90.233,90.319,90.389,90.541,90.562,90.636,90.729,90.878,90.964,91.012,91.141,91.213,91.231,91.291,91.348,91.332,91.452,91.444,91.52,91.595,91.699,91.745,91.771,91.83,91.978,92.102,92.154,92.237,92.238,92.292,92.375,92.547,92.61,92.778,92.836,92.925,93.074,93.076,93.2,93.241,93.28,93.393,93.392,93.405,93.477,93.611,93.576,93.611,93.635,93.747,93.746,93.845,94.003,94.032,94.023,94.126,94.118,94.127,94.223,94.293,94.39,94.425,94.496,94.562,94.668,94.755,94.814,94.956,95.213,95.504,95.821,96.044,96.255,96.612,96.754,97.081,97.362,97.664,97.828,98.502,98.793,99.168,99.366,99.796,99.959,100.185,100.404,100.537,100.781,101.017,101.256,101.77,101.977,102.164,102.313,102.626,102.927,103.21,103.49,103.836,104.241,104.514,104.714,105.26,105.588,105.859,106.183,106.233,106.314,106.465,106.734,106.933,107.156,107.489,107.698,108.144,108.529,108.889,109.396,109.981,110.592,111.896,112.403,112.905,113.335,113.814,113.958,114.194,114.136,114.162,114.082,114.058,113.992,114.09,113.999,114.1,114.09,114.141,114.213,114.02,114.059,114.1,114.288,114.343,114.206,114.274,114.437,114.605,114.671,114.697,114.972,115.398,115.748,116.07,116.56,116.851,117.167,117.487,117.709,118.027,118.31,118.533,118.656,118.85,119.35,119.465,119.727,119.834,119.916,119.919,120.183,120.281,120.305
"17","9","    Computer and electronic product manufacturing","PK3343",147.03,146.037,145.521,144.949,142.786,142.173,141.78,140.293,139.823,138.846,138.342,138.017,137.099,136.109,135.482,134.237,133.549,133.135,132.503,131.444,131.019,130.415,130.01,129.233,128.401,127.887,127.528,126.798,126.338,125.791,124.76,124.331,123.933,123.628,123.337,122.871,122.106,121.64,121.364,121.043,120.437,120.502,120.761,120.526,120.381,120.059,119.854,119.421,119.086,118.724,118.32,117.704,117.486,117.058,116.633,115.582,115.498,115.242,115.103,114.976,114.523,114.147,114.114,113.464,113.278,113.021,112.318,111.807,111.667,111.145,110.73,109.686,109.073,108.238,107.945,107.956,107.822,107.35,106.826,105.471,105.049,104.59,104.688,104.01,103.667,103.442,103.156,103.15,103.009,102.875,102.562,102.386,102.07,101.887,101.448,101.583,100.99,100.849,100.666,100.502,100.278,100.136,100.135,100.19,99.554,99.27,98.947,98.62,98.351,98.182,98.585,98.871,98.827,98.703,98.719,98.748,98.856,98.424,98.426,98.377,98.194,96.945,96.343,96.32,95.735,95.646,94.871,94.193,93.882,93.479,93.232,92.881,92.655,92.795,92.595,92.581,92.7,92.693,92.637,92.466,92.38,92.357,92.242,91.993,91.69,91.465,91.34,91.161,91.259,91.066,91.197,91.284,90.963,91.024,90.92,90.802,90.192,90.342,90.281,90.08,90.022,89.841,89.906,89.561,89.358,89.144,88.545,88.316,88.277,88.507,88.478,88.405,88.438,88.465,88.211,88.068,87.644,87.787,87.477,87.842,87.823,87.908,88.238,88.333,88.287,88.197,88.448,88.419,88.158,87.761
"18","10","    Electrical equipment, appliance, and component manufacturing","PK3353",93.848,93.998,94.26,94.262,94.449,94.471,94.32,94.216,94.201,94.052,94,94.004,93.922,93.77,93.931,93.915,93.922,94.067,94.019,94.015,94.032,93.889,93.826,93.733,93.663,93.442,93.382,93.299,93.441,93.377,93.614,93.724,93.84,93.936,93.896,93.861,94.004,94.192,94.255,94.203,94.286,94.276,94.407,94.415,94.362,94.438,94.326,94.225,94.272,94.317,94.341,94.249,94.303,94.247,94.16,94.002,94.049,93.925,93.9,93.935,93.966,93.986,93.702,93.704,93.624,93.692,93.65,93.671,93.543,93.465,93.431,93.4,93.527,93.082,93.103,93.082,93.142,93.168,93.089,93.121,93.095,93.149,93.236,93.48,93.578,93.898,94.748,95.358,96.001,96.089,96.164,96.331,96.629,97.017,97.065,97.336,98.341,98.747,99.166,99.344,99.366,99.635,99.847,99.847,100.277,100.919,101.911,102.457,103.049,103.422,103.897,105.098,106.969,108.392,108.514,109.39,109.421,109.46,109.239,109.133,108.97,109.005,109.359,110.341,111.398,111.579,112.159,112.469,112.659,113.278,113.284,113.292,114.037,114.601,115.722,116.055,116.515,116.804,117.768,117.794,118.236,117.978,116.27,115.845,115.659,115.595,115.879,116.338,116.726,116.648,116.72,117.532,117.729,118.036,118.437,118.815,119.238,119.186,119.5,119.99,120.007,119.897,119.692,119.995,120.257,120.791,121.433,122.124,122.676,123.071,123.316,124.175,123.887,124.382,124.999,124.664,124.719,124.257,124.662,124.739,125.211,125.971,125.896,125.929,126.181,125.895,125.909,126.194,126.099,126.403
"19","11","    Transportation equipment manufacturing","PK3363",96.369,96.327,96.334,96.152,96.011,96.159,95.843,95.982,95.703,95.433,95.369,95.197,95.379,95.429,95.525,95.511,95.388,95.351,95.578,95.449,95.47,95.604,95.805,95.705,95.581,95.75,95.637,95.703,95.795,95.774,95.631,95.711,95.761,96.048,96.065,96.22,96.363,96.381,96.518,96.515,96.812,96.785,96.854,96.798,97.056,96.435,96.907,97.015,97.024,96.503,96.855,97.129,96.823,96.91,97.343,97.422,97.71,96.2,96.51,96.837,96.589,96.919,96.82,96.743,96.616,96.823,96.387,96.227,96.513,96.498,96.529,96.379,96.549,96.703,97.71,96.577,96.722,96.638,96.988,97.338,97.23,97.726,97.821,97.765,97.806,97.8,98.156,98.182,98.529,98.973,98.665,98.886,99.152,99.669,99.694,100.067,100.314,99.849,99.89,100.022,100.073,99.574,100.306,100.271,100.677,99.991,99.604,99.482,100,100.3,100.548,100.724,100.805,100.996,99.702,100.564,101.129,99.77,101.644,101.635,102.158,102.132,101.944,101.715,101.727,101.802,101.792,101.621,101.255,103.397,103.68,103.194,103.608,103.676,103.35,103.916,103.973,103.547,103.683,104.152,104.258,107.033,106.729,106.842,107.31,107.297,107.045,107.032,106.757,107.014,106.35,106.666,106.183,107.357,107.688,107.39,107.877,107.845,107.556,107.829,107.894,107.44,107.161,107.41,107.375,108.525,108.327,108.203,108.702,108.836,109.042,109.427,109.304,109.475,109.56,109.661,109.396,111.031,111.134,111.136,110.959,110.79,110.826,110.998,110.769,110.879,110.996,111.111,110.837,112.148
"20","12","      Motor vehicle and parts manufacturing","PK3MV3",101.378,101.306,101.319,101.102,100.852,101.051,100.55,100.735,100.349,100.005,99.893,99.635,99.863,99.907,100.028,99.831,99.608,99.539,99.993,99.823,99.794,99.808,100.097,99.935,99.777,99.986,99.825,99.964,100.101,100.033,99.778,99.883,99.891,100.191,100.158,100.298,100.326,100.117,100.277,100.211,100.592,100.432,100.464,100.358,100.629,99.678,100.284,100.411,100.297,99.467,99.935,100.267,99.798,99.827,100.39,100.434,100.759,98.542,99.001,99.423,98.996,99.446,99.273,99.2,99.026,99.264,98.527,98.236,98.592,98.531,98.525,98.254,98.369,98.536,99.824,98.213,98.349,98.139,98.541,98.916,98.716,99.174,99.308,99.148,99.069,99.025,99.449,99.353,99.811,100.256,99.599,99.747,100.046,100.572,100.493,100.869,100.934,100.241,100.057,100.271,100.235,99.517,100.435,100.258,100.745,99.598,99.034,98.745,99.055,99.448,99.663,99.724,99.802,100.002,98.097,99.218,99.962,97.866,100.39,100.272,100.848,100.709,100.357,99.962,99.874,99.849,99.618,99.244,98.61,101.639,101.995,101.231,101.515,101.5,100.924,101.471,101.378,100.456,100.282,100.791,100.712,105.185,104.526,104.54,104.201,103.981,103.702,104.028,103.775,104.314,103.006,103.539,102.681,104.593,105.06,104.495,104.956,104.863,104.311,104.392,104.437,103.658,103.219,103.547,103.325,104.708,104.411,104.172,104.607,104.698,104.607,105.012,104.715,104.845,104.911,104.963,104.505,106.71,106.756,106.668,107.01,106.751,106.751,106.917,106.505,106.552,106.639,106.801,106.337,108.187
"21","13","      Other transportation equipment manufacturing","PK3OT3",83.853,83.873,83.856,83.744,83.831,83.859,83.946,83.971,83.938,83.838,83.886,83.913,83.992,84.054,84.094,84.482,84.581,84.606,84.374,84.326,84.449,84.838,84.853,84.891,84.847,84.924,84.923,84.819,84.806,84.892,85.017,85.032,85.172,85.421,85.554,85.74,86.163,86.756,86.821,86.963,87.054,87.332,87.492,87.552,87.77,87.946,88.098,88.172,88.482,88.645,88.738,88.866,88.945,89.161,89.306,89.468,89.687,89.711,89.703,89.828,89.987,90.042,90.118,90.036,90.035,90.163,90.526,90.727,90.823,90.917,91.045,91.2,91.525,91.634,91.877,92.049,92.211,92.469,92.679,92.957,93.113,93.715,93.701,93.939,94.342,94.443,94.605,94.985,95.016,95.458,96.108,96.525,96.698,97.193,97.498,97.843,98.583,98.754,99.421,99.337,99.609,99.694,99.942,100.275,100.427,100.981,101.041,101.326,102.45,102.529,102.878,103.361,103.453,103.617,103.939,104.132,104.253,104.732,104.979,105.252,105.657,105.889,106.092,106.246,106.482,106.787,107.295,107.568,107.774,108.035,108.159,108.242,108.911,109.137,109.298,109.916,110.246,110.693,111.365,111.778,112.202,112.139,112.461,112.748,114.473,114.772,114.566,114.094,113.785,113.689,113.898,113.878,113.954,114.008,114.11,114.238,114.768,114.834,114.984,115.613,115.72,115.917,115.959,116.025,116.391,117.027,117.045,117.176,117.82,118.052,118.964,119.291,119.58,119.845,119.973,120.195,120.383,120.606,120.838,121.062,119.635,119.678,119.802,119.969,120.214,120.483,120.685,120.673,120.87,120.892
"22","14","    Furniture and related product manufacturing","PK3373",87.873,87.935,87.957,88.069,88.177,88.207,88.365,88.338,88.524,88.501,88.743,88.765,88.872,89.014,89.097,89.093,89.317,89.264,89.275,89.364,89.379,89.574,89.598,89.709,89.892,89.915,89.934,90.002,90.134,90.377,90.49,90.701,90.776,90.894,90.976,91.051,91.165,91.221,91.508,91.673,91.744,91.782,91.893,92.024,92.215,92.265,92.376,92.414,92.559,92.642,92.776,92.911,92.976,93.084,93.159,93.184,93.288,93.338,93.315,93.319,93.37,93.422,93.433,93.493,93.531,93.63,93.933,93.973,94.241,94.306,94.387,94.332,94.455,94.5,94.503,94.672,94.729,94.767,94.811,94.825,94.616,94.782,94.749,94.944,94.815,95.205,95.498,95.485,95.827,96.046,96.266,96.783,96.893,97.014,97.955,98.298,98.587,98.889,98.923,99.264,99.76,99.904,100.294,100.253,100.489,100.833,101.154,101.556,101.912,102.192,102.286,102.337,102.752,102.857,103.033,103.135,103.297,103.635,103.692,103.695,104.136,104.465,104.473,104.639,104.7,104.833,104.731,104.825,104.975,105.079,105.516,105.488,106.022,106.306,106.487,107.406,107.813,108.838,109.809,110.783,111.351,111.991,112.145,112.242,112.608,112.987,112.878,112.693,112.65,112.62,112.719,112.4,112.652,112.749,112.675,112.613,112.495,112.173,112.396,112.694,112.474,112.929,113.18,113.141,113.27,113.18,113.155,113.07,113.457,113.775,114.223,114.441,114.696,114.882,115.375,115.611,115.999,116.111,116.351,116.833,117.347,117.682,117.103,117.497,117.56,117.991,118.601,118.627,118.144,118.621
"23","15","    Miscellaneous durable goods manufacturing","PK3393",89.385,89.376,89.511,89.608,89.637,89.758,89.791,89.849,89.889,89.98,89.945,89.875,89.955,90.009,90.094,90.033,90.096,90.113,90.261,90.319,90.496,90.614,90.671,90.645,90.677,90.601,90.811,90.933,90.924,90.885,90.903,90.889,90.84,91.146,91.121,91.25,91.323,92.42,92.441,91.81,91.872,92.269,92.437,92.852,92.935,92.874,93.047,93.234,93.588,93.629,93.711,93.797,94.043,94.025,94.195,94.341,94.443,94.474,94.574,94.551,94.444,94.841,94.651,94.921,94.806,94.982,95.088,95.106,95.293,95.512,95.468,95.567,95.803,96.194,96.263,96.437,96.407,96.549,96.737,96.787,96.781,96.807,96.751,97.063,97.048,97.13,97.127,97.245,97.523,97.875,97.903,98.301,98.588,98.443,98.493,98.882,99.193,99.248,99.662,99.699,99.935,100.006,100.277,100.369,100.503,100.707,100.746,99.674,100.947,100.917,101.109,101.436,101.758,101.739,102.085,102.241,102.027,102.174,102.385,103.57,103.967,104.322,104.487,104.543,104.82,104.742,104.65,104.773,105.188,105.331,105.69,105.743,106.408,106.417,106.922,107.122,107.304,108.142,108.911,108.826,108.735,109.081,108.93,109.331,109.673,110.099,110.183,110.333,110.066,109.904,109.643,109.76,109.739,109.906,110.216,110.323,110.41,109.904,110.393,111.045,111.156,111.373,111.869,112.21,112.751,113.469,114.212,114.191,114.39,115.898,116.124,116.518,116.705,117.112,117.392,117.532,117.518,117.487,117.299,117.503,117.597,118.092,117.755,117.723,117.629,117.704,117.733,117.893,117.662,117.757
"24","16","  Nondurable goods manufacturing industries","PK30N3",77.578,77.308,77.168,76.656,76.345,76.082,75.78,76.223,76.163,76.241,76.383,76.492,75.806,75.505,75.35,75.288,75.283,75.132,75.09,74.835,74.534,74.66,74.543,74.57,74.782,74.264,74.662,75.553,75.627,75.733,76.389,77.136,77.707,77.952,78.442,79.337,79.454,80.617,81.515,80.766,80.905,82.13,82.123,81.674,82.566,82.701,83.276,83.464,83.546,83.485,83.089,83.596,83.855,83.471,82.161,82.29,82.886,80.95,80.384,79.615,79.346,79.452,80.395,81.238,80.619,80.981,81.619,81.738,82.891,83.289,83.164,83.329,84.663,86.954,87.476,84.954,84.036,85.066,85.153,85.689,85.646,86.167,86.678,87.538,88.415,88.644,88.747,89.848,90.982,90.978,91.482,91.694,92.334,94.529,95.499,94.597,95.306,96.442,97.77,97.92,96.975,97.901,98.981,100.403,103.696,106.587,103.628,104.6,105.508,104.568,104.75,106.022,106.652,108.071,107.455,108.675,105.479,104.913,106.014,107.502,104.438,105.887,108.9,111.38,113.003,112.894,114.529,112.502,113.527,114.023,118.665,117.275,119.092,120.153,125.157,126.835,131.564,134.72,139.289,135.301,135.558,126.428,117.123,109.955,110.563,109.785,108.451,110.507,112.644,116.216,114.594,117.268,116.315,116.275,118.709,118.99,121.667,120.519,122.649,124.142,125.153,123.986,123.968,124.787,125.132,127.267,128.532,129.703,131.827,134.407,139.161,142.397,144.396,143.549,144.19,142.709,143.729,141.806,142.268,141.139,142.423,143.271,147.052,147.401,145.916,144.034,143.003,145.807,148.518,147.816
"25","17","    Food manufacturing","PK3113",88.559,88.378,89.122,89.329,89.671,89.075,88.42,88.719,88.332,87.957,88.056,87.901,86.786,86.971,86.5,86.437,86.688,86.993,87,87.413,86.944,86.609,86.684,86.385,86.769,85.923,85.49,84.649,85.31,85.639,85.131,85.819,86.094,86.275,86.025,85.97,85.838,86.069,86.347,86.877,87.449,87.473,87.21,86.509,86.429,86.733,86.999,87.888,88.213,88.424,89.05,89.538,90.135,90.353,90.501,91.183,90.879,90.64,89.543,89.22,89.027,89.16,89.178,88.68,88.183,88.304,88.571,88.646,91.654,89.012,89.138,90.002,90.931,91.492,91.455,91.557,92.017,93.096,92.878,93.719,94.714,96.975,97.371,97.155,96.126,96.741,98.151,100.634,102.469,101.757,100.248,98.86,98.186,98.244,98.086,98.835,99.185,99.273,99.975,100.045,100.442,99.91,99.686,99.757,99.943,100.75,100.479,100.562,100.485,99.516,99.338,98.545,98.805,99.798,100.428,100.76,100.996,101.174,102.337,102.977,104.208,105.606,106.787,107.543,107.97,109.16,109.41,109.67,110.262,110.862,111.89,113.009,114.962,116.039,117.425,117.89,119.15,120.737,124.162,124.549,123.284,121.32,119.304,117.701,116.549,115.411,114.247,115.049,115.944,117,115.559,115.698,115.415,115.361,116.394,118.083,118.547,118.344,118.113,118.641,119.607,119.144,119.462,120.162,121.582,123.214,124.351,124.784,125.538,127.842,129.771,131.485,131.137,131.982,133.332,134.735,135.161,134.675,135.408,135.037,135.195,134.792,135,134.96,134.866,135.385,136.279,137.88,138.609,139.671
"26","18","    Beverage and tobacco product manufacturing","PK3123",68.882,68.851,69.21,69.838,70.02,69.986,69.999,69.982,70.846,70.955,70.904,71.107,71.256,71.691,71.768,72.663,73.45,73.548,73.576,74.501,74.651,74.901,75.071,82.437,82.439,82.731,82.702,82.753,82.922,82.977,83.431,83.407,86.475,86.617,86.568,86.818,85.393,87.61,87.63,87.008,87.742,87.747,87.769,88.877,88.94,89.091,89.009,89.293,91.896,92.027,92.284,92.118,94.28,94.371,94.426,94.444,94.424,94.692,95.463,95.482,94.795,95.055,94.981,96.509,96.521,96.71,96.713,96.756,96.94,96.742,97.231,94.936,94.65,94.337,94.792,94.424,94.467,94.501,94.665,94.536,94.497,95.341,95.084,95.376,96.329,96.236,95.853,96.682,95.563,96.467,96.108,96.482,96.1,96.562,96.578,97.029,99.058,99.079,99.355,99.586,99.722,99.928,100.168,100.481,100.532,100.49,100.705,100.674,100.839,101.405,101.89,101.836,101.838,102.25,101.792,101.125,101.428,101.302,101.905,102.237,102.498,103.817,103.528,104.173,104.209,104.452,104.524,105.031,105.324,105.984,106.092,106.142,106.694,107.372,107.591,107.845,108.88,109.014,110.117,109.752,110.183,111.026,111.059,111.45,112.299,113.694,114.783,114.475,113.862,114.305,114.428,114.392,114.786,115.304,115.862,115.959,116.112,116.167,116.799,116.623,117.681,118.012,117.788,117.564,117.28,118.629,119.003,119.606,119.777,119.989,120.38,119.485,120.116,120.416,121.658,121.734,122.057,123.032,123.283,123.478,123.728,124.04,124.028,124.882,124.475,124.236,125.286,125.56,125.535,125.981
"27","19","    Textile mills","PK3133",101.599,101.713,101.561,101.549,102.042,102.191,102.315,102.147,102.47,102.599,101.998,102.327,102.349,102.355,102.046,102.084,102.129,102.082,101.858,101.762,101.409,100.755,100.635,100.417,99.768,99.257,99.271,98.776,98.642,98.027,97.912,97.809,97.758,98.296,97.796,97.699,98.025,98.012,98.144,98.311,98.124,97.734,98.469,98.501,98.248,98.303,98.485,98.37,98.322,98.433,98.297,98.311,97.758,97.978,97.254,97.109,97.143,96.733,96.38,96.196,95.532,95.344,95.577,95.555,95.586,95.667,95.859,95.653,95.755,95.564,95.469,95.544,95.358,95.316,95.212,95.365,96.007,95.177,95.288,95.494,95.546,95.308,95.599,95.753,95.844,95.742,95.563,96.047,96.765,97.105,97.194,96.822,97.212,97.392,97.488,97.348,98.46,98.643,98.913,99.396,99.557,99.649,99.974,100.019,100.915,101.151,101.636,102.217,102.69,103.285,103.428,103.332,103.771,103.702,103.796,104.109,103.919,104.407,104.504,104.025,103.918,104.552,104.536,104.213,104.372,104.797,105.452,105.85,106.063,106.2,106.379,106.572,107.407,107.58,107.479,107.733,108.618,108.694,109.493,110.713,111.431,111.039,110.908,109.109,108.984,108.75,108.793,109.123,108.725,108.884,108.871,108.614,108.915,109.202,109.363,109.62,109.828,110.124,111.194,111.651,112.175,112.553,112.72,113.29,113.435,114.038,115.874,116.933,118.779,121.056,122.93,124.267,126.312,126.001,124.954,125.413,125.28,124.803,124.285,123.537,122.84,122.941,122.928,122.441,122.553,122.118,121.569,122.889,122.207,122.746
