"","Table 2BU# Real Manufacturing and Trade Sales, Seasonally Adjust","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176","F177","F178","F179","F180","F181","F182","F183","F184","F185","F186","F187","F188","F189","F190","F191","F192","F193"
"11","3","  Durable goods manufacturing industries","KP30D0",170856,177147,179583,179209,178007,183771,187414,184483,187322,185265,189576,189847,184592,193927,192497,191253,190728,187249,184371,191378,194625,197333,198897,199136,199060,201973,199584,199701,203778,201310,202151,206209,203154,204805,204558,205119,212050,200747,204451,211123,207540,209253,205771,203790,209437,204310,201071,203827,196915,200424,196757,189606,195868,192082,187835,188238,181872,183082,182942,185081,184588,184655,185869,187321,189699,187612,188404,189637,187691,188323,187675,181181,185653,187199,187040,185485,185903,187716,190042,185288,192875,192676,192581,191494,188350,189929,197308,192856,190033,191894,190297,192923,193755,192941,194579,197537,198600,197160,198015,198589,198917,200311,197643,201841,205233,207128,207952,213650,208819,211400,210512,206309,209733,209345,203727,207466,203831,203607,203327,207034,201363,205069,208489,209507,212153,210298,210658,212571,208945,207885,208312,208218,209846,206985,201258,204549,200207,199556,199322,190852,190496,182369,174403,171966,159018,159193,156298,152404,149759,149393,156183,154202,158496,158259,160437,164596,166335,162604,164238,168818,169272,169198,179808,175743,177329,175335,175470,179494,178570,177308,183504,178708,179990,181065,189834,185716,184574,187526,186809,191842,192054,190484,192182,193562,196013,196044,199779,194001,194831,193480
"12","4","    Wood product manufacturing","KP3210",8204,8027,8103,8150,8063,8262,8553,8320,8475,8241,8403,8341,8551,8628,8463,8428,8317,8542,8473,8339,8224,8505,8686,8821,8659,9090,8840,9039,9088,8818,9029,8807,8727,8870,8939,9067,9405,9131,9467,8971,8928,8655,8411,8507,8572,8458,8177,8288,8043,8164,7888,8276,8336,8370,8435,8287,8242,8202,8141,8200,8372,8499,8415,8385,8505,8546,8684,8477,8244,8420,8633,8458,8486,8110,8262,8330,8168,8448,8475,8640,8643,8825,8897,8440,8486,8162,8616,8981,8954,8652,8822,9252,8794,8581,8799,9162,8938,8994,9077,9111,9138,9039,9229,9328,9430,9803,10047,10075,10237,10268,9951,9427,9352,9485,9055,9198,9008,8778,8811,9686,8634,8425,8615,8607,8807,8708,8537,8585,8437,8277,8164,8226,8043,7744,7535,7525,7154,7364,7207,7010,6779,6845,6403,5930,5439,5639,5519,5538,5548,5479,5471,5552,5607,5594,5589,5574,5714,5893,5930,6155,6076,5829,5825,5744,5715,5825,5867,5992,5948,5689,5874,5891,5865,5846,5953,5877,5874,5934,5940,5900,6211,5928,5989,6012,6019,5974,6038,6066,6014,6184
"13","5","    Nonmetallic mineral product manufacturing","KP3270",8132,8358,8523,8533,8504,8581,8631,8614,8681,8546,8669,8636,8752,8867,8903,8983,9171,9084,9034,8971,8966,8973,9147,9262,9082,9163,9166,8940,9020,9074,9022,9186,9194,9245,9390,9253,9383,8912,9240,9399,9095,9065,9279,9087,9262,9128,8882,8771,8816,8919,8697,8759,9023,8962,8912,8983,8646,8829,8630,8581,8679,8695,8730,8933,8941,8909,8832,8902,8838,8690,8591,8552,8723,8627,8652,8755,8791,8878,9064,9032,9327,9421,8560,8752,8638,8555,9285,9226,8939,9075,9253,9239,9127,9068,9370,9543,9327,9302,9428,9476,9411,9497,9417,9609,9684,9755,9978,10145,10266,10312,10071,9767,9878,9878,9680,9602,9562,9528,9357,9571,9500,9592,9727,9691,9732,9452,9365,9340,9139,9214,9061,8756,8659,8616,8451,8498,8436,8428,8337,8055,8019,7897,7126,6878,6600,6619,6195,6082,6112,6170,6417,6339,6330,6172,6177,6198,6203,6230,6317,6531,6528,6536,6528,6510,6466,6436,6389,6267,6566,6502,6534,6442,6518,6551,6535,6581,6603,6732,6769,6898,6617,6589,6590,6663,6711,6609,6629,6661,6642,6693
"14","6","    Primary metal manufacturing","KP3310",17019,17480,17275,17206,17126,17596,17475,17397,17604,17454,17955,17876,18061,18643,18131,18225,17883,17613,17516,17946,17633,17562,17328,17250,17370,17676,17317,17125,17601,17438,17580,17760,17866,17581,17751,18076,18101,17299,17213,17452,16669,17146,17105,16540,16795,16413,16286,16104,15790,16028,15612,15262,15721,15613,15676,15697,15278,15329,15253,15009,15193,15248,15519,15773,15952,15817,15771,16005,15701,15872,15520,15163,15473,15096,15068,14933,14967,14625,15162,14764,15047,15412,15478,15748,15762,15805,16599,16072,15733,16450,17018,16822,16834,16459,16789,16968,16843,16730,16846,16564,16303,16626,16550,17265,17641,17721,17432,17315,17336,17140,17153,16800,16899,17037,17102,17121,16459,15961,16079,16313,16574,16512,16603,16432,16485,16122,16135,16135,16651,17205,17443,17817,17890,17831,16899,17083,16440,16476,16484,16083,15608,15152,14511,13810,12566,12662,11832,11554,11327,11397,12638,12493,12508,13064,13310,13958,13557,13825,14329,14270,14374,14505,15026,15448,15508,15289,15530,15877,16148,15823,16372,16111,16570,17202,17757,17860,18209,19331,19903,22162,20835,20581,20201,20415,20610,20544,20921,21072,21008,20760
"15","7","    Fabricated metal product manufacturing","KP3320",22546,23143,23500,23606,23288,24002,23766,23918,24206,24116,24262,24121,23924,24789,24506,24369,24601,24564,24618,24539,24554,24423,24633,24783,24633,24783,24254,24529,24750,24584,24615,24658,24614,24843,25223,25246,25864,24832,25722,26147,25522,25843,25630,25301,25428,24983,24937,25221,24656,24640,24220,23840,26415,23456,23479,23932,22925,23126,22750,22658,22765,22826,22916,23133,23298,23314,23238,23469,23340,23504,23108,22766,22411,23465,23103,22886,22823,22626,23338,22391,22765,23116,22828,23038,22319,22008,23568,22859,22651,22494,22999,22729,22969,22712,23381,23381,23498,23469,23714,23656,23875,23987,23661,24075,24592,24829,25039,25429,25644,25915,25777,25495,25588,25697,25116,25268,25119,24876,24831,25239,25434,25370,25432,26108,26069,25972,25995,26167,25432,25693,25689,25417,26104,25708,25026,26012,25343,25231,25085,24230,23804,23230,22553,21242,20426,20090,19653,18953,18661,18675,19084,19001,19096,19242,19360,19273,19391,19583,19578,19991,20358,20160,20032,20223,20389,20380,20548,20675,20613,20592,21109,20630,20766,20814,20759,20866,21037,21108,21296,21604,21853,21537,21480,21423,21394,21237,21212,21283,21187,21175
"16","8","    Machinery manufacturing","KP3330",23330,24458,25156,24612,24326,25721,25340,25178,26336,25679,26165,27176,25814,26327,26675,25782,26078,26945,25741,25037,25788,25291,25134,25723,24476,24725,24721,24182,24973,25717,24781,25210,26080,25760,25672,26876,26599,24953,26383,27036,26180,26564,26591,26484,26966,26136,25915,26557,26025,25740,25138,24057,24514,23980,23365,24026,22678,23029,22072,22195,21483,22300,22486,21888,23176,23221,22496,23073,23553,22863,23230,23042,22048,22350,23146,22550,23218,23360,22528,22470,23147,22299,22650,23201,21901,21574,23740,23255,22529,23800,23642,23279,24345,24184,23705,25233,24808,24756,24623,24516,24872,24931,24822,25194,25658,25690,26327,26887,26105,25843,26357,26370,26527,26755,26183,26741,26394,26442,26197,26640,24355,25549,26594,27495,27475,27290,27508,27571,27507,26746,26903,27557,26569,27530,27434,27166,26258,26708,26341,25781,26664,25215,24893,24682,22095,21969,21182,20333,20332,20698,20109,19711,20458,20276,20893,21722,21024,21635,22386,22270,23032,23318,22402,23112,23665,22942,23345,25007,23869,23488,24944,24061,24356,25016,25082,26324,25816,25436,25491,26348,25076,25709,26920,25979,26273,27327,26918,26549,26315,26492
"17","9","    Computer and electronic product manufacturing","KP3340",23121,24256,24900,24880,25138,26299,26124,27004,27061,26696,26322,27102,25785,27562,27545,27094,26990,27979,27331,27671,28566,28642,29244,29465,29170,29858,29580,30400,31041,31223,32482,31882,31856,32165,31965,31499,32921,32615,33720,34590,35349,35263,35549,35748,36885,36360,35768,37175,35535,35120,34166,31183,30192,30961,29449,28527,28620,28035,27932,28723,27642,27819,27477,27204,27211,26843,26274,26528,26189,25298,25757,24887,26079,26327,26500,26419,26522,27586,27051,27896,28518,29379,28935,29073,29063,28996,29049,29432,29555,29211,29797,30082,29480,30411,30296,30061,30878,30432,30649,30543,30838,30929,30371,31199,31452,31218,31393,32692,32123,34600,33545,32374,33328,33454,33108,33579,32793,32832,33255,31561,31097,33356,32890,32962,33890,33693,31823,34036,34430,32928,34493,35413,35503,33998,34218,34084,34385,32957,33950,32608,32569,31771,29947,31697,27640,28184,28706,27375,27220,27226,28854,28158,27963,28936,28574,28388,31381,29325,28157,30912,29883,27918,31692,30974,31143,31124,31653,31260,31042,30879,30844,31162,31137,31110,30749,31215,31194,30861,30788,30924,30681,30921,30117,30465,31587,31605,30848,29806,30545,30573
"18","10","    Electrical equipment, appliance, and component manufacturing","KP3350",9546,9660,9698,9832,9768,9859,9856,9830,10189,10417,10366,9988,10235,10517,10285,10221,10188,10111,10284,10242,10362,10245,10318,10547,10289,10475,10444,10489,10590,10342,10622,10905,10456,10569,10649,10584,11373,10806,11075,11180,11012,11248,11054,10945,10967,10916,11236,11143,10991,11207,10885,10646,10677,10441,9742,9903,9194,9302,8967,9313,8975,9096,9357,9288,9495,9207,9060,8997,9000,9080,9243,9020,9107,8837,8892,8837,8802,8824,8984,8574,8982,9045,9219,9162,9005,8893,9050,9145,9044,8958,9272,9156,9217,9054,9321,9241,9376,9346,9090,9086,9175,9259,9288,9405,9541,9614,9605,9375,9562,9418,9387,9389,9611,9379,9325,9355,9135,9171,9136,9335,9365,9491,9727,9848,9554,9472,9410,9631,9560,9579,9552,9552,9822,9513,9398,9555,9675,9567,9778,9414,9366,9192,8373,8349,7804,7903,7489,7600,7376,7379,7578,7224,7218,7424,7455,7436,7355,7475,7472,7722,7577,7645,7708,7731,7652,7830,7885,7988,7774,7813,7913,7665,7814,7806,7587,7859,7868,7799,7739,7833,7931,7820,7931,7851,7927,7916,7875,7807,7742,7755
"19","11","    Transportation equipment manufacturing","KP3360",46348,48492,48984,49145,48273,49419,53970,50231,50563,49906,53437,52336,49365,53990,53031,53714,53320,46996,46385,53554,55131,58415,58669,57345,59304,59920,59017,58627,60138,57639,57283,61162,57680,59023,58337,57920,61594,55586,54423,58191,56422,57171,53555,52527,55588,52897,51215,51493,48503,51913,51947,50023,53957,53284,51834,52004,49726,50683,52787,53782,54351,52978,53838,55249,55470,54515,56458,56569,55442,57085,55944,51709,55839,56816,55740,55414,55102,55925,57619,53538,58421,56971,57673,56105,55313,58252,59558,56176,54974,55297,51946,54698,55241,54475,54497,55048,56000,55360,55665,56704,56376,57037,55566,57072,58363,59720,58961,62355,58152,58669,59001,57336,59066,58113,54648,57310,55920,56966,56773,59750,57613,58315,60254,59872,61943,61365,63503,62524,59363,59214,58299,56854,58765,57514,54061,55945,53916,54360,54130,49674,50069,45952,43616,43607,40786,40510,40667,39985,38276,37411,40887,40866,44557,42839,44341,46999,47205,43429,44782,46037,46142,47738,55674,50838,51721,50413,48971,51275,50800,50996,54037,51149,51267,50797,59524,53054,51784,53846,52321,52918,55847,54487,55705,57779,58662,58024,62511,57476,58126,56852
"20","12","      Motor vehicle and parts manufacturing","KP3MV0",33359,34312,34536,33499,33193,33927,37464,35359,35296,35572,37247,36486,33803,37406,36701,37049,37333,31240,30699,36729,37969,39569,40030,40094,40869,42101,41972,40311,42001,41645,40315,42109,41838,41823,41548,41319,43795,40509,40054,41564,39218,40300,38592,36184,39410,37822,35520,35768,33236,35725,36434,35251,37713,36148,35647,35543,33138,35225,36501,36764,37981,36978,37686,39732,40652,39343,41138,41933,39987,42171,40613,36842,41892,41363,40636,41130,40726,40807,42509,39426,43268,42564,42135,41765,41215,42284,44520,42185,39939,40624,37709,40041,40842,39773,40804,41494,41420,41268,40780,40499,40923,41777,40166,41760,43903,43671,42077,43135,42837,42299,43131,42089,43421,42667,39373,41461,39492,40819,40507,43283,39666,41213,42886,42058,43512,43186,44450,42628,40703,39593,39236,38554,38764,38514,35318,35891,34232,34618,33847,30758,31507,28584,28231,26204,23673,23371,23159,23062,21487,20548,24501,24978,26346,26168,27577,28951,30166,26668,28120,29579,30695,32140,38064,34756,35633,34620,33736,35353,35802,35610,38671,35976,36485,35952,44724,37425,36747,38207,37590,38033,38698,38816,39560,42023,42234,41962,46773,41388,41162,39912
"21","13","      Other transportation equipment manufacturing","KP3OT0",12935,14249,14545,15984,15355,15786,16745,14998,15453,14376,16397,16051,15867,16836,16585,16947,16167,16210,16163,17140,17457,19277,19020,17451,18747,17990,17125,18641,18355,15954,17120,19380,15782,17311,16863,16665,17892,15005,14240,16686,17429,17014,14972,16597,16285,15135,15903,15925,15512,16428,15667,14901,16421,17444,16428,16728,16946,15656,16509,17288,16556,16185,16328,15589,14813,15228,15339,14594,15508,14886,15364,14953,13879,15481,15129,14256,14362,15137,15100,14108,15133,14366,15553,14309,14064,15986,14993,13942,15051,14667,14250,14658,14386,14708,13667,13522,14576,14083,14887,16215,15458,15266,15404,15317,14466,16062,16881,19184,15344,16366,15881,15265,15666,15465,15260,15841,16377,16124,16233,16461,17845,17049,17330,17749,18364,18120,18976,19738,18530,19423,18884,18146,19772,18817,18506,19757,19370,19434,19918,18550,18243,17048,15154,17027,16685,16698,17034,16484,16315,16361,16020,15568,17778,16332,16456,17699,16784,16434,16380,16230,15320,15506,17568,16046,16081,15774,15230,15919,15081,15434,15526,15250,14912,14949,15248,15722,15157,15765,14909,15068,17183,15817,16281,16007,16635,16288,16164,16292,17088,17022
