"","Table 3#10#3# Real Government Consumption Expenditures and Gener","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44"
"1","[Index numbers, 2005=100]                                                                                                                                                                                                                                 ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1969 To 2009",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published December 22, 2010 ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 12/21/2010 10:13:40 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009
"8","1","      Government consumption expenditures \1\","A955RA3",55.404,54.671,54.54,54.803,54.265,55.373,56.668,56.8,57.898,59.064,59.643,60.686,61.755,63.214,65.024,66.058,69.727,73.498,74.739,75.982,77.844,79.75,80.733,81.036,80.889,81.161,81.334,81.697,83.084,84.61,86.972,88.509,91.814,95.921,98.026,99.445,100,100.98,102.261,104.824,106.797
"9","2","        Gross output of general government","W101RA3",52.997,52.475,52.628,53.274,52.976,54.046,55.106,55.312,56.472,57.773,58.602,59.58,60.668,62.093,63.857,64.845,68.326,71.896,73.149,74.432,76.323,78.183,79.362,79.944,80.168,80.842,81.196,81.709,83.169,84.884,87.099,89.06,92.533,96.212,98.013,99.359,100,100.919,102.253,104.874,106.999
"10","3","          Value added","W102RA3",65.936,66.189,66.298,66.179,66.476,67.83,68.926,69.526,70.253,71.601,72.363,73.403,73.808,74.561,75.037,75.969,78.143,80.066,81.819,83.945,85.948,88.147,89.064,89.363,89.561,89.582,89.645,89.79,90.472,91.498,92.33,93.936,95.63,97.56,98.731,99.328,100,100.592,101.811,104.199,105.851
"11","4","            Compensation of general government employees","A194RA3",71.919,72.121,72.376,72.428,72.941,74.69,75.98,76.551,77.286,78.814,79.523,80.502,80.635,81.171,81.235,81.705,83.577,85.048,86.329,88.177,89.896,91.834,92.29,92.134,91.996,91.771,91.63,91.545,92.066,92.928,93.457,94.905,96.519,98.412,99.415,99.655,100,100.189,101.056,103.211,104.497
"12","5","            Consumption of general government fixed capital \2\","A265RA3",40.947,41.309,40.985,40.37,39.981,40.012,40.419,41.038,41.663,42.324,43.175,44.299,45.497,46.833,48.557,50.942,54.034,57.502,60.95,64.066,67.128,70.323,73.155,75.432,77.123,78.257,79.247,80.449,81.882,83.678,86.005,88.393,90.491,92.608,94.725,97.403,100,102.96,106.255,110.01,113.823
"13","6","          Intermediate goods and services purchased \3\","W104RA3",34.764,33.389,33.586,35.161,34.11,34.786,35.752,35.47,37.111,38.298,39.169,40.022,41.833,43.966,47.182,48.195,53.22,58.859,59.4,59.492,61.184,62.527,64.054,65.039,65.3,66.944,67.734,68.799,71.434,74.202,78.589,81.107,87.409,93.947,96.8,99.41,100,101.463,102.987,105.992,108.904
"14","7","            Durable goods","W105RA3",43.933,40.839,33.23,40.628,39.044,35.981,37.234,35.462,41.76,45.555,48.593,50.286,56.293,60.442,69.885,71.489,76.266,81.595,86.292,88.737,87.313,85.981,84.152,79.319,75.324,69.499,67.555,68.458,70.785,74.518,80.261,82.684,86.135,89.152,92.608,98.561,100,105.538,112.636,124.676,129.719
"15","8","            Nondurable goods","W106RA3",42.993,37.213,37.121,38.86,35.444,36.023,36.918,38.518,40.908,41.981,41.875,42.516,45.527,44.461,46.868,45.252,49.505,57.224,53.736,50.008,56.46,56.816,59.472,61.577,64.191,65.663,68.225,69.622,73.497,78.914,82.112,86.239,93.286,97.25,97.028,98.977,100,99.929,102.105,102.139,104.263
"16","9","            Services","W107RA3",30.288,30.802,32.345,32.967,32.849,34.119,35.073,34.222,34.85,35.691,36.649,37.478,38.102,41.421,44.059,46.089,51.494,56.446,57.778,58.862,59.34,61.397,62.972,64.344,64.387,67.047,67.614,68.591,70.86,72.691,77.281,79.298,85.66,93.369,97.136,99.642,100,101.664,102.443,105.88,108.914
"17","10","        Less: Own-account investment \4\","W108RA3",49.059,49.769,50.276,50.029,48.037,49.489,47.375,42.968,38.958,42.239,48.501,50.92,49.38,50.993,51.947,57.736,63.211,66.709,69.564,72.456,80.688,84.386,87.654,87.018,85.869,84.348,85.007,84.315,89.042,90.433,90.72,91.077,101.351,102.058,98.761,99.361,100,102.063,102.585,107.176,107.566
"18","11","              Sales to other sectors","W109RA3",33.097,34.384,37.213,41.761,44.013,44.725,43.881,45.373,47.812,50.282,52.961,53.219,54.824,55.992,57.5,57.626,59.393,61.38,62.616,64.11,65.681,67.055,69.481,72.122,74.972,78.488,80.006,81.598,83.279,86.245,87.655,92.547,96.582,97.658,97.866,98.788,100,100.422,102.171,105.028,108.291
"19","12","Federal consumption expenditures \1\","A957RA3",79.449,73.68,70.001,68.034,64.183,63.628,63.105,62.326,63.554,64.835,65.744,68.574,71.623,74.066,77.682,78.67,83.345,86.96,88.94,88.612,89.901,91.248,91.447,89.43,86.582,84.14,81.679,80.247,80.341,78.662,79.699,80.493,83.953,89.545,95.492,99.176,100,101.397,102.206,108.888,115.204
"20","13","      Gross output of general government","W110RA3",79.096,73.403,69.773,68.383,64.721,64.337,63.513,62.556,64.015,65.42,66.513,69.188,72.058,74.414,77.917,79.008,83.662,87.282,89.377,89.193,90.489,91.919,92.26,90.164,87.179,85.111,82.201,80.807,80.48,79.01,79.69,80.609,83.866,89.334,95.204,98.852,100,101.197,101.838,108.593,114.893
"21","14","        Value added","W111RA3",106.463,101.902,97.209,92.502,89.044,88.763,88.268,88.417,88.659,89.775,89.678,91.099,92.503,94.009,96.195,98.37,101.171,102.966,105.666,106.975,108.296,110.273,110.938,108.614,106.534,103.066,99.174,96.447,94.63,93.547,92.781,93.558,93.929,95.78,98.356,99.335,100,99.933,100.688,104.625,110.69
