"","Table 1#9#5# Net Value Added by Sector                          ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44"
"1","[Billions of dollars]                                                                                                                                                                                                                                     ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1969 To 2009",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published August 05, 2010   ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 12/21/2010 10:09:44 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009
"8","1","    Net domestic product","A362RC1",885.2,930,1009,1110.7,1241.5,1335.8,1447.3,1616.4,1798.4,2032.3,2263.3,2444.1,2733.5,2819.7,3083.5,3456.5,3712,3921.6,4165.3,4489.4,4830.7,5109.3,5267.7,5598,5889.3,6266,6545.2,6925.9,7368.6,7772.9,8259.1,8767.2,9029.9,9337.3,9788.1,10435,11097,11738.2,12294.3,12519.9,12257.9
"9","2","Business \1\","A363RC1",705,731.5,790.9,872.8,983.2,1054.2,1134.9,1276.7,1428.5,1626.4,1817.4,1941.9,2172.8,2203.3,2418.2,2727.3,2923,3077.9,3257,3506.9,3774.6,3966.2,4049.1,4308.5,4541.8,4853.4,5068.3,5386.4,5758.4,6081.7,6463.5,6860.5,7005,7190.7,7532,8067.4,8607.9,9116.2,9532.6,9567.4,9222.5
"10","3","  Nonfarm \2\","A364RC1",686.9,712.9,770.9,849,942.8,1017.4,1098.2,1243.6,1396.2,1588.1,1771.5,1906.9,2125.8,2162,2392.2,2681.8,2877.8,3036.2,3213,3463.5,3718.4,3906.9,3996.8,4246.3,4488.7,4788.2,5018.5,5313.3,5691.4,6024.5,6415.1,6810.2,6952.6,7143,7465.3,7976.6,8535.4,9054.4,9450.6,9471.2,9154.5
