"","Table 1#4#6# Relation of Real Gross Domestic Product, Real Gross","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94"
"11","3","Plus: Imports of goods and services","A021RX1",51,52,46.1,48.6,54.8,57,60,59,57.2,56.4,54.1,54.9,56.4,59.5,73.5,73.6,73.6,71.2,65.2,63.5,70.8,70.5,74.8,81.5,79.5,83.6,83.3,79.2,74.6,81.3,76.4,77.1,81.7,86.3,87.8,90.9,94.8,94.3,95.1,90.7,97.9,98.7,96.8,97.1,98.6,102.8,101.2,106.5,109.3,114.6,115.6,112.7,117,117.8,114.4,109,108.5,109.8,117,119.8,123.5,126.2,127.8,129.3,126.3,129.3,132.6,132.2,132,135,138.6,142.4,137.3,153.5,154.1,161.6,165.8,169.9,179.4,181.4,184.3,182.8,185.2,195,206.5,209.6,222.2,220.3,199.6,238.9,235.8
"12","4","Equals: Gross domestic purchases","A712RX1",1727.9,1728,1726.7,1773.2,1815.6,1863.6,1874.8,1880.3,1839.7,1832.8,1860.3,1856.6,1935.5,1997.6,2091.1,2121.2,2143.6,2166.3,2198.7,2201.3,2227.8,2242.9,2272,2355,2398,2420.6,2401.7,2361.9,2349.2,2347.5,2371.2,2415.2,2486.8,2536.2,2565,2582.7,2570.2,2581.9,2575.5,2606.8,2622.8,2621.6,2648.7,2625.1,2568,2588,2646.6,2714.5,2764.8,2836.4,2830.2,2840.4,2893,2871.3,2876,2829.9,2847.4,2904.8,2960.9,3020.1,3078.9,3101.5,3141.4,3154,3188.7,3214,3287.9,3304.4,3368.7,3408,3460.1,3468.4,3569.5,3603.6,3689.7,3773.7,3875.1,3883.7,3927.4,3954.8,3988.7,3989.9,4029.6,4064.6,4154.2,4223.7,4252.6,4272.1,4345.9,4353.1,4383.5
"13","5","Less: Change in private inventories","A014RX1",4.9,-3.5,-13.4,-2.2,11.4,21.4,25,19.4,-2,-17.4,-3.9,-17.5,7.4,10.8,14.1,44.9,27.9,40.6,26.9,11.6,14.5,-3.6,16,16.1,13,12.8,7.7,-6.7,-5.9,-9.5,-7.6,-2.7,11.2,16.6,15.1,20.8,17.6,12.2,9.5,8.4,4.6,6.5,9.5,-8.9,-11.1,-9.7,4.9,13,10.4,26.5,3.2,15.6,38.8,11.1,15.6,-18.2,-8.3,7.2,23.8,19.8,31.2,19.7,23,13.6,26.7,17.7,21.1,15.4,16.4,15.7,18.9,18,41.4,29.8,33.5,26.9,47.1,45.4,40.4,55.6,51.4,23.2,30.8,30.1,27.3,48.9,26.1,21,37,31.2,34.9
"14","6","Equals: Final sales to domestic purchasers","A713RX1",1742.3,1757.2,1772.4,1792.4,1813.7,1841.1,1845.2,1864,1857.6,1882.2,1887.8,1909.2,1943.1,1998.5,2085.9,2056.6,2113,2110,2169.1,2200.5,2222.9,2272,2263.9,2347,2396.6,2420,2409.8,2394.3,2378.9,2383.9,2404.8,2441.2,2489.9,2530.9,2562.6,2571.5,2565.1,2585,2582.8,2616.5,2639.5,2634.9,2656.6,2660.5,2606.6,2624.3,2660.5,2718.2,2769.6,2819.1,2850.5,2840.1,2859.8,2879,2875,2880.2,2882.9,2917.8,2949.3,3015.3,3056.6,3097.3,3132.6,3159.4,3173.7,3212.9,3283.3,3308.9,3371.3,3412.1,3460.1,3467.8,3538.4,3588,3668.4,3763,3834.3,3847.5,3897.8,3904.2,3942.9,3985.6,4013.7,4053.6,4144.4,4185,4244.9,4273,4323.6,4339.5,4364.8
"15",NA,"Addendum:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","7","  Final sales of domestic product","A190RX1",1787,1798.7,1813.3,1813.9,1821.8,1835,1838.1,1854,1861.6,1885.6,1884.8,1891.7,1922,1973.7,2044.8,2022.5,2082.2,2092.1,2161.3,2193.4,2211.4,2247.2,2225.3,2299.1,2348.7,2367.3,2361.5,2348.1,2334.4,2343.9,2367.2,2406.6,2452.6,2484.8,2521,2526.4,2520.8,2548.7,2549.8,2593.8,2616.5,2606.9,2626.4,2625.9,2558.7,2572,2609.5,2659.9,2714.7,2761.5,2795.1,2784.6,2815,2841.9,2837.9,2851.8,2854,2884.6,2906.9,2973,3009.2,3060.5,3084.3,3105.6,3126.2,3179.2,3235.7,3269.3,3340.8,3380.5,3422.4,3431.3,3485.5,3548.5,3615.2,3713.4,3775.3,3792.4,3824,3834.8,3873.6,3915,3934.9,3969.8,4052.9,4093.6,4152.2,4178.6,4221.8,4242.6,4264.6
"17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","Note. Chained (2005) dollar series are calculated as the product of the chain-type",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","quantity index and the 2005 current-dollar value of the corresponding series, divided",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","by 100. Because the formula for the chain-type quantity indexes uses weights of more",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","than one period, the corresponding chained-dollar estimates are usually not additive.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
