"","Table 1#9#5# Net Value Added by Sector                          ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44"
"1","[Billions of dollars]                                                                                                                                                                                                                                     ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1929 To 1969",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published August 05, 2010   ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 12/22/2010 12:51:45 PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969
"8","1","    Net domestic product","A362RC1",93.9,81.8,67.7,51,49,58.2,65.5,75.7,82.9,76.9,82.9,91.8,115.7,148.2,182.1,200.2,201.9,199.1,217.4,240.7,238.1,263.8,305.5,322,340.7,339.8,371.9,390.3,410.2,413.9,451.2,469.9,486.6,525.1,554.4,597.3,648.4,711.2,749.5,819.4,885.2
"9","2","Business \1\","A363RC1",81.7,69.8,56.4,40.8,39.3,47.8,54.6,63.3,70.5,63.7,69.6,78.1,100.1,126.1,148.9,159.4,157.3,167,189.2,210.9,205.1,228.3,261.8,272.7,288.3,284.8,312.9,326.9,341.9,339.8,372.3,384.2,394.9,426.1,448.6,483.5,526.2,575.8,600.7,655.4,705
"10","3","  Nonfarm \2\","A364RC1",73.5,63.6,51.4,37.5,35.7,44.2,48.7,58,63.5,58.4,64.6,72.9,92.5,114.6,135.1,145.7,143.1,150.1,171.4,190.4,189.4,211.6,242.5,254.4,272.2,269.3,298.4,312.6,327.9,323.8,358.2,369.1,379.6,410.8,433.4,469.5,509.9,558.9,584.7,639.4,686.9
