"","Table 1#7#6# Relation of Real Gross Domestic Product, Real Gross","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44"
"1","[Billions of chained (2005) dollars]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1969 To 2009",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published December 22, 2010 ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 12/21/2010 10:09:28 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009
"8","1","Gross domestic product","A191RX1",4261.8,4269.9,4413.3,4647.7,4917,4889.9,4879.5,5141.3,5377.7,5677.6,5855,5839,5987.2,5870.9,6136.2,6577.1,6849.3,7086.5,7313.3,7613.9,7885.9,8033.9,8015.1,8287.1,8523.4,8870.7,9093.7,9433.9,9854.3,10283.5,10779.8,11226,11347.2,11553,11840.7,12263.8,12638.4,12976.2,13228.9,13228.8,12880.6
"9","2","Plus: Income receipts from the rest of the world","A645RX1",54.9,56.8,58.7,65.2,88.4,103.6,89.1,96.7,104.1,120.1,163.5,174,184,190.2,184.6,213.2,190.5,183.2,195.8,233,261.2,265.7,228.6,201,200.1,231.9,282.2,297.1,332.2,337.6,371,431.1,358.8,343.1,377.7,465.1,573,697.8,819.6,765.9,575.5
"10","3","Less: Income payments to the rest of the world","A655RX1",25.6,27.7,26.2,30.3,40.4,48.4,46.9,46.2,47.2,63.7,86.5,97.8,117.2,120.3,116.8,149.2,145.3,153.4,167.1,196.4,222.9,217.4,187.9,161.5,160.2,202.1,246.7,260,305.2,317.5,339.1,388.7,301.5,289.4,304.3,370.5,475.9,628,704.1,606.3,441.6
"11","4","Equals: Gross national product","A001RX1",4291.6,4299.4,4446,4682.9,4964.5,4944,4921.4,5191.2,5433.7,5733.2,5930.2,5913.4,6052.5,5939.1,6202.3,6639.8,6893.9,7116.5,7342.2,7650.4,7924,8081.8,8055.6,8326.4,8563.2,8900.5,9129.4,9471.1,9881.8,10304,10812.1,11268.8,11404.6,11606.9,11914.2,12358.5,12735.5,13046.1,13344.4,13388.7,13014.7
"12","5","Less: Consumption of fixed capital","A262RX1",333.6,347.3,358.7,372.1,391.8,409.6,423.8,437.3,454.6,475.3,499.7,522.9,543.8,566.2,585.1,609.5,643.1,674.1,705.5,735.1,766.2,796.5,821.2,844,872.3,906.5,947,994.8,1051.4,1120.5,1199.4,1282.4,1350.8,1399.8,1441.3,1488.3,1541.4,1598.4,1660.9,1714.5,1744.8
"13","6","        Private","A024RX1",241.4,253.6,264.9,278.6,298.1,315.1,327.7,339.4,354.6,373.2,394.8,414.7,432.3,451.1,465.7,484.5,510.9,534,557.6,580.1,604.1,627.1,645.1,662.3,686,716.5,753.7,797.6,850,913.9,986.2,1062.7,1125.5,1168.9,1204.5,1244.4,1290.8,1341,1395.6,1440.3,1461.3
"14","7","        Government","A264RX1",96.9,98.1,97.9,97,96.7,97.4,98.8,100.6,102.4,104.2,106.6,109.6,112.8,116.3,120.6,126.4,133.8,142,150.1,157.5,164.8,172.4,179.3,185.1,189.7,193,195.8,199.2,202.9,207.6,213.8,220,225.4,231,236.8,243.9,250.6,257.4,265.4,274.3,283.2
"15","8","          General government","A265RX1",85.5,86.2,85.5,84.2,83.4,83.5,84.4,85.6,86.9,88.3,90.1,92.4,94.9,97.7,101.3,106.3,112.8,120,127.2,133.7,140.1,146.8,152.7,157.4,160.9,163.3,165.4,167.9,170.9,174.6,179.5,184.5,188.8,193.3,197.7,203.3,208.7,214.9,221.7,229.6,237.5
"16","9","          Government enterprises","A266RX1",10.7,11.2,11.7,12.3,13,13.6,14.3,14.8,15.3,15.8,16.5,17.2,17.9,18.6,19.3,20.1,21,21.9,22.8,23.6,24.5,25.4,26.5,27.5,28.6,29.5,30.4,31.2,31.9,32.9,34.2,35.5,36.6,37.7,39.1,40.6,41.9,42.6,43.6,44.7,45.7
"17","10","Equals: Net national product","A027RX1",4000,3990,4126.5,4354.1,4619.4,4574.3,4531.4,4793.3,5021.7,5304.6,5475.4,5424.6,5539.7,5388.7,5636.5,6057.1,6275.2,6464.3,6656.3,6935.7,7177.8,7301.9,7245,7494.3,7702.3,8005.9,8192.1,8484.8,8837.7,9189,9616.9,9989,10054.4,10207.1,10473,10870.2,11194.1,11447.6,11683.4,11674.1,11271.5
"18",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","11","  Gross domestic income \1\","A261RX1",4249.4,4241.7,4370,4614.2,4888.5,4857.9,4830.9,5075.1,5321.5,5613.1,5747.7,5744.1,5917.2,5862.3,6049.9,6524.4,6780.5,6978.9,7262.5,7628.2,7805.2,7917.2,7908.5,8143.3,8349.8,8734.4,9029.3,9402.7,9870.9,10383.2,10861.8,11377.1,11461.1,11576.9,11823.1,12272,12718,13189.9,13209,13103.1,12717.1
"20","12","  Gross national income \2\","A023RX1",4279.2,4271.1,4402.9,4649.3,4936,4911.9,4872.8,5125.1,5377.5,5668.7,5822.8,5818.5,5982.4,5930.5,6116.1,6587,6825.2,7008.8,7291.4,7664.6,7843.3,7965.1,7949,8182.7,8389.7,8764.3,9065,9439.9,9898.3,10403.7,10894.1,11419.9,11518.7,11630.8,11896.6,12366.6,12815.2,13259.6,13324.5,13263,12851.3
