"","Table 2#4#3# Real Personal Consumption Expenditures by Type of P","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44"
"1","[Index numbers, 2005=100]                                                                                                                                                                                                                                 ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1969 To 2009",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published August 05, 2010   ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 12/22/2010 9:58:56 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009
"8","1","      Personal consumption expenditures","DPCERA3",30.359,31.071,32.255,34.239,35.935,35.637,36.445,38.475,40.094,41.862,42.857,42.705,43.353,43.958,46.471,48.935,51.484,53.572,55.225,57.451,59.075,60.281,60.371,62.43,64.647,67.115,68.931,71.336,73.97,77.849,82.106,86.27,88.603,90.962,93.52,96.754,100,102.886,105.335,105.057,103.797
"9","2","Goods","DGDSRA3",29.283,29.514,30.749,32.76,34.457,33.2,33.425,35.766,37.301,38.842,39.464,38.464,38.919,39.19,41.684,44.688,47.039,49.67,50.564,52.442,53.766,54.099,53.025,54.696,56.969,59.973,61.765,64.53,67.607,72.175,77.924,82.034,84.611,88.05,92.06,96.141,100,103.251,106.105,103.462,101.416
"10","3","  Durable goods","DDURRA3",14.957,14.561,16.024,18.015,19.899,18.623,18.667,20.993,22.848,24.047,23.926,22.02,22.24,22.203,25.374,28.998,31.899,34.959,35.641,37.683,38.51,38.344,36.277,38.361,41.236,44.524,46.282,49.736,53.797,60.352,68.185,74.167,78.193,84.13,89.203,95.073,100,104.064,108.418,102.798,99.011
"11","4","    Motor vehicles and parts","DMOTRA3",26.677,23.883,28.517,32.48,35.603,29.717,29.559,35.559,39.325,41.097,38.645,33.687,34.448,35.363,42.16,49.072,55.414,59.461,57.061,60.367,60.246,59.286,52.218,56.508,59.654,63.382,62.398,65.424,69.849,77.153,84.254,86.935,91.378,96.189,98.934,100.408,100,96.823,98.589,85,79.093
"12","5","      New motor vehicles (55)","DNMVRA3",28.858,24.5,30.643,35.555,39.12,30.335,30.358,38.559,43.869,45.812,41.626,34.157,35.098,36.711,46.143,53.929,61.689,67.266,62.773,66.308,65.351,61.846,49.905,54.59,58.159,61.077,58.117,59.14,62.299,69.243,77.278,81.49,89.444,96.275,100.912,101.921,100,94.24,95.338,76.757,67.926
"13","6","      Net purchases of used motor vehicles (56)","DNPVRA3",26.522,25.078,25.339,26.772,27.249,25.956,25.203,28.603,28.925,29.518,29.383,28.601,28.001,26.862,27.683,34.565,40.093,42.306,43.813,45.893,47.682,51.279,54.177,58.882,59.634,63.917,65.759,72.477,80.02,90.401,96.538,96.287,95.965,98.533,97.169,98.797,100,100.629,104.343,97.989,99.272
"14","7","      Motor vehicle parts and accessories (58)","DMVPRA3",22.706,24.415,27.606,30.759,35.105,35.134,34.858,35.967,38.171,40.835,42.157,41.624,43.256,44.073,49.105,52.634,54.255,54.558,55.032,59.556,59.768,62.404,60.862,62.476,68.088,75.012,78.362,83.554,87.32,88.832,92.866,94.16,90.74,90.083,92.669,96.25,100,101.139,101.834,96.02,89.058
"15","8","    Furnishings and durable household equipment","DFDHRA3",20.546,20.519,21.437,23.663,26.179,26.075,24.715,26.232,28.615,30.12,31.355,30.15,29.572,28.26,30.677,33.753,35.562,38.477,40.106,41.57,43.69,43.093,42.085,43.519,45.755,48.196,50.412,52.596,55.06,59.601,66.511,72.925,76.633,82.219,87.394,94.474,100,105.326,106.659,102.827,96.222
"16","9","      Furniture and furnishings (parts of 31 and 32)","DFFFRA3",21.203,20.793,21.514,23.794,26.329,26.165,24.928,26.625,29.26,30.742,32.002,30.078,29.15,27.403,30.58,34.247,36.073,39.7,42.347,43.353,45.205,43.615,42.038,42.618,44.784,47.554,49.68,52.298,55.623,60.012,66.458,73.109,76.211,81.333,85.915,93.365,100,105.406,107.377,102.976,95.715
"17","10","      Household appliances (part of 33)","DAPPRA3",24.64,25.633,27.494,30.977,34.035,33.814,31.174,32.117,34.274,34.863,35.981,34.961,33.951,31.286,33.641,36.735,40.514,43.638,44.408,46.173,48.543,48.456,48.15,50.603,52.357,52.99,54.959,55.518,55.23,60.381,68.172,74.23,78.398,83.369,88.37,97.107,100,101.812,98.991,95.748,88.973
"18","11","      Glassware, tableware, and household utensils (34)","DUTERA3",19.604,19.308,19.67,20.589,22.495,22.017,20.686,22.092,23.841,25.992,26.762,26.815,27.297,28.405,29.062,30.595,31.145,31.897,31.095,33.202,35.185,36.196,35.719,37.881,40.169,42.682,45.407,47.934,50.017,53.981,62.103,69.48,75.169,84.004,90.644,95.08,100,109.278,114.025,110.449,107.187
"19","12","      Tools and equipment for house and garden (35)","DTOORA3",11.289,11.639,12.53,13.829,16.214,17.322,17.859,19.832,22.494,25.103,27.45,27.802,28.224,27.611,29.076,31.626,31.643,33.996,35.877,38.459,42.262,43.961,44.262,47.959,51.612,55.342,57.554,59.204,61.971,67.648,73.371,76.529,79.321,82.423,89.141,95.843,100,103.819,102.648,100.89,92.495
"20","13","    Recreational goods and vehicles","DREQRA3",3.281,3.51,3.63,4.211,4.653,4.673,5.006,5.447,5.812,6.201,6.525,6.27,6.439,6.471,7.49,8.788,9.767,11.304,12.661,13.863,14.461,14.811,15.308,16.274,18.778,21.797,24.923,28.78,33.256,39.949,48.473,56.916,62.571,70.173,78.114,88.819,100,113.145,125.67,129.771,131.643
