"","Table 3#9#6# Real Government Consumption Expenditures and Gross ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18"
"1","[Billions of chained (2005) dollars]                                                                                                                                                                                                                      ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1995 To 2009",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published December 22, 2010 ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 12/21/2010 10:13:24 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009
"8","1","    Government consumption expenditures and gross investment","A822RX1",1888.9,1907.9,1943.8,1985,2056.1,2097.8,2178.3,2279.6,2330.5,2362,2369.9,2402.1,2434.2,2502.7,2542.6
"9","2","      Consumption expenditures \1\","A955RX1",1608.7,1615.9,1643.3,1673.5,1720.2,1750.6,1816,1897.2,1938.8,1966.9,1977.9,1997.2,2022.6,2073.3,2112.3
"10","3","      Gross investment \2\","A782RX1",283.9,294.6,302.7,313.3,336.5,347.5,362.5,382.5,391.6,395.1,392,404.8,411.6,429.4,430.3
"11","4","        Structures","A760RX1",201.3,209.6,219.3,219.1,232,239.4,251.1,263,265.9,259,246.5,247.7,246.1,248.4,248.6
"12","5","        Equipment and software","A871RX1",85.6,88.5,88.5,96.7,106.3,109.8,113.5,121.4,127.2,136.6,145.5,157.3,166.4,183.7,184.5
"13","6","Federal","A823RX1",704.1,696,689.1,681.4,694.6,698.1,726.5,779.5,831.1,865,876.3,894.9,906.1,971.8,1027.6
"14","7","    Consumption expenditures","A957RX1",625.5,614.6,615.3,602.4,610.4,616.4,642.9,685.8,731.3,759.5,765.8,776.5,782.7,833.9,882.3
