"","Table 1#2#5# Gross Domestic Product by Major Type of Product    ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44"
"11","4","Goods","A353RC1",52,43.2,33.9,23.8,24.3,30.9,36.1,41.5,46.6,40.5,43.6,50.4,64,74.2,90.8,97.8,96.5,110.9,126.2,138.8,130.1,144.7,166,166.2,172.5,168,188.6,197.2,205.2,200,219,227.5,230.6,247.4,258.5,277.8,304.3,337.1,345.4,370.8,397.6
"12","5","    Final sales","A325RC1",50.5,43.5,35,26.2,25.7,31.5,35,40.4,44,41.1,43.4,48,59.7,72.2,91.6,98.7,98,104.9,126.8,133.1,132.8,138.9,156.1,162.7,170.5,169.9,183.6,193.2,204.4,200.4,215.1,224.3,227.6,241.3,252.9,273,295.1,323.5,335.5,361.7,388.4
"13","6","    Change in private inventories","A014RC1",1.5,-0.2,-1.1,-2.4,-1.4,-0.6,1.1,1.2,2.6,-0.6,0.2,2.4,4.3,1.9,-0.7,-0.9,-1.5,6,-0.6,5.7,-2.7,5.8,9.9,3.5,1.9,-1.9,5,4,0.8,-0.4,3.9,3.2,3,6.1,5.6,4.8,9.2,13.6,9.9,9.1,9.2
"14","7","  Durable goods","A354RC1",18,11.9,8.1,3.8,5.1,7.7,9.5,12.5,14.2,10.2,13,17,25.9,30.6,44.3,46.8,38.4,37.9,47.1,49.7,48.2,59.1,69,66.5,73.2,66.3,81.2,83.2,86.7,76.1,91.4,94.2,92.5,105.4,111.2,123.1,137.8,155.4,154.8,167.3,181.6
"15","8","    Final sales","A326RC1",16.6,12.9,9.3,5.9,5.6,7.5,9.2,11.5,13.5,11,12.7,15.7,22.9,29.6,44.3,47.5,39.7,32.6,45.7,48.7,50,55.5,62.9,65.3,71.7,68.8,77.8,81.1,86.2,78.9,88.6,92.5,92.6,102,108.6,119.3,131.6,145.4,150,162.8,175.7
"16","9","    Change in private inventories \1\","A355RC1",1.4,-1,-1.2,-2,-0.5,0.1,0.3,0.9,0.8,-0.9,0.3,1.2,3.1,1,0,-0.6,-1.3,5.3,1.4,1,-1.8,3.6,6.1,1.2,1.5,-2.5,3.4,2.1,0.5,-2.8,2.9,1.7,-0.1,3.4,2.6,3.8,6.2,10,4.8,4.5,6
"17","10","  Nondurable goods","A356RC1",34,31.4,25.9,20,19.2,23.3,26.6,29.1,32.4,30.3,30.6,33.4,38.1,43.6,46.6,50.9,58.1,73,79.1,89.1,81.9,85.6,97.1,99.7,99.3,101.7,107.4,113.9,118.5,123.9,127.6,133.3,138,142,147.3,154.7,166.5,181.6,190.5,203.4,215.9
"18","11","    Final sales","A334RC1",33.9,30.6,25.7,20.3,20.1,24,25.8,28.8,30.5,30.1,30.7,32.2,36.8,42.7,47.3,51.2,58.3,72.3,81.1,84.4,82.8,83.4,93.3,97.3,98.9,101.1,105.8,112.1,118.2,121.5,126.6,131.7,135,139.3,144.3,153.7,163.5,178,185.5,198.9,212.7
"19","12","    Change in private inventories \1\","A357RC1",0.1,0.8,0.1,-0.3,-0.9,-0.7,0.8,0.2,1.9,0.3,-0.1,1.2,1.3,0.9,-0.8,-0.3,-0.2,0.7,-2,4.6,-0.9,2.1,3.8,2.4,0.4,0.6,1.6,1.8,0.3,2.4,1.1,1.6,3,2.7,3,1,3,3.6,5,4.5,3.2
"20","13","Services \2\","A341RC1",39.6,38.3,35.5,30.9,28.8,30.7,32.3,35,37.3,37.8,39.5,41.4,49.3,71.3,97.6,115,119,94.6,95,100.9,107.3,111.9,133.7,150.6,162.6,165.7,174.4,185.6,200.3,211.2,225,237,250.6,270.4,286.6,307.4,330.1,362.6,397.5,439.1,478.6
"21","14","Structures","A755RC1",11.9,9.7,7.1,4,3.4,4.4,5,7.2,8,7.8,9.1,9.7,13.5,16.5,10.2,7,7.5,16.7,22.9,29.5,29.9,37.1,39.6,41.6,44.2,46.7,51.7,54.7,55.5,56,62.5,61.9,63.6,67.8,72.7,78.4,84.7,88,89.6,100,108.3
"22",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","15","  Motor vehicle output","A953RC1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34.7,43.8,44.7
"24","16","  Gross domestic product excluding motor vehicle output","A962RC1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,797.7,866.1,939.8
"25","17","  Final sales of computers \3\","BB01RC1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","18","  Gross domestic product excluding final sales of computers","BB00RC1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","1. Prior to 1959, inventories held by construction establishments are included in nondurable",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","goods. Beginning with 1959, these inventories are included in durable goods.  Estimates for",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","durable goods and nondurable goods for 1996 and earlier periods are based on the 1987",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","Standard Industrial Classification (SIC); later estimates for these industries are based on",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","the North American Industry Classification System (NAICS).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","2. Includes government consumption expenditures, which are for services (such as education",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","and national defense) produced by government. In current dollars, these services are valued",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","at their cost of production.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","3. Some components of final sales of computers include computer parts.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
