"","Table 2#3#5# Personal Consumption Expenditures by Major Type of ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176","F177","F178","F179","F180","F181","F182","F183","F184","F185","F186"
"12","this level of precision in the published tables because the associated sampling ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","and nonsampling errors are larger than this implied level of precision. Compared ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","with the published aggregates, the million-dollar estimates ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","are generally not any more accurate.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","Line",NA,NA,"1969","1969","1969","1969","1970","1970","1970","1970","1971","1971","1971","1971","1972","1972","1972","1972","1973","1973","1973","1973","1974","1974","1974","1974","1975","1975","1975","1975","1976","1976","1976","1976","1977","1977","1977","1977","1978","1978","1978","1978","1979","1979","1979","1979","1980","1980","1980","1980","1981","1981","1981","1981","1982","1982","1982","1982","1983","1983","1983","1983","1984","1984","1984","1984","1985","1985","1985","1985","1986","1986","1986","1986","1987","1987","1987","1987","1988","1988","1988","1988","1989","1989","1989","1989","1990","1990","1990","1990","1991","1991","1991","1991","1992","1992","1992","1992","1993","1993","1993","1993","1994","1994","1994","1994","1995","1995","1995","1995","1996","1996","1996","1996","1997","1997","1997","1997","1998","1998","1998","1998","1999","1999","1999","1999","2000","2000","2000","2000","2001","2001","2001","2001","2002","2002","2002","2002","2003","2003","2003","2003","2004","2004","2004","2004","2005","2005","2005","2005","2006","2006","2006","2006","2007","2007","2007","2007","2008","2008","2008","2008","2009","2009","2009","2009","2010","2010","2010","2010","2011","2011","2011","2011","2012","2012","2012","2012","2013","2013","2013","2013","2014","2014","2014"
"19",NA,NA,NA,"1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3"
"20","1","    Personal consumption expenditures (PCE)","DPCERC1","587,812.0","599,170.0","609,487.0","621,488.0","632,576.0","642,533.0","654,479.0","661,178.0","680,203.0","694,251.0","706,654.0","722,854.0","740,119.0","758,615.0","777,120.0","801,878.0","826,451.0","842,043.0","860,476.0","875,580.0","893,757.0","922,287.0","951,062.0","960,868.0","987,077.0","1,015,822.0","1,049,589.0","1,078,524.0","1,112,300.0","1,131,964.0","1,161,344.0","1,195,080.0","1,230,568.0","1,258,543.0","1,289,707.0","1,327,873.0","1,357,760.0","1,415,292.0","1,446,246.0","1,485,397.0","1,520,983.0","1,561,548.0","1,615,985.0","1,659,463.0","1,706,520.0","1,708,916.0","1,767,679.0","1,835,354.0","1,890,711.0","1,921,924.0","1,961,244.0","1,976,139.0","2,014,394.0","2,041,093.0","2,089,226.0","2,150,927.0","2,190,562.0","2,254,512.0","2,324,306.0","2,376,696.0","2,422,755.0","2,481,222.0","2,519,712.0","2,568,936.0","2,643,896.0","2,691,201.0","2,764,744.0","2,790,877.0","2,834,731.0","2,863,039.0","2,929,733.0","2,966,130.0","2,998,253.0","3,068,803.0","3,133,528.0","3,167,620.0","3,248,998.0","3,308,970.0","3,378,332.0","3,451,266.0","3,506,077.0","3,569,519.0","3,625,560.0","3,670,109.0","3,754,497.0","3,800,161.0","3,863,399.0","3,884,449.0","3,890,218.0","3,943,691.0","3,989,638.0","4,017,069.0","4,117,664.0","4,173,359.0","4,245,410.0","4,326,188.0","4,368,484.0","4,437,456.0","4,506,030.0","4,572,021.0","4,640,857.0","4,702,884.0","4,773,113.0","4,847,226.0","4,883,349.0","4,954,959.0","5,020,462.0","5,077,937.0","5,153,790.0","5,244,132.0","5,298,287.0","5,376,067.0","5,456,730.0","5,495,080.0","5,603,459.0","5,687,614.0","5,745,924.0","5,857,832.0","5,952,816.0","6,055,545.0","6,129,002.0","6,252,980.0","6,357,222.0","6,488,890.0","6,642,744.0","6,737,272.0","6,845,136.0","6,944,405.0","7,020,383.0","7,072,101.0","7,103,358.0","7,216,591.0","7,251,359.0","7,344,494.0","7,433,115.0","7,507,237.0","7,593,530.0","7,684,580.0","7,845,545.0","7,938,463.0","8,076,797.0","8,186,343.0","8,312,675.0","8,464,252.0","8,573,119.0","8,723,929.0","8,888,051.0","8,991,340.0","9,134,285.0","9,253,742.0","9,374,319.0","9,453,632.0","9,591,854.0","9,700,919.0","9,799,229.0","9,910,027.0","9,974,369.0","10,095,765.0","10,124,858.0","9,859,595.0","9,770,222.0","9,769,750.0","9,890,813.0","9,957,093.0","10,044,522.0","10,137,651.0","10,233,421.0","10,393,185.0","10,523,541.0","10,651,357.0","10,754,462.0","10,827,855.0","10,959,651.0","11,030,559.0","11,119,764.0","11,222,587.0","11,351,149.0","11,414,261.0","11,518,653.0","11,653,305.0","11,728,451.0","11,870,703.0","11,959,808.0"
"21","2","Goods","DGDSRC1","298,845.0","302,664.0","306,617.0","310,588.0","314,093.0","317,558.0","321,724.0","321,802.0","333,881.0","339,822.0","343,865.0","350,898.0","357,742.0","368,369.0","377,676.0","391,474.0","407,267.0","412,682.0","420,716.0","425,878.0","435,503.0","448,598.0","463,992.0","458,056.0","467,992.0","481,542.0","502,751.0","513,052.0","530,733.0","538,969.0","550,451.0","565,061.0","580,396.0","592,927.0","603,898.0","624,307.0","629,245.0","661,000.0","672,364.0","691,665.0","707,868.0","722,167.0","753,280.0","768,437.0","792,001.0","777,829.0","801,864.0","827,481.0","860,091.0","863,785.0","881,052.0","872,542.0","886,290.0","887,949.0","901,827.0","921,095.0","925,912.0","962,633.0","990,799.0","1,015,791.0","1,037,897.0","1,063,642.0","1,066,643.0","1,086,621.0","1,110,395.0","1,126,011.0","1,156,935.0","1,157,099.0","1,170,880.0","1,174,747.0","1,216,749.0","1,220,140.0","1,215,880.0","1,251,383.0","1,281,198.0","1,276,730.0","1,308,828.0","1,326,763.0","1,341,167.0","1,372,484.0","1,388,977.0","1,421,091.0","1,441,929.0","1,443,225.0","1,489,564.0","1,479,261.0","1,496,676.0","1,499,702.0","1,485,838.0","1,497,013.0","1,508,728.0","1,498,153.0","1,533,847.0","1,548,207.0","1,573,142.0","1,597,875.0","1,606,982.0","1,634,170.0","1,649,165.0","1,679,070.0","1,705,669.0","1,726,816.0","1,758,889.0","1,794,840.0","1,788,104.0","1,803,898.0","1,826,231.0","1,843,894.0","1,870,998.0","1,915,873.0","1,925,887.0","1,957,926.0","1,986,695.0","1,974,527.0","2,020,469.0","2,045,370.0","2,044,769.0","2,089,508.0","2,120,129.0","2,180,462.0","2,204,797.0","2,272,709.0","2,310,925.0","2,358,640.0","2,412,722.0","2,436,779.0","2,468,822.0","2,493,089.0","2,498,883.0","2,509,685.0","2,514,890.0","2,577,490.0","2,559,548.0","2,587,830.0","2,620,153.0","2,626,789.0","2,656,515.0","2,676,312.0","2,765,141.0","2,788,257.0","2,841,494.0","2,873,246.0","2,910,191.0","2,976,084.0","3,006,393.0","3,057,385.0","3,125,445.0","3,131,896.0","3,191,923.0","3,222,316.0","3,267,512.0","3,261,437.0","3,302,105.0","3,351,082.0","3,374,494.0","3,418,618.0","3,406,263.0","3,458,756.0","3,450,259.0","3,187,522.0","3,136,958.0","3,148,385.0","3,244,924.0","3,263,510.0","3,304,859.0","3,325,626.0","3,362,406.0","3,458,365.0","3,533,972.0","3,587,954.0","3,613,024.0","3,650,897.0","3,709,590.0","3,717,212.0","3,751,888.0","3,788,836.0","3,832,228.0","3,821,037.0","3,865,282.0","3,886,123.0","3,890,605.0","3,964,522.0","3,997,069.0"
"22","3","  Durable goods","DDURRC1","90,010.0","90,448.0","90,629.0","90,844.0","89,611.0","91,009.0","92,010.0","87,326.0","98,053.0","100,989.0","103,442.0","107,303.0","110,704.0","114,065.0","117,591.0","123,418.0","131,813.0","131,296.0","130,799.0","128,203.0","126,650.0","130,582.0","136,325.0","127,148.0","131,786.0","136,693.0","146,787.0","153,393.0","163,297.0","165,898.0","169,845.0","175,455.0","183,930.0","189,223.0","193,990.0","200,704.0","198,170.0","216,187.0","216,742.0","222,300.0","223,277.0","222,101.0","230,932.0","229,049.0","232,055.0","211,916.0","225,364.0","236,230.0","246,046.0","240,936.0","251,926.0","236,842.0","246,437.0","249,227.0","252,108.0","264,356.0","268,909.0","289,584.0","302,363.0","319,270.0","331,440.0","341,270.0","342,075.0","353,839.0","368,010.0","373,251.0","396,451.0","383,753.0","391,628.0","407,293.0","445,708.0","441,133.0","418,497.0","439,101.0","460,541.0","449,949.0","470,441.0","473,223.0","470,389.0","486,162.0","486,449.0","493,343.0","505,640.0","491,885.0","515,394.0","498,408.0","493,569.0","480,946.0","471,690.0","475,248.0","484,335.0","477,454.0","496,179.0","500,989.0","512,092.0","523,065.0","527,853.0","547,844.0","556,638.0","573,796.0","588,823.0","598,720.0","609,310.0","631,828.0","621,251.0","626,914.0","642,542.0","652,243.0","659,826.0","676,331.0","679,383.0","689,641.0","705,590.0","696,587.0","722,779.0","737,162.0","737,701.0","769,239.0","785,044.0","825,189.0","819,948.0","854,806.0","871,191.0","876,329.0","920,876.0","901,930.0","911,657.0","915,824.0","926,811.0","919,478.0","923,888.0","995,881.0","974,943.0","979,662.0","1,003,535.0","983,333.0","974,014.0","1,007,844.0","1,042,259.0","1,045,995.0","1,062,284.0","1,071,657.0","1,084,242.0","1,101,102.0","1,110,514.0","1,140,593.0","1,145,409.0","1,112,412.0","1,153,328.0","1,147,013.0","1,157,970.0","1,166,147.0","1,173,351.0","1,184,942.0","1,190,188.0","1,190,051.0","1,152,314.0","1,139,845.0","1,101,850.0","1,015,118.0","1,012,020.0","1,004,758.0","1,045,826.0","1,030,669.0","1,040,196.0","1,064,689.0","1,075,093.0","1,102,797.0","1,115,282.0","1,112,345.0","1,123,844.0","1,149,842.0","1,177,324.0","1,179,403.0","1,195,399.0","1,216,085.0","1,237,804.0","1,245,389.0","1,252,387.0","1,261,524.0","1,262,254.0","1,298,415.0","1,314,922.0"
"23","4","    Motor vehicles and parts","DMOTRC1","37,648.0","37,131.0","37,673.0","37,340.0","34,926.0","36,242.0","36,415.0","30,569.0","40,977.0","42,504.0","43,688.0","45,763.0","46,750.0","48,431.0","49,577.0","52,700.0","57,071.0","55,834.0","54,038.0","50,489.0","47,025.0","48,140.0","52,135.0","45,364.0","47,653.0","48,551.0","55,500.0","58,869.0","65,798.0","66,961.0","68,708.0","71,220.0","78,285.0","78,729.0","79,879.0","82,290.0","80,468.0","92,443.0","91,180.0","92,601.0","92,680.0","86,786.0","91,801.0","89,432.0","91,768.0","74,693.0","84,156.0","87,103.0","96,733.0","89,827.0","98,766.0","86,737.0","97,178.0","96,916.0","98,652.0","107,309.0","106,024.0","121,549.0","127,089.0","137,119.0","143,397.0","147,234.0","146,100.0","152,035.0","162,848.0","165,666.0","185,417.0","166,330.0","169,549.0","180,300.0","208,067.0","192,160.0","169,526.0","186,315.0","204,254.0","192,628.0","205,898.0","202,318.0","196,832.0","203,806.0","206,096.0","207,677.0","216,833.0","200,478.0","218,403.0","206,218.0","202,933.0","192,921.0","181,698.0","181,444.0","191,685.0","188,165.0","198,408.0","202,283.0","206,549.0","211,953.0","210,885.0","223,647.0","225,960.0","238,369.0","247,101.0","245,670.0","247,732.0","258,868.0","250,111.0","251,639.0","257,579.0","263,505.0","269,096.0","273,423.0","273,767.0","277,653.0","291,015.0","279,481.0","296,882.0","304,952.0","294,224.0","315,038.0","320,676.0","350,881.0","333,634.0","357,342.0","361,029.0","350,915.0","379,250.0","353,555.0","358,808.0","361,298.0","372,476.0","365,693.0","368,964.0","426,025.0","393,742.0","395,229.0","421,393.0","395,024.0","388,504.0","402,776.0","412,831.0","401,961.0","404,414.0","405,471.0","409,595.0","417,763.0","410,857.0","426,047.0","425,188.0","377,724.0","393,310.0","392,161.0","398,316.0","396,010.0","397,752.0","403,787.0","401,227.0","399,526.0","376,548.0","354,898.0","334,659.0","292,416.0","300,680.0","305,226.0","342,448.0","319,878.0","321,317.0","337,363.0","345,782.0","363,359.0","366,708.0","353,339.0","357,246.0","376,540.0","386,181.0","388,908.0","397,149.0","408,119.0","414,809.0","415,532.0","417,535.0","422,815.0","426,865.0","446,150.0","457,072.0"
"24","5","    Furnishings and durable household equipment","DFDHRC1","27,297.0","27,850.0","27,539.0","27,667.0","27,769.0","28,001.0","28,111.0","28,726.0","29,022.0","29,501.0","30,159.0","31,092.0","32,272.0","32,815.0","33,978.0","35,025.0","37,112.0","37,708.0","38,159.0","38,865.0","40,123.0","41,225.0","41,808.0","40,406.0","40,846.0","41,939.0","43,149.0","44,514.0","45,847.0","46,407.0","47,419.0","49,015.0","51,128.0","52,557.0","53,903.0","55,831.0","55,322.0","59,034.0","59,850.0","61,813.0","62,542.0","64,337.0","66,868.0","67,268.0","67,446.0","65,971.0","67,350.0","70,606.0","71,451.0","71,805.0","72,000.0","70,588.0","70,092.0","71,285.0","71,926.0","73,940.0","76,084.0","77,862.0","81,235.0","83,900.0","85,802.0","88,770.0","89,392.0","91,367.0","91,976.0","93,435.0","95,133.0","97,937.0","100,123.0","101,938.0","105,248.0","106,508.0","107,870.0","108,892.0","110,669.0","110,714.0","112,287.0","114,541.0","115,240.0","118,550.0","120,105.0","121,273.0","121,792.0","122,383.0","124,564.0","121,244.0","119,810.0","118,143.0","118,395.0","119,879.0","118,945.0","117,917.0","121,980.0","122,968.0","125,128.0","127,077.0","128,331.0","130,822.0","132,567.0","133,750.0","135,196.0","139,262.0","142,481.0","145,104.0","144,180.0","145,002.0","148,105.0","149,680.0","148,780.0","153,860.0","154,385.0","157,115.0","157,854.0","158,893.0","161,714.0","163,500.0","168,136.0","171,610.0","174,929.0","179,642.0","184,587.0","188,129.0","193,579.0","198,445.0","204,170.0","207,707.0","210,122.0","210,423.0","212,659.0","213,203.0","214,433.0","219,465.0","224,779.0","226,505.0","224,841.0","227,347.0","225,158.0","232,561.0","239,531.0","243,393.0","248,592.0","252,032.0","256,220.0","260,398.0","264,478.0","269,719.0","272,549.0","278,347.0","285,873.0","282,162.0","283,450.0","282,903.0","285,895.0","283,958.0","283,164.0","280,814.0","274,777.0","276,467.0","268,664.0","254,942.0","247,389.0","243,441.0","242,583.0","243,828.0","247,813.0","251,852.0","249,731.0","252,275.0","254,723.0","259,400.0","262,396.0","266,171.0","272,243.0","269,207.0","270,242.0","272,542.0","278,083.0","280,063.0","282,536.0","283,003.0","281,655.0","286,973.0","287,816.0"
"25","6","    Recreational goods and vehicles","DREQRC1","16,410.0","16,736.0","16,736.0","17,048.0","17,838.0","17,632.0","17,934.0","18,294.0","18,352.0","19,036.0","19,346.0","20,055.0","21,192.0","22,028.0","22,975.0","24,171.0","25,474.0","25,094.0","25,537.0","25,281.0","25,533.0","26,618.0","27,572.0","26,617.0","27,786.0","30,179.0","31,111.0","32,374.0","33,289.0","33,666.0","34,273.0","35,461.0","35,855.0","37,305.0","38,374.0","39,383.0","40,047.0","41,548.0","41,696.0","43,515.0","44,471.0","46,326.0","46,431.0","46,112.0","45,539.0","44,638.0","46,534.0","49,251.0","48,531.0","49,643.0","51,165.0","50,175.0","49,926.0","51,119.0","51,535.0","52,567.0","54,870.0","57,205.0","59,694.0","62,852.0","65,816.0","67,131.0","67,956.0","70,472.0","72,999.0","73,346.0","73,707.0","76,249.0","77,741.0","79,626.0","84,939.0","89,760.0","89,772.0","91,688.0","93,007.0","92,742.0","96,272.0","99,270.0","100,198.0","103,769.0","100,770.0","103,640.0","105,231.0","105,981.0","106,704.0","105,749.0","105,223.0","104,557.0","106,159.0","108,052.0","109,176.0","107,474.0","109,458.0","108,897.0","111,345.0","114,279.0","118,577.0","122,220.0","124,758.0","128,338.0","131,789.0","138,439.0","142,006.0","149,126.0","148,846.0","151,260.0","156,839.0","157,944.0","159,665.0","164,689.0","166,330.0","169,036.0","170,572.0","172,416.0","176,299.0","179,242.0","183,884.0","188,662.0","194,654.0","198,238.0","202,687.0","208,554.0","213,540.0","218,906.0","228,745.0","229,731.0","231,905.0","233,054.0","231,431.0","233,223.0","233,984.0","241,093.0","244,670.0","244,597.0","244,014.0","245,812.0","245,877.0","253,037.0","264,878.0","272,982.0","277,904.0","282,796.0","286,651.0","289,004.0","297,657.0","305,445.0","307,017.0","309,973.0","322,983.0","320,847.0","322,604.0","329,972.0","329,757.0","333,126.0","338,593.0","341,643.0","334,473.0","340,442.0","331,815.0","310,593.0","307,713.0","298,496.0","302,205.0","306,687.0","309,134.0","312,598.0","313,633.0","315,577.0","318,309.0","319,537.0","321,389.0","324,688.0","331,751.0","332,547.0","335,752.0","339,103.0","344,733.0","347,903.0","350,631.0","351,517.0","350,608.0","359,427.0","364,112.0"
"26","7","    Other durable goods","DODGRC1","8,655.0","8,731.0","8,681.0","8,789.0","9,078.0","9,134.0","9,550.0","9,737.0","9,702.0","9,948.0","10,249.0","10,393.0","10,490.0","10,791.0","11,061.0","11,522.0","12,156.0","12,660.0","13,065.0","13,568.0","13,969.0","14,599.0","14,810.0","14,761.0","15,501.0","16,024.0","17,027.0","17,636.0","18,363.0","18,864.0","19,445.0","19,759.0","18,662.0","20,632.0","21,834.0","23,200.0","22,333.0","23,162.0","24,016.0","24,371.0","23,584.0","24,652.0","25,832.0","26,237.0","27,302.0","26,614.0","27,324.0","29,270.0","29,331.0","29,661.0","29,995.0","29,342.0","29,241.0","29,907.0","29,995.0","30,540.0","31,931.0","32,968.0","34,345.0","35,399.0","36,425.0","38,135.0","38,627.0","39,965.0","40,187.0","40,804.0","42,194.0","43,237.0","44,215.0","45,429.0","47,454.0","52,705.0","51,329.0","52,206.0","52,611.0","53,865.0","55,984.0","57,094.0","58,119.0","60,037.0","59,478.0","60,753.0","61,784.0","63,043.0","65,723.0","65,197.0","65,603.0","65,325.0","65,438.0","65,873.0","64,529.0","63,898.0","66,333.0","66,841.0","69,070.0","69,756.0","70,060.0","71,155.0","73,353.0","73,339.0","74,737.0","75,349.0","77,091.0","78,730.0","78,114.0","79,013.0","80,019.0","81,114.0","82,285.0","84,359.0","84,901.0","85,837.0","86,149.0","85,797.0","87,884.0","89,468.0","91,457.0","93,929.0","94,785.0","96,428.0","99,040.0","100,781.0","103,043.0","108,063.0","108,711.0","110,937.0","110,822.0","111,049.0","110,245.0","107,359.0","106,507.0","109,298.0","111,752.0","113,331.0","113,287.0","115,150.0","114,475.0","119,470.0","125,019.0","127,659.0","131,374.0","131,358.0","131,776.0","133,937.0","137,522.0","139,382.0","140,655.0","146,368.0","151,162.0","151,843.0","153,600.0","157,262.0","159,947.0","164,071.0","167,204.0","168,068.0","166,516.0","168,038.0","166,712.0","157,167.0","156,238.0","157,595.0","158,590.0","160,276.0","161,932.0","162,876.0","165,947.0","171,586.0","175,542.0","180,069.0","182,813.0","182,443.0","187,149.0","188,741.0","192,256.0","196,321.0","200,179.0","201,891.0","201,685.0","204,189.0","203,126.0","205,865.0","205,922.0"
