"","Table 5#1# Saving and Investment by Sector","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93"
"11","The Bureau of Economic Analysis (BEA) generally does not include estimates at ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","this level of precision in the published tables because the associated sampling ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","and nonsampling errors are larger than this implied level of precision. Compared ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","with the published aggregates, the million-dollar estimates ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","are generally not any more accurate.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","Line",NA,NA,"1947","1947","1947","1947","1948","1948","1948","1948","1949","1949","1949","1949","1950","1950","1950","1950","1951","1951","1951","1951","1952","1952","1952","1952","1953","1953","1953","1953","1954","1954","1954","1954","1955","1955","1955","1955","1956","1956","1956","1956","1957","1957","1957","1957","1958","1958","1958","1958","1959","1959","1959","1959","1960","1960","1960","1960","1961","1961","1961","1961","1962","1962","1962","1962","1963","1963","1963","1963","1964","1964","1964","1964","1965","1965","1965","1965","1966","1966","1966","1966","1967","1967","1967","1967","1968","1968","1968","1968","1969","1969"
"19",NA,NA,NA,"1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2"
"20","1","    Gross saving","A929RC1","47,457.0","46,777.0","48,948.0","53,811.0","58,991.0","62,734.0","62,003.0","62,361.0","54,744.0","48,571.0","50,102.0","44,835.0","53,172.0","61,707.0","67,064.0","77,634.0","74,308.0","82,508.0","80,750.0","81,550.0","82,003.0","76,020.0","79,328.0","82,261.0","83,976.0","84,220.0","83,734.0","76,009.0","78,908.0","79,251.0","80,187.0","84,651.0","89,925.0","95,447.0","97,852.0","102,290.0","105,683.0","107,574.0","111,648.0","113,371.0","114,268.0","114,316.0","114,221.0","104,564.0","100,699.0","97,340.0","104,936.0","112,060.0","117,835.0","124,868.0","117,349.0","120,366.0","133,057.0","126,407.0","127,105.0","121,458.0","124,660.0","127,087.0","134,607.0","140,320.0","141,634.0","142,061.0","144,509.0","145,620.0","149,173.0","153,909.0","154,691.0","158,978.0","161,899.0","163,020.0","166,354.0","172,823.0","180,737.0","182,677.0","183,218.0","184,926.0","194,315.0","194,825.0","195,295.0","201,323.0","197,561.0","193,964.0","201,808.0","208,394.0","207,243.0","214,002.0","215,384.0","221,393.0","229,940.0","231,144.0"
"21","2","Net saving","W201RC1","19,709.0","18,021.0","19,146.0","23,314.0","28,205.0","31,575.0","30,331.0","30,408.0","22,455.0","16,267.0","17,782.0","12,403.0","20,708.0","28,909.0","33,470.0","42,767.0","38,031.0","45,146.0","42,442.0","42,469.0","42,449.0","35,810.0","38,326.0","40,556.0","41,485.0","40,972.0","39,928.0","31,632.0","33,935.0","33,544.0","33,904.0","37,691.0","42,475.0","47,257.0","48,528.0","51,716.0","53,543.0","54,073.0","56,824.0","57,337.0","56,960.0","55,901.0","54,733.0","44,126.0","39,637.0","35,378.0","42,019.0","48,299.0","53,365.0","59,742.0","51,577.0","53,979.0","66,084.0","58,847.0","58,906.0","52,616.0","55,155.0","56,893.0","63,658.0","68,541.0","68,920.0","68,542.0","69,950.0","70,010.0","72,662.0","76,401.0","76,227.0","79,453.0","81,297.0","81,270.0","83,403.0","88,612.0","95,150.0","95,562.0","94,462.0","94,463.0","102,017.0","100,513.0","99,027.0","103,029.0","97,317.0","91,643.0","97,224.0","101,464.0","97,805.0","102,088.0","100,860.0","103,973.0","109,483.0","107,682.0"
"22","3","  Net private saving","W202RC1","16,794.0","15,743.0","19,772.0","18,068.0","23,563.0","28,985.0","31,422.0","32,652.0","27,927.0","24,979.0","26,607.0","21,553.0","32,323.0","29,769.0","23,147.0","31,990.0","23,663.0","38,603.0","41,663.0","40,133.0","39,487.0","36,968.0","40,961.0","40,768.0","41,290.0","41,472.0","40,224.0","38,467.0","41,303.0","39,836.0","39,690.0","42,122.0","43,682.0","45,805.0","46,757.0","47,204.0","48,348.0","50,261.0","52,577.0","53,095.0","53,236.0","54,645.0","53,832.0","49,890.0","48,841.0","49,528.0","53,609.0","56,926.0","56,523.0","59,583.0","53,212.0","56,143.0","58,664.0","55,003.0","56,749.0","55,014.0","57,765.0","61,353.0","66,141.0","68,842.0","71,315.0","71,020.0","70,991.0","71,821.0","72,653.0","73,900.0","73,836.0","77,961.0","82,355.0","87,163.0","85,742.0","89,546.0","92,159.0","93,453.0","99,758.0","99,815.0","100,924.0","100,735.0","101,481.0","108,571.0","111,345.0","107,431.0","111,808.0","116,127.0","110,466.0","115,624.0","106,916.0","109,625.0","103,568.0","105,275.0"
"23","4","    Domestic business","A127RC1","3,890.0","7,234.0","7,276.0","7,899.0","10,807.0","12,285.0","11,502.0","13,150.0","12,736.0","11,744.0","12,692.0","9,296.0","8,140.0","9,209.0","9,361.0","10,471.0","6,057.0","9,673.0","12,394.0","12,154.0","12,067.0","10,765.0","10,863.0","13,128.0","13,292.0","11,609.0","11,034.0","8,548.0","10,668.0","12,063.0","12,667.0","14,818.0","17,413.0","18,330.0","17,240.0","17,610.0","16,216.0","15,966.0","16,985.0","16,326.0","17,226.0","16,624.0","16,016.0","14,031.0","10,994.0","11,685.0","13,715.0","16,913.0","18,681.0","20,879.0","18,310.0","18,999.0","20,334.0","18,484.0","18,247.0","17,062.0","16,022.0","18,749.0","19,919.0","21,928.0","24,084.0","23,868.0","24,699.0","27,034.0","26,880.0","27,873.0","28,321.0","28,530.0","31,693.0","31,336.0","31,444.0","30,963.0","37,079.0","37,653.0","37,637.0","39,706.0","41,935.0","41,283.0","40,424.0","42,641.0","39,781.0","38,285.0","38,658.0","41,102.0","36,791.0","39,245.0","39,010.0","39,290.0","38,052.0","35,780.0"
"24","5","      Undistributed corporate profits","B057RC1","15,902.0","14,420.0","13,972.0","15,895.0","16,575.0","18,117.0","17,291.0","16,196.0","14,251.0","11,772.0","12,520.0","11,861.0","11,561.0","15,243.0","19,421.0","21,845.0","17,733.0","13,697.0","11,942.0","13,632.0","13,630.0","12,303.0","12,690.0","14,668.0","15,845.0","15,134.0","14,801.0","10,123.0","12,179.0","13,357.0","14,245.0","15,767.0","18,323.0","18,668.0","18,795.0","19,899.0","19,081.0","19,866.0","18,615.0","19,847.0","20,086.0","18,575.0","17,814.0","15,638.0","12,092.0","12,352.0","14,928.0","18,626.0","19,918.0","22,210.0","18,669.0","17,832.0","20,502.0","18,116.0","16,595.0","15,606.0","14,959.0","16,363.0","17,709.0","19,423.0","19,872.0","19,374.0","20,213.0","20,870.0","20,112.0","21,708.0","22,433.0","22,984.0","25,445.0","24,813.0","25,496.0","24,634.0","30,279.0","31,414.0","31,653.0","34,013.0","35,385.0","36,116.0","36,149.0","35,681.0","32,239.0","31,734.0","32,590.0","36,215.0","33,944.0","34,722.0","34,508.0","35,799.0","35,270.0","33,251.0"
"25","6","      Inventory valuation adjustment, corporate","B058RC1","-9,652.0","-4,676.0","-4,048.0","-5,220.0","-2,876.0","-2,868.0","-2,796.0","-68.0","1,404.0","2,836.0","2,984.0","200.0","-700.0","-3,316.0","-7,304.0","-8,540.0","-8,724.0","-1,012.0","3,464.0","1,476.0","1,272.0","1,156.0","700.0","796.0","-432.0","-1,596.0","-2,004.0","44.0","-12.0","-36.0","-684.0","-540.0","-1,108.0","-884.0","-2,192.0","-2,760.0","-2,912.0","-3,644.0","-1,192.0","-3,024.0","-2,424.0","-1,508.0","-1,280.0","-944.0","-220.0","312.0","-244.0","-868.0","-628.0","-996.0","-332.0","848.0","-868.0","-604.0","516.0","264.0","-76.0","1,016.0","324.0","-180.0","444.0","-124.0","-752.0","536.0","984.0","216.0","-232.0","-752.0","-236.0","-144.0","-900.0","-696.0","-400.0","-1,120.0","-1,520.0","-1,940.0","-1,196.0","-2,664.0","-3,612.0","-956.0","-372.0","-1,324.0","-1,728.0","-2,792.0","-4,676.0","-2,924.0","-2,952.0","-4,052.0","-4,932.0","-5,220.0"
"26","7","      Capital consumption adjustment, corporate","A059RC1","-2,360.0","-2,510.0","-2,648.0","-2,776.0","-2,892.0","-2,964.0","-2,993.0","-2,978.0","-2,919.0","-2,864.0","-2,812.0","-2,765.0","-2,721.0","-2,718.0","-2,756.0","-2,834.0","-2,952.0","-3,012.0","-3,012.0","-2,954.0","-2,835.0","-2,694.0","-2,527.0","-2,336.0","-2,121.0","-1,929.0","-1,763.0","-1,619.0","-1,499.0","-1,258.0","-894.0","-409.0","198.0","546.0","637.0","471.0","47.0","-256.0","-438.0","-497.0","-436.0","-443.0","-518.0","-663.0","-878.0","-979.0","-969.0","-845.0","-609.0","-335.0","-27.0","319.0","700.0","972.0","1,136.0","1,192.0","1,139.0","1,370.0","1,886.0","2,685.0","3,768.0","4,618.0","5,238.0","5,628.0","5,784.0","5,949.0","6,120.0","6,298.0","6,484.0","6,667.0","6,848.0","7,025.0","7,200.0","7,359.0","7,504.0","7,633.0","7,746.0","7,831.0","7,887.0","7,916.0","7,914.0","7,875.0","7,796.0","7,679.0","7,523.0","7,447.0","7,454.0","7,543.0","7,714.0","7,749.0"
"27","8","    Households and institutions","W986RC1","12,904.0","8,509.0","12,496.0","10,169.0","12,756.0","16,700.0","19,920.0","19,502.0","15,191.0","13,235.0","13,915.0","12,257.0","24,183.0","20,560.0","13,786.0","21,519.0","17,606.0","28,930.0","29,269.0","27,979.0","27,420.0","26,203.0","30,098.0","27,640.0","27,998.0","29,863.0","29,190.0","29,919.0","30,635.0","27,773.0","27,023.0","27,304.0","26,269.0","27,475.0","29,517.0","29,594.0","32,132.0","34,295.0","35,592.0","36,769.0","36,010.0","38,021.0","37,816.0","35,859.0","37,847.0","37,843.0","39,894.0","40,013.0","37,842.0","38,704.0","34,902.0","37,144.0","38,330.0","36,519.0","38,502.0","37,952.0","41,743.0","42,604.0","46,222.0","46,914.0","47,231.0","47,152.0","46,292.0","44,787.0","45,773.0","46,027.0","45,515.0","49,431.0","50,662.0","55,827.0","54,298.0","58,583.0","55,080.0","55,800.0","62,121.0","60,109.0","58,989.0","59,452.0","61,057.0","65,930.0","71,564.0","69,146.0","73,150.0","75,025.0","73,675.0","76,379.0","67,906.0","70,335.0","65,516.0","69,495.0"
"28","9","      Personal saving","A071RC1","12,904.0","8,509.0","12,496.0","10,169.0","12,756.0","16,700.0","19,920.0","19,502.0","15,191.0","13,235.0","13,915.0","12,257.0","24,183.0","20,560.0","13,786.0","21,519.0","17,606.0","28,930.0","29,269.0","27,979.0","27,420.0","26,203.0","30,098.0","27,640.0","27,998.0","29,863.0","29,190.0","29,919.0","30,635.0","27,773.0","27,023.0","27,304.0","26,269.0","27,475.0","29,517.0","29,594.0","32,132.0","34,295.0","35,592.0","36,769.0","36,010.0","38,021.0","37,816.0","35,859.0","37,847.0","37,843.0","39,894.0","40,013.0","37,842.0","38,704.0","34,902.0","37,144.0","38,330.0","36,519.0","38,502.0","37,952.0","41,743.0","42,604.0","46,222.0","46,914.0","47,231.0","47,152.0","46,292.0","44,787.0","45,773.0","46,027.0","45,515.0","49,431.0","50,662.0","55,827.0","54,298.0","58,583.0","55,080.0","55,800.0","62,121.0","60,109.0","58,989.0","59,452.0","61,057.0","65,930.0","71,564.0","69,146.0","73,150.0","75,025.0","73,675.0","76,379.0","67,906.0","70,335.0","65,516.0","69,495.0"
"29","10","  Net government saving","A922RC1","2,915.0","2,278.0","-626.0","5,246.0","4,642.0","2,590.0","-1,091.0","-2,244.0","-5,472.0","-8,712.0","-8,825.0","-9,150.0","-11,615.0","-860.0","10,323.0","10,777.0","14,368.0","6,543.0","779.0","2,336.0","2,962.0","-1,158.0","-2,635.0","-212.0","195.0","-500.0","-296.0","-6,835.0","-7,368.0","-6,292.0","-5,786.0","-4,431.0","-1,207.0","1,452.0","1,771.0","4,512.0","5,195.0","3,812.0","4,247.0","4,242.0","3,724.0","1,256.0","901.0","-5,764.0","-9,204.0","-14,150.0","-11,590.0","-8,627.0","-3,158.0","159.0","-1,635.0","-2,164.0","7,420.0","3,844.0","2,157.0","-2,398.0","-2,610.0","-4,460.0","-2,483.0","-301.0","-2,395.0","-2,478.0","-1,041.0","-1,811.0","9.0","2,501.0","2,391.0","1,492.0","-1,058.0","-5,893.0","-2,339.0","-934.0","2,991.0","2,109.0","-5,296.0","-5,352.0","1,093.0","-222.0","-2,454.0","-5,542.0","-14,028.0","-15,788.0","-14,584.0","-14,663.0","-12,661.0","-13,536.0","-6,056.0","-5,652.0","5,915.0","2,407.0"
"30","11","    Federal","A923RC1","2,825.0","2,061.0","-669.0","5,315.0","4,978.0","2,526.0","-1,136.0","-2,690.0","-6,028.0","-9,150.0","-9,455.0","-9,474.0","-11,602.0","-592.0","9,573.0","9,991.0","12,670.0","5,044.0","-561.0","689.0","1,172.0","-2,447.0","-4,772.0","-2,463.0","-1,481.0","-3,311.0","-2,602.0","-9,257.0","-9,772.0","-8,372.0","-7,569.0","-6,284.0","-2,939.0","-551.0","-719.0","1,946.0","2,294.0","734.0","1,190.0","1,377.0","372.0","-1,545.0","-1,600.0","-7,702.0","-10,174.0","-14,951.0","-12,450.0","-10,561.0","-4,544.0","-1,836.0","-4,232.0","-4,921.0","4,725.0","1,306.0","-378.0","-4,910.0","-4,675.0","-6,383.0","-4,871.0","-2,891.0","-5,371.0","-5,644.0","-4,864.0","-5,490.0","-3,426.0","-1,071.0","-1,637.0","-2,341.0","-5,518.0","-10,155.0","-6,713.0","-5,061.0","-907.0","-1,996.0","-9,380.0","-9,593.0","-4,066.0","-5,623.0","-7,820.0","-10,313.0","-19,263.0","-20,471.0","-18,805.0","-19,426.0","-16,945.0","-18,619.0","-10,089.0","-9,296.0","2,239.0","-1,493.0"
"31","12","    State and local","A924RC1","90.0","217.0","43.0","-69.0","-336.0","64.0","45.0","446.0","556.0","438.0","630.0","324.0","-13.0","-268.0","750.0","786.0","1,698.0","1,499.0","1,340.0","1,647.0","1,790.0","1,289.0","2,137.0","2,251.0","1,676.0","2,811.0","2,306.0","2,422.0","2,404.0","2,080.0","1,783.0","1,853.0","1,732.0","2,003.0","2,490.0","2,566.0","2,901.0","3,078.0","3,057.0","2,865.0","3,352.0","2,801.0","2,501.0","1,938.0","970.0","801.0","860.0","1,934.0","1,386.0","1,995.0","2,597.0","2,757.0","2,695.0","2,538.0","2,535.0","2,512.0","2,065.0","1,923.0","2,388.0","2,590.0","2,976.0","3,166.0","3,823.0","3,679.0","3,435.0","3,572.0","4,028.0","3,833.0","4,460.0","4,262.0","4,374.0","4,127.0","3,898.0","4,105.0","4,084.0","4,241.0","5,159.0","5,401.0","5,366.0","4,771.0","5,235.0","4,683.0","4,221.0","4,763.0","4,284.0","5,083.0","4,033.0","3,644.0","3,676.0","3,900.0"
"32","13","Consumption of fixed capital","A262RC1","27,748.0","28,756.0","29,802.0","30,497.0","30,786.0","31,159.0","31,672.0","31,953.0","32,289.0","32,304.0","32,320.0","32,432.0","32,464.0","32,798.0","33,594.0","34,867.0","36,277.0","37,362.0","38,308.0","39,081.0","39,554.0","40,210.0","41,002.0","41,705.0","42,491.0","43,248.0","43,806.0","44,377.0","44,973.0","45,707.0","46,283.0","46,960.0","47,450.0","48,190.0","49,324.0","50,574.0","52,140.0","53,501.0","54,824.0","56,034.0","57,308.0","58,415.0","59,488.0","60,438.0","61,062.0","61,962.0","62,917.0","63,761.0","64,470.0","65,126.0","65,772.0","66,387.0","66,973.0","67,560.0","68,199.0","68,842.0","69,505.0","70,194.0","70,949.0","71,779.0","72,714.0","73,519.0","74,559.0","75,610.0","76,511.0","77,508.0","78,464.0","79,525.0","80,602.0","81,750.0","82,951.0","84,211.0","85,587.0","87,115.0","88,756.0","90,463.0","92,298.0","94,312.0","96,268.0","98,294.0","100,244.0","102,321.0","104,584.0","106,930.0","109,438.0","111,914.0","114,524.0","117,420.0","120,457.0","123,462.0"
"33","14","  Private","A024RC1","16,291.0","17,304.0","18,242.0","19,104.0","19,887.0","20,574.0","21,165.0","21,661.0","22,060.0","22,432.0","22,777.0","23,093.0","23,384.0","23,880.0","24,579.0","25,484.0","26,594.0","27,500.0","28,198.0","28,689.0","28,977.0","29,318.0","29,712.0","30,163.0","30,667.0","31,141.0","31,582.0","31,995.0","32,374.0","32,759.0","33,150.0","33,548.0","33,949.0","34,528.0","35,281.0","36,209.0","37,312.0","38,352.0","39,329.0","40,243.0","41,095.0","41,901.0","42,659.0","43,370.0","44,035.0","44,651.0","45,220.0","45,739.0","46,211.0","46,643.0","47,034.0","47,385.0","47,695.0","48,025.0","48,373.0","48,740.0","49,124.0","49,540.0","49,991.0","50,473.0","50,986.0","51,515.0","52,055.0","52,612.0","53,182.0","53,801.0","54,466.0","55,182.0","55,947.0","56,784.0","57,694.0","58,676.0","59,733.0","60,887.0","62,143.0","63,500.0","64,957.0","66,424.0","67,905.0","69,396.0","70,899.0","72,472.0","74,113.0","75,822.0","77,596.0","79,510.0","81,558.0","83,744.0","86,068.0","88,342.0"
