"","Table 3#2# Federal Government Current Receipts and Expenditures ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44"
"21","3","  Personal current taxes \1\","A074RC1","1,179.0","1,045.0","532.0","285.0","390.0","455.0","568.0","732.0","1,305.0","1,231.0","855.0","1,014.0","1,601.0","4,164.0","15,987.0","16,876.0","18,613.0","16,351.0","18,793.0","18,065.0","15,376.0","17,432.0","25,375.0","30,167.0","31,306.0","28,068.0","30,470.0","33,913.0","35,994.0","35,485.0","38,466.0","41,838.0","42,694.0","46,529.0","49,138.0","45,985.0","51,068.0","58,602.0","64,386.0","76,435.0","91,700.0"
"22","4","  Taxes on production and imports \2\","W007RC1","1,137.0","989.0","845.0","881.0","1,583.0","2,144.0","2,142.0","2,212.0","2,364.0","2,171.0","2,278.0","2,581.0","3,512.0","3,982.0","4,832.0","5,952.0","6,912.0","7,691.0","7,664.0","7,828.0","7,870.0","8,734.0","9,190.0","10,121.0","10,707.0","9,507.0","10,428.0","10,966.0","11,500.0","11,198.0","12,211.0","13,072.0","13,161.0","14,131.0","14,686.0","15,424.0","15,427.0","14,449.0","15,164.0","16,872.0","17,812.0"
"23","5","    Excise taxes","B234RC1","562.0","535.0","489.0","633.0","1,220.0","1,761.0","1,694.0","1,687.0","1,771.0","1,702.0","1,818.0","2,109.0","2,814.0","3,358.0","4,055.0","5,217.0","6,175.0","7,202.0","7,246.0","7,436.0","7,505.0","8,200.0","8,615.0","9,557.0","10,137.0","8,963.0","9,771.0","10,245.0","10,732.0","10,373.0","11,162.0","12,006.0","12,131.0","12,929.0","13,459.0","14,106.0","13,814.0","12,580.0","13,255.0","14,614.0","15,442.0"
"24","6","    Customs duties","B235RC1","575.0","454.0","356.0","248.0","283.0","291.0","353.0","387.0","454.0","342.0","327.0","305.0","416.0","295.0","396.0","363.0","384.0","489.0","418.0","392.0","365.0","534.0","575.0","564.0","570.0","544.0","657.0","721.0","768.0","825.0","1,049.0","1,066.0","1,030.0","1,202.0","1,227.0","1,318.0","1,613.0","1,869.0","1,909.0","2,258.0","2,370.0"
"25","7","  Taxes on corporate income","B075RC1","1,224.0","744.0","423.0","328.0","462.0","644.0","820.0","1,252.0","1,337.0","895.0","1,285.0","2,635.0","7,333.0","11,065.0","13,616.0","12,484.0","10,234.0","8,642.0","10,664.0","11,750.0","9,598.0","17,155.0","21,676.0","18,573.0","19,478.0","16,851.0","21,073.0","20,949.0","20,404.0","17,960.0","22,484.0","21,447.0","21,491.0","22,470.0","24,578.0","26,141.0","28,899.0","31,428.0","30,026.0","36,055.0","36,064.0"
"26","8","    Federal Reserve banks","B677RC1","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","75.0","167.0","193.0","197.0","255.0","292.0","343.0","276.0","252.0","402.0","543.0","524.0","911.0","897.0","687.0","799.0","880.0","1,582.0","1,297.0","1,649.0","1,907.0","2,464.0","3,019.0"
"27","9","    Other","A678RC1","1,224.0","744.0","423.0","328.0","462.0","644.0","820.0","1,252.0","1,337.0","895.0","1,285.0","2,635.0","7,333.0","11,065.0","13,616.0","12,484.0","10,234.0","8,642.0","10,589.0","11,583.0","9,405.0","16,958.0","21,421.0","18,281.0","19,135.0","16,575.0","20,821.0","20,547.0","19,861.0","17,436.0","21,573.0","20,550.0","20,804.0","21,671.0","23,698.0","24,559.0","27,602.0","29,779.0","28,119.0","33,591.0","33,045.0"
"28","10","  Taxes from the rest of the world","W008RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","84.0","95.0","112.0","145.0","188.0","183.0","206.0","228.0","248.0","319.0","394.0"
"29","11","Contributions for government social insurance","W780RC1","74.0","73.0","70.0","71.0","63.0","69.0","72.0","312.0","1,473.0","1,617.0","1,752.0","1,870.0","2,334.0","2,890.0","3,773.0","4,342.0","5,336.0","6,463.0","5,389.0","4,415.0","4,696.0","5,259.0","6,410.0","6,667.0","6,823.0","7,776.0","8,780.0","9,647.0","11,047.0","11,026.0","13,461.0","16,017.0","16,565.0","18,626.0","21,106.0","21,782.0","22,742.0","30,620.0","34,102.0","37,897.0","43,314.0"
"30","12","Income receipts on assets","W009RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","2.0","26.0","40.0","36.0","53.0","57.0","61.0","70.0","74.0","81.0","92.0","98.0","125.0","1,480.0","1,591.0","1,793.0","1,894.0","1,948.0","2,023.0","2,236.0","2,636.0","3,072.0","2,816.0"
"31","13","  Interest receipts \3\","B094RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","1,328.0","1,413.0","1,598.0","1,685.0","1,723.0","1,800.0","1,991.0","2,334.0","2,735.0","2,490.0"
"32","14","  Dividends","W053RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","....."
"33","15","  Rents and royalties \4\","B1040C1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","2.0","26.0","40.0","36.0","53.0","57.0","61.0","70.0","74.0","81.0","92.0","98.0","125.0","152.0","178.0","195.0","209.0","225.0","223.0","245.0","302.0","337.0","326.0"
"34","16","Current transfer receipts","W011RC1","80.0","85.0","69.0","59.0","52.0","50.0","65.0","93.0","103.0","105.0","102.0","111.0","130.0","170.0","265.0","413.0","434.0","305.0","302.0","292.0","280.0","187.0","211.0","226.0","232.0","239.0","247.0","287.0","280.0","289.0","273.0","302.0","357.0","394.0","463.0","617.0","937.0","1,019.0","968.0","953.0","998.0"
"35","17","  From business","W012RC1","56.0","56.0","49.0","43.0","36.0","37.0","51.0","76.0","82.0","85.0","87.0","95.0","109.0","128.0","186.0","305.0","316.0","208.0","262.0","258.0","245.0","155.0","165.0","173.0","168.0","176.0","197.0","232.0","235.0","242.0","229.0","261.0","312.0","342.0","406.0","559.0","885.0","971.0","909.0","911.0","937.0"
"36","18","  From persons","B233RC1","24.0","29.0","20.0","16.0","16.0","13.0","14.0","17.0","21.0","20.0","15.0","16.0","21.0","42.0","79.0","108.0","118.0","97.0","40.0","34.0","35.0","32.0","46.0","53.0","64.0","63.0","50.0","55.0","45.0","47.0","44.0","41.0","45.0","52.0","57.0","58.0","52.0","48.0","59.0","42.0","61.0"
"37","19","Current surplus of government enterprises \5\","B097RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","-501.0","-696.0","-892.0","-901.0","-716.0","-762.0","-875.0","-1,195.0","-1,277.0","-1,029.0","-1,263.0"
"38","20","    Current expenditures","W013RC1","2,892.0","2,950.0","4,280.0","3,206.0","3,714.0","5,926.0","5,946.0","8,206.0","6,761.0","7,769.0","8,815.0","9,220.0","14,283.0","33,672.0","55,533.0","69,521.0","73,597.0","47,618.0","40,431.0","41,457.0","46,387.0","46,961.0","58,455.0","67,938.0","72,770.0","70,510.0","71,638.0","74,444.0","81,936.0","88,090.0","90,486.0","93,369.0","99,784.0","108,529.0","113,456.0","118,180.0","125,896.0","144,343.0","165,744.0","184,311.0","196,943.0"
"39","21","Consumption expenditures","A957RC1","1,647.0","1,673.0","1,641.0","1,520.0","1,764.0","2,565.0","2,334.0","4,471.0","3,978.0","4,618.0","5,038.0","5,189.0","10,581.0","29,271.0","50,485.0","62,709.0","62,848.0","28,982.0","23,020.0","22,683.0","24,559.0","23,928.0","37,444.0","47,601.0","51,607.0","47,159.0","46,799.0","47,360.0","50,873.0","52,557.0","51,778.0","50,949.0","52,707.0","58,990.0","61,164.0","63,108.0","66,451.0","76,455.0","88,020.0","96,811.0","100,423.0"
"40","22","Current transfer payments","W014RC1","793.0","840.0","2,006.0","1,017.0","1,139.0","2,150.0","2,259.0","2,712.0","1,474.0","1,757.0","2,014.0","2,042.0","1,856.0","2,124.0","1,862.0","2,405.0","5,175.0","11,798.0","11,299.0","12,405.0","15,128.0","15,649.0","13,029.0","12,333.0","12,967.0","14,807.0","15,978.0","16,733.0","19,269.0","23,366.0","26,209.0","27,396.0","31,162.0","32,159.0","33,816.0","34,862.0","37,864.0","43,699.0","52,008.0","58,801.0","64,547.0"
"41","23","  Government social benefits","W015RC1","645.0","683.0","1,658.0","867.0","625.0","513.0","539.0","1,962.0","721.0","1,084.0","1,122.0","1,295.0","1,239.0","1,287.0","1,092.0","1,651.0","4,054.0","8,654.0","8,383.0","7,186.0","8,200.0","10,227.0","7,894.0","8,081.0","8,702.0","10,680.0","11,502.0","12,300.0","14,531.0","18,191.0","18,578.0","20,113.0","23,383.0","23,802.0","24,968.0","25,509.0","27,715.0","30,347.0","37,075.0","42,417.0","46,341.0"
"42","24","    To persons","B087RC1","645.0","683.0","1,658.0","867.0","625.0","513.0","539.0","1,962.0","721.0","1,084.0","1,122.0","1,295.0","1,239.0","1,287.0","1,092.0","1,651.0","4,054.0","8,654.0","8,383.0","7,186.0","8,200.0","10,227.0","7,894.0","8,081.0","8,702.0","10,680.0","11,502.0","12,300.0","14,531.0","18,191.0","18,578.0","19,867.0","23,107.0","23,503.0","24,644.0","25,163.0","27,262.0","29,883.0","36,520.0","41,860.0","45,756.0"
"43","25","    To the rest of the world \6\","W016RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","246.0","276.0","299.0","324.0","346.0","453.0","464.0","555.0","557.0","585.0"
"44","26","  Other current transfer payments","W010RC1","148.0","157.0","348.0","150.0","514.0","1,637.0","1,720.0","750.0","753.0","673.0","892.0","747.0","617.0","837.0","770.0","754.0","1,121.0","3,144.0","2,916.0","5,219.0","6,928.0","5,422.0","5,135.0","4,252.0","4,265.0","4,127.0","4,476.0","4,433.0","4,738.0","5,175.0","7,631.0","7,283.0","7,779.0","8,357.0","8,848.0","9,353.0","10,149.0","13,352.0","14,933.0","16,384.0","18,206.0"
"45","27","    Grants-in-aid to state and local governments","B089RC1","114.0","121.0","308.0","129.0","497.0","1,628.0","1,701.0","719.0","695.0","646.0","867.0","717.0","633.0","748.0","825.0","844.0","772.0","888.0","951.0","1,371.0","1,798.0","1,839.0","1,978.0","2,083.0","2,197.0","2,249.0","2,316.0","2,432.0","2,799.0","3,209.0","3,630.0","3,820.0","4,282.0","4,736.0","5,245.0","5,953.0","6,560.0","9,366.0","10,934.0","11,838.0","13,660.0"
"46","28","    To the rest of the world (net) \6\","W017RC1","34.0","36.0","40.0","21.0","17.0","9.0","19.0","31.0","58.0","27.0","25.0","30.0","-16.0","89.0","-55.0","-90.0","349.0","2,256.0","1,965.0","3,848.0","5,130.0","3,583.0","3,157.0","2,169.0","2,068.0","1,878.0","2,160.0","2,001.0","1,939.0","1,966.0","4,001.0","3,463.0","3,497.0","3,621.0","3,603.0","3,400.0","3,589.0","3,986.0","3,999.0","4,546.0","4,546.0"
"47","29","Interest payments \3\","A091RC1","309.0","264.0","406.0","470.0","549.0","622.0","595.0","552.0","774.0","746.0","764.0","1,000.0","1,108.0","1,440.0","2,227.0","2,963.0","3,990.0","5,110.0","5,377.0","5,554.0","5,878.0","6,187.0","6,534.0","6,827.0","7,229.0","7,646.0","7,921.0","8,845.0","9,898.0","10,045.0","11,441.0","13,878.0","13,901.0","15,107.0","16,254.0","17,491.0","18,592.0","20,264.0","21,931.0","24,552.0","27,464.0"
"48","30","  To persons and business \3\","B092RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","13,546.0","13,623.0","14,768.0","15,853.0","17,038.0","18,103.0","19,715.0","21,333.0","23,850.0","26,687.0"
"49","31","  To the rest of the world","B093RC1","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","6.0","6.0","7.0","9.0","12.0","17.0","15.0","16.0","17.0","25.0","31.0","47.0","64.0","86.0","59.0","94.0","154.0","201.0","139.0","281.0","332.0","278.0","339.0","401.0","453.0","489.0","549.0","598.0","702.0","777.0"
"50","32","Subsidies \5\","B096RC1","143.0","173.0","227.0","199.0","262.0","589.0","758.0","471.0","535.0","648.0","999.0","989.0","738.0","837.0","959.0","1,444.0","1,584.0","1,728.0","735.0","815.0","822.0","1,197.0","1,448.0","1,177.0","967.0","898.0","940.0","1,506.0","1,896.0","2,122.0","1,058.0","1,146.0","2,014.0","2,273.0","2,222.0","2,719.0","2,989.0","3,925.0","3,785.0","4,147.0","4,509.0"
"51","33","    Net federal government saving","A923RC1","802.0","-14.0","-2,341.0","-1,582.0","-1,164.0","-2,564.0","-2,279.0","-3,605.0","-179.0","-1,750.0","-2,543.0","-1,009.0","627.0","-11,401.0","-17,060.0","-29,454.0","-32,068.0","-8,166.0","2,383.0","919.0","-8,527.0","1,842.0","4,460.0","-2,127.0","-4,163.0","-7,999.0","-566.0","1,399.0","-2,619.0","-12,034.0","-3,883.0","186.0","-4,705.0","-5,342.0","-2,119.0","-6,862.0","-5,469.0","-6,956.0","-19,491.0","-13,737.0","-5,108.0"
"52","34","Social insurance funds","B243RC1","61.0","64.0","56.0","42.0","39.0","39.0","45.0","247.0","1,387.0","990.0","1,031.0","1,036.0","1,611.0","2,178.0","3,288.0","3,882.0","4,259.0","3,212.0","3,180.0","2,401.0","1,512.0","-252.0","2,625.0","2,659.0","2,086.0","1,196.0","1,546.0","1,710.0","1,099.0","-2,677.0","-683.0","384.0","-2,337.0","-582.0","831.0","1,252.0","433.0","5,998.0","4,107.0","3,168.0","5,697.0"
"53","35","Other","B244RC1","741.0","-78.0","-2,398.0","-1,624.0","-1,203.0","-2,603.0","-2,324.0","-3,852.0","-1,567.0","-2,740.0","-3,574.0","-2,045.0","-984.0","-13,579.0","-20,348.0","-33,336.0","-36,327.0","-11,378.0","-797.0","-1,481.0","-10,039.0","2,094.0","1,835.0","-4,786.0","-6,249.0","-9,196.0","-2,112.0","-311.0","-3,718.0","-9,357.0","-3,200.0","-198.0","-2,368.0","-4,760.0","-2,950.0","-8,114.0","-5,902.0","-12,954.0","-23,598.0","-16,905.0","-10,805.0"
"54",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55","36","  Total receipts","W018RC1","3,754.0","2,996.0","1,994.0","1,654.0","2,618.0","3,489.0","3,912.0","4,982.0","6,979.0","6,404.0","6,638.0","8,547.0","15,306.0","22,736.0","38,928.0","40,624.0","42,183.0","40,177.0","43,633.0","43,261.0","38,600.0","49,446.0","63,646.0","66,648.0","69,517.0","63,419.0","72,040.0","77,111.0","80,747.0","77,385.0","88,007.0","95,314.0","97,029.0","105,241.0","113,578.0","113,885.0","123,242.0","140,433.0","149,318.0","173,702.0","195,398.0"
"56","37","    Current receipts","W005RC1","3,694.0","2,936.0","1,939.0","1,624.0","2,550.0","3,362.0","3,667.0","4,601.0","6,582.0","6,019.0","6,272.0","8,211.0","14,910.0","22,271.0","38,473.0","40,067.0","41,529.0","39,452.0","42,814.0","42,376.0","37,860.0","48,803.0","62,915.0","65,811.0","68,607.0","62,511.0","71,072.0","75,843.0","79,317.0","76,056.0","86,603.0","93,555.0","95,079.0","103,187.0","111,337.0","111,318.0","120,427.0","137,387.0","146,253.0","170,574.0","191,835.0"
"57","38","    Capital transfer receipts","B232RC1","60.0","60.0","55.0","30.0","68.0","127.0","245.0","381.0","397.0","385.0","366.0","336.0","396.0","465.0","455.0","557.0","654.0","725.0","819.0","885.0","740.0","643.0","731.0","837.0","910.0","908.0","968.0","1,268.0","1,430.0","1,329.0","1,404.0","1,759.0","1,950.0","2,054.0","2,241.0","2,567.0","2,815.0","3,046.0","3,065.0","3,128.0","3,563.0"
"58","39","  Total expenditures","W019RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","103,190.0","111,767.0","121,544.0","125,921.0","130,811.0","137,130.0","158,442.0","179,294.0","196,383.0","207,854.0"
"59","40","    Current expenditures","W013RC1","2,892.0","2,950.0","4,280.0","3,206.0","3,714.0","5,926.0","5,946.0","8,206.0","6,761.0","7,769.0","8,815.0","9,220.0","14,283.0","33,672.0","55,533.0","69,521.0","73,597.0","47,618.0","40,431.0","41,457.0","46,387.0","46,961.0","58,455.0","67,938.0","72,770.0","70,510.0","71,638.0","74,444.0","81,936.0","88,090.0","90,486.0","93,369.0","99,784.0","108,529.0","113,456.0","118,180.0","125,896.0","144,343.0","165,744.0","184,311.0","196,943.0"
"60","41","    Gross government investment","A787RC1","230.0","315.0","404.0","463.0","675.0","870.0","1,216.0","1,289.0","1,296.0","1,285.0","1,184.0","1,639.0","8,517.0","27,409.0","38,984.0","37,409.0","24,457.0","3,079.0","2,793.0","4,419.0","5,912.0","5,527.0","12,533.0","17,221.0","18,659.0","16,097.0","14,211.0","15,752.0","17,575.0","18,937.0","21,770.0","21,892.0","24,647.0","26,502.0","26,670.0","27,115.0","26,698.0","30,088.0","31,939.0","31,106.0","30,723.0"
"61","42","    Capital transfer payments","W020RC1",".....",".....",".....",".....",".....",".....",".....",".....","63.0","125.0","113.0","130.0","162.0","122.0","91.0","71.0","65.0","83.0","143.0","266.0","372.0","442.0","442.0","490.0","560.0","585.0","721.0","809.0","1,312.0","2,332.0","3,122.0","2,616.0","2,854.0","3,067.0","3,586.0","4,064.0","4,035.0","4,387.0","4,260.0","5,993.0","5,860.0"
"62","43","    Net purchases of nonproduced assets","AD08RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","451.0","493.0","594.0","525.0","626.0","471.0","642.0","-231.0","-914.0","104.0"
"63","44","    Less: Consumption of fixed capital","A918RC1","214.0","205.0","207.0","200.0","214.0","255.0","288.0","338.0","384.0","421.0","442.0","491.0","866.0","2,206.0","4,952.0","7,876.0","9,250.0","9,952.0","9,591.0","8,433.0","7,570.0","6,920.0","7,391.0","8,280.0","9,242.0","10,066.0","10,736.0","11,689.0","12,712.0","13,402.0","14,269.0","15,138.0","16,011.0","17,148.0","18,316.0","19,174.0","19,970.0","21,018.0","22,418.0","24,113.0","25,776.0"
"64","45","  Net lending or net borrowing (-)","AD02RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","-7,876.0","-14,738.0","-16,303.0","-12,343.0","-16,926.0","-13,888.0","-18,009.0","-29,976.0","-22,681.0","-12,456.0"
"65",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"66","1. Includes dividends tax for 1933-34 and automobile use tax",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"67","for 1942-46 as shown in table 3.4.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"68","2. Includes the capital stock tax for 1933-45 as shown in table 3.5.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"69","3. Prior to 1960, interest payments to persons and business (line 30)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
