"","Table 7#3#5# Farm Sector Output, Gross Value Added, and Net Valu","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48"
"11","The Bureau of Economic Analysis (BEA) generally does not include estimates at ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","this level of precision in the published tables because the associated sampling ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","and nonsampling errors are larger than this implied level of precision. Compared ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","with the published aggregates, the million-dollar estimates ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","are generally not any more accurate.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","Line",NA,NA,"1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013"
"19","1","Farm output","A2000C1","49,498.0","51,782.0","55,438.0","63,374.0","91,300.0","91,989.0","94,385.0","96,123.0","99,491.0","117,591.0","140,461.0","137,795.0","152,608.0","146,978.0","130,024.0","154,879.0","147,668.0","139,187.0","147,055.0","153,681.0","171,924.0","179,887.0","175,266.0","182,577.0","182,156.0","197,496.0","191,897.0","215,813.0","219,380.0","207,822.0","199,949.0","204,316.0","212,335.0","201,897.0","226,838.0","261,822.0","253,020.0","255,760.0","302,485.0","336,096.0","301,172.0","328,247.0","386,980.0","405,303.0","426,498.0"
"20","2","  Cash receipts from farm marketings","A2001C1","48,190.0","51,302.0","52,423.0","61,581.0","87,909.0","92,775.0","88,898.0","94,697.0","92,677.0","113,313.0","133,416.0","140,267.0","139,607.0","135,277.0","140,186.0","144,605.0","136,348.0","135,295.0","147,599.0","159,414.0","166,110.0","171,935.0","170,620.0","172,343.0","182,359.0","181,111.0","194,257.0","201,510.0","208,708.0","198,104.0","191,785.0","197,589.0","201,873.0","195,768.0","215,516.0","240,174.0","241,433.0","245,494.0","289,970.0","318,896.0","289,758.0","322,174.0","369,131.0","395,580.0","399,929.0"
"21","3","    Crops","B1005C1","19,617.0","21,770.0","21,944.0","25,997.0","42,137.0","51,449.0","45,809.0","48,374.0","45,042.0","54,151.0","64,181.0","72,276.0","70,457.0","65,018.0","70,579.0","71,711.0","66,526.0","63,741.0","71,602.0","79,774.0","82,506.0","82,826.0","84,833.0","86,593.0","91,814.0","92,817.0","107,040.0","108,561.0","112,233.0","103,855.0","96,071.0","97,971.0","95,176.0","101,812.0","109,844.0","116,702.0","116,502.0","126,995.0","151,491.0","177,258.0","169,498.0","180,620.0","203,222.0","223,996.0","217,743.0"
"22","4","    Livestock","B1006C1","28,573.0","29,532.0","30,479.0","35,584.0","45,772.0","41,326.0","43,089.0","46,323.0","47,635.0","59,162.0","69,235.0","67,991.0","69,150.0","70,259.0","69,607.0","72,894.0","69,822.0","71,554.0","75,996.0","79,640.0","83,604.0","89,110.0","85,787.0","85,750.0","90,545.0","88,294.0","87,217.0","92,949.0","96,475.0","94,249.0","95,714.0","99,618.0","106,697.0","93,957.0","105,672.0","123,473.0","124,931.0","118,499.0","138,479.0","141,638.0","120,260.0","141,554.0","165,909.0","171,584.0","182,186.0"
"23","5","  Farm products consumed on farms","B1008C1","731.0","776.0","744.0","889.0","1,115.0","1,190.0","1,129.0","1,185.0","1,161.0","1,215.0","1,346.0","1,233.0","1,214.0","1,129.0","1,049.0","1,017.0","926.0","896.0","743.0","732.0","672.0","640.0","607.0","575.0","543.0","511.0","479.0","447.0","414.0","382.0","350.0","318.0","286.0","281.0","275.0","340.0","384.0","465.0","403.0","420.0","394.0","395.0","373.0","391.0","415.0"
"24","6","  Other farm income","B1009C1","559.0","542.0","610.0","615.0","749.0","805.0","998.0","1,079.0","1,120.0","1,692.0","2,130.0","2,410.0","3,027.0","4,817.0","4,144.0","3,529.0","4,639.0","4,446.0","5,131.0","5,412.0","5,157.0","4,932.0","5,145.0","4,682.0","5,144.0","5,070.0","6,338.0","6,098.0","7,414.0","8,529.0","9,399.0","8,426.0","9,565.0","9,577.0","10,749.0","12,287.0","11,306.0","13,082.0","12,570.0","14,661.0","12,711.0","12,472.0","15,012.0","17,458.0","14,449.0"
"25","7","  Change in farm finished goods inventories","W248RC1","18.0","-838.0","1,661.0","289.0","1,527.0","-2,781.0","3,360.0","-838.0","4,533.0","1,371.0","3,568.0","-6,114.0","8,760.0","5,754.0","-15,355.0","5,728.0","5,754.0","-1,450.0","-6,418.0","-11,877.0","-14.0","2,380.0","-1,107.0","4,977.0","-5,889.0","10,804.0","-9,178.0","7,759.0","2,843.0","807.0","-1,585.0","-2,016.0","610.0","-3,729.0","299.0","9,020.0","-104.0","-3,282.0","-458.0","2,119.0","-1,691.0","-6,795.0","2,464.0","-8,126.0","11,706.0"
"26","8","    Crops","B1010C1","-204.0","-1,503.0","1,200.0","-156.0","-292.0","-3,235.0","4,404.0","-151.0","5,778.0","2,646.0","2,709.0","-7,453.0","8,474.0","6,401.0","-14,978.0","7,374.0","7,573.0","12.0","-5,588.0","-10,300.0","662.0","1,943.0","-2,114.0","3,999.0","-6,959.0","9,692.0","-9,426.0","8,906.0","3,217.0","1,069.0","-932.0","-1,390.0","1,022.0","-3,159.0","1,130.0","8,436.0","-1,407.0","-3,773.0","-84.0","3,689.0","-977.0","-5,879.0","4,064.0","-6,690.0","13,169.0"
"27","9","    Livestock","B1011C1","222.0","665.0","460.0","445.0","1,818.0","454.0","-1,045.0","-688.0","-1,245.0","-1,275.0","859.0","1,339.0","286.0","-646.0","-377.0","-1,646.0","-1,819.0","-1,462.0","-830.0","-1,577.0","-676.0","436.0","1,007.0","978.0","1,070.0","1,112.0","248.0","-1,147.0","-374.0","-261.0","-653.0","-626.0","-412.0","-570.0","-831.0","584.0","1,303.0","492.0","-374.0","-1,570.0","-713.0","-917.0","-1,600.0","-1,436.0","-1,463.0"
"28","10","Less: Intermediate goods and services consumed","A2003C1","26,673.0","28,097.0","30,067.0","33,723.0","44,537.0","47,744.0","48,759.0","53,102.0","55,958.0","66,865.0","80,357.0","86,427.0","87,656.0","86,566.0","85,091.0","90,728.0","83,964.0","79,296.0","85,011.0","92,295.0","97,980.0","102,105.0","104,893.0","102,719.0","110,885.0","113,903.0","123,495.0","123,174.0","131,244.0","128,792.0","129,015.0","128,272.0","134,241.0","127,864.0","133,736.0","142,914.0","148,506.0","156,408.0","188,952.0","209,751.0","191,372.0","198,522.0","220,731.0","243,880.0","234,417.0"
"29","11","  Other than rent","W249RC1","24,372.0","25,794.0","27,676.0","30,292.0","39,128.0","42,719.0","43,789.0","48,618.0","51,516.0","61,530.0","73,538.0","78,872.0","79,666.0","78,561.0","77,903.0","80,556.0","74,190.0","71,811.0","76,384.0","83,448.0","87,465.0","90,987.0","94,148.0","91,621.0","100,030.0","102,762.0","112,012.0","110,831.0","118,170.0","116,642.0","119,239.0","120,207.0","125,352.0","120,225.0","126,904.0","135,657.0","141,273.0","148,591.0","181,159.0","200,226.0","182,110.0","186,298.0","208,344.0","228,367.0","217,678.0"
"30","12","    Intermediate goods and services purchased, other than rent","B1012C1","24,372.0","25,794.0","27,676.0","30,292.0","39,128.0","42,719.0","43,789.0","48,618.0","51,516.0","61,530.0","73,538.0","78,872.0","79,666.0","78,561.0","77,903.0","80,556.0","74,190.0","71,811.0","76,384.0","83,448.0","87,465.0","90,987.0","93,979.0","92,906.0","99,743.0","103,991.0","110,144.0","111,727.0","118,597.0","117,101.0","118,094.0","120,826.0","124,778.0","121,457.0","126,672.0","135,444.0","141,602.0","148,295.0","180,911.0","199,714.0","182,199.0","185,771.0","207,969.0","227,842.0","218,351.0"
"31","13","    Less: Change in farm materials and supplies inventories","W250RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","-168.0","1,285.0","-287.0","1,229.0","-1,869.0","897.0","427.0","459.0","-1,145.0","618.0","-574.0","1,232.0","-232.0","-213.0","329.0","-295.0","-249.0","-512.0","89.0","-527.0","-375.0","-525.0","673.0"
"32","14","  Rent paid to nonoperator landlords","B1013C1","2,301.0","2,303.0","2,391.0","3,432.0","5,409.0","5,025.0","4,971.0","4,484.0","4,443.0","5,335.0","6,820.0","7,555.0","7,990.0","8,005.0","7,187.0","10,172.0","9,774.0","7,485.0","8,628.0","8,847.0","10,515.0","11,118.0","10,746.0","11,098.0","10,855.0","11,141.0","11,482.0","12,343.0","13,075.0","12,150.0","9,776.0","8,065.0","8,890.0","7,639.0","6,832.0","7,257.0","7,233.0","7,817.0","7,792.0","9,525.0","9,262.0","12,224.0","12,387.0","15,514.0","16,740.0"
"33","15","Equals: Gross farm value added","B359RC1","22,825.0","23,685.0","25,371.0","29,650.0","46,762.0","44,245.0","45,625.0","43,021.0","43,533.0","50,726.0","60,103.0","51,368.0","64,952.0","60,412.0","44,934.0","64,151.0","63,703.0","59,891.0","62,043.0","61,386.0","73,945.0","77,781.0","70,372.0","79,858.0","71,272.0","83,594.0","68,402.0","92,639.0","88,136.0","79,030.0","70,934.0","76,043.0","78,093.0","74,033.0","93,102.0","118,908.0","104,513.0","99,352.0","113,534.0","126,345.0","109,800.0","129,725.0","166,249.0","161,422.0","192,081.0"
"34","16","Less: Consumption of fixed capital","B366RC1","4,766.0","5,060.0","5,439.0","5,848.0","6,353.0","7,487.0","8,948.0","9,989.0","11,195.0","12,519.0","14,278.0","16,363.0","18,015.0","19,085.0","18,944.0","18,632.0","18,157.0","17,851.0","17,435.0","17,291.0","17,588.0","17,949.0","18,256.0","18,255.0","18,288.0","18,770.0","19,572.0","20,288.0","21,107.0","22,050.0","22,629.0","22,823.0","23,165.0","23,559.0","24,339.0","25,805.0","27,843.0","29,541.0","30,968.0","32,859.0","34,178.0","35,030.0","35,095.0","36,734.0","37,976.0"
"35","17","Equals: Net farm value added","A365RC1","18,059.0","18,625.0","19,932.0","23,802.0","40,409.0","36,758.0","36,677.0","33,032.0","32,338.0","38,207.0","45,825.0","35,005.0","46,937.0","41,327.0","25,990.0","45,519.0","45,546.0","42,040.0","44,608.0","44,095.0","56,357.0","59,832.0","52,116.0","61,603.0","52,984.0","64,824.0","48,830.0","72,351.0","67,029.0","56,980.0","48,305.0","53,220.0","54,928.0","50,474.0","68,763.0","93,103.0","76,670.0","69,811.0","82,566.0","93,486.0","75,622.0","94,695.0","131,154.0","124,688.0","154,105.0"
"36","18","  Compensation of employees","A2006C1","4,023.0","4,215.0","4,211.0","4,349.0","5,127.0","5,990.0","6,482.0","7,345.0","7,794.0","8,172.0","8,899.0","9,198.0","8,955.0","10,014.0","9,660.0","9,748.0","9,904.0","9,271.0","9,412.0","10,576.0","11,409.0","13,435.0","13,236.0","13,008.0","14,191.0","14,435.0","15,484.0","16,028.0","17,143.0","18,213.0","18,908.0","19,718.0","20,877.0","20,789.0","20,488.0","22,179.0","22,033.0","21,886.0","25,013.0","25,728.0","25,616.0","24,173.0","22,837.0","27,584.0","30,465.0"
"37","19","    Wages and salaries","B1019C1","3,763.0","3,942.0","3,912.0","4,025.0","4,698.0","5,473.0","5,844.0","6,532.0","6,870.0","7,229.0","7,903.0","8,218.0","8,044.0","9,138.0","8,809.0","8,792.0","8,921.0","8,336.0","8,389.0","9,464.0","10,000.0","11,666.0","11,301.0","11,061.0","11,933.0","12,213.0","13,079.0","13,752.0","14,894.0","15,883.0","16,169.0","16,970.0","17,919.0","17,911.0","17,574.0","18,954.0","19,022.0","18,764.0","21,140.0","21,777.0","21,806.0","20,753.0","19,888.0","24,065.0","26,687.0"
"38","20","    Supplements to wages and salaries","B1020C1","260.0","273.0","299.0","324.0","429.0","517.0","638.0","813.0","924.0","943.0","996.0","980.0","911.0","876.0","851.0","956.0","983.0","935.0","1,023.0","1,112.0","1,409.0","1,769.0","1,935.0","1,947.0","2,258.0","2,222.0","2,405.0","2,276.0","2,248.0","2,330.0","2,739.0","2,748.0","2,958.0","2,878.0","2,914.0","3,225.0","3,012.0","3,122.0","3,873.0","3,951.0","3,811.0","3,420.0","2,949.0","3,519.0","3,778.0"
"39","21","  Taxes on production and imports","B1017C1","1,693.0","1,787.0","1,849.0","1,920.0","1,970.0","2,130.0","2,247.0","2,480.0","2,576.0","2,568.0","2,824.0","2,815.0","3,103.0","2,880.0","3,081.0","2,951.0","3,053.0","3,005.0","3,284.0","3,328.0","3,507.0","3,772.0","3,846.0","4,066.0","3,781.0","4,048.0","4,214.0","4,245.0","4,435.0","4,208.0","4,744.0","4,626.0","4,628.0","4,893.0","5,222.0","5,302.0","5,345.0","5,871.0","6,743.0","6,673.0","6,694.0","6,877.0","7,269.0","7,496.0","7,752.0"
"40","22","  Less: Subsidies to operators","B1018C1","3,319.0","3,266.0","2,782.0","3,524.0","2,335.0","478.0","732.0","670.0","1,657.0","2,483.0","1,015.0","1,006.0","1,488.0","2,153.0","7,515.0","7,043.0","6,294.0","9,546.0","13,512.0","11,744.0","9,309.0","7,643.0","6,903.0","7,716.0","11,292.0","6,644.0","6,137.0","6,221.0","6,357.0","10,530.0","18,577.0","19,960.0","19,987.0","10,763.0","14,167.0","11,068.0","20,914.0","13,489.0","10,620.0","10,346.0","10,361.0","10,516.0","8,826.0","8,925.0","9,301.0"
"41","23","  Net operating surplus","W251RC1","15,669.0","15,893.0","16,658.0","21,067.0","35,657.0","29,131.0","28,712.0","23,907.0","23,657.0","30,006.0","35,155.0","24,027.0","36,418.0","30,626.0","20,764.0","39,867.0","38,602.0","38,970.0","45,425.0","41,935.0","50,749.0","50,269.0","41,938.0","52,245.0","46,304.0","52,984.0","35,270.0","58,299.0","51,807.0","45,089.0","43,231.0","48,837.0","49,409.0","35,556.0","57,221.0","76,690.0","70,206.0","55,544.0","61,430.0","71,431.0","53,672.0","74,161.0","109,873.0","98,534.0","125,190.0"
"42","24","    Net interest","B1021C1","2,087.0","2,319.0","2,473.0","2,676.0","3,173.0","3,963.0","4,528.0","5,309.0","6,199.0","7,445.0","9,587.0","12,092.0","14,854.0","16,545.0","17,065.0","16,519.0","15,142.0","13,411.0","12,330.0","11,522.0","10,573.0","10,563.0","9,525.0","8,909.0","8,174.0","8,669.0","9,140.0","9,318.0","9,407.0","9,245.0","9,668.0","10,222.0","9,250.0","8,949.0","7,727.0","7,553.0","8,960.0","9,295.0","9,708.0","10,485.0","10,854.0","10,473.0","9,964.0","9,833.0","10,338.0"
"43","25","    Current transfer payments","W252RC1","16.0","15.0","19.0","20.0","23.0","25.0","28.0","30.0","30.0","32.0","33.0","39.0","38.0","34.0","27.0","26.0","26.0","26.0","-23.0","-484.0","358.0","594.0","308.0","219.0","315.0","334.0","-319.0","589.0","1,174.0","302.0","-258.0","-347.0","-208.0","114.0","-123.0","648.0","865.0","353.0","1,363.0","1,299.0","427.0","1,183.0","-993.0","-6,732.0","2,240.0"
"44","26","    Proprietors' income and corporate profits with inventory valuation and capital consumption adjustments","A1024C1","13,567.0","13,559.0","14,166.0","18,371.0","32,461.0","25,143.0","24,157.0","18,568.0","17,429.0","22,529.0","25,534.0","11,896.0","21,526.0","14,046.0","3,672.0","23,322.0","23,716.0","25,873.0","33,118.0","30,896.0","39,818.0","39,112.0","32,105.0","43,117.0","37,815.0","43,981.0","26,449.0","48,392.0","41,227.0","35,542.0","33,820.0","38,962.0","40,367.0","26,493.0","49,617.0","68,489.0","60,381.0","45,896.0","50,360.0","59,647.0","42,392.0","62,506.0","100,902.0","95,433.0","112,612.0"
"45","27","      Proprietors' income","B042RC1","12,833.0","12,894.0","13,386.0","17,023.0","29,075.0","23,468.0","21,999.0","17,210.0","15,964.0","19,922.0","22,150.0","11,707.0","19,028.0","13,314.0","6,173.0","20,938.0","20,981.0","22,795.0","28,894.0","26,790.0","33,025.0","32,156.0","26,783.0","34,758.0","31,356.0","34,651.0","22,007.0","37,319.0","32,370.0","28,449.0","28,107.0","31,476.0","32,066.0","19,929.0","38,047.0","50,439.0","46,367.0","35,975.0","38,103.0","46,991.0","35,462.0","45,998.0","75,542.0","72,310.0","83,158.0"
"46","28","      Corporate profits","B1023C1","733.0","665.0","780.0","1,348.0","3,387.0","1,675.0","2,158.0","1,359.0","1,465.0","2,607.0","3,384.0","189.0","2,498.0","733.0","-2,502.0","2,383.0","2,735.0","3,078.0","4,224.0","4,107.0","6,793.0","6,956.0","5,323.0","8,359.0","6,459.0","9,330.0","4,442.0","11,072.0","8,857.0","7,093.0","5,713.0","7,486.0","8,300.0","6,564.0","11,571.0","18,050.0","14,015.0","9,921.0","12,257.0","12,656.0","6,930.0","16,508.0","25,360.0","23,123.0","29,454.0"
"47",NA,"Addendum:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48","29","  Change in farm inventories \1\","B018RC1","18.0","-838.0","1,661.0","289.0","1,527.0","-2,781.0","3,360.0","-838.0","4,533.0","1,371.0","3,568.0","-6,114.0","8,760.0","5,754.0","-15,355.0","5,728.0","5,754.0","-1,450.0","-6,418.0","-11,877.0","-14.0","2,380.0","-1,275.0","6,262.0","-6,176.0","12,033.0","-11,047.0","8,656.0","3,271.0","1,266.0","-2,730.0","-1,398.0","37.0","-2,497.0","67.0","8,807.0","225.0","-3,577.0","-706.0","1,607.0","-1,602.0","-7,323.0","2,089.0","-8,651.0","12,379.0"
"49",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50","1. Beginning with 1991, includes change in farm materials and supplies inventories.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
