"","Table 6#16A# Corporate Profits by Industry                      ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22"
"1","[Millions of dollars]                                                           ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1929 To 1947",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published August 07, 2013   ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 8/5/2014 11:08:18 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Cautionary note on the use of data in millions of",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","dollars -- The tables provided include estimates in ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","millions of dollars for NIPA series that appear regularly in the national income ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","and product account (NIPA) tables published in the Survey of Current Business. ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","The Bureau of Economic Analysis (BEA) generally does not include estimates at ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","this level of precision in the published tables because the associated sampling ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","and nonsampling errors are larger than this implied level of precision. Compared ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","with the published aggregates, the million-dollar estimates ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","are generally not any more accurate.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","Line",NA,NA,"1929","1930","1931","1932","1933","1934","1935","1936","1937","1938","1939","1940","1941","1942","1943","1944","1945","1946","1947"
"19","1","    Corporate profits with inventory valuation and capital consumption adjustments","A051RC1","10,833.0","7,498.0","2,951.0","-190.0","-175.0","2,517.0","4,018.0","6,230.0","7,052.0","5,008.0","6,592.0","9,872.0","15,693.0","20,789.0","24,900.0","24,972.0","20,452.0","18,243.0","24,164.0"
"20","2","Domestic industries","A445RC1","10,600.0","7,360.0","2,955.0","-157.0","-174.0","2,456.0","3,859.0","6,127.0","6,781.0","4,707.0","6,268.0","9,606.0","15,302.0","20,411.0","24,528.0","24,549.0","20,110.0","17,552.0","23,179.0"
"21","3","  Financial","A587RC1","1,559.0","667.0","517.0","641.0","781.0","521.0","543.0","864.0","812.0","915.0","918.0","1,061.0","1,150.0","1,208.0","1,338.0","1,592.0","1,635.0","2,046.0","1,738.0"
"22","4","  Nonfinancial","A463RC1","9,041.0","6,693.0","2,438.0","-798.0","-955.0","1,935.0","3,316.0","5,263.0","5,969.0","3,792.0","5,350.0","8,545.0","14,152.0","19,203.0","23,190.0","22,957.0","18,475.0","15,506.0","21,441.0"
"23","5","Rest of the world","B394RC1","232.0","137.0","-4.0","-34.0","-2.0","60.0","159.0","104.0","272.0","301.0","324.0","266.0","391.0","378.0","372.0","423.0","342.0","691.0","986.0"
"24","6","    Corporate profits with inventory valuation adjustment","A052RC1","11,383.0","7,819.0","2,976.0","-299.0","-311.0","2,590.0","4,144.0","6,369.0","7,598.0","5,566.0","7,064.0","10,436.0","16,291.0","21,272.0","25,073.0","24,499.0","19,829.0","20,300.0","26,737.0"
"25","7","Domestic industries","A390RC1","11,149.0","7,679.0","2,981.0","-266.0","-311.0","2,530.0","3,983.0","6,265.0","7,326.0","5,265.0","6,739.0","10,172.0","15,900.0","20,894.0","24,701.0","24,076.0","19,488.0","19,609.0","25,750.0"
"26","8","  Financial","A392RC1","1,651.0","750.0","583.0","687.0","812.0","565.0","581.0","896.0","870.0","971.0","981.0","1,118.0","1,232.0","1,359.0","1,484.0","1,747.0","1,773.0","2,194.0","1,942.0"
"27","9","    Federal Reserve banks","B397RC1","38.0","6.0","0.0","21.0","7.0","8.0","6.0","5.0","9.0","1.0","9.0","14.0","8.0","14.0","26.0","55.0","94.0","89.0","89.0"
"28","10","    Other","B398RC1","1,613.0","744.0","583.0","666.0","805.0","557.0","575.0","891.0","861.0","970.0","972.0","1,104.0","1,224.0","1,345.0","1,458.0","1,692.0","1,679.0","2,105.0","1,853.0"
"29","11","  Nonfinancial","A399RC1","9,498.0","6,929.0","2,398.0","-953.0","-1,123.0","1,965.0","3,402.0","5,369.0","6,456.0","4,294.0","5,758.0","9,054.0","14,668.0","19,535.0","23,217.0","22,329.0","17,715.0","17,415.0","23,808.0"
"30","12","    Manufacturing","A400RC1","5,361.0","4,030.0","1,422.0","-495.0","-405.0","1,038.0","2,084.0","3,214.0","3,845.0","2,331.0","3,362.0","5,606.0","9,776.0","12,112.0","13,924.0","13,388.0","9,863.0","9,382.0","14,038.0"
"31","13","      Durable goods","A406RC1","2,617.0","1,429.0","-36.0","-1,117.0","-554.0","201.0","863.0","1,626.0","1,674.0","710.0","1,636.0","3,099.0","6,532.0","7,340.0","8,119.0","7,412.0","4,560.0","2,635.0","6,012.0"
"32","14","      Nondurable goods","A401RC1","2,744.0","2,601.0","1,458.0","622.0","149.0","837.0","1,221.0","1,588.0","2,171.0","1,621.0","1,726.0","2,507.0","3,244.0","4,772.0","5,805.0","5,976.0","5,303.0","6,747.0","8,026.0"
"33","15","    Transportation and public utilities","A416RC1","1,852.0","1,197.0","569.0","217.0","113.0","400.0","457.0","713.0","801.0","558.0","1,010.0","1,330.0","2,045.0","3,484.0","4,436.0","3,889.0","2,759.0","1,876.0","2,218.0"
"34","16","    Wholesale trade and retail trade and automobile services","A413RC1","1,205.0","1,064.0","536.0","-102.0","-308.0","604.0","785.0","979.0","1,102.0","940.0","836.0","1,303.0","1,542.0","2,364.0","3,058.0","3,286.0","3,371.0","3,867.0","4,691.0"
"35","17","    Other","A420RC1","1,080.0","638.0","-129.0","-573.0","-523.0","-77.0","76.0","463.0","708.0","465.0","550.0","815.0","1,305.0","1,575.0","1,799.0","1,766.0","1,722.0","2,290.0","2,861.0"
"36","18","Rest of the world","B394RC1","232.0","137.0","-4.0","-34.0","-2.0","60.0","159.0","104.0","272.0","301.0","324.0","266.0","391.0","378.0","372.0","423.0","342.0","691.0","986.0"
"37",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
