"","Table 1#14# Gross Value Added of Domestic Corporate Business in ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48"
"11","The Bureau of Economic Analysis (BEA) generally does not include estimates at ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","this level of precision in the published tables because the associated sampling ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","and nonsampling errors are larger than this implied level of precision. Compared ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","with the published aggregates, the million-dollar estimates ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","are generally not any more accurate.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","Line",NA,NA,"1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013"
"19","1","    Gross value added of corporate business \1\","A451RC1","590,785.0","612,274.0","661,092.0","733,166.0","820,521.0","889,945.0","965,965.0","1,087,764.0","1,232,981.0","1,407,540.0","1,565,029.0","1,702,745.0","1,935,196.0","2,018,763.0","2,172,928.0","2,435,263.0","2,605,814.0","2,712,455.0","2,902,869.0","3,151,312.0","3,329,027.0","3,477,265.0","3,564,123.0","3,750,560.0","3,926,898.0","4,219,334.0","4,483,897.0","4,780,151.0","5,153,610.0","5,485,843.0","5,815,534.0","6,227,265.0","6,225,996.0","6,318,820.0","6,544,276.0","6,967,719.0","7,484,013.0","8,026,308.0","8,189,059.0","8,092,440.0","7,823,888.0","8,235,462.0","8,611,820.0","9,151,515.0","9,518,355.0"
"20","2","Consumption of fixed capital","A438RC1","55,704.0","61,804.0","67,620.0","73,440.0","81,980.0","96,040.0","113,516.0","125,028.0","140,456.0","159,276.0","183,352.0","212,088.0","244,880.0","272,520.0","285,876.0","303,168.0","326,864.0","349,868.0","371,292.0","399,432.0","427,204.0","455,264.0","480,888.0","496,248.0","519,756.0","550,444.0","593,612.0","629,776.0","674,012.0","719,328.0","774,596.0","844,480.0","894,852.0","920,532.0","941,496.0","982,724.0","1,051,580.0","1,128,560.0","1,197,484.0","1,259,212.0","1,260,580.0","1,262,460.0","1,298,828.0","1,348,544.0","1,402,144.0"
"21","3","Net value added","A439RC1","535,081.0","550,470.0","593,472.0","659,726.0","738,541.0","793,905.0","852,449.0","962,736.0","1,092,525.0","1,248,264.0","1,381,677.0","1,490,657.0","1,690,316.0","1,746,243.0","1,887,052.0","2,132,095.0","2,278,950.0","2,362,587.0","2,531,577.0","2,751,880.0","2,901,823.0","3,022,001.0","3,083,235.0","3,254,312.0","3,407,142.0","3,668,890.0","3,890,285.0","4,150,375.0","4,479,598.0","4,766,515.0","5,040,938.0","5,382,785.0","5,331,144.0","5,398,288.0","5,602,780.0","5,984,995.0","6,432,433.0","6,897,748.0","6,991,575.0","6,833,228.0","6,563,308.0","6,973,002.0","7,312,992.0","7,802,971.0","8,116,211.0"
"22","4","  Compensation of employees","A442RC1","377,454.0","398,010.0","421,650.0","468,170.0","526,064.0","577,322.0","607,817.0","682,786.0","771,696.0","884,698.0","1,004,441.0","1,102,003.0","1,220,566.0","1,275,114.0","1,352,980.0","1,501,072.0","1,615,931.0","1,723,353.0","1,847,640.0","2,002,309.0","2,119,332.0","2,234,926.0","2,277,820.0","2,420,482.0","2,515,738.0","2,649,014.0","2,787,890.0","2,953,697.0","3,176,578.0","3,447,481.0","3,684,312.0","4,008,927.0","4,015,623.0","3,973,903.0","4,042,039.0","4,241,482.0","4,444,536.0","4,683,235.0","4,892,970.0","4,939,704.0","4,609,952.0","4,706,933.0","4,937,864.0","5,192,519.0","5,359,607.0"
"23","5","    Wages and salaries","A443RC1","338,028.0","355,982.0","376,191.0","414,773.0","464,577.0","508,899.0","528,426.0","591,170.0","662,696.0","756,219.0","855,631.0","935,607.0","1,033,425.0","1,073,098.0","1,132,638.0","1,256,796.0","1,351,389.0","1,432,276.0","1,536,556.0","1,666,051.0","1,756,511.0","1,849,276.0","1,875,310.0","1,977,815.0","2,049,051.0","2,160,314.0","2,296,100.0","2,448,245.0","2,650,834.0","2,883,173.0","3,092,422.0","3,363,793.0","3,354,183.0","3,296,666.0","3,336,993.0","3,503,553.0","3,665,554.0","3,886,095.0","4,068,784.0","4,106,358.0","3,816,738.0","3,903,297.0","4,105,243.0","4,332,727.0","4,470,403.0"
"24","6","    Supplements to wages and salaries","A444RC1","39,426.0","42,028.0","45,459.0","53,397.0","61,487.0","68,423.0","79,391.0","91,616.0","109,000.0","128,479.0","148,810.0","166,396.0","187,141.0","202,016.0","220,342.0","244,276.0","264,542.0","291,077.0","311,084.0","336,258.0","362,821.0","385,650.0","402,510.0","442,667.0","466,687.0","488,700.0","491,790.0","505,452.0","525,744.0","564,308.0","591,890.0","645,134.0","661,440.0","677,237.0","705,046.0","737,929.0","778,982.0","797,140.0","824,186.0","833,346.0","793,214.0","803,636.0","832,621.0","859,792.0","889,204.0"
"25","7","  Taxes on production and imports less subsidies","W321RC1","52,896.0","56,965.0","62,805.0","67,290.0","74,125.0","78,624.0","84,498.0","91,413.0","100,018.0","108,702.0","115,009.0","128,574.0","154,404.0","161,301.0","177,439.0","195,621.0","209,049.0","219,623.0","233,366.0","252,014.0","267,544.0","284,469.0","307,936.0","325,895.0","343,758.0","376,108.0","384,751.0","398,416.0","416,929.0","430,775.0","454,009.0","479,806.0","476,286.0","506,322.0","532,623.0","571,475.0","616,538.0","655,812.0","681,163.0","685,018.0","659,302.0","685,861.0","721,941.0","744,432.0","768,891.0"
"26","8","  Net operating surplus","W322RC1","104,731.0","95,495.0","109,017.0","124,266.0","138,352.0","137,959.0","160,134.0","188,537.0","220,811.0","254,864.0","262,227.0","260,080.0","315,346.0","309,828.0","356,633.0","435,402.0","453,970.0","419,611.0","450,571.0","497,557.0","514,947.0","502,606.0","497,479.0","507,935.0","547,646.0","643,768.0","717,644.0","798,262.0","886,091.0","888,259.0","902,617.0","894,052.0","839,235.0","918,063.0","1,028,118.0","1,172,038.0","1,371,359.0","1,558,701.0","1,417,442.0","1,208,506.0","1,294,054.0","1,580,208.0","1,653,187.0","1,866,020.0","1,987,713.0"
"27","9","    Net interest and miscellaneous payments","A453RC1","8,622.0","12,606.0","12,812.0","12,699.0","15,056.0","23,441.0","27,659.0","23,163.0","28,135.0","31,259.0","37,035.0","59,948.0","83,260.0","95,926.0","92,436.0","107,185.0","106,702.0","105,426.0","107,683.0","113,312.0","134,208.0","127,550.0","88,968.0","71,799.0","70,828.0","67,620.0","70,677.0","70,433.0","93,509.0","134,064.0","140,532.0","186,642.0","170,447.0","107,725.0","87,341.0","39,187.0","72,906.0","120,144.0","172,933.0","234,482.0","157,539.0","129,123.0","149,141.0","175,666.0","197,555.0"
"28","10","    Business current transfer payments (net)","W323RC1","4,288.0","3,745.0","3,413.0","3,890.0","4,804.0","6,282.0","8,247.0","7,584.0","6,006.0","7,906.0","10,823.0","12,044.0","14,271.0","16,632.0","19,486.0","26,904.0","30,878.0","29,286.0","24,915.0","26,350.0","33,630.0","33,991.0","33,653.0","33,956.0","31,750.0","32,200.0","36,897.0","43,745.0","34,368.0","52,846.0","53,860.0","72,385.0","85,144.0","61,926.0","51,039.0","54,538.0","59,803.0","48,216.0","68,900.0","95,659.0","96,733.0","99,847.0","109,326.0","69,391.0","86,352.0"
"29","11","    Corporate profits with IVA and CCAdj","A445RC1","91,821.0","79,144.0","92,792.0","107,677.0","118,492.0","108,236.0","124,228.0","157,790.0","186,670.0","215,699.0","214,369.0","188,088.0","217,815.0","197,270.0","244,711.0","301,313.0","316,390.0","284,899.0","317,973.0","357,895.0","347,109.0","341,065.0","374,858.0","402,180.0","445,068.0","543,948.0","610,070.0","684,084.0","758,214.0","701,349.0","708,225.0","635,025.0","583,644.0","748,412.0","889,738.0","1,078,313.0","1,238,650.0","1,390,341.0","1,175,609.0","878,365.0","1,039,782.0","1,351,238.0","1,394,720.0","1,620,963.0","1,703,806.0"
"30","12","      Taxes on corporate income","A054RC1","39,977.0","34,757.0","38,165.0","42,341.0","49,973.0","52,785.0","51,646.0","65,288.0","74,441.0","84,858.0","90,016.0","87,190.0","84,339.0","66,499.0","80,648.0","97,531.0","99,406.0","109,675.0","130,441.0","141,630.0","146,068.0","145,424.0","138,591.0","148,688.0","171,034.0","193,141.0","217,838.0","231,469.0","245,421.0","248,366.0","258,784.0","265,092.0","203,296.0","192,336.0","243,767.0","306,093.0","412,384.0","473,360.0","445,530.0","309,100.0","269,444.0","370,571.0","379,095.0","454,782.0","474,260.0"
"31","13","      Profits after tax with IVA and CCAdj","W273RC1","51,844.0","44,387.0","54,627.0","65,336.0","68,519.0","55,451.0","72,582.0","92,502.0","112,229.0","130,841.0","124,353.0","100,898.0","133,476.0","130,771.0","164,063.0","203,782.0","216,984.0","175,224.0","187,532.0","216,265.0","201,041.0","195,641.0","236,267.0","253,492.0","274,034.0","350,807.0","392,232.0","452,615.0","512,793.0","452,983.0","449,441.0","369,933.0","380,348.0","556,076.0","645,971.0","772,220.0","826,266.0","916,981.0","730,079.0","569,265.0","770,338.0","980,667.0","1,015,625.0","1,166,181.0","1,229,546.0"
"32","14","        Net dividends","A449RC1","20,403.0","20,371.0","20,337.0","21,942.0","23,107.0","23,454.0","26,404.0","30,055.0","33,690.0","39,609.0","41,479.0","47,322.0","58,311.0","61,331.0","71,319.0","78,515.0","85,709.0","88,297.0","95,607.0","98,025.0","126,374.0","144,088.0","156,186.0","161,482.0","184,738.0","197,807.0","226,178.0","263,137.0","292,242.0","314,802.0","306,370.0","355,444.0","329,910.0","352,279.0","401,878.0","501,771.0","319,666.0","648,104.0","678,479.0","628,101.0","456,493.0","442,534.0","548,762.0","680,279.0","826,705.0"
"33","15","        Undistributed profits with IVA and CCAdj","W274RC1","31,441.0","24,016.0","34,290.0","43,394.0","45,412.0","31,997.0","46,178.0","62,447.0","78,539.0","91,232.0","82,874.0","53,576.0","75,165.0","69,440.0","92,744.0","125,267.0","131,275.0","86,927.0","91,925.0","118,240.0","74,667.0","51,553.0","80,081.0","92,010.0","89,296.0","153,000.0","166,054.0","189,478.0","220,551.0","138,181.0","143,071.0","14,489.0","50,438.0","203,797.0","244,093.0","270,449.0","506,600.0","268,877.0","51,600.0","-58,836.0","313,845.0","538,133.0","466,863.0","485,902.0","402,841.0"
"34","16","    Gross value added of financial corporate business \1\","A454RC1","36,202.0","39,442.0","43,061.0","47,218.0","51,675.0","59,891.0","67,625.0","72,987.0","85,465.0","103,426.0","114,617.0","128,523.0","146,803.0","164,498.0","187,426.0","209,737.0","236,286.0","247,124.0","260,404.0","276,799.0","308,239.0","316,019.0","332,328.0","373,415.0","391,623.0","402,805.0","442,527.0","484,005.0","545,196.0","612,146.0","645,629.0","714,282.0","754,802.0","779,938.0","819,835.0","859,799.0","951,865.0","1,038,262.0","985,152.0","835,671.0","964,091.0","996,718.0","1,019,496.0","1,121,203.0","1,231,338.0"
"35","17","    Gross value added of nonfinancial corporate business \1\","A455RC1","554,583.0","572,832.0","618,031.0","685,948.0","768,846.0","830,054.0","898,340.0","1,014,777.0","1,147,516.0","1,304,114.0","1,450,412.0","1,574,222.0","1,788,393.0","1,854,265.0","1,985,502.0","2,225,526.0","2,369,528.0","2,465,332.0","2,642,465.0","2,874,513.0","3,020,789.0","3,161,246.0","3,231,795.0","3,377,145.0","3,535,275.0","3,816,529.0","4,041,369.0","4,296,146.0","4,608,414.0","4,873,697.0","5,169,905.0","5,512,982.0","5,471,192.0","5,538,881.0","5,724,440.0","6,107,920.0","6,532,149.0","6,988,046.0","7,203,906.0","7,256,769.0","6,859,797.0","7,238,744.0","7,592,325.0","8,030,311.0","8,287,017.0"
"36","18","Consumption of fixed capital","B456RC1","53,484.0","59,260.0","64,732.0","70,188.0","78,180.0","91,384.0","107,724.0","118,272.0","132,560.0","150,152.0","172,444.0","198,860.0","229,084.0","253,880.0","264,616.0","278,952.0","298,976.0","317,872.0","334,692.0","357,688.0","380,056.0","402,952.0","424,456.0","437,752.0","457,944.0","484,776.0","523,696.0","557,384.0","598,412.0","638,224.0","683,376.0","741,856.0","785,328.0","804,668.0","817,952.0","850,224.0","909,920.0","979,380.0","1,040,264.0","1,093,948.0","1,091,972.0","1,094,580.0","1,139,216.0","1,183,816.0","1,229,812.0"
"37","19","Net value added","A457RC1","501,099.0","513,572.0","553,299.0","615,760.0","690,666.0","738,670.0","790,616.0","896,505.0","1,014,956.0","1,153,962.0","1,277,968.0","1,375,362.0","1,559,309.0","1,600,385.0","1,720,886.0","1,946,574.0","2,070,552.0","2,147,460.0","2,307,773.0","2,516,825.0","2,640,733.0","2,758,294.0","2,807,339.0","2,939,393.0","3,077,331.0","3,331,753.0","3,517,673.0","3,738,762.0","4,010,002.0","4,235,473.0","4,486,529.0","4,771,126.0","4,685,864.0","4,734,213.0","4,906,488.0","5,257,696.0","5,622,229.0","6,008,666.0","6,163,642.0","6,162,821.0","5,767,825.0","6,144,164.0","6,453,109.0","6,846,495.0","7,057,205.0"
"38","20","  Compensation of employees","A460RC1","356,064.0","374,485.0","396,190.0","439,924.0","495,100.0","542,933.0","569,021.0","640,004.0","723,326.0","829,499.0","942,400.0","1,030,690.0","1,139,850.0","1,183,260.0","1,250,110.0","1,388,207.0","1,490,088.0","1,578,176.0","1,685,458.0","1,825,308.0","1,934,822.0","2,037,523.0","2,071,121.0","2,188,674.0","2,271,015.0","2,398,673.0","2,524,557.0","2,667,703.0","2,862,551.0","3,093,832.0","3,309,975.0","3,597,328.0","3,584,570.0","3,541,966.0","3,595,678.0","3,762,754.0","3,930,315.0","4,129,346.0","4,305,337.0","4,357,976.0","4,088,426.0","4,158,698.0","4,363,364.0","4,592,921.0","4,749,384.0"
"39","21","    Wages and salaries","B461RC1","318,844.0","334,938.0","353,485.0","389,878.0","437,318.0","478,533.0","495,060.0","554,586.0","621,569.0","708,962.0","802,507.0","874,674.0","964,258.0","994,953.0","1,044,744.0","1,160,091.0","1,243,009.0","1,307,314.0","1,397,010.0","1,514,866.0","1,600,102.0","1,682,877.0","1,701,726.0","1,783,873.0","1,845,450.0","1,952,818.0","2,076,881.0","2,206,889.0","2,384,239.0","2,582,623.0","2,771,099.0","3,008,384.0","2,993,753.0","2,938,969.0","2,962,238.0","3,099,858.0","3,238,018.0","3,420,865.0","3,572,053.0","3,619,521.0","3,377,536.0","3,446,110.0","3,622,918.0","3,826,518.0","3,956,045.0"
"40","22","    Supplements to wages and salaries","B462RC1","37,220.0","39,547.0","42,705.0","50,046.0","57,782.0","64,400.0","73,961.0","85,418.0","101,757.0","120,537.0","139,893.0","156,016.0","175,592.0","188,307.0","205,366.0","228,116.0","247,079.0","270,862.0","288,448.0","310,442.0","334,720.0","354,646.0","369,395.0","404,801.0","425,565.0","445,855.0","447,676.0","460,814.0","478,312.0","511,209.0","538,876.0","588,944.0","590,817.0","602,997.0","633,440.0","662,896.0","692,297.0","708,481.0","733,284.0","738,455.0","710,890.0","712,588.0","740,446.0","766,403.0","793,339.0"
"41","23","  Taxes on production and imports less subsidies","W325RC1","50,181.0","54,249.0","59,516.0","63,665.0","70,075.0","74,430.0","80,194.0","86,668.0","94,631.0","102,726.0","108,757.0","121,536.0","146,651.0","152,915.0","168,018.0","185,003.0","196,579.0","204,565.0","216,840.0","233,839.0","248,156.0","263,528.0","285,729.0","302,501.0","319,322.0","350,747.0","358,667.0","371,681.0","388,899.0","402,904.0","424,636.0","449,868.0","444,960.0","472,936.0","495,766.0","530,892.0","573,176.0","610,070.0","632,529.0","632,676.0","605,872.0","632,999.0","670,604.0","692,232.0","715,227.0"
"42","24","  Net operating surplus","W326RC1","94,854.0","84,838.0","97,593.0","112,171.0","125,491.0","121,307.0","141,401.0","169,833.0","196,999.0","221,737.0","226,811.0","223,136.0","272,808.0","264,210.0","302,758.0","373,364.0","383,885.0","364,719.0","405,475.0","457,678.0","457,755.0","457,243.0","450,489.0","448,218.0","486,994.0","582,333.0","634,449.0","699,378.0","758,552.0","738,737.0","751,918.0","723,930.0","656,334.0","719,311.0","815,044.0","964,050.0","1,118,738.0","1,269,250.0","1,225,776.0","1,172,169.0","1,073,527.0","1,352,467.0","1,419,141.0","1,561,342.0","1,592,594.0"
"43","25","    Net interest and miscellaneous payments","B471RC1","13,501.0","17,793.0","18,849.0","19,975.0","23,741.0","30,155.0","32,415.0","30,088.0","33,156.0","36,782.0","43,751.0","57,842.0","72,239.0","82,818.0","82,258.0","93,517.0","97,456.0","107,596.0","116,464.0","136,173.0","160,140.0","170,228.0","157,243.0","131,967.0","117,876.0","116,924.0","126,346.0","119,749.0","127,007.0","146,772.0","159,875.0","198,387.0","219,077.0","198,605.0","169,782.0","159,876.0","173,603.0","183,872.0","248,956.0","307,527.0","283,680.0","286,181.0","289,697.0","299,462.0","293,797.0"
"44","26","    Business current transfer payments (net)","W327RC1","3,047.0","3,182.0","3,592.0","3,885.0","4,504.0","3,739.0","4,716.0","6,700.0","8,706.0","9,203.0","9,028.0","9,636.0","10,659.0","8,119.0","9,953.0","10,934.0","15,362.0","26,919.0","29,655.0","27,036.0","23,481.0","24,867.0","26,093.0","30,693.0","29,521.0","34,651.0","30,162.0","37,319.0","38,487.0","34,129.0","45,627.0","45,467.0","55,297.0","52,317.0","61,842.0","61,994.0","74,216.0","70,359.0","62,186.0","50,345.0","71,758.0","83,271.0","90,448.0","92,441.0","84,998.0"
"45","27","    Corporate profits with IVA and CCAdj","A463RC1","78,306.0","63,863.0","75,152.0","88,311.0","97,246.0","87,413.0","104,270.0","133,045.0","155,137.0","175,752.0","174,032.0","155,658.0","189,910.0","173,273.0","210,547.0","268,913.0","271,067.0","230,204.0","259,356.0","294,469.0","274,134.0","262,148.0","267,153.0","285,558.0","339,597.0","430,758.0","477,941.0","542,310.0","593,058.0","557,836.0","546,416.0","480,076.0","381,960.0","468,389.0","583,420.0","742,180.0","870,919.0","1,015,019.0","914,634.0","814,297.0","718,089.0","983,015.0","1,038,996.0","1,169,439.0","1,213,799.0"
"46","28","      Taxes on corporate income","B465RC1","33,344.0","27,286.0","29,995.0","33,795.0","40,409.0","42,849.0","41,908.0","53,495.0","60,578.0","67,556.0","70,619.0","68,203.0","65,994.0","48,763.0","61,721.0","75,940.0","71,083.0","76,238.0","94,230.0","103,953.0","101,208.0","98,453.0","88,598.0","94,429.0","108,041.0","132,356.0","140,323.0","152,928.0","161,359.0","158,668.0","171,371.0","170,193.0","111,245.0","97,106.0","132,889.0","186,989.0","271,866.0","307,702.0","293,820.0","227,435.0","177,844.0","220,584.0","228,798.0","271,371.0","329,345.0"
"47","29","      Profits after tax with IVA and CCAdj","W328RC1","44,962.0","36,577.0","45,157.0","54,516.0","56,837.0","44,564.0","62,362.0","79,550.0","94,559.0","108,196.0","103,413.0","87,455.0","123,916.0","124,510.0","148,826.0","192,973.0","199,984.0","153,966.0","165,126.0","190,516.0","172,926.0","163,695.0","178,555.0","191,129.0","231,556.0","298,402.0","337,618.0","389,382.0","431,699.0","399,168.0","375,045.0","309,883.0","270,715.0","371,283.0","450,531.0","555,191.0","599,053.0","707,317.0","620,814.0","586,862.0","540,245.0","762,431.0","810,198.0","898,068.0","884,454.0"
"48","30","        Net dividends","B467RC1","19,026.0","18,295.0","18,145.0","19,672.0","20,750.0","21,532.0","24,571.0","27,775.0","30,911.0","35,926.0","37,639.0","44,651.0","52,502.0","54,057.0","63,249.0","67,204.0","72,006.0","72,854.0","76,251.0","82,165.0","105,361.0","118,299.0","125,492.0","134,266.0","149,182.0","157,976.0","178,025.0","197,550.0","215,946.0","241,033.0","224,667.0","251,327.0","245,419.0","254,790.0","293,366.0","364,481.0","170,802.0","471,074.0","484,582.0","474,169.0","351,394.0","375,473.0","441,047.0","520,588.0","536,890.0"
"49","31","        Undistributed profits with IVA and CCAdj","W332RC1","25,936.0","18,282.0","27,012.0","34,844.0","36,087.0","23,032.0","37,791.0","51,775.0","63,648.0","72,270.0","65,774.0","42,804.0","71,414.0","70,453.0","85,577.0","125,769.0","127,978.0","81,112.0","88,875.0","108,351.0","67,565.0","45,396.0","53,063.0","56,863.0","82,374.0","140,426.0","159,593.0","191,832.0","215,753.0","158,135.0","150,378.0","58,556.0","25,296.0","116,493.0","157,165.0","190,710.0","428,251.0","236,243.0","136,232.0","112,693.0","188,851.0","386,958.0","369,151.0","377,480.0","347,564.0"
"50",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51",NA,"  Corporate business:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52","32","    Profits before tax (without IVA and CCAdj)","A446RC1","90,057.0","79,163.0","91,416.0","106,350.0","131,233.0","144,058.0","140,142.0","179,666.0","209,380.0","247,540.0","266,531.0","247,286.0","246,946.0","199,740.0","228,831.0","261,672.0","251,551.0","226,720.0","282,781.0","331,372.0","322,273.0","327,964.0","352,846.0","389,470.0","429,014.0","523,738.0","592,304.0","636,771.0","689,332.0","625,316.0","644,143.0","600,908.0","520,238.0","630,183.0","802,814.0","1,049,578.0","1,414,246.0","1,595,258.0","1,395,033.0","975,747.0","1,115,362.0","1,445,507.0","1,384,899.0","1,734,281.0","1,832,271.0"
"53","33","    Profits after tax (without IVA and CCAdj)","A448RC1","50,080.0","44,406.0","53,251.0","64,009.0","81,260.0","91,273.0","88,496.0","114,378.0","134,939.0","162,682.0","176,515.0","160,096.0","162,607.0","133,241.0","148,183.0","164,141.0","152,145.0","117,045.0","152,340.0","189,742.0","176,205.0","182,540.0","214,255.0","240,782.0","257,980.0","330,597.0","374,466.0","405,302.0","443,911.0","376,950.0","385,359.0","335,816.0","316,943.0","437,847.0","559,047.0","743,484.0","1,001,862.0","1,121,899.0","949,503.0","666,647.0","845,918.0","1,074,937.0","1,005,805.0","1,279,500.0","1,358,011.0"
