"","Table 1#5#5# Gross Domestic Product, Expanded Detail","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176","F177","F178","F179","F180","F181","F182","F183","F184","F185","F186"
"41","22","      Other services","DOTSRC1","48,904.0","49,917.0","50,900.0","52,123.0","53,331.0","54,216.0","55,213.0","55,620.0","56,549.0","57,446.0","58,294.0","59,917.0","61,687.0","62,721.0","64,148.0","66,154.0","66,948.0","68,661.0","70,418.0","71,291.0","72,319.0","74,370.0","74,720.0","76,029.0","77,187.0","78,932.0","81,627.0","83,628.0","85,774.0","86,809.0","89,420.0","92,479.0","94,807.0","96,397.0","98,464.0","101,316.0","104,537.0","107,376.0","110,292.0","111,070.0","113,141.0","115,207.0","118,845.0","121,652.0","123,668.0","124,755.0","127,585.0","132,559.0","132,755.0","135,577.0","138,360.0","142,014.0","144,880.0","149,089.0","152,002.0","157,743.0","162,637.0","168,417.0","171,372.0","177,015.0","182,497.0","184,489.0","189,154.0","193,720.0","198,434.0","205,796.0","212,552.0","214,662.0","216,318.0","218,259.0","223,048.0","227,035.0","235,620.0","240,342.0","244,504.0","249,257.0","256,477.0","259,285.0","265,020.0","270,259.0","274,184.0","279,490.0","283,892.0","286,881.0","292,495.0","298,872.0","301,482.0","296,999.0","297,067.0","298,663.0","301,423.0","305,039.0","314,720.0","322,522.0","331,117.0","334,565.0","334,875.0","340,085.0","347,932.0","354,598.0","362,497.0","366,554.0","375,543.0","380,085.0","385,402.0","391,379.0","391,665.0","396,347.0","406,161.0","410,414.0","425,766.0","423,273.0","436,856.0","447,026.0","457,380.0","467,931.0","480,122.0","490,131.0","504,304.0","509,595.0","514,388.0","518,674.0","522,824.0","538,924.0","553,247.0","567,542.0","579,253.0","586,010.0","596,588.0","612,763.0","622,429.0","629,224.0","633,277.0","637,214.0","642,789.0","655,576.0","671,749.0","679,267.0","690,411.0","697,303.0","708,084.0","718,540.0","731,252.0","737,158.0","745,901.0","754,760.0","763,044.0","772,694.0","787,694.0","803,668.0","811,481.0","828,953.0","836,766.0","848,058.0","851,856.0","855,305.0","869,209.0","875,552.0","886,000.0","889,585.0","881,524.0","871,797.0","876,797.0","886,488.0","893,772.0","904,136.0","910,278.0","913,475.0","926,177.0","934,825.0","945,778.0","950,369.0","969,220.0","973,300.0","977,807.0","989,215.0","995,422.0","1,007,436.0","1,014,195.0","1,026,437.0","1,032,826.0","1,035,126.0","1,038,104.0"
"42","23","    Final consumption expenditures of nonprofit institutions serving households (NPISHs) \1\","DNPIRC1","9,061.0","9,279.0","9,562.0","9,873.0","10,117.0","10,331.0","10,692.0","10,754.0","11,086.0","11,429.0","11,886.0","12,414.0","12,412.0","12,607.0","12,655.0","13,583.0","13,226.0","13,765.0","13,844.0","14,182.0","14,790.0","15,552.0","15,623.0","16,021.0","16,262.0","16,567.0","17,364.0","17,857.0","18,838.0","18,824.0","18,876.0","19,393.0","19,977.0","19,938.0","20,757.0","21,868.0","22,168.0","22,688.0","23,276.0","23,943.0","25,333.0","25,922.0","25,904.0","27,321.0","28,324.0","29,481.0","30,497.0","31,831.0","32,508.0","33,498.0","34,513.0","36,043.0","36,834.0","37,414.0","38,465.0","39,141.0","39,543.0","40,082.0","41,030.0","42,370.0","43,134.0","44,891.0","45,994.0","47,517.0","46,831.0","47,450.0","48,270.0","49,079.0","50,782.0","52,746.0","53,250.0","53,662.0","54,322.0","54,747.0","56,418.0","57,305.0","60,342.0","62,380.0","64,501.0","65,950.0","65,672.0","67,463.0","69,020.0","69,993.0","71,425.0","74,681.0","78,124.0","79,210.0","78,596.0","79,486.0","80,613.0","81,812.0","84,516.0","87,078.0","89,539.0","90,605.0","88,831.0","89,207.0","90,482.0","91,741.0","93,786.0","96,342.0","99,458.0","101,462.0","100,453.0","101,737.0","102,729.0","104,391.0","108,067.0","110,606.0","111,862.0","109,642.0","104,486.0","103,517.0","105,167.0","109,182.0","114,995.0","121,215.0","127,125.0","131,892.0","133,225.0","136,186.0","139,565.0","143,941.0","149,378.0","154,251.0","160,485.0","168,047.0","172,516.0","177,720.0","181,835.0","184,260.0","189,461.0","196,115.0","202,175.0","205,620.0","204,759.0","205,461.0","206,032.0","205,793.0","206,098.0","206,786.0","206,916.0","205,686.0","200,910.0","207,319.0","210,474.0","222,367.0","231,622.0","240,022.0","243,230.0","241,862.0","246,074.0","242,962.0","248,355.0","257,729.0","266,752.0","278,786.0","288,185.0","294,851.0","281,005.0","273,313.0","273,365.0","276,382.0","275,879.0","277,329.0","274,707.0","273,484.0","271,837.0","273,033.0","279,726.0","275,404.0","278,286.0","287,599.0","286,777.0","301,141.0","295,915.0","303,279.0","307,895.0","315,477.0","319,406.0","324,297.0","330,993.0"
"43","24","      Gross output of nonprofit institutions \2\","DNPERC1","32,473.0","33,540.0","34,437.0","35,587.0","36,727.0","37,409.0","38,620.0","39,608.0","40,707.0","42,139.0","43,529.0","44,706.0","45,857.0","46,719.0","47,738.0","49,099.0","49,748.0","51,420.0","52,311.0","53,847.0","55,532.0","58,426.0","59,717.0","61,535.0","63,777.0","65,922.0","67,900.0","71,171.0","73,925.0","75,037.0","77,199.0","79,081.0","81,895.0","84,371.0","85,861.0","88,513.0","91,775.0","95,571.0","98,237.0","101,055.0","104,624.0","107,755.0","110,061.0","114,985.0","119,378.0","122,297.0","128,544.0","134,181.0","138,626.0","143,449.0","147,629.0","152,898.0","156,927.0","161,278.0","166,131.0","170,884.0","174,343.0","177,649.0","180,332.0","184,540.0","188,458.0","192,743.0","196,075.0","200,454.0","202,968.0","206,400.0","211,291.0","216,454.0","221,659.0","225,905.0","228,648.0","232,979.0","237,837.0","243,621.0","250,408.0","255,587.0","263,994.0","271,623.0","280,288.0","286,172.0","291,498.0","297,716.0","304,241.0","311,498.0","319,785.0","330,110.0","340,919.0","346,932.0","350,875.0","358,814.0","366,301.0","375,576.0","384,206.0","392,791.0","401,576.0","406,989.0","411,452.0","416,024.0","421,985.0","425,525.0","429,999.0","436,114.0","443,951.0","450,240.0","451,493.0","455,900.0","460,201.0","466,582.0","471,402.0","480,545.0","486,047.0","494,547.0","493,947.0","497,673.0","505,173.0","513,705.0","527,569.0","537,874.0","548,373.0","556,269.0","563,186.0","570,602.0","579,822.0","591,666.0","601,506.0","614,673.0","628,050.0","642,332.0","656,376.0","669,617.0","683,893.0","695,880.0","713,693.0","731,810.0","746,964.0","755,775.0","763,022.0","769,970.0","778,323.0","787,256.0","797,822.0","811,653.0","827,336.0","839,164.0","844,467.0","858,749.0","876,435.0","894,171.0","910,389.0","926,707.0","940,454.0","951,352.0","968,549.0","974,449.0","986,507.0","1,003,059.0","1,020,651.0","1,034,844.0","1,049,530.0","1,058,623.0","1,061,501.0","1,067,543.0","1,077,555.0","1,083,655.0","1,085,432.0","1,101,048.0","1,113,050.0","1,124,042.0","1,126,296.0","1,136,450.0","1,140,173.0","1,155,335.0","1,177,245.0","1,187,023.0","1,205,196.0","1,214,899.0","1,217,021.0","1,235,440.0","1,245,857.0","1,273,224.0","1,267,348.0","1,289,200.0","1,304,659.0"
"44","25","      Less: Receipts from sales of goods and services by nonprofit institutions \3\","DNPSRC1","23,412.0","24,261.0","24,875.0","25,714.0","26,610.0","27,078.0","27,928.0","28,854.0","29,621.0","30,710.0","31,643.0","32,292.0","33,445.0","34,112.0","35,083.0","35,516.0","36,522.0","37,655.0","38,467.0","39,665.0","40,742.0","42,874.0","44,094.0","45,514.0","47,515.0","49,355.0","50,536.0","53,314.0","55,087.0","56,213.0","58,323.0","59,688.0","61,918.0","64,433.0","65,104.0","66,645.0","69,607.0","72,883.0","74,961.0","77,112.0","79,291.0","81,833.0","84,157.0","87,664.0","91,054.0","92,816.0","98,047.0","102,350.0","106,118.0","109,951.0","113,116.0","116,855.0","120,093.0","123,864.0","127,666.0","131,743.0","134,800.0","137,567.0","139,302.0","142,170.0","145,324.0","147,852.0","150,081.0","152,937.0","156,137.0","158,950.0","163,021.0","167,375.0","170,877.0","173,159.0","175,398.0","179,317.0","183,515.0","188,874.0","193,990.0","198,282.0","203,652.0","209,243.0","215,787.0","220,222.0","225,826.0","230,253.0","235,221.0","241,505.0","248,360.0","255,429.0","262,795.0","267,722.0","272,279.0","279,328.0","285,688.0","293,764.0","299,690.0","305,713.0","312,037.0","316,384.0","322,621.0","326,817.0","331,503.0","333,784.0","336,213.0","339,772.0","344,493.0","348,778.0","351,040.0","354,163.0","357,472.0","362,191.0","363,335.0","369,939.0","374,185.0","384,905.0","389,461.0","394,156.0","400,006.0","404,523.0","412,574.0","416,659.0","421,248.0","424,377.0","429,961.0","434,416.0","440,257.0","447,725.0","452,128.0","460,422.0","467,565.0","474,285.0","483,860.0","491,897.0","502,058.0","511,620.0","524,232.0","535,695.0","544,789.0","550,155.0","558,263.0","564,509.0","572,291.0","581,463.0","591,724.0","604,867.0","620,420.0","633,478.0","643,557.0","651,430.0","665,961.0","671,804.0","678,767.0","686,685.0","697,224.0","709,490.0","722,475.0","731,487.0","738,152.0","745,330.0","753,899.0","756,058.0","761,345.0","763,772.0","780,496.0","794,230.0","804,190.0","807,273.0","809,553.0","823,719.0","838,343.0","850,558.0","854,459.0","863,417.0","860,447.0","879,931.0","898,959.0","899,424.0","918,419.0","913,758.0","921,106.0","932,161.0","937,962.0","957,747.0","947,942.0","964,903.0","973,666.0"
"45","26","Gross private domestic investment","A006RC1","172,388.0","172,720.0","177,566.0","171,577.0","168,113.0","171,453.0","173,902.0","166,752.0","189,496.0","197,330.0","202,055.0","198,414.0","212,966.0","226,799.0","233,090.0","239,713.0","254,314.0","268,198.0","264,337.0","280,857.0","268,363.0","277,393.0","271,012.0","281,337.0","244,307.0","243,281.0","265,191.0","276,235.0","304,640.0","322,304.0","328,309.0","337,649.0","360,312.0","389,703.0","414,134.0","422,301.0","434,794.0","470,583.0","492,365.0","515,758.0","525,811.0","539,294.0","545,625.0","547,879.0","554,562.0","519,290.0","495,073.0","551,474.0","619,383.0","609,839.0","652,296.0","643,395.0","588,317.0","593,622.0","592,959.0","549,246.0","565,519.0","613,777.0","652,267.0","718,497.0","790,872.0","818,897.0","838,850.0","831,742.0","809,868.0","827,040.0","822,153.0","859,549.0","863,454.0","855,234.0","835,830.0","842,063.0","871,198.0","874,587.0","876,468.0","946,454.0","908,571.0","934,526.0","942,003.0","962,751.0","1,005,364.0","1,000,990.0","996,504.0","995,948.0","1,010,840.0","1,014,752.0","1,000,658.0","947,550.0","924,608.0","926,552.0","947,472.0","978,757.0","956,774.0","1,013,062.0","1,024,205.0","1,058,008.0","1,083,901.0","1,094,466.0","1,095,941.0","1,152,995.0","1,202,059.0","1,265,089.0","1,251,594.0","1,307,188.0","1,327,265.0","1,303,825.0","1,303,220.0","1,335,619.0","1,355,230.0","1,418,560.0","1,474,446.0","1,479,995.0","1,521,951.0","1,589,852.0","1,625,338.0","1,645,296.0","1,712,314.0","1,694,789.0","1,739,786.0","1,794,417.0","1,850,634.0","1,845,773.0","1,890,917.0","1,949,443.0","1,945,917.0","2,071,760.0","2,055,769.0","2,061,573.0","1,967,535.0","1,966,993.0","1,937,338.0","1,842,681.0","1,910,026.0","1,925,596.0","1,927,858.0","1,936,499.0","1,960,189.0","1,970,549.0","2,048,269.0","2,132,792.0","2,155,154.0","2,259,525.0","2,311,281.0","2,380,750.0","2,475,169.0","2,469,547.0","2,527,238.0","2,636,478.0","2,699,654.0","2,696,951.0","2,684,405.0","2,641,582.0","2,634,210.0","2,671,911.0","2,658,237.0","2,610,614.0","2,527,014.0","2,493,261.0","2,435,872.0","2,243,111.0","1,972,146.0","1,825,890.0","1,786,398.0","1,928,031.0","1,989,539.0","2,092,716.0","2,164,566.0","2,156,457.0","2,123,458.0","2,212,675.0","2,228,221.0","2,395,169.0","2,445,402.0","2,489,301.0","2,500,449.0","2,481,494.0","2,543,323.0","2,594,577.0","2,708,886.0","2,745,165.0","2,714,401.0","2,843,632.0","2,861,992.0"
"46","27","  Fixed investment","A007RC1","160,899.0","163,498.0","167,372.0","165,790.0","166,290.0","166,372.0","168,819.0","170,736.0","177,242.0","186,455.0","191,867.0","198,709.0","209,739.0","214,801.0","219,375.0","232,222.0","243,764.0","249,992.0","254,576.0","255,864.0","255,844.0","259,977.0","265,434.0","260,891.0","254,335.0","257,235.0","266,579.0","275,887.0","289,947.0","299,856.0","307,502.0","327,131.0","345,490.0","370,234.0","383,250.0","398,180.0","409,341.0","446,326.0","467,399.0","487,271.0","501,959.0","511,893.0","533,494.0","539,326.0","544,663.0","511,540.0","528,928.0","560,592.0","580,628.0","598,126.0","608,336.0","618,588.0","609,783.0","597,788.0","587,161.0","589,066.0","600,579.0","621,449.0","656,471.0","694,565.0","717,890.0","749,576.0","767,512.0","783,763.0","793,638.0","805,394.0","805,850.0","826,430.0","833,057.0","839,571.0","842,849.0","854,822.0","843,225.0","858,063.0","875,451.0","883,372.0","891,615.0","914,878.0","923,822.0","943,607.0","957,227.0","964,733.0","986,678.0","979,395.0","996,886.0","981,052.0","978,792.0","958,885.0","940,128.0","944,585.0","946,629.0","947,624.0","956,528.0","989,853.0","1,003,693.0","1,036,664.0","1,047,961.0","1,070,362.0","1,089,343.0","1,136,383.0","1,156,697.0","1,183,678.0","1,198,371.0","1,232,046.0","1,266,086.0","1,270,066.0","1,291,894.0","1,317,188.0","1,348,349.0","1,388,039.0","1,423,376.0","1,445,270.0","1,472,193.0","1,501,464.0","1,557,390.0","1,567,632.0","1,607,214.0","1,657,449.0","1,687,367.0","1,734,400.0","1,767,240.0","1,810,661.0","1,850,400.0","1,865,202.0","1,929,760.0","1,981,317.0","1,998,536.0","2,007,230.0","1,998,166.0","1,978,553.0","1,967,453.0","1,923,510.0","1,910,240.0","1,906,476.0","1,902,565.0","1,906,696.0","1,929,185.0","1,970,937.0","2,040,142.0","2,094,391.0","2,106,284.0","2,183,290.0","2,248,997.0","2,312,701.0","2,375,665.0","2,438,921.0","2,509,298.0","2,546,229.0","2,625,230.0","2,619,666.0","2,607,314.0","2,602,493.0","2,614,049.0","2,624,847.0","2,609,591.0","2,588,679.0","2,547,150.0","2,517,180.0","2,454,651.0","2,308,259.0","2,117,767.0","2,013,811.0","1,992,330.0","1,978,836.0","1,977,479.0","2,042,601.0","2,043,022.0","2,094,059.0","2,097,185.0","2,149,637.0","2,243,133.0","2,302,520.0","2,364,311.0","2,397,130.0","2,424,705.0","2,471,047.0","2,499,137.0","2,543,791.0","2,598,140.0","2,654,641.0","2,674,291.0","2,743,369.0","2,790,195.0"
"47","28","    Nonresidential","A008RC1","115,993.0","118,368.0","122,410.0","123,287.0","123,797.0","125,007.0","126,253.0","123,518.0","126,282.0","129,481.0","131,187.0","134,714.0","140,584.0","143,977.0","147,015.0","154,966.0","162,839.0","171,284.0","176,645.0","180,142.0","183,406.0","188,820.0","194,486.0","197,567.0","193,138.0","193,276.0","197,807.0","202,882.0","209,506.0","215,010.0","222,628.0","230,243.0","243,276.0","253,749.0","263,267.0","275,944.0","282,420.0","309,349.0","325,098.0","341,431.0","356,698.0","364,269.0","383,006.0","391,335.0","404,492.0","394,676.0","405,718.0","422,757.0","443,027.0","462,861.0","482,108.0","503,754.0","500,082.0","490,070.0","478,728.0","471,526.0","462,105.0","466,449.0","485,370.0","514,688.0","531,465.0","558,277.0","576,640.0","590,903.0","599,419.0","609,088.0","604,428.0","618,071.0","613,523.0","605,013.0","601,962.0","610,554.0","596,554.0","608,370.0","625,481.0","630,547.0","641,500.0","659,367.0","666,326.0","681,926.0","696,343.0","708,941.0","731,180.0","727,512.0","740,882.0","734,157.0","744,285.0","737,616.0","729,839.0","726,797.0","720,146.0","717,569.0","714,166.0","736,695.0","748,579.0","768,333.0","776,560.0","792,357.0","798,404.0","829,495.0","841,100.0","855,749.0","871,944.0","906,611.0","944,300.0","956,615.0","965,501.0","982,542.0","1,003,624.0","1,026,640.0","1,059,061.0","1,083,463.0","1,106,833.0","1,129,187.0","1,178,438.0","1,181,879.0","1,212,368.0","1,246,118.0","1,259,816.0","1,292,898.0","1,319,877.0","1,351,390.0","1,383,775.0","1,391,397.0","1,445,517.0","1,494,704.0","1,515,456.0","1,519,438.0","1,501,459.0","1,467,559.0","1,445,023.0","1,401,460.0","1,371,907.0","1,351,630.0","1,343,682.0","1,328,379.0","1,327,812.0","1,359,064.0","1,388,532.0","1,411,470.0","1,400,250.0","1,440,225.0","1,485,569.0","1,526,546.0","1,560,532.0","1,595,213.0","1,633,757.0","1,656,371.0","1,729,374.0","1,760,965.0","1,793,572.0","1,821,237.0","1,864,717.0","1,907,538.0","1,937,870.0","1,972,326.0","1,981,616.0","1,978,748.0","1,947,287.0","1,856,181.0","1,712,304.0","1,637,505.0","1,600,316.0","1,583,648.0","1,594,389.0","1,641,797.0","1,677,404.0","1,719,318.0","1,722,363.0","1,768,510.0","1,854,510.0","1,902,933.0","1,942,044.0","1,968,836.0","1,978,280.0","1,998,722.0","2,010,268.0","2,026,856.0","2,060,158.0","2,118,741.0","2,134,558.0","2,191,175.0","2,226,691.0"
"48","29","      Structures","B009RC1","35,794.0","36,671.0","38,931.0","39,399.0","39,490.0","40,313.0","40,578.0","40,767.0","41,504.0","42,335.0","43,118.0","43,758.0","45,781.0","46,607.0","47,314.0","48,990.0","51,327.0","54,060.0","56,831.0","57,714.0","58,984.0","61,333.0","61,417.0","63,214.0","61,682.0","60,409.0","61,275.0","62,034.0","64,099.0","65,057.0","66,683.0","67,821.0","69,732.0","73,631.0","76,409.0","78,540.0","80,018.0","90,259.0","98,559.0","105,498.0","107,879.0","112,844.0","121,814.0","128,268.0","132,557.0","132,299.0","135,769.0","144,056.0","150,017.0","161,010.0","169,743.0","188,485.0","186,622.0","182,450.0","172,926.0","168,257.0","158,581.0","149,502.0","152,648.0","156,644.0","165,735.0","175,807.0","182,528.0","185,519.0","194,875.0","195,236.0","192,210.0","195,751.0","191,672.0","174,504.0","169,021.0","170,911.0","166,921.0","169,576.0","177,585.0","182,728.0","178,614.0","184,151.0","183,452.0","184,943.0","189,505.0","189,565.0","197,739.0","198,056.0","204,137.0","204,572.0","205,516.0","197,443.0","194,901.0","189,888.0","177,485.0","172,151.0","169,931.0","170,640.0","173,047.0","176,671.0","175,587.0","174,132.0","175,971.0","182,914.0","178,514.0","187,092.0","188,085.0","193,380.0","201,169.0","207,376.0","210,305.0","210,232.0","214,308.0","219,793.0","225,302.0","238,928.0","242,659.0","242,624.0","255,655.0","260,124.0","261,352.0","278,171.0","279,757.0","281,236.0","282,509.0","281,410.0","283,230.0","288,629.0","298,182.0","313,473.0","327,900.0","333,004.0","328,287.0","335,115.0","343,228.0","312,360.0","298,574.0","285,287.0","274,216.0","273,537.0","274,815.0","282,217.0","283,059.0","287,228.0","286,993.0","295,164.0","307,920.0","317,144.0","330,764.0","337,887.0","348,319.0","365,609.0","388,992.0","410,820.0","425,856.0","436,675.0","458,076.0","485,284.0","512,612.0","531,744.0","540,221.0","553,827.0","559,336.0","556,167.0","508,028.0","455,158.0","412,726.0","376,934.0","352,420.0","364,495.0","361,101.0","370,149.0","343,159.0","371,317.0","397,126.0","414,975.0","437,049.0","452,505.0","452,178.0","445,942.0","435,378.0","448,541.0","463,014.0","481,744.0","487,892.0","504,378.0","511,816.0"
"49","30","      Equipment","Y033RC1","63,690.0","64,691.0","66,123.0","66,150.0","66,401.0","66,748.0","67,661.0","64,834.0","66,643.0","68,689.0","69,259.0","71,641.0","74,881.0","76,945.0","78,938.0","84,780.0","89,808.0","94,897.0","96,850.0","98,693.0","100,033.0","102,376.0","107,086.0","107,770.0","104,513.0","105,582.0","108,526.0","111,839.0","115,026.0","118,315.0","123,099.0","128,525.0","139,000.0","144,640.0","150,611.0","160,407.0","164,610.0","179,682.0","185,477.0","192,767.0","203,431.0","204,186.0","212,115.0","212,492.0","219,621.0","209,102.0","215,242.0","221,582.0","231,960.0","238,318.0","246,606.0","246,525.0","242,825.0","235,435.0","232,297.0","228,891.0","227,091.0","237,585.0","249,810.0","271,388.0","275,598.0","288,951.0","297,338.0","305,614.0","302,612.0","309,543.0","306,093.0","313,379.0","310,777.0","317,524.0","318,616.0","323,862.0","312,608.0","320,184.0","327,084.0","323,803.0","335,612.0","344,833.0","349,142.0","357,678.0","363,359.0","371,633.0","381,049.0","372,601.0","376,407.0","365,729.0","373,622.0","371,807.0","361,307.0","358,160.0","362,570.0","361,361.0","360,058.0","379,543.0","387,626.0","399,564.0","406,612.0","421,532.0","424,980.0","447,438.0","461,783.0","465,422.0","476,463.0","501,851.0","525,294.0","525,398.0","524,840.0","536,979.0","546,017.0","556,858.0","577,000.0","581,359.0","587,506.0","602,318.0","630,464.0","623,149.0","645,754.0","655,875.0","658,429.0","680,000.0","695,097.0","712,119.0","728,141.0","719,148.0","749,400.0","773,952.0","774,005.0","766,993.0","751,676.0","716,017.0","692,401.0","685,974.0","671,438.0","660,715.0","658,879.0","647,528.0","642,158.0","660,727.0","679,616.0","693,383.0","680,629.0","709,615.0","731,974.0","754,555.0","764,954.0","782,637.0","805,182.0","810,005.0","851,318.0","852,398.0","857,259.0","863,558.0","876,895.0","888,174.0","887,615.0","890,408.0","878,902.0","856,874.0","822,430.0","742,390.0","658,978.0","634,376.0","639,105.0","644,775.0","682,731.0","719,042.0","751,185.0","774,370.0","798,278.0","809,663.0","861,675.0","883,326.0","894,892.0","897,114.0","901,436.0","922,810.0","933,100.0","936,965.0","948,764.0","980,046.0","979,470.0","1,008,635.0","1,029,090.0"
"50","31","        Information processing equipment","Y034RC1","11,515.0","12,492.0","13,342.0","13,939.0","14,437.0","14,622.0","13,993.0","14,214.0","13,928.0","14,957.0","15,143.0","15,673.0","16,428.0","16,308.0","16,658.0","17,308.0","18,588.0","19,601.0","20,064.0","21,184.0","21,566.0","21,934.0","23,884.0","24,895.0","24,283.0","23,626.0","23,474.0","23,637.0","24,605.0","26,525.0","28,327.0","30,590.0","31,373.0","33,094.0","34,183.0","36,107.0","37,968.0","41,674.0","43,845.0","45,878.0","48,091.0","48,808.0","51,005.0","53,497.0","56,260.0","57,197.0","60,617.0","61,664.0","65,432.0","67,977.0","70,884.0","74,181.0","76,487.0","73,393.0","74,168.0","72,826.0","77,282.0","81,602.0","84,286.0","91,564.0","93,322.0","99,554.0","103,279.0","108,553.0","105,850.0","107,651.0","104,832.0","108,014.0","108,243.0","110,979.0","110,464.0","114,904.0","110,316.0","110,546.0","114,029.0","113,876.0","116,924.0","120,917.0","121,948.0","123,233.0","126,429.0","131,030.0","133,141.0","132,268.0","132,111.0","129,184.0","127,621.0","129,348.0","125,627.0","127,774.0","130,474.0","132,940.0","134,508.0","140,377.0","147,276.0","146,106.0","148,843.0","149,673.0","157,049.0","157,747.0","161,978.0","164,715.0","167,594.0","173,554.0","181,281.0","189,139.0","187,941.0","195,109.0","200,461.0","202,191.0","207,719.0","208,299.0","211,934.0","218,677.0","230,482.0","230,087.0","238,571.0","240,280.0","237,573.0","243,999.0","250,787.0","262,145.0","266,149.0","259,956.0","279,455.0","293,505.0","298,379.0","303,844.0","291,336.0","269,716.0","253,728.0","248,937.0","241,778.0","237,721.0","237,823.0","229,621.0","233,149.0","234,335.0","243,857.0","252,754.0","249,164.0","253,858.0","254,001.0","255,384.0","258,594.0","259,582.0","265,900.0","266,991.0","281,181.0","279,114.0","285,225.0","283,834.0","300,355.0","300,716.0","300,708.0","311,177.0","307,754.0","305,303.0","290,829.0","261,092.0","248,759.0","246,278.0","260,956.0","268,336.0","271,851.0","273,263.0","277,085.0","284,669.0","275,038.0","279,237.0","279,260.0","277,134.0","284,920.0","280,279.0","274,337.0","283,685.0","283,561.0","286,877.0","289,593.0","285,984.0","280,340.0","297,883.0","288,603.0"
"51","32","          Computers and peripheral equipment","B935RC1","2,096.0","2,408.0","2,564.0","2,696.0","3,113.0","2,950.0","2,429.0","2,396.0","2,272.0","2,793.0","2,912.0","3,119.0","3,717.0","3,446.0","3,498.0","3,231.0","3,430.0","3,666.0","3,398.0","3,662.0","3,455.0","3,188.0","4,426.0","4,403.0","4,084.0","3,535.0","3,273.0","3,452.0","3,677.0","4,391.0","4,512.0","5,028.0","5,210.0","5,629.0","5,753.0","6,068.0","6,271.0","7,343.0","7,955.0","8,683.0","9,301.0","9,828.0","10,409.0","11,118.0","10,947.0","11,872.0","13,477.0","13,796.0","15,397.0","15,858.0","17,247.0","20,010.0","20,802.0","18,118.0","18,343.0","18,221.0","21,312.0","23,297.0","25,166.0","25,789.0","27,681.0","30,127.0","32,938.0","35,690.0","33,313.0","35,044.0","32,405.0","34,174.0","33,662.0","34,348.0","32,340.0","33,290.0","34,971.0","35,082.0","36,333.0","36,662.0","36,618.0","37,729.0","38,578.0","38,897.0","40,999.0","43,749.0","44,275.0","43,347.0","40,949.0","38,612.0","36,552.0","38,458.0","36,366.0","36,522.0","37,561.0","40,367.0","40,147.0","44,507.0","45,933.0","45,465.0","47,722.0","46,737.0","49,235.0","48,046.0","50,057.0","51,417.0","52,338.0","55,728.0","59,089.0","65,840.0","67,047.0","72,464.0","72,466.0","71,489.0","73,526.0","73,691.0","76,542.0","80,365.0","84,922.0","83,673.0","87,722.0","88,608.0","86,447.0","88,773.0","94,516.0","99,863.0","99,497.0","95,051.0","97,560.0","104,882.0","105,786.0","104,486.0","99,654.0","89,963.0","79,827.0","80,779.0","82,500.0","79,259.0","80,483.0","76,657.0","76,682.0","75,561.0","78,545.0","82,289.0","79,577.0","80,599.0","81,800.0","83,912.0","79,122.0","78,834.0","79,571.0","82,469.0","85,097.0","85,529.0","88,419.0","86,564.0","89,468.0","85,451.0","86,126.0","89,854.0","90,432.0","89,732.0","82,177.0","72,828.0","72,204.0","73,723.0","76,726.0","84,457.0","84,767.0","83,212.0","79,505.0","77,649.0","72,052.0","77,369.0","79,276.0","76,771.0","80,438.0","78,708.0","73,586.0","80,515.0","77,806.0","75,414.0","76,408.0","80,756.0","71,377.0","75,944.0","77,224.0"
