"","Table 1#16# Gross Product of Corporate Business in Current Dolla","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77"
"1"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1929 To 2002",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published April 25, 2003    ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 4/24/2003 2:12:41 PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002
"8",NA,"    Billions of dollars"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","1","    Gross product of corporate business","A451RC",54.4,47.8,37.5,27.5,26.5,33.1,36.7,42.2,47.8,42.4,46.6,53.3,68.9,86.4,102.3,106,99.4,104.2,125.8,144.4,141.5,160.3,183.7,192.4,206.2,203.8,229.4,245.3,256.5,251.7,281.9,293.8,302,328.8,349.2,377,413.8,454.1,479,528.6,575.2,596.6,645.1,715.5,801.1,865.8,937.3,1056.6,1199.8,1373,1530.6,1663.6,1883.1,1951.8,2100.7,2356.2,2518.8,2631.6,2848.2,3079.1,3241.3,3395.7,3486.3,3652.7,3850.9,4135.1,4390,4648.8,5001.8,5329.6,5637.4,6049.4,6117.5,6329.8
"10","2","Consumption of fixed capital","A438RC",5,4.9,4.6,4.1,3.8,4,4,4.1,4.5,4.7,4.6,4.8,5.4,6.2,6.1,6.1,6.2,7.5,8.9,10.4,11.4,12.2,14,14.9,15.8,16.6,17.6,19.8,21.9,22.8,23.7,24.7,25.2,26.2,27.2,28.7,30.8,33.7,37.1,41.1,45.6,50.5,55.4,60.9,66.8,78.5,94,104.5,117.5,134.5,156.4,181.1,210.1,233.4,244.4,260.2,280.9,302.1,320.8,344.3,370.6,391.1,411.2,427.9,448.5,482.7,512.1,543.5,581.5,620.2,665.5,721.1,789.1,827.5
"11","3","Net product","A439RC",49.4,42.9,32.9,23.4,22.7,29.1,32.7,38.1,43.3,37.6,42,48.5,63.5,80.2,96.2,99.9,93.2,96.7,117,134,130.1,148.1,169.6,177.5,190.3,187.1,211.8,225.4,234.6,228.9,258.1,269.2,276.8,302.6,321.9,348.3,383,420.4,441.9,487.5,529.6,546.1,589.7,654.6,734.3,787.3,843.3,952.1,1082.3,1238.5,1374.1,1482.6,1673,1718.3,1856.3,2096.1,2237.9,2329.6,2527.4,2734.9,2870.6,3004.6,3075.1,3224.9,3402.3,3652.3,3877.9,4105.4,4420.3,4709.5,4972,5328.3,5328.4,5502.3
"12","4","  Indirect business tax and nontax liability plus business transfer payments less subsidies","A440RC",3.5,3.5,3.4,3.5,4,4.6,4.6,4.8,5.1,5,5.2,5.6,6.6,7,7.5,8.3,9.2,10.4,12.3,13.6,14.2,15.7,16.9,18.5,19.8,19.2,21.2,23.1,24.5,24.9,27.4,29.8,31.2,33.7,35.8,38.7,41.4,42.8,45.6,52.6,57.9,62.2,68.5,73.6,81.3,86.8,93.1,101.5,111.3,121.6,131.1,148.5,178.2,181,198,219.8,235.7,250.2,262.9,278.6,300.4,316.9,343.7,364.9,383.8,417.4,432.2,447.2,468.3,494.3,517.7,550,565.7,592.6
