"","Table 7#18A# Chain-Type Quantity Indexes for Auto Output","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23"
"1","[Index numbers, 1996=100]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1947 To 1966",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published July 28, 2000     ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 4/24/2003 2:36:25 PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966
"8","1","      Auto output","A133RA2A",22.58,25.37,33.29,43.19,35.29,30.4,42.53,39.11,56.73,42.47,46.05,32.96,42.13,47.19,38.6,48.51,54.05,55.62,68.56,66.98
"9","2","Final sales","A134RA2A",21.68,24.29,32.1,41.41,34.34,29.57,40.18,38.45,52.36,41.85,43.52,33.38,40.56,43.44,39.16,46.88,51.63,54.2,64.27,63.16
"10","3","  Personal consumption expenditures","A135RA2A",18.26,21.69,30.16,39.37,32.79,28.9,37.95,36.37,50.37,41.47,43.18,34.38,41.32,43.84,38.53,46.02,52.2,54.89,64.51,64.67
"11","4","    New autos","B136RA2A",19.93,22.63,31.83,42.29,33.9,28.71,39.68,38.14,53.77,42.69,43.99,32.8,42.57,45.87,39.55,49.33,56.96,60.59,72.35,72.66
"12","5","    Net purchases of used autos","B137RA2A",22.26,32.7,43.04,49.91,53.16,58.67,50.8,43.62,50.15,52.72,58.25,61.34,53.65,52.5,50.79,49.21,50.79,50.25,54.2,53.82
"13","6","  Private fixed investment","B280RA2A",12,12.42,14.79,18.72,14.2,11.18,18.03,17.16,22.3,15.66,17.32,12.67,17.77,18.5,17.36,21.41,20.4,21.62,26.94,25.7
"14","7","    New autos","B139RA2A",10.18,11.03,13.38,16.9,14.3,12.02,15.92,15.74,20.19,15.94,17.04,13.02,16.31,16.85,16.28,19.47,19.16,19.85,24.24,24.49
"15","8","    Net purchases of used autos","B140RA2A",3.16,6.12,8.36,10.43,13.84,13.98,10.69,12.09,14.68,19.06,17.9,15.62,13.96,14.01,15.09,16.24,17.73,17.15,19.6,23.52
"16","9","  Net exports"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","10","    Exports","B142RA2A",22.46,17.14,12.85,12.58,19.7,15.9,17.95,17.36,21.9,20.33,17.77,8.41,7.01,7.51,7.3,8.4,9.15,11.09,12.81,18.64
"18","11","    Imports","B143RA2A",0.04,0.44,0.12,0.28,0.33,0.54,0.52,0.55,0.84,1.54,3.6,5.77,8.76,6.39,3.84,5.1,5.41,6.86,7.64,13.8
"19","12","  Gross government investment","B144RA2A",13.68,12.31,11.25,13.93,17.52,17.7,18.29,17.71,21.33,22.39,23.01,24.05,23.93,26.8,29.81,32.21,38.35,37.6,38.77,40.71
"20","13","Change in private inventories of new and used autos"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","14","  New"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","15","  Used"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","16","  Domestic output of new autos \1\","B148RA2A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39.84,45.89,38.08,48.82,54.99,56.44,70.42,68.4
"25","17","  Sales of imported new autos \2\","B149RA2A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.3,5.17,3.85,3.42,3.93,5.05,6.73,10.04
"26",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27"," 1. Consists of final sales and change in private inventories",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28"," of new autos assembled in the United States.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29"," 2. Consists of personal consumption expenditures, private",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30"," fixed investment, and gross government investment.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
