"","Table 6#13C# Noncorporate Capital Consumption Allowances by Indu","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18"
"1","[Millions of dollars]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1987 To 2001",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published August 09, 2002   ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 4/24/2003 2:26:29 PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001
"8","1","      Noncorporate capital consumption allowances","A1700C0C",146535,155894,167072,163690,167767,180613,185271,193667,198523,211374,230048,247481,272253,295228,322850
"9","2","Agriculture, forestry, and fishing","A1701C0C",12870,12783,13347,13799,14435,15024,15576,15761,16813,17726,18942,20389,21719,22016,23180
"10","3","  Farms","B1702C0C",11166,11339,11938,12359,12788,13351,13530,13859,14625,15403,16338,17435,18303,18503,19181
"11","4","  Agricultural services, forestry, and fishing","B1703C0C",1704,1444,1408,1440,1647,1673,2046,1902,2188,2324,2604,2954,3416,3513,NA
"12","5","Mining","B1704C0C",9823,8628,7504,6827,6411,6627,6175,5786,5970,5886,6606,8191,9983,11043,11475
"13","6","Construction","B1705C0C",4190,4751,4437,4008,3857,4166,4908,5313,5278,5811,6416,6668,7920,8839,9636
"14","7","Manufacturing","A1706C0C",3217,3877,5056,5008,5161,5956,6229,5816,6260,8610,9875,10210,11324,13379,14670
"15","8","  Durable goods","B1707C0C",1837,2280,2941,2946,2735,2698,2878,2875,3214,5315,6108,5245,6290,7016,7848
"16","9","  Nondurable goods","B1708C0C",1380,1597,2116,2062,2426,3257,3351,2941,3046,3296,3767,4965,5034,6363,6822
"17","10","Transportation and public utilities","A1709C0C",8978,9606,10464,11305,11467,11925,14681,13158,14601,18710,21987,23837,28207,31501,35616
"18","11","  Transportation","B1710C0C",3855,3676,3920,3922,3854,3847,4278,4649,4799,5353,6257,8418,9015,9931,10743
"19","12","  Communications","B1711C0C",2835,3451,3892,4609,4550,4744,6664,4776,6392,10034,12247,12282,15722,18080,21073
"20","13","  Electric, gas, and sanitary services","B1712C0C",2287,2479,2652,2774,3064,3333,3740,3733,3409,3322,3483,3137,3469,3490,3800
"21","14","Wholesale trade","B1713C0C",1103,1024,981,1073,1207,1194,1287,2066,2016,1760,2295,2259,2607,2920,3245
"22","15","Retail trade","B1714C0C",5637,5930,6393,5434,5921,6271,6917,7548,7761,8165,8460,8574,9600,10612,12153
"23","16","Finance, insurance, and real estate","A1715C0C",78359,85351,90943,91937,94157,102207,101743,109398,109909,114261,121547,130398,137953,148142,159703
"24","17","  Finance and insurance","B1716C0C",2147,2661,1785,2033,1807,1688,1984,2212,2476,2782,3607,4305,3795,4098,5215
"25","18","  Real estate","A1717C0C",76212,82690,89158,89904,92350,100519,99759,107186,107432,111479,117941,126093,134158,144044,154488
"26","19","    Owner-occupied nonfarm housing","B1718C0C",26012,28343,31831,33169,35663,41029,40501,44201,46271,48805,51978,55405,60187,63256,68793
"27","20","    Other","B1719C0C",50199,54347,57328,56735,56687,59490,59258,62984,61161,62674,65963,70688,73971,80788,85695
"28","21","Services","B1720C0C",22359,23944,27948,24300,25150,27243,27755,28822,29916,30445,33920,36955,42940,46776,53172
"29","22","  Hotels and other lodging places","B2616C0C",4640,5081,5041,4781,4477,4381,4258,3889,4057,4186,4461,4694,4582,5154,NA
