"","Table 6#1C# National Income Without Capital Consumption Adjustme","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19"
"1","[Billions of dollars]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1987 To 2002",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published April 25, 2003    ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 4/24/2003 2:23:40 PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002
"8","1","    National income without capital consumption adjustment","A422RC",3760.3,4112.1,4366.9,4640.5,4769.1,5018.2,5267.9,5576.4,5884.4,6206.4,6599.6,7013.2,7424.5,7958.7,8053.5,8182.7
"9","2","Domestic industries","A423RC",3746.6,4093.6,4346.5,4611.6,4744.4,4994.8,5243.5,5559.6,5864,6188.3,6592.6,7016.6,7401.8,7935.3,8031.5,8192.2
"10","3","  Private industries","A736RC",3187.9,3497.1,3712.1,3929,4022.6,4241.8,4466,4756.6,5039.9,5338.7,5709.9,6101.6,6448.5,6928,6969.4,7076.2
"11","4","    Agriculture, forestry, and fishing","B424RC",78.9,78.2,85.5,89,83.6,90.7,91.9,93.7,86.9,101.9,101.6,102.4,111.3,109.7,111.1,109.5
"12","5","    Mining","B734RC",28.6,35.9,36.2,40.8,40.2,39.7,40.5,43.9,45.7,50.7,58.2,54.2,48.6,62.9,69.5,58.9
"13","6","    Construction","B735RC",202.9,218.9,227.1,230.5,214.6,215.6,228.3,252.8,266.7,290.3,309.3,349.6,389.4,422.9,438.9,443
"14","7","    Manufacturing","A426RC",739.8,822.2,853.4,879,863.9,886,929.1,1006,1058.5,1073.9,1119.3,1145.4,1180.5,1250.7,1132.2,1123.5
"15","8","      Durable goods","B428RC",440.5,481.2,497.3,498.1,484.6,499.7,533.2,582.3,606.8,614,643.8,671,688,729.2,640.5,629.1
"16","9","      Nondurable goods","B427RC",299.3,341,356.1,380.9,379.3,386.3,395.9,423.7,451.6,459.9,475.5,474.4,492.6,521.4,491.8,494.4
"17","10","    Transportation and public utilities","A737RC",286.2,303.6,313.7,330.5,351.1,366.1,392.2,423.2,440.7,461.6,473.7,495.9,511.4,530.5,529.9,515
"18","11","      Transportation","B429RC",123.4,132.7,133.7,138.7,146.1,152.9,163.2,176.6,183.9,194.7,207.2,224.6,234,243.7,236.6,236.6
"19","12","      Communications","B430RC",80.5,84.9,86.4,94.2,100.1,105.2,115.7,126.2,129.4,136.1,135.5,142.8,144.1,149.4,148.4,137
"20","13","      Electric, gas, and sanitary services","B431RC",82.3,86,93.6,97.6,104.9,108,113.4,120.4,127.3,130.8,131,128.5,133.2,137.4,144.9,141.5
"21","14","    Wholesale trade","B433RC",215.9,239.7,256.7,266,271.5,284.9,290.5,314,328.2,354.7,381.8,420.5,444.4,481.1,458.4,467.1
"22","15","    Retail trade","B434RC",330.1,351.7,373.9,385.3,395.8,413.8,431,460.7,481.8,509.8,551.8,585.6,619.3,659.1,686.1,704.3
"23","16","    Finance, insurance, and real estate","B435RC",599.7,651.5,691.6,738.5,786.4,841.5,897.1,932.7,1013.5,1088,1197.1,1309.5,1379.3,1521.5,1571.1,1636.5
"24","17","    Services","B437RC",705.9,795.3,873.8,969.5,1015.6,1103.6,1165.4,1229.5,1318.1,1407.8,1517.2,1638.6,1764.2,1889.8,1972,2018.4
"25","18","  Government","B436RC",558.8,596.5,634.5,682.6,721.8,753,777.5,803,824.2,849.6,882.6,915.1,953.3,1007.3,1062.1,1116
"26","19","Rest of the world","A192RC",13.7,18.4,20.4,29,24.7,23.4,24.4,16.8,20.3,18.1,7.1,-3.4,22.7,23.4,21.9,-9.6
"27",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","  Note.  Estimates in this table are based on the 1987 Standard Industrial Classification (SIC).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
