"","Table 5#10B# Change in Private Inventories by Industry","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28"
"1","[Billions of dollars]; Seasonally adjusted at annual rates                                                                 ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Quarterly data from 1997 To 2003",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published April 25, 2003    ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 4/24/2003 2:22:03 PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1997,1997,1997,1997,1998,1998,1998,1998,1999,1999,1999,1999,2000,2000,2000,2000,2001,2001,2001,2001,2002,2002,2002,2002,2003
"8",NA,NA,NA,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1
"9","1","    Change in private inventories","A014RC",48.8,87.7,49.9,65.1,106.7,40.9,69.5,75.4,74.7,27.7,46.8,88.9,46.8,89.2,61.1,57.1,-27.2,-57.1,-60.6,-96.5,-29.9,3.4,17.6,24.5,10
"10","2","Farm","B018RC",-1.3,0.2,8.1,4.6,5.3,-5.4,0.1,3.6,7.1,0.8,-9.6,-4.3,-11.9,2.3,-1.9,2.6,4.7,-3,1.8,3,5.3,0.4,-2.3,-1.5,1.4
"11","3","Construction, mining, and utilities","N541RC",4.8,3.4,2.6,0.6,4.8,5.8,4.4,6.2,3.1,-0.8,-3.7,-3.1,2.1,-4.4,-0.8,-10.4,7.4,12.3,6.1,4.7,1.6,-1.1,-2.5,-1.7,-4.8
"12","4","Manufacturing","N150RC",16.8,22.7,9.3,10.8,36.6,26.2,20.6,21.8,13.4,0.9,13.4,26.9,14.1,24,13.3,14.9,-18.7,-41.8,-43.3,-39.6,-31.1,-14.2,-2.7,2.8,-1.4
"13","5","  Durable goods industries","N624RC",12.3,16.7,4.7,3.3,27.9,21.4,16.1,17,9.5,-3.9,7.9,15.2,10.4,18.7,11.2,21,-12.7,-30.8,-39.6,-34.3,-25.4,-14.9,-10.2,5.4,-5.1
"14","6","  Nondurable goods industries","N625RC",4.5,6,4.5,7.5,8.7,4.8,4.5,4.8,3.9,4.8,5.6,11.7,3.7,5.3,2.1,-6.1,-6,-11,-3.7,-5.3,-5.8,0.6,7.6,-2.6,3.6
"15","7","Wholesale trade","N658RC",22.2,35.2,12.2,24.3,30.5,11.1,27.6,19.8,18,4.2,20.5,26.3,23.1,21.7,15,17.2,-4.7,-8.5,-24,-25.4,-19.5,-9,7.1,6.6,-3.5
