"","Table 7#19# Chain-Type Quantity Indexes for Gross and Net Invest","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76"
"1","[Index numbers, 1996=100]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1929 To 2001",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published August 09, 2002   ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 4/24/2003 2:36:51 PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001
"8","1","Gross private domestic investment","A006RA",7.54,5.03,3.16,0.95,1.41,2.54,4.7,6.03,7.53,4.98,6.4,8.92,10.9,5.76,3.4,4.2,5.55,14.08,13.57,17.33,13.22,18.71,18.77,16.99,17.78,16.96,21.09,20.81,19.91,18.23,21.96,21.95,21.81,24.57,26.21,28.37,32.35,35.19,33.57,35.51,37.58,35.1,39.09,43.7,48.81,45.2,37.2,44.7,51.45,57.38,59.18,52.73,57.59,49.51,54.22,70.13,69.48,69.02,70.76,72.65,75.36,73.01,66.75,72.41,78.69,89.08,91.79,100,112.12,125.37,133.62,141.86,126.71
"9","2","Less: Consumption of fixed capital","B024RA",9.49,9.74,9.66,9.45,8.99,8.84,8.71,8.79,9.04,9.26,9.22,9.42,9.84,9.98,9.64,9.49,9.66,10.25,10.86,11.74,12.54,13.3,14.02,14.53,15.11,15.72,16.44,17.15,17.78,18.2,18.56,19.15,19.67,20.29,21.07,21.99,23.25,24.81,26.27,27.72,29.34,30.84,32.3,34.5,36.21,38.24,39.84,41.39,43.35,45.8,48.82,51.25,53.55,55.88,57.98,60.64,64.35,67.24,69.96,72.66,76.62,78.35,80.98,85.42,86.67,92.63,94.97,100,106.38,114.42,123.05,130.95,142.05
"10","3","Equals: Net private domestic investment","A557RA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.16,26.82,14.38,27.89,26.82,21.15,22.31,19.07,28.99,27.03,23.52,18.28,27.73,26.7,25.43,31.83,34.94,39.21,47.78,52.8,45.96,48.73,51.56,42.35,50.62,59.3,70.18,57.03,32.7,50.31,65.2,77.02,76.76,55.24,64.44,38.7,47.82,86.22,78.18,72.05,72.11,72.63,73.22,63.96,42.6,50.34,65.15,83.07,86.37,100,121.86,143.96,151.57,160.36,100.67
"11","4","  Fixed investment","A007RA",10.16,7.78,5.4,3.14,2.78,3.59,4.65,6.19,7.27,5.76,6.91,8.3,9.48,5.35,4.13,5.07,6.95,12.66,15.24,16.78,15.33,18.31,17.54,17.22,18.42,18.71,21.15,21.24,21.01,19.47,22.2,22.39,22.32,24.33,26.21,28.74,31.66,33.47,32.84,35.12,37.3,36.51,39.26,43.96,47.97,44.96,40.13,44.08,50.41,56.22,59.37,55.58,56.79,52.81,56.76,66.28,69.77,70.6,70.58,73.15,75.14,73.77,68.65,73.1,79.03,86.25,91.46,100,109.56,122.04,131.54,139.52,134.2
"12","5","  Less: Consumption of fixed capital","B024RA",9.49,9.74,9.66,9.45,8.99,8.84,8.71,8.79,9.04,9.26,9.22,9.42,9.84,9.98,9.64,9.49,9.66,10.25,10.86,11.74,12.54,13.3,14.02,14.53,15.11,15.72,16.44,17.15,17.78,18.2,18.56,19.15,19.67,20.29,21.07,21.99,23.25,24.81,26.27,27.72,29.34,30.84,32.3,34.5,36.21,38.24,39.84,41.39,43.35,45.8,48.82,51.25,53.55,55.88,57.98,60.64,64.35,67.24,69.96,72.66,76.62,78.35,80.98,85.42,86.67,92.63,94.97,100,106.38,114.42,123.05,130.95,142.05
"13","6","  Equals: Net fixed investment","A560RA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.18,25.92,20.41,27.41,23.93,22.1,24.42,24.14,29.7,28.66,26.86,21.78,28.81,28.26,27.12,31.65,35.53,40.98,46.93,49.19,44.78,48.56,51.75,46.82,51.91,61.13,69.31,57.16,40.66,48.95,63.22,75.14,78.52,63.44,62.68,47.25,54.54,76.52,79.62,76.7,71.72,74.05,72.46,65.46,46.27,50.75,65.15,74.67,85.09,100,115.33,135.88,146.96,155.06,119.95
"14","7","    Nonresidential","A008RA",8.65,7.13,4.67,2.8,2.52,3.21,4.07,5.51,6.6,4.84,5.4,6.69,7.88,4.64,3.88,5.15,7.24,10.47,12.2,12.83,11.65,12.72,13.31,13.06,14.23,13.93,15.48,16.37,16.62,14.76,15.94,16.84,16.74,18.19,19.2,21.47,25.2,28.35,27.95,29.19,31.39,31.22,31.21,34.04,38.99,39.3,35.41,37.14,41.32,47.15,51.88,51.85,54.77,52.72,52.19,61.37,65.49,63.73,63.65,67.11,70.83,71.35,67.83,70.11,76,82.78,90.89,100,112.22,126.29,136.57,147.23,139.55
"15","8","    Less: Consumption of fixed capital","A753RA",8.53,8.77,8.67,8.44,7.96,7.79,7.65,7.73,7.99,8.2,8.15,8.32,8.74,8.88,8.5,8.34,8.54,9.18,9.76,10.63,11.4,12.12,12.79,13.23,13.75,14.3,14.95,15.58,16.14,16.47,16.71,17.2,17.61,18.13,18.81,19.63,20.82,22.35,23.8,25.23,26.82,28.28,29.64,31.51,33.37,35.39,37.04,38.54,40.47,42.94,45.96,48.5,50.91,53.31,55.48,58.35,62,65.25,68,70.73,74.29,76.6,79.13,82.26,85.16,90.05,94.22,100,107.1,116.23,125.56,135.07,147.27
"16","9","    Equals: Net nonresidential","A593RA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.77,18.78,12.32,14.34,14.72,12.61,15.52,12.95,16.9,18.5,17.91,10.15,13.87,15.88,14.37,18.35,20.25,26.46,37.05,44.53,39.16,39.88,43.75,39.17,35.43,40.89,54.16,49.85,31.03,33.34,43.62,58.51,67.88,60.91,65.17,51.13,43.29,69.52,74.9,59.61,51.91,57.33,61.47,57.18,37.32,37.3,51.28,63.16,81.91,100,126.03,153.47,166.31,180.05,118.7
"17","10","      Structures","B009RA",32.96,28.2,18.15,11.13,8.65,9.74,10.79,14.15,17.95,14.36,15.15,17.2,20.43,12.63,9.18,12.02,16.2,32.01,29.12,30.64,29.62,31.75,34.15,34.04,37.06,38.33,41.09,45.39,45.37,42.64,43.65,47.12,47.76,49.91,50.46,55.71,64.59,69.02,67.26,68.21,71.89,72.12,70.94,73.12,79.08,77.43,69.32,71.02,73.97,82.66,93.08,99.23,107.09,105.47,94.53,108.03,115.92,103.43,99.69,100.95,103.42,104.95,93.38,87.7,88.39,89.14,93.39,100,109.07,116.53,114.96,122.47,120.43
"18","11","      Less: Consumption of fixed capital","B188RA",25.95,26.62,26.91,26.86,26.59,26.32,26.11,26.01,26.08,26.16,26.15,26.22,26.37,26.42,26.22,26.01,25.96,26.23,26.73,27.27,27.81,28.39,29.08,29.82,30.59,31.45,32.4,33.48,34.58,35.53,36.34,37.26,38.23,39.22,40.23,41.32,42.67,44.23,45.77,47.24,48.75,50.29,51.88,55.11,55.63,56.47,58.02,59.6,61.23,62.93,66.27,68.72,71.38,75.49,78.31,80.15,83.25,85.6,87.51,89.32,92.53,92.9,94.54,97.21,97.24,101.58,99.04,100,101.67,104.09,105.77,106.37,117.48
"19","12","      Equals: Net structures","A594RA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33.08,36.23,32.6,37.3,42.55,41.04,47.79,49.74,55.49,65.15,63.26,54.41,55.78,63.47,63.56,67.64,67.43,79.58,100.95,110.12,102.89,102.99,110.26,108.33,102.54,102.98,117.95,112.16,88.05,89.96,95.1,115.37,137.53,149.81,166.3,155.17,121.43,154.25,170.09,133.01,119.89,120.21,121.48,124.91,91.45,71.94,73.71,68.5,84.01,100,121.33,137.14,130.18,149.17,125.31
