"","Table 7#1# Quantity and Price Indexes for Gross Domestic Product","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77"
"14","5","  Current dollars","A002RT",1.48,1.34,1.16,0.93,0.88,0.98,1.07,1.19,1.28,1.23,1.28,1.36,1.55,1.7,1.9,2.07,2.29,2.75,3.1,3.35,3.41,3.68,3.98,4.19,4.46,4.59,4.94,5.19,5.48,5.66,6.07,6.34,6.54,6.95,7.32,7.86,8.48,9.2,9.71,10.67,11.56,12.39,13.41,14.72,16.28,17.8,19.67,21.95,24.41,27.31,30.48,33.66,37.12,39.7,43.66,47.7,51.79,55.28,59.29,64.09,68.67,73.16,75.82,80.38,85.05,90.05,94.87,100,105.57,111.81,119.27,127.61,133.4,139.45
"15","6","  Chain-type quantity index","B002RA",11.95,11.31,10.97,9.99,9.76,10.44,11.09,12.21,12.67,12.46,13.16,13.84,14.83,14.48,14.88,15.31,16.26,18.27,18.64,19.06,19.58,20.83,21.14,21.81,22.86,23.33,25.02,25.75,26.38,26.6,28.08,28.85,29.43,30.88,32.15,34.08,36.23,38.3,39.45,41.7,43.24,44.25,45.92,48.7,51.09,50.67,51.76,54.78,57.13,59.66,61.16,60.96,61.79,62.54,65.95,69.51,72.95,76.01,78.54,81.71,83.89,85.43,85.28,87.72,90.67,94.09,96.91,100,103.56,108.52,113.88,118.83,121.76,125.56
"16","7","  Chain-type price index","B002RG",12.38,11.85,10.57,9.32,8.99,9.41,9.63,9.72,10.07,9.84,9.75,9.83,10.43,11.72,12.8,13.53,14.07,15.07,16.62,17.57,17.44,17.66,18.85,19.23,19.5,19.68,19.76,20.16,20.77,21.29,21.63,22,22.23,22.49,22.75,23.07,23.41,24.02,24.62,25.58,26.74,28,29.2,30.22,31.86,35.14,38.01,40.08,42.73,45.78,49.83,55.21,60.08,63.48,66.19,68.63,70.99,72.72,75.49,78.44,81.86,85.63,88.91,91.62,93.81,95.7,97.9,100,101.94,103.03,104.73,107.39,109.56,111.06
"17","8","  Implicit price deflator","A002RD",12.38,11.85,10.57,9.32,8.99,9.41,9.63,9.72,10.07,9.84,9.75,9.83,10.43,11.72,12.8,13.53,14.07,15.07,16.62,17.57,17.44,17.66,18.85,19.23,19.5,19.68,19.76,20.16,20.77,21.29,21.63,22,22.23,22.49,22.75,23.07,23.41,24.01,24.62,25.58,26.74,28,29.2,30.22,31.86,35.13,38.01,40.08,42.73,45.78,49.83,55.21,60.08,63.48,66.19,68.63,70.99,72.72,75.49,78.43,81.86,85.63,88.91,91.62,93.81,95.7,97.9,100,101.94,103.03,104.73,107.39,109.56,111.07
"18",NA,"  Durable goods:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","9","    Current dollars","A003RT",1.5,1.16,0.89,0.59,0.56,0.68,0.83,1.03,1.13,0.92,1.08,1.26,1.57,1.11,1.06,1.09,1.29,2.56,3.31,3.71,4.06,4.99,4.85,4.76,5.31,5.17,6.29,6.19,6.48,6.07,6.92,7.03,6.78,7.6,8.37,9.19,10.26,11.08,11.43,13.1,13.94,13.79,15.72,17.9,20.04,19.84,21.65,25.77,29.4,32.72,34.78,34.74,37.53,38.97,45.62,53.02,58.93,65.09,68.08,73.03,75.88,75.85,71.87,76.37,83.29,90.97,95.66,100,104.23,112.45,122.61,130.4,135.6,141.43
"20","10","    Chain-type quantity index","B003RA",6.36,5.24,4.48,3.36,3.29,3.8,4.64,5.7,6,4.9,5.83,6.71,7.79,4.75,4.15,3.8,4.28,8.14,9.69,10.32,11.17,13.63,12.42,12.08,13.58,13.53,16.53,15.86,16,14.71,16.49,16.82,16.19,18.08,19.84,21.67,24.42,26.48,26.9,29.85,30.92,29.91,32.91,37.08,40.91,38.1,38.09,42.95,46.95,49.43,49.26,45.39,45.98,45.98,52.81,60.54,66.52,72.58,73.84,78.11,79.75,79.01,73.79,77.7,84.08,90.46,94.66,100,106.63,117.87,131.8,142.58,151.16,162.19
"21","11","    Chain-type price index","B003RG",23.59,22.19,19.86,17.6,17.07,18,17.9,18.01,18.74,18.8,18.61,18.78,20.13,23.47,25.54,28.61,30.15,31.4,34.23,35.96,36.4,36.6,39.03,39.4,39.09,38.23,38.08,39.01,40.51,41.28,41.97,41.77,41.86,42.05,42.2,42.4,42.03,41.83,42.48,43.89,45.1,46.09,47.77,48.28,48.98,52.08,56.84,59.99,62.61,66.2,70.6,76.54,81.62,84.76,86.38,87.58,88.59,89.69,92.21,93.49,95.14,96,97.39,98.28,99.06,100.56,101.06,100,97.75,95.4,93.03,91.46,89.7,87.19
"22","12","    Implicit price deflator","A003RD",23.59,22.19,19.86,17.6,17.07,18,17.89,18.01,18.74,18.8,18.61,18.78,20.13,23.47,25.54,28.61,30.15,31.4,34.23,35.96,36.4,36.6,39.03,39.4,39.09,38.23,38.08,39.01,40.51,41.28,41.97,41.77,41.86,42.05,42.2,42.4,42.03,41.83,42.48,43.89,45.09,46.09,47.77,48.28,48.98,52.08,56.84,59.99,62.61,66.2,70.6,76.54,81.62,84.76,86.38,87.58,88.59,89.69,92.21,93.49,95.14,96,97.39,98.28,99.06,100.56,101.06,100,97.75,95.4,93.03,91.46,89.7,87.2
"23",NA,"  Nondurable goods:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","13","    Current dollars","A004RT",2.39,2.16,1.84,1.44,1.41,1.7,1.86,2.09,2.24,2.16,2.23,2.35,2.72,3.22,3.72,4.09,4.57,5.26,5.77,6.14,6.03,6.24,6.94,7.29,7.49,7.6,7.92,8.31,8.71,9.01,9.43,9.71,9.95,10.34,10.68,11.35,12.17,13.26,13.79,14.97,16.08,17.28,18.14,19.57,21.8,24.43,26.73,29.12,31.58,34.96,39.67,44.22,48.21,50.04,52.81,56.2,59,60.89,64.5,68.79,74.04,79.16,81.24,84.05,87.37,91.36,95.12,100,104.29,108.54,116.27,125.34,129.68,134.37
"25","14","    Chain-type quantity index","B004RA",17.27,16.46,16.38,15.04,14.82,16.08,17.05,19.05,19.73,20.01,21.04,21.98,23.46,23.87,24.67,25.64,27.49,29,28.21,28.3,28.74,29.64,30.42,31.63,32.63,33.04,34.64,35.82,36.48,36.83,38.35,38.93,39.64,40.89,41.75,43.8,46.12,48.65,49.42,51.67,53.05,54.32,55.3,57.73,59.62,58.42,59.28,62.17,63.67,66.05,67.81,67.71,68.51,69.17,71.47,74.31,76.33,79.07,80.97,83.55,85.83,87.01,86.65,88.29,90.87,94.35,97.14,100,102.91,107.14,112.14,116.5,118.79,122.58
"26","15","    Chain-type price index","B004RG",13.86,13.13,11.23,9.6,9.54,10.54,10.93,10.96,11.34,10.78,10.6,10.7,11.6,13.51,15.09,15.94,16.62,18.13,20.46,21.68,20.97,21.06,22.8,23.05,22.94,23.02,22.87,23.19,23.87,24.45,24.6,24.95,25.1,25.3,25.59,25.92,26.39,27.26,27.91,28.98,30.32,31.82,32.8,33.9,36.56,41.82,45.09,46.83,49.61,52.93,58.5,65.31,70.37,72.34,73.89,75.64,77.3,77.01,79.66,82.34,86.26,90.98,93.76,95.2,96.15,96.83,97.93,100,101.34,101.31,103.69,107.59,109.17,109.61
"27","16","    Implicit price deflator","A004RD",13.86,13.13,11.23,9.6,9.54,10.54,10.93,10.96,11.34,10.78,10.6,10.7,11.6,13.51,15.09,15.94,16.62,18.12,20.46,21.68,20.97,21.06,22.8,23.05,22.94,23.02,22.87,23.19,23.87,24.45,24.6,24.95,25.1,25.3,25.59,25.92,26.39,27.26,27.91,28.98,30.32,31.81,32.8,33.9,36.56,41.82,45.09,46.83,49.61,52.93,58.5,65.31,70.37,72.34,73.89,75.64,77.3,77.01,79.66,82.34,86.26,90.98,93.76,95.2,96.14,96.83,97.93,100,101.34,101.31,103.69,107.59,109.17,109.62
"28",NA,"  Services:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","17","    Current dollars","A005RT",1,0.95,0.86,0.73,0.66,0.67,0.7,0.75,0.81,0.81,0.83,0.87,0.94,1.03,1.13,1.23,1.31,1.5,1.67,1.84,1.93,2.09,2.28,2.48,2.72,2.92,3.13,3.38,3.61,3.85,4.17,4.47,4.74,5.06,5.36,5.79,6.22,6.72,7.26,7.95,8.74,9.58,10.5,11.56,12.66,13.97,15.63,17.48,19.69,22.27,24.86,27.98,31.31,34.51,38.53,42.24,46.62,50.39,54.82,59.85,64.44,69.51,73.82,79.29,84.22,89.19,94.59,100,106.51,113.37,120.14,128.22,134.88,141.68
"30","18","    Chain-type quantity index","B005RA",10.04,9.8,9.49,8.88,8.6,8.92,9.2,9.67,10,9.89,10.2,10.56,11.09,11.57,12.16,12.57,13,14.23,14.94,15.52,15.91,16.71,17.5,18.28,19.08,19.86,20.88,21.95,22.79,23.66,24.9,25.99,27.04,28.38,29.67,31.47,33.15,34.83,36.54,38.42,40.24,41.87,43.46,45.86,48.02,49.07,50.73,53.13,55.48,58.12,59.99,60.99,61.9,62.96,66.06,68.84,72.44,74.86,78.09,81.3,83.56,85.86,87.03,89.59,91.98,94.72,97.26,100,103.28,107.43,111.43,115.67,117.98,120.63
"31","19","    Chain-type price index","B005RG",9.97,9.71,9.08,8.26,7.72,7.56,7.66,7.81,8.09,8.16,8.17,8.22,8.43,8.87,9.32,9.77,10.09,10.55,11.2,11.83,12.15,12.51,13.05,13.57,14.26,14.69,15,15.39,15.83,16.28,16.74,17.19,17.51,17.82,18.07,18.4,18.76,19.29,19.86,20.69,21.73,22.89,24.17,25.22,26.37,28.46,30.8,32.9,35.49,38.31,41.43,45.88,50.58,54.81,58.33,61.35,64.36,67.31,70.2,73.61,77.12,80.95,84.82,88.5,91.57,94.16,97.25,100,103.12,105.53,107.81,110.85,114.32,117.44
"32","20","    Implicit price deflator","A005RD",9.97,9.71,9.08,8.26,7.72,7.56,7.66,7.81,8.09,8.16,8.17,8.22,8.43,8.87,9.33,9.77,10.09,10.55,11.2,11.83,12.15,12.51,13.05,13.57,14.26,14.69,15,15.39,15.83,16.28,16.74,17.19,17.51,17.82,18.07,18.4,18.76,19.29,19.87,20.69,21.73,22.89,24.17,25.22,26.37,28.46,30.8,32.9,35.49,38.31,41.43,45.88,50.58,54.81,58.33,61.35,64.36,67.31,70.2,73.61,77.12,80.95,84.82,88.5,91.56,94.16,97.25,100,103.12,105.53,107.81,110.85,114.32,117.45
"33",NA,"Gross private domestic investment:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","21","  Current dollars","A006RT",1.33,0.87,0.48,0.1,0.14,0.3,0.54,0.7,0.98,0.57,0.75,1.1,1.46,0.84,0.49,0.63,0.87,2.51,2.81,3.87,2.97,4.35,4.84,4.35,4.54,4.33,5.56,5.8,5.67,5.19,6.32,6.35,6.29,7.09,7.54,8.21,9.51,10.57,10.35,11.36,12.59,12.26,14.34,16.71,19.67,20.07,18.53,23.49,29.08,35.09,39.48,38.45,45.93,41.53,45.4,59.19,59.25,60.13,62.89,66.08,70.24,69.34,64.39,69.74,76.86,88.29,92.04,100,111.9,123.82,131.71,141.26,127.62,128.21
"35","22","  Chain-type quantity index","B006RA",7.54,5.03,3.16,0.95,1.41,2.54,4.7,6.03,7.53,4.98,6.4,8.92,10.9,5.76,3.4,4.2,5.55,14.08,13.57,17.33,13.22,18.71,18.77,16.99,17.78,16.96,21.09,20.81,19.91,18.23,21.96,21.95,21.81,24.57,26.21,28.37,32.35,35.19,33.57,35.51,37.58,35.1,39.09,43.7,48.81,45.2,37.2,44.7,51.45,57.38,59.18,52.73,57.59,49.51,54.22,70.13,69.48,69.02,70.76,72.65,75.36,73.01,66.75,72.41,78.69,89.08,91.79,100,112.12,125.37,133.62,141.86,126.71,127.92
"36","23","  Chain-type price index","B006RG",17.26,16.52,15.1,12.6,11.42,11.37,11.19,11.3,12.16,11.76,11.67,11.95,12.83,14.2,14.76,15.2,15.6,17.31,20.53,22.23,22.54,23,24.97,25.45,25.49,25.66,26.03,27.54,28.47,28.56,28.78,28.92,28.84,28.87,28.78,28.95,29.42,30.03,30.83,31.99,33.51,34.93,36.69,38.24,40.31,44.33,49.8,52.57,56.51,61.15,66.71,73.01,79.77,83.91,83.73,84.4,85.3,87.19,88.86,90.96,93.22,95.08,96.46,96.32,97.7,99.11,100.29,100,99.8,98.77,98.56,99.6,100.76,100.23
"37","24","  Implicit price deflator","A006RD",17.6,17.23,15.12,10.71,9.97,11.7,11.47,11.54,12.99,11.44,11.74,12.31,13.38,14.58,14.5,14.93,15.72,17.8,20.73,22.34,22.44,23.25,25.8,25.59,25.54,25.54,26.34,27.85,28.48,28.47,28.78,28.92,28.84,28.87,28.79,28.95,29.41,30.03,30.83,31.99,33.5,34.93,36.68,38.23,40.31,44.4,49.81,52.56,56.51,61.15,66.72,72.92,79.77,83.88,83.74,84.4,85.29,87.12,88.88,90.95,93.21,94.98,96.47,96.31,97.67,99.11,100.28,100,99.8,98.77,98.57,99.58,100.73,100.23
"38",NA,"  Fixed investment:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","25","    Current dollars","A007RT",1.23,0.91,0.58,0.3,0.26,0.35,0.46,0.62,0.79,0.63,0.75,0.93,1.14,0.7,0.57,0.72,1.02,2.07,2.93,3.5,3.26,3.98,4.14,4.17,4.49,4.6,5.28,5.61,5.75,5.35,6.15,6.24,6.2,6.76,7.27,8.02,8.99,9.7,9.79,10.9,12.14,12.4,14.01,16.37,18.85,19.41,19.5,22.66,27.96,33.83,38.98,39.93,44.61,43.78,47,55.26,58.92,61.08,62.2,66.19,69.7,69.86,66,70.22,77.02,85.31,91.59,100,109.48,120.86,130.06,139.51,135.76,131.06
"40","26","    Chain-type quantity index","B007RA",10.16,7.78,5.4,3.14,2.78,3.59,4.65,6.19,7.27,5.76,6.91,8.3,9.48,5.35,4.13,5.07,6.95,12.66,15.24,16.78,15.33,18.31,17.54,17.22,18.42,18.71,21.15,21.24,21.01,19.47,22.2,22.39,22.32,24.33,26.21,28.74,31.66,33.47,32.84,35.12,37.3,36.51,39.26,43.96,47.97,44.96,40.13,44.08,50.41,56.22,59.37,55.58,56.79,52.81,56.76,66.28,69.77,70.6,70.58,73.15,75.14,73.77,68.65,73.1,79.03,86.25,91.46,100,109.56,122.04,131.54,139.52,134.2,130.06
"41","27","    Chain-type price index","B007RG",12.13,11.64,10.76,9.51,9.34,9.81,9.86,9.96,10.82,10.96,10.9,11.17,11.99,13.15,13.72,14.18,14.62,16.38,19.22,20.86,21.28,21.75,23.62,24.19,24.4,24.57,24.97,26.43,27.35,27.46,27.72,27.87,27.78,27.81,27.73,27.9,28.39,28.99,29.81,31.02,32.56,33.96,35.69,37.23,39.3,43.18,48.59,51.42,55.46,60.17,65.65,71.83,78.55,82.91,82.81,83.37,84.45,86.51,88.12,90.48,92.76,94.7,96.14,96.07,97.46,98.92,100.14,100,99.93,99.03,98.87,100,101.16,100.76
"42","28","    Implicit price deflator","A007RD",12.13,11.64,10.76,9.5,9.34,9.81,9.86,9.96,10.81,10.96,10.9,11.17,11.99,13.15,13.72,14.18,14.62,16.38,19.22,20.86,21.28,21.75,23.62,24.19,24.4,24.57,24.97,26.43,27.35,27.47,27.72,27.87,27.78,27.8,27.73,27.9,28.38,28.99,29.81,31.02,32.56,33.96,35.69,37.23,39.3,43.18,48.59,51.42,55.46,60.17,65.65,71.83,78.55,82.91,82.81,83.37,84.45,86.51,88.12,90.48,92.76,94.7,96.14,96.07,97.46,98.92,100.14,100,99.93,99.03,98.87,100,101.16,100.76
"43",NA,"    Nonresidential:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","29","      Current dollars","A008RT",1.22,0.96,0.59,0.32,0.28,0.37,0.47,0.64,0.83,0.61,0.68,0.86,1.08,0.7,0.6,0.82,1.18,1.93,2.61,2.98,2.77,3.09,3.54,3.55,3.9,3.86,4.34,4.95,5.28,4.73,5.17,5.49,5.42,5.9,6.23,7,8.31,9.49,9.6,10.39,11.64,12.12,12.69,14.32,17.04,18.84,19.32,21.39,25.43,30.98,36.87,40.13,46.51,47.28,46.41,54.52,58.66,58.1,58.56,63.2,68.2,70.08,67.7,69.61,75.85,83.23,91.73,100,111.12,122.44,130.47,140.73,133.59,124.23
"45","30","      Chain-type quantity index","B008RA",8.65,7.13,4.67,2.8,2.52,3.21,4.07,5.51,6.6,4.84,5.4,6.69,7.88,4.64,3.88,5.15,7.24,10.47,12.2,12.83,11.65,12.72,13.31,13.06,14.23,13.93,15.48,16.37,16.62,14.76,15.94,16.84,16.74,18.19,19.2,21.47,25.2,28.35,27.95,29.19,31.39,31.22,31.21,34.04,38.99,39.3,35.41,37.14,41.32,47.15,51.88,51.85,54.77,52.72,52.19,61.37,65.49,63.73,63.65,67.11,70.83,71.35,67.83,70.11,76,82.78,90.89,100,112.22,126.29,136.57,147.23,139.55,131.57
"46","31","      Chain-type price index","B008RG",14.12,13.46,12.53,11.34,11.13,11.53,11.65,11.63,12.59,12.69,12.55,12.83,13.67,15.11,15.59,15.9,16.3,18.4,21.38,23.22,23.78,24.26,26.58,27.17,27.42,27.67,28.04,30.24,31.78,32.02,32.44,32.59,32.41,32.42,32.43,32.6,32.99,33.49,34.36,35.58,37.07,38.82,40.67,42.08,43.71,47.95,54.55,57.59,61.54,65.69,71.07,77.39,84.93,89.69,88.93,88.83,89.57,91.17,92.01,94.17,96.29,98.23,99.8,99.29,99.81,100.54,100.93,100,99.02,96.95,95.53,95.59,95.73,94.43
