"","Table 1#8#6# Command-Basis Real Gross Domestic Product and Gross","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174"
"11","3","Plus: Imports of goods and services","A021RX1",199.4,238.8,235.7,233.1,232.3,236.9,236.4,240,237.2,255.1,260.7,243.1,278.6,268.7,274.3,286.6,299.9,291.2,283.2,285.3,275.6,290.2,285.1,282.3,254,233.7,253.1,266.6,283.3,295.6,307.6,317.8,332.9,335.9,331.2,335.9,358.5,359.6,364.3,369.3,368.3,370.3,364.6,372.6,372.9,345.8,321,338.2,352.6,353.2,349.1,359.1,348.9,343.2,359.1,345,352.9,380.1,409.7,429.8,464.3,483.8,496.3,510.8,499.6,524.1,519,539.4,538.9,561.8,577.4,581.9,578.4,592.8,604.3,618.2,615.3,608.3,622.6,641.6,644.6,647.6,646.7,658.4,679.3,678.2,675.4,657.3,649.8,661.4,680,695,700.1,711.6,722.8,740.1,756.1,771.8,781.9,813.4,832.3,863.3,887.6,912.6,932.6,941.5,944.7,956.8,987.9,1010,1042.7,1063.3,1108.7,1145.9,1188.1,1213.8,1259.3,1288.2,1305.5,1347.8,1382.1,1426.1,1477.9,1513.3,1574.7,1622.7,1679.4,1678.1,1653.7,1604.4,1565.6,1546.9,1585.7,1639.2,1666.2,1696.2,1675.7,1699.6,1719.6,1783.8,1829.2,1902.6,1930.4,1979.4,1990.9,2012.9,2025.3,2082.1,2121.5,2145.2,2170.9,2168.2,2199.8,2210.7,2216,2186.5,2194.1,2180.1,2143.3,2058.6,1855.3,1781.2,1849.7,1925.2,1983,2082.4,2143.5,2131,2173.9,2181.4,2187.9
"12","4","Equals: Gross domestic purchases","A712RX1",4342.2,4349.5,4379.8,4348.5,4338.8,4340.5,4379.6,4334.4,4450.5,4494.3,4525.5,4542.1,4633.6,4740.8,4776.4,4856.3,4973.3,5006,4968.5,5000.3,4937.2,4950.6,4917.2,4883.3,4778.9,4798.5,4916.4,4978.1,5118.7,5170.6,5201,5249,5338.4,5436.4,5522.5,5541.9,5583.5,5756.9,5814.3,5878.8,5886.4,5893.5,5908.5,5904.9,5909.3,5732.1,5679.1,5818.5,5953.4,5903.8,5980.9,5920.6,5831.5,5850.8,5876.6,5882.8,5960.2,6131.7,6286.9,6433.6,6594.4,6720.4,6790.3,6853.7,6901.6,6992.6,7099.5,7164,7214.6,7266.9,7343.1,7364.1,7398.8,7472.9,7527.3,7649.4,7651,7719.9,7765.9,7872.2,7928.6,7960.4,8013.5,8034.4,8112.2,8132.3,8123.3,8023.4,7970.1,8010.8,8049.4,8081,8161.1,8261.4,8342.1,8446.1,8478.7,8540.9,8600.2,8722.9,8820.8,8947.7,8999,9106.5,9134.6,9151.1,9188.3,9251.4,9337.3,9505.2,9615.7,9678,9781.5,9922,10064.2,10169.8,10306.6,10440.4,10598.3,10779.1,10916.3,11030.6,11189.3,11391,11461.6,11691.9,11728.8,11804.1,11758.2,11823.2,11814.1,11867.6,11985.5,12068.7,12145.9,12189.9,12228.9,12354.6,12538.8,12656.6,12752.4,12883.3,12992.6,13113.6,13229.7,13279.9,13391.8,13481.2,13629.4,13682.1,13707.6,13733.3,13759.4,13863.2,13908.3,13890.1,13818,13794.5,13646.5,13353.3,13057,12964,13035.7,13149.6,13304.1,13486.8,13589.6,13621.2,13644.2,13679.9,13725.3
"13","5","Plus: Exports of goods and services, command basis \1\","C020RX1",198.7,240.4,234.5,245.1,243.6,255.8,252.1,252.1,256.6,253.3,259.6,237.3,266.1,258.5,272.4,286.9,312.3,335.6,349.8,378.7,400.1,422.1,409.4,429.1,434.6,414.4,399.2,417.1,415.5,419.7,428.3,433.3,423.3,433.8,428.3,409.4,420.1,466.3,470.9,496.1,501.5,510.4,527.9,557.9,574.7,579.5,581.5,582.1,592.2,587.5,567.1,561.8,533.5,530.6,496.9,466.6,473.2,473.1,478.3,489.9,494.7,505.8,508.2,510.2,500.2,493.6,478.8,488.6,498.7,501.2,507.1,526.6,524,548.7,569.5,596.2,631.2,656,670.3,683.3,702.5,726.4,725.8,729.8,752.3,757.5,761.8,770,772.8,792.9,800.8,815.8,824.2,819.8,832.6,830.8,828.6,835.9,829.1,850.9,858.6,885.5,917.8,939.5,961.7,977.5,1013.9,1019.3,1024.8,1035.1,1031.4,1078.9,1091.7,1132.3,1153,1142.5,1137,1116.7,1099.6,1133.7,1118.6,1127.1,1153.6,1181.6,1198.4,1234.6,1260.4,1245.3,1221.5,1171.1,1103.6,1061.9,1072.9,1101.7,1113,1097,1087,1085.2,1110.9,1166,1196.6,1219.4,1224.8,1254.8,1280.7,1307.2,1301.1,1330.5,1382.8,1411.6,1420.9,1477.1,1496.6,1526.1,1585.2,1637.3,1673.7,1749.7,1742.4,1557.7,1392.1,1389.2,1446.9,1537.7,1575.3,1631.3,1669.3,1727.2,1788.9,1827.9,1848.6
"14","6","Less: Imports of goods and services, command basis \1\","C021RX1",198,234.9,230.2,230.7,229,233,236,239,238.6,254.1,260,243.9,279.8,274.9,282.5,298.4,317.5,326.6,326.7,347.2,378.2,431.2,432,429,383.9,349,363.4,376.7,402,421.1,439.8,451.6,480.8,490.4,482.7,486.1,518.9,523,529.4,535.7,544.6,561.7,579.7,616.9,651.4,611.3,570.3,595.4,619.9,613.2,581.3,589,563.2,538.6,549.6,518.6,516.1,552,590.4,612,655.1,680.4,680.8,688.4,650.7,681.6,670.9,705.3,702.4,708.2,727.7,736.7,743.5,776.4,792.9,817.8,818.9,816.2,818.6,842.9,850.8,855,834.7,848.3,877,852.3,863.8,876.3,834.1,821.8,826.7,843.8,848.5,860.4,880,889.4,898.4,915.1,915.5,943.8,960.3,999.9,1038.1,1066.2,1092.5,1113.1,1105.9,1105.1,1132.5,1148,1168.2,1184.2,1220.1,1232.6,1266.8,1279.8,1295.7,1307.3,1303.8,1341.2,1365.9,1418.3,1480.4,1529.1,1605.8,1647.6,1706.3,1704.6,1661.8,1574.3,1509.9,1457.6,1486.2,1559.6,1588.3,1617.1,1627.6,1626.2,1643.7,1706.3,1770.6,1850.6,1881.9,1957.6,1967.9,2002,2031.2,2107.8,2141.4,2169.2,2196.5,2163.1,2185.1,2213.9,2244.9,2282.4,2356.5,2428.6,2424.4,2098.1,1742.9,1698.2,1816.9,1933.7,2021.8,2109,2154.1,2173.6,2293.9,2351.3,2339.1
"15","7","Equals: Command-basis gross domestic product \1,2\","C191RX1",4342.4,4352.5,4380.7,4361.2,4353,4360.7,4393.1,4345.5,4466.6,4490.4,4522.5,4533.2,4613.5,4718.5,4763,4848.5,4966,5007,4985.5,5038.9,4958.9,4948.4,4893.9,4878,4824.9,4860.9,4949.1,5015.4,5127.1,5164.7,5185.9,5231.9,5282.3,5372.1,5451.7,5475.6,5485.4,5696.2,5748,5835.3,5836.6,5837.5,5857.6,5849,5831,5699.2,5689.2,5801.3,5916.1,5874.3,5958.9,5890.1,5795.8,5835.3,5818.2,5826.4,5910.2,6045.7,6167.5,6304.9,6429,6537.9,6608.6,6669.7,6742.8,6799.9,6898.3,6940.9,7004.8,7055.7,7114,7141.8,7177.4,7243.9,7302.4,7429.9,7466.7,7561.3,7615,7706.4,7780.6,7831.2,7902.3,7916.2,7987.3,8037.4,8020.5,7914.6,7906.6,7980.5,8023.7,8054.4,8133.4,8219.4,8294.9,8387.7,8407.8,8461.4,8512.8,8631.4,8718.3,8831.7,8880.1,8980.2,9002.1,9013.6,9098.6,9167.3,9234.7,9398.7,9468.5,9571.4,9665.1,9813.1,9948.6,10029.6,10147,10248,10393.2,10574.8,10674.4,10737.3,10862.7,11037.3,11052.1,11276.7,11282.1,11346.4,11318.2,11418.5,11405.8,11472.7,11572,11611.5,11670.6,11669.6,11687.8,11813.3,12006.2,12114.5,12178.4,12251,12333.2,12410.1,12541.1,12583.9,12660.4,12703.5,12870.7,12923.7,12931.2,13045.1,13069.1,13173.4,13248.3,13245.3,13131.1,13117.7,12970.7,12818.8,12706.9,12655.3,12665.1,12750.5,12856.4,13011.9,13104.3,13168.5,13140.3,13159.7,13237.8
"16","8","Plus: Income receipts from the rest of the world, command basis \1\","C645RX1",50.1,51.4,53,54,55.1,55.6,54.5,50.6,54,56.5,55.4,58,58.9,60.6,63.6,65.9,75.4,81.9,90.5,92.3,101.7,101.1,98.5,90.5,82.8,80.3,83.6,89.4,90.8,92.3,91.9,92.3,97.5,99,100.6,98.4,108.4,106.6,113.8,129.7,136.5,148.1,165.4,171.9,178.9,166.3,152.9,155.8,166.2,170.9,179.9,178.3,178.9,193,180.3,170.6,164,171.5,180.9,187.5,193.9,206.2,211.6,201.9,183.9,186,177.9,182.3,185.7,178.4,172.4,168.4,174.3,186.9,192.2,202.3,218.8,218.2,226.5,238.6,248,257.3,254.4,256,256.6,255.4,252.8,273.6,250.8,224.6,214.5,207.5,203.1,204.8,193,190,194.8,196.8,199.8,200.4,208,220.3,237.2,254.2,271.9,283.2,279.9,286.7,290.1,287.6,294.1,309.7,320.3,334.9,337.8,330.6,341.3,344.8,330.8,329.6,342.1,358.7,379.5,398.6,411.5,435.3,425,447,399.6,372,341,320.2,328.1,341.3,357.6,343.4,355.7,367.5,378.4,408.2,439.4,452.4,471.4,496.9,543.3,555,579.3,613.3,644.5,694.6,713.9,736.7,757.7,813,849.3,853.1,833.1,818.4,788.7,677.5,571.2,567.4,579.4,612.3,606.9,628.7,636.1,651,664.7,704.1,691
"17","9","Less: Income payments to the rest of the world, command basis \1\","C655RX1",21.5,24,26.9,27.9,28.2,27.6,26.9,25.6,23.9,24.5,26.6,27.6,27.2,29.4,29.6,31.9,35.7,39.4,40.7,42,43.2,46.4,49.1,48.6,47.7,45,44.9,42.7,45.2,44.7,43.6,42.7,40.9,43.4,45.5,49.7,52,59.7,62.4,70.3,75.7,80.1,84.1,91.6,97.6,91.5,82.6,99.1,105.4,113.8,118.6,108.9,113.4,119.3,118,110.7,104.5,107.7,115.8,119.7,131.4,143.4,149.5,147,140.8,139.3,138.7,138.9,148,152.2,143.2,149.5,152.3,158.3,164.6,171.9,180.5,183.3,195.3,203.8,213.8,224.2,218.1,211.1,214.4,212.2,216.4,206.1,199.9,188.5,183.2,166.1,162.8,165.2,157.7,153.3,147.8,158.1,153.4,173.3,172.3,189.6,209.9,227.5,233.1,240.9,254.9,247.7,243.6,251.5,262.2,271.8,292.8,298.3,310.3,311.1,311.4,318,319.5,316.1,315.5,326.2,350.7,357.9,376.2,396.3,390.6,385.3,353.8,317,311.1,220.8,271.9,305.4,305.9,272.7,300.1,297.2,308.4,310.7,323.2,363,371.4,423.6,434.9,458.1,472.8,536.1,565.7,621.3,654.3,667.9,690.9,738.1,713.6,668.5,668.7,653.4,609.4,570.3,449.9,439.2,430.5,456.3,454.3,452.2,450,486.4,464,475.1,457.9
"18","10","Equals: Command-basis gross national product \1,3\","CB22RX1",4371,4380,4406.8,4387.3,4379.9,4388.7,4420.7,4370.5,4496.8,4522.4,4551.3,4563.6,4645.1,4749.7,4797,4882.5,5005.7,5049.4,5035.2,5089.2,5017.5,5003.1,4943.3,4919.9,4859.9,4896.2,4987.8,5062.2,5172.6,5212.3,5234.2,5281.5,5338.8,5427.7,5506.8,5524.3,5541.8,5743.1,5799.5,5894.7,5897.5,5905.5,5938.9,5929.3,5912.3,5774,5759.5,5858,5977,5931.5,6020.2,5959.5,5861.3,5909,5880.4,5886.4,5969.8,6109.5,6232.6,6372.8,6491.6,6600.7,6670.7,6724.7,6785.9,6846.6,6937.5,6984.3,7042.5,7081.9,7143.3,7160.6,7199.4,7272.5,7330.1,7460.2,7505,7596.2,7646.2,7741.1,7814.9,7864.3,7938.7,7961.1,8029.5,8080.5,8056.9,7982.1,7957.6,8016.6,8055,8095.8,8173.7,8259,8330.1,8424.5,8454.8,8500.1,8559.3,8658.5,8754,8862.4,8907.5,9007,9040.9,9055.9,9123.7,9206.3,9281.2,9434.8,9500.4,9609.2,9692.6,9849.7,9976,10049.2,10177,10274.8,10404.5,10588.2,10701,10769.8,10891.5,11078.1,11087.4,11315.7,11316.5,11408,11364,11473.4,11435.7,11572.2,11628.3,11647.4,11722.3,11740.3,11743.4,11883.6,12076.1,12211.9,12294.6,12340.4,12433.2,12483.5,12649.5,12680.8,12766.9,12780.8,12949.5,12996.9,12990.9,13113.9,13135.9,13248.3,13384.1,13429.8,13295.4,13282.7,13150,12926,12828.3,12783.5,12814,12906.5,13009,13188.3,13290.3,13333,13341,13388.7,13470.9
"19",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","11","  Command-basis net domestic product \4\","C362RX1",4058.2,4063.4,4087.3,4061.7,4047.8,4051.5,4082,4030.9,4151.4,4171.5,4200.4,4207.8,4287.2,4391.3,4431.7,4513.7,4628.2,4663.6,4634.7,4683.6,4594.8,4578.2,4516.2,4494.5,4434.6,4467.4,4554.7,4619.1,4730.9,4765.1,4781.9,4824.2,4870.5,4957.6,5033.8,5051.6,5054.7,5266.7,5312.5,5395,5387.4,5379.3,5391.6,5374.2,5347,5201.7,5183.7,5293.1,5405.8,5354.8,5435.2,5355.1,5248,5281.2,5256.1,5258.3,5339.7,5474.3,5594.1,5729.4,5850.2,5954,6017.2,6069.3,6132.9,6180.4,6271,6304.7,6361.2,6403.9,6454,6472.4,6498.8,6557.3,6607.9,6729.7,6758.4,6846.5,6892.2,6976.5,7043,7085.1,7148.1,7152.6,7215.8,7258,7232.4,7116.5,7101.3,7169.8,7206.7,7230.8,7304.1,7385.3,7456.6,7546.4,7556.7,7601.2,7643.8,7754.9,7833.9,7939.2,7977.9,8068.5,8079.1,8078.7,8152.5,8209.2,8264.3,8416.6,8473,8562.2,8641.1,8774.4,8894.1,8958,9057.7,9140.1,9266.5,9428.8,9507.8,9549.8,9654.7,9809,9802.5,10004.8,9988.3,10033.6,9987.4,10072.4,10046.3,10101.2,10187.5,10216.1,10264,10252.5,10261.1,10377.4,10560.3,10656.9,10708.5,10769.6,10839.5,10903.1,11020.6,11050.1,11112.5,11141,11295.4,11332.7,11324.7,11422.5,11430.1,11519.2,11579.8,11563.2,11439.4,11414.3,11256.3,11094.2,10975.9,10922.4,10930.9,11014.2,11116.9,11266.1,11350.2,11404.6,11368.5,11378.6,11445.5
"21","12","  Net domestic product","A362RX1",3955.5,3963.1,3985.7,3959.6,3947.5,3951.3,3987.6,3938.7,4055.1,4076.3,4108.4,4117.5,4195.9,4302.4,4342.6,4415.8,4534.4,4585.8,4552,4594.1,4543.2,4550.6,4494.8,4469.9,4403.8,4437.2,4517.3,4579.5,4692.8,4727.8,4748.7,4782,4838.5,4940.7,5033.7,5025.6,5037.9,5254.4,5304.3,5374.9,5376,5372.8,5407.7,5416.1,5427.5,5293,5274.1,5378.2,5498.7,5441.2,5508.9,5422,5311,5336.1,5305.1,5303.5,5373.8,5506.5,5624.2,5749.6,5868.7,5974.9,6030.7,6075.4,6128.2,6175.6,6274.3,6317.9,6377.4,6396.6,6456.7,6481.8,6512.1,6580.8,6635.9,6755.5,6786,6875.7,6906.4,7001.4,7066.1,7116.1,7170.1,7178,7253.2,7276.7,7268.1,7188.2,7141.6,7189.4,7216.7,7241.6,7324.5,7406.4,7487.4,7571.8,7577.3,7622.1,7657.8,7762.7,7838.9,7950.2,7997.6,8086.9,8097.7,8105.2,8169.8,8221.3,8271.6,8419.7,8488,8577.9,8637.1,8765.6,8872.8,8931.7,9008.2,9080.3,9195.7,9355,9427.9,9489.8,9605,9779,9786.4,9979.2,9966.6,10014.2,9958.7,10017.3,9972.5,10000.2,10084.1,10134,10181,10174.3,10212.5,10302.1,10485,10581.1,10647.7,10714.2,10792.7,10879.9,10994.2,11036.7,11122.4,11173.1,11321.4,11358.1,11344.1,11416.4,11417.4,11519.3,11601.1,11643.3,11573.9,11605.2,11470.2,11157.4,10930.8,10906.2,10957.3,11073.6,11194.4,11308.9,11381.6,11448.2,11451.3,11485.7,11534.5
"22","13","  Command-basis net national product \4\","C027RX1",4087.9,4091.9,4114.4,4088.8,4075.7,4080.5,4110.6,4056.9,4182.7,4204.7,4230.3,4239.4,4320,4423.7,4466.9,4548.9,4669.3,4707.5,4686.2,4735.7,4655.4,4634.8,4567.4,4538.1,4471,4504.1,4595,4667.8,4778.3,4814.7,4832.2,4875.9,4929.4,5015.5,5091.2,5102.4,5113.4,5315.6,5366.2,5456.9,5450.8,5450.3,5476.3,5457.8,5431.7,5279.6,5256.9,5352.3,5469.2,5414.4,5499.2,5427.5,5316.3,5358.1,5321,5320.7,5401.7,5540.6,5661.7,5799.7,5915,6019.1,6081.5,6126.2,6177.4,6228.6,6311.5,6349.6,6400.1,6430.9,6484.2,6491.8,6521.5,6586.8,6636.4,6760.9,6797.8,6882.4,6924.3,7012.2,7078.1,7119,7185.4,7198.6,7259,7302.2,7269.7,7185.5,7153.4,7206.6,7238.7,7273,7345.2,7425.6,7492.5,7583.8,7604.5,7640.6,7691,7782.4,7870.2,7970.4,8005.7,8095.7,8118.5,8121.7,8177.9,8248.8,8311.4,8453.2,8505.2,8600.5,8668.9,8811.4,8921.9,8977.8,9088,9167.1,9277.9,9442.4,9534.6,9582.6,9683.7,9850,9838,10044,10022.9,10095.6,10033.4,10127.6,10076.3,10201,10244,10252.1,10315.8,10323.3,10316.7,10447.8,10630.3,10754.3,10824.7,10859,10939.5,10976.4,11129,11146.9,11219,11218.3,11374.2,11406,11384.3,11491.4,11496.8,11594.1,11715.5,11747.6,11603.4,11578.9,11435.2,11201.3,11097.2,11050.3,11079.1,11169.4,11268.6,11441.5,11535.1,11568.2,11567.8,11606,11677.1
"23","14","  Net national product","A027RX1",3987.2,3993.7,4015,3988.8,3977.5,3982.3,4018.1,3966.7,4088.2,4111.2,4140,4150.8,4230.7,4336.6,4379.6,4452.7,4576.9,4631,4604.7,4647.1,4605.5,4609.6,4548.4,4516,4442.5,4476.2,4559.5,4629.9,4741.6,4778.6,4800,4834.5,4898.6,4999.6,5092,5077.2,5097.7,5304.1,5358.7,5437.5,5440.1,5444.8,5493.9,5501.6,5514.6,5373.4,5349.8,5439.6,5564.2,5502.9,5574.4,5495.8,5380.8,5414.6,5371.5,5367.3,5436.9,5573.7,5692.7,5820.8,5934.4,6041,6096.1,6133.4,6174.2,6224.7,6314.6,6363,6416.8,6424.6,6488.1,6502.8,6535.9,6610.9,6665.1,6787.6,6826.4,6912.5,6939.5,7037.8,7101.8,7150.4,7207.3,7223.7,7296,7320.9,7305.3,7257.1,7193.4,7225.9,7248.6,7284,7366.3,7447.6,7524.3,7609.9,7625.1,7661,7704.3,7789.2,7874.3,7980.4,8024.7,8113.4,8136.3,8147.1,8194,8259.5,8317.4,8454.7,8519.1,8615.1,8664,8801.9,8899.7,8951,9038,9107.1,9207.1,9368.4,9454.6,9522.3,9633.9,9819.7,9821.9,10018.5,10001.1,10076.1,10004.8,10072.5,10002.3,10099.1,10140.3,10170.3,10233.1,10245.4,10268.5,10372.6,10555.2,10678.4,10763.7,10803.4,10892.7,10953.4,11102.6,11133.7,11228.7,11249.9,11399.7,11430.9,11403.3,11485.2,11483.8,11594.2,11737.1,11828.4,11738.8,11771.3,11650.7,11265.8,11053.2,11035.7,11107.7,11231.8,11349.5,11488.7,11570.7,11615.9,11655.3,11717.7,11770.3
"24",NA,"  Trade indexes (seasonally adjusted):"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","15","    Trading gains index \5\","W368RG3",102.421,102.407,102.443,102.43,102.365,102.411,102.262,102.223,102.249,102.241,102.143,102.096,102.166,102.06,101.989,101.99,101.981,101.767,101.836,101.685,101.1,100.482,100.519,100.683,100.8,100.747,100.878,100.909,100.901,100.869,100.773,100.84,100.639,100.527,100.385,100.352,100.373,100.371,100.367,100.49,100.392,100.279,99.81,99.357,98.817,98.598,98.605,98.767,98.759,98.747,99.03,99.045,99.135,99.3,99.359,99.398,99.632,99.674,99.717,99.863,99.864,99.876,100,100.059,100.244,100.189,100.138,99.958,99.916,100.212,100.135,100.096,99.894,99.75,99.694,99.679,99.642,99.649,99.897,99.811,99.749,99.664,99.799,99.724,99.587,99.815,99.616,99.19,99.567,99.812,99.911,99.887,99.829,99.8,99.668,99.734,99.805,99.794,99.883,99.925,99.984,99.925,99.796,99.825,99.847,99.764,99.819,99.883,99.895,99.927,99.98,99.879,99.95,100.21,100.266,100.323,100.527,100.631,100.718,100.695,100.723,100.601,100.476,100.348,100.185,100.266,100.218,100.176,100.268,100.514,100.685,100.895,100.915,100.715,100.723,100.682,100.425,100.65,100.632,100.645,100.497,100.457,100.394,100.187,100.216,100.112,99.929,99.751,99.801,99.814,99.858,100.07,100.115,100.016,99.841,99.392,99.006,98.534,98.311,99.449,100.337,100.107,99.772,99.533,99.381,99.622,99.736,99.688,99.331,99.132,99.275
"26","16","    Terms of trade index \6\","W369RG3",147.193,146.804,147.742,147.326,145.66,146.823,143.016,142.115,142.657,142.513,140.137,138.935,140.662,138.19,136.519,136.585,136.442,132.154,133.45,130.419,120.418,111.741,112.277,114.348,115.733,115.097,117.366,117.901,117.689,117.18,115.787,116.66,113.993,112.564,110.543,109.949,110.255,110.329,110.301,111.956,110.921,109.731,104.505,99.816,94.846,92.783,92.803,94.295,94.23,94.08,96.75,96.859,97.726,99.397,99.87,100.056,102.636,103.006,103.385,105.064,104.883,104.971,105.784,105.948,107.358,106.486,105.466,103.284,102.553,105.437,104.322,103.965,101.795,100.615,99.952,100.078,99.822,100.123,102.498,101.465,100.838,99.887,100.983,100.155,98.748,100.801,98.906,95.103,98.415,100.671,101.57,101.301,100.705,100.404,99.124,99.703,100.355,100.222,101.002,101.332,101.847,101.28,100.124,100.386,100.649,100.003,100.388,100.829,100.85,101.038,101.337,100.356,100.872,102.967,103.386,103.781,105.345,106.104,106.644,106.319,106.418,105.33,104.298,103.324,102.1,102.734,102.318,101.927,102.386,103.911,105.033,106.433,106.412,104.794,104.945,104.501,102.607,104.336,104.082,104.262,103.261,103.09,102.548,101.245,101.493,100.799,99.485,98.322,98.643,98.869,99.32,100.513,100.715,100.215,99.213,96.739,94.812,92.73,91.754,96.675,102.093,100.502,98.354,96.988,96.206,97.944,98.632,98.675,96.947,96.122,96.903
"27","17","      Terms of trade, goods \7\","W370RG3",165.695,164.581,165.93,164.971,164.055,165.867,159.522,157.83,159.75,159.948,156.539,155.74,154.04,150.567,148.549,149.55,150.947,146.783,149.758,146.25,132.885,121.737,122.479,125.7,127.63,126.743,129.699,130.617,129.775,128.843,127.113,128.336,125.028,123.129,120.426,119.589,119.934,120.222,120.573,123.071,122.207,120.965,114.475,108.522,102.498,99.649,99.863,101.582,101.157,100.643,103.733,103.788,104.667,105.947,105.597,105.385,108.171,108.535,108.906,111.164,111.362,111.173,111.011,110.047,111.26,110.542,109.728,107.174,106.71,110.337,108.748,108.307,105.043,103.863,103.131,103.621,103.875,104.613,107.605,106.161,104.859,103.324,104.5,103.44,101.631,104.379,101.917,97.13,101.083,103.342,104.1,103.662,102.883,102.421,101.082,101.345,102.087,102,102.767,103.155,103.867,103.119,101.968,102.453,102.555,102.126,102.593,102.943,102.615,102.912,103,101.473,102.058,104.395,104.656,104.818,106.254,107.193,107.733,107.486,107.438,106.161,105.04,103.912,102.085,102.533,101.876,101.38,101.964,103.736,105.135,106.8,106.842,104.986,105.482,104.863,102.723,105.452,104.892,105.174,104.053,103.996,103.344,101.721,101.903,101.116,99.366,97.759,98.223,98.578,99.126,100.72,100.754,100.285,99.158,96.295,94.136,92.29,91.045,95.919,102.155,100.613,97.925,96.312,95.322,97.323,98.212,98.784,96.835,95.907,96.601
