"","Table 7#3#5# Farm Sector Output, Gross Value Added, and Net Valu","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44"
"1","[Billions of dollars]                                                                                                                                                                                                                                     ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1929 To 1969",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published August 08, 2011   ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 12/21/2011 10:27:02 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969
"8","1","Farm output","A2000C1",12.9,10.3,8.1,5.9,6.2,6.6,9.1,9,11.1,9.1,9.2,9.9,13,18.4,21.8,22.3,23.6,27.5,30.6,34.6,29,31.2,36.4,35.7,32.2,32.2,31.6,31.6,31.8,35.7,35,35.7,36.7,38.1,39.2,37.7,41.6,44.6,44.7,45.5,49.5
"9","2","  Cash receipts from farm marketings","A2001C1",11.3,9.1,6.4,4.7,5.2,6.2,7.1,8.5,8.8,7.4,8.1,8.2,11.1,15.4,19.8,20.4,22.1,25,29.6,29.2,27.4,29.2,33.1,32.1,29.4,30.1,30.4,30.8,30.1,32,35.1,33.8,34.5,36.3,37.5,37.7,39.6,43.9,42.6,42.9,48.2
"10","3","    Crops","B1005C1",5.1,3.9,2.5,2,2.4,2.9,2.9,3.7,3.8,2.9,3.6,3.3,4.7,6.4,8.3,9.1,10.1,11.2,13.1,12.1,12,13.1,13.4,13.8,12.5,13.8,14.4,14.5,12.7,12.8,16.2,14.8,15,16.1,17.5,17.7,17.7,18.9,18.2,17.4,19.6
