"","Table 7#2#4A# Price Indexes for Auto Output","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23"
"1","[Index numbers, 2005=100]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1947 To 1966",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published August 17, 2009   ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 12/21/2011 10:26:49 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966
"8","1","      Auto output","A133RG3",26.3,28.498,29.697,29.698,31.048,32.672,31.541,31.199,31.086,32.892,34.923,35.905,37.818,37.341,37.635,37.964,38.098,38.291,37.648,37.178
"9","2","Final sales","A134RG3",26.289,28.442,29.603,29.607,30.963,32.587,31.389,31.108,31.023,32.906,34.933,36.002,37.935,37.466,37.763,38.095,38.234,38.431,37.793,37.338
"10","3","  Personal consumption expenditures","A135RG3",20.274,22.119,22.968,22.953,23.893,24.996,24.477,23.558,23.937,25.108,26.879,28.041,29.699,29.198,29.533,30.09,30.301,30.588,30.156,29.849
"11","4","    New autos","A136RG3",25.861,28.284,30.983,31.191,32.522,35.51,35.803,36.383,32.895,34.64,36.633,37.961,39.613,39.101,39.109,38.951,38.717,38.617,37.755,37.057
"12","5","    Net purchases of used autos","A137RG3",6.733,7.252,5.754,5.475,5.64,4.635,3.567,1.114,6.996,7.162,8.205,8.808,9.917,9.551,10.216,11.617,12.521,13.472,13.898,14.402
"13","6","  Private fixed investment","A138RG3",35.407,37.505,39.566,39.991,42.116,46.125,41.258,44.769,41.906,46.996,48.199,47.043,48.033,48.168,47.661,46.299,45.838,45.101,43.937,43.295
"14","7","    New autos","B139RG3",25.896,28.291,30.992,31.212,32.561,35.529,35.813,36.33,32.915,34.662,36.661,37.992,39.608,39.103,39.106,38.95,38.707,38.612,37.76,37.053
"15","8","    Net purchases of used autos","B140RG3",8.752,14.118,19.621,19.389,19.475,21.026,29.338,23.285,18.232,14.774,17.564,21.924,24.305,22.59,23.499,25.49,25.638,26.661,26.394,25.579
"16","9","  Net exports","ZZZZZZ2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","10","    Exports","B142RG3",14.936,16.068,15.654,14.168,16.836,14.987,14.975,16.86,16.886,15.945,16.524,17.025,18.048,17.789,17.763,17.791,17.725,17.699,17.291,16.96
"18","11","    Imports","B143RG3",8.098,10.099,10.628,10.887,11.536,11.994,11.832,11.915,11.945,11.994,12.212,12.485,12.499,12.158,11.817,12.135,12.328,12.35,12.527,12.875
"19","12","  Gross government investment","B144RG3",17.295,18.252,19.803,19.406,19.845,22.844,22.178,23.22,20.951,22.972,23.836,23.973,24.102,24.505,24.713,24.428,24.488,24.449,24.409,24.606
"20","13","Change in private inventories of new and used autos","ZZZZZZ2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","14","  New","ZZZZZZ2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","15","  Used","ZZZZZZ2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","16","  Domestic output of new autos \1\","B148RG3",24.519,26.773,29.225,29.371,30.71,33.352,33.612,34.21,31.045,32.62,34.482,35.725,37.303,36.809,36.816,36.671,36.448,36.353,35.539,34.87
"25","17","  Sales of imported new autos \2\","B149RG3",21.858,28.375,31.111,31.064,32.769,35.563,35.917,36.419,33.144,34.831,36.869,38.175,39.667,39.181,39.167,39.002,38.768,38.655,37.774,37.041
"26",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","1. Consists of final sales and change in private inventories of new autos assembled in the United States.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","2. Consists of sales of imported new autos in personal consumption expenditures, in private fixed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","investment, and in gross government investment.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
