"","Table 1#9#5# Net Value Added by Sector                          ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45"
"1","[Billions of dollars]                                                                                                                                                                                                                                     ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1969 To 2010",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published August 08, 2011   ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 12/21/2011 9:02:00 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
"8","1","    Net domestic product","A362RC1",885.2,930,1009,1110.7,1241.5,1335.8,1447.3,1616.4,1798.4,2032.3,2263.3,2444.1,2733.5,2819.7,3083.5,3456.5,3712,3921.6,4165.3,4489.4,4830.7,5109.3,5267.7,5598,5889.3,6266,6545.2,6925.9,7368.6,7772.9,8259.1,8767.2,9029.9,9337.3,9788.2,10420.5,11081.6,11716.5,12261.2,12437.5,12072.8,12651.6
"9","2","Business \1\","A363RC1",705,731.5,790.9,872.8,983.2,1054.2,1134.9,1276.7,1428.5,1626.4,1817.4,1941.9,2172.8,2203.3,2418.2,2727.3,2923,3077.9,3257,3506.9,3774.6,3966.2,4049.1,4308.5,4541.8,4853.4,5068.3,5386.4,5758.4,6081.7,6463.5,6860.5,7005,7190.7,7532,8052.9,8592.5,9094.5,9499.5,9488,9035.7,9578
"10","3","  Nonfarm \2\","A364RC1",686.9,712.9,770.9,849,942.8,1017.4,1098.2,1243.6,1396.2,1588.1,1771.5,1906.9,2125.8,2162,2392.2,2681.8,2877.8,3036.2,3213,3463.5,3718.4,3906.9,3996.8,4246.3,4488.7,4788.2,5018.5,5313.3,5691.4,6024.5,6415.1,6810.2,6952.6,7143,7465.4,7962.1,8519.9,9032.7,9417.5,9390.1,8956.1,9479.6
"11","4","  Farm","A365RC1",18.1,18.6,19.9,23.8,40.4,36.8,36.7,33.1,32.4,38.3,45.9,35,47,41.4,26,45.5,45.3,41.7,44.1,43.5,56.2,59.3,52.4,62.2,53.2,65.2,49.7,73.1,67,57.2,48.4,50.4,52.3,47.7,66.7,90.9,72.5,61.8,82,97.9,79.5,98.4
"12","5","Households and institutions","W503RC1",72.8,79.1,87.3,94.8,102.8,111.9,122.8,133.4,144.8,161.3,179.8,206.6,235.5,263.6,290,318.8,345.3,373.1,408.7,450.2,489,533.4,571.1,612.2,646.9,688.5,733.4,772.8,818,870.6,932.5,994.7,1057.9,1112.5,1146.7,1201.6,1261.3,1334.7,1400.3,1511.1,1543.5,1543.2
"13","6","  Households","W504RC1",46.5,49.7,54.4,58.5,62.5,67.1,72.8,79,85.4,95,105.4,121.5,139,155.3,169.5,185.5,202.4,216.8,233.1,254.2,274.4,297,314.9,334,352.4,380.4,405.6,428.6,454.3,481.6,518.4,554.9,591.9,611,616.5,642.6,683,725.6,760,833.3,842.5,828.3
"14","7","  Nonprofit institutions serving households \3\","W505RC1",26.3,29.4,32.9,36.3,40.3,44.8,50,54.4,59.4,66.3,74.4,85.1,96.5,108.3,120.5,133.3,142.9,156.3,175.6,196,214.6,236.4,256.2,278.2,294.4,308,327.8,344.2,363.7,389,414.2,439.7,466,501.5,530.3,559,578.4,609.1,640.3,677.8,701,714.9
"15","8","General government \4\","A194RC1",107.5,119.4,130.9,143.1,155.4,169.7,189.6,206.4,225,244.7,266.1,295.5,325.2,352.7,375.3,410.4,443.7,470.6,499.5,532.3,567.1,609.7,647.5,677.3,700.7,724.1,743.5,766.8,792.2,820.7,863.1,912,967.1,1034.1,1109.4,1165.9,1227.8,1287.3,1361.4,1438.4,1493.6,1530.5
"16","9","  Federal","B568RC1",44.9,48.3,51.7,55.4,57.4,62,68.4,73.3,79.9,85.8,91.8,102.5,115.1,125.3,132.3,149.4,159,163.1,170.3,178,185.7,193.9,205.9,210.7,210.9,208.9,205.8,209.7,212.1,214.3,220.6,233,242.1,268.4,297.8,323,344.4,360.1,379.7,404.3,435.2,466.3
"17","10","  State and local","B251RC1",62.6,71.1,79.2,87.7,98,107.7,121.2,133,145.1,158.9,174.3,193,210.1,227.4,243,261.1,284.7,307.6,329.3,354.3,381.4,415.9,441.7,466.6,489.7,515.2,537.7,557.1,580.1,606.4,642.5,679,725,765.8,811.7,842.9,883.3,927.1,981.7,1034.1,1058.5,1064.2
