"","Table 2#5#3 Real Personal Consumption Expenditures by Function, ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44"
"1","[Index numbers, 2005=100]                                                                                                                                                                                                                                 ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1929 To 1969",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published August 08, 2011   ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 12/22/2011 9:10:51 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969
"8","1","      Personal consumption expenditures","DPCERA3",8.363,7.915,7.667,6.979,6.824,7.312,7.758,8.548,8.864,8.722,9.209,9.686,10.373,10.127,10.411,10.707,11.37,12.784,13.029,13.323,13.692,14.57,14.799,15.266,15.995,16.331,17.536,18.049,18.497,18.658,19.718,20.26,20.677,21.7,22.593,23.939,25.453,26.897,27.703,29.301,30.399
"9","2","Household consumption expenditures \1\","DPHCRA3",8.572,8.097,7.836,7.132,6.984,7.501,7.969,8.792,9.126,8.97,9.477,9.966,10.682,10.419,10.701,10.997,11.687,13.158,13.428,13.732,14.116,15.031,15.272,15.738,16.494,16.835,18.09,18.607,19.07,19.224,20.286,20.816,21.244,22.301,23.222,24.586,26.149,27.639,28.458,30.094,31.232
"10","3","  Food and beverages purchased for off-premises consumption","DFXARA3",21.975,21.428,21.308,19.758,20.639,22.651,23.843,27.11,27.859,28.448,28.813,30.024,31.033,30.891,30.093,31.396,33.094,37.079,37.083,36.781,36.959,37.736,37.943,38.978,40.461,41.544,43.548,44.993,46.065,46.258,48.17,48.515,49.191,49.517,49.923,51.623,54.207,56.323,57.611,60.165,61.824
"11","4","    Food and nonalcoholic beverages purchased for off-premises consumption","DTFDRA3",25.895,25.188,24.863,22.875,23.308,22.532,22.995,25.837,26.6,27.851,28.169,29.619,30.494,29.946,28.727,30.284,31.952,36.481,36.691,37.195,37.689,38.408,38.932,40.287,42.045,43.593,45.948,47.641,49.186,49.476,51.527,52.029,52.828,52.976,53.313,55.168,58.155,60.396,61.801,64.278,65.59
"12","5","    Alcoholic beverages purchased for off-premises consumption","DAOPRA3",NA,NA,NA,NA,1.255,10.822,14.791,18.953,19.633,17.862,18.107,18.579,20.265,21.588,21.592,22.575,23.957,25.654,26.136,23.111,22.697,23.873,23.041,22.886,23.695,23.009,23.657,24.2,23.831,23.9,25.268,25.411,25.622,27.183,28.01,29.134,30.197,31.882,32.789,35.731,39.039
"13","6","    Food produced and consumed on farms","DFFDRA3",2494.487,2488.001,2649.447,2636.834,2849.453,2721.161,2518.632,2570.526,2559.354,2591.067,2658.096,2602.599,2483.316,2442.594,2597.914,2460.252,2531.606,2600.797,2335.564,2242.588,2095.917,2049.429,1978.076,1928.705,1803.656,1747.799,1686.536,1627.075,1474.277,1399.681,1354.908,1224.904,1196.23,1052.645,1005.499,942.504,829.93,764.906,710.984,657.331,609.16
"14","7","  Clothing, footwear, and related services","DCAFRA3",12.061,10.882,10.571,9.281,8.364,8.868,9.6,10.483,10.458,10.554,11.318,11.745,12.706,13.283,14.574,14.193,14.737,15.253,14.646,14.771,14.797,15.11,15.014,15.754,15.905,15.937,16.625,17.007,16.872,16.964,17.785,17.899,18.182,18.925,19.228,20.605,21.434,22.723,22.841,23.686,24.08
"15","8","    Clothing","DCLTRA3",11.216,10.189,9.818,8.378,7.55,7.92,8.74,9.527,9.374,9.499,10.359,10.784,11.669,12.174,13.686,13.336,13.734,14.032,13.582,13.792,13.771,13.979,14.168,14.982,15.115,15.194,15.771,16.212,16.11,16.072,16.941,17.059,17.364,18.121,18.489,19.819,20.685,21.988,22.088,22.832,23.122
"16","9","      Garments","DGARRA3",9.528,8.631,8.464,7.295,6.568,6.86,7.569,8.212,7.991,8.137,8.961,9.255,9.688,9.598,10.393,10.029,10.274,10.957,10.663,10.885,10.894,11.066,11.19,11.986,12.142,12.254,12.804,13.213,13.144,13.16,13.944,14.114,14.425,15.12,15.474,16.731,17.49,18.699,18.865,19.573,19.921
"17","10","        Women's and girls' clothing","DWGCRA3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.362,12.575,12.91,13.651,14.042,15.204,15.804,16.837,16.698,17.315,17.572
"18","11","        Men's and boys' clothing","DMBCRA3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.349,17.384,17.588,18.149,18.331,19.838,20.816,22.377,23.139,23.981,24.256
"19","12","        Children's and infants' clothing","DCICRA3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.626,7.021,7.615,8.159,9.212,9.228,11.023,11.898,12.91,13.978,17.41
"20","13","      Other clothing materials","DOCMRA3",18.104,16.665,16.357,14.275,12.651,12.684,14.316,15.28,14.802,15.49,17.35,19.071,32.992,57.664,81.954,81.012,82.257,43.206,34.306,33.076,34.403,36.999,42.06,38.43,35.112,31.82,31.955,33.3,33.34,33.67,35.175,34.301,35.06,37.368,37.018,34.724,36.868,41.263,38.648,39.238,36.791
"21","14","      Cleaning, repair, and rental of clothing","DCRCRA3",89.528,82.604,70.633,56.266,51.235,56.037,61.491,69.716,74.339,72.357,73.238,79.333,90.335,96.693,113.695,117.004,126.921,149.002,150.377,150.224,145.691,144.416,142.139,145.986,148.174,149.577,150.102,149.937,147.703,143.481,146.5,143.701,142.201,142.999,144.053,150.158,154.228,154.907,153.345,154.548,153.155
"22","15","        Laundry and dry cleaning services","DDRYRA3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,157.521,150.985,146.968,145.413,144.311,154.716,167.717,177.158,180.772,181.034,177.261
"23","16","        Clothing repair, rental, and alterations","DLGRRA3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,135.815,137.004,138.237,141.634,145.105,146.402,140.382,131.159,123.766,126.031,127.286
"24","17","    Footwear \2\","DFTWRA3",18.032,15.728,15.914,15.914,14.347,15.953,15.759,17.368,18.492,18.317,18.117,18.503,20,21.136,20.142,19.55,21.411,23.959,21.988,21.349,21.778,22.937,20.517,20.595,20.879,20.526,22.043,21.943,21.558,22.62,23.048,23.13,23.25,23.874,23.718,25.383,25.927,27.092,27.319,28.819,29.879
"25","18","  Housing, utilities, and fuels","DHUFRA3",7.568,7.53,7.416,7.27,7.181,7.549,7.665,7.887,8.023,8.079,8.354,8.691,9.14,9.594,9.922,10.258,10.58,11.516,12.451,13.17,13.734,14.797,15.82,16.731,17.545,18.46,19.489,20.483,21.445,22.51,23.623,24.737,25.783,27.189,28.461,29.841,31.415,32.82,34.221,35.748,37.531
"26","19","    Housing","DHSGRA3",6.548,6.47,6.407,6.295,6.178,6.511,6.564,6.666,6.774,6.881,7.042,7.253,7.666,8.057,8.36,8.68,8.865,9.627,10.401,11.023,11.745,12.57,13.497,14.378,15.154,15.894,16.696,17.524,18.416,19.309,20.351,21.41,22.457,23.708,24.774,25.955,27.361,28.599,29.869,31.365,33.069
"27","20","      Rental of tenant-occupied nonfarm housing \3\","DTENRA3",12.635,12.729,12.919,12.969,12.294,13.686,13.878,14.24,14.678,15.116,15.603,16.162,16.936,17.485,17.485,17.374,16.778,17.562,18.302,19.127,20.219,21.196,22.35,23.31,24.211,24.808,25.305,25.883,26.964,28.052,29.334,30.628,32.221,33.998,35.691,37.561,39.627,41.401,43.135,45.769,48.106
"28","21","      Imputed rental of owner-occupied nonfarm housing \4\","DOWNRA3",4.101,3.987,3.869,3.73,3.768,3.814,3.826,3.853,3.871,3.894,3.965,4.072,4.373,4.715,5.075,5.493,5.865,6.601,7.351,7.934,8.567,9.35,10.217,11.081,11.826,12.602,13.484,14.371,15.212,16.07,17.086,18.117,19.046,20.202,21.14,22.158,23.417,24.537,25.683,26.914,28.475
"29","22","      Rental value of farm dwellings","DFARRA3",47.979,47.791,47.581,47.256,46.961,46.646,46.622,46.652,46.813,46.779,46.946,47.373,47.924,48.169,48.229,48.192,48.045,49.178,50.032,51.173,52.179,52.986,53.692,54.181,54.63,54.968,55.068,55.315,55.5,55.621,55.911,56.048,56.427,56.693,56.976,57.342,57.565,57.929,58.358,58.727,59.023
"30","23","      Group housing","DGRHRA3",101.816,98.197,93.066,84.026,82.438,94.406,101.816,110.652,115.902,115.125,118.505,125.958,134.341,131.455,150.543,163.126,178.962,193.414,241.048,217.556,206.074,207.175,214.952,221.909,228.918,235.875,244.343,256.594,272.309,266.897,240.385,224.531,217.689,198.921,184.438,195.878,209.527,215.567,252.853,265.595,294.158
"31","24","    Household utilities and fuels","DUTFRA3",13.052,13.326,12.869,12.522,12.63,13.178,13.65,14.558,14.845,14.576,15.541,16.637,17.247,18.037,18.488,18.884,20.021,21.925,23.754,24.998,24.558,26.98,28.482,29.456,30.39,32.313,34.683,36.616,37.863,39.891,41.26,42.527,43.346,45.533,47.962,50.428,52.824,55.093,57.091,58.473,60.387
"32","25","      Water supply and sanitation","DWRSRA3",11.019,11.713,11.713,11.35,12.033,13.274,13.068,13.691,13.896,13.73,14.562,14.882,15.426,15.903,16.191,16.465,16.611,17.707,18.297,18.922,19.651,20.146,20.861,21.252,21.757,22.078,22.134,23.003,22.796,21.914,23.847,26.181,27.421,29.212,31.962,33.363,34.807,35.176,35.399,36.687,39.228
