"","Table 2#4#5# Personal Consumption Expenditures by Type of Produc","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45"
"1","[Billions of dollars]                                                                                                                                                                                                                                     ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1969 To 2010",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published August 08, 2011   ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 12/22/2011 9:04:19 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
"8","1","      Personal consumption expenditures","DPCERC1",605.1,648.3,701.6,770.2,852,932.9,1033.8,1151.3,1277.8,1427.6,1591.2,1755.8,1939.5,2075.5,2288.6,2501.1,2717.6,2896.7,3097,3350.1,3594.5,3835.5,3980.1,4236.9,4483.6,4750.8,4987.3,5273.6,5570.6,5918.5,6342.8,6830.4,7148.8,7439.2,7804.1,8270.6,8803.5,9301,9772.3,10035.5,9866.1,10245.5
"9","2","Goods","DGDSRC1",304.7,318.8,342.1,373.8,416.6,451.5,491.3,546.3,600.4,663.6,737.9,799.8,869.4,899.3,973.8,1063.7,1137.6,1195.6,1256.3,1337.3,1423.8,1491.3,1497.4,1563.3,1642.3,1746.6,1815.5,1917.7,2006.8,2110,2290,2459.1,2534,2610,2728,2892.1,3076.7,3224.7,3363.9,3381.7,3197.5,3387
"10","3","  Durable goods","DDURRC1",90.5,90,102.4,116.4,130.5,130.2,142.2,168.6,192,213.3,226.3,226.4,243.9,253,295,342.2,380.4,421.4,442,475.1,494.3,497.1,477.2,508.1,551.5,607.2,635.7,676.3,715.5,780,857.4,915.8,946.3,992.1,1019.9,1072.9,1123.4,1155,1188.4,1108.9,1029.6,1085.5
"11","4","    Motor vehicles and parts","DMOTRC1",37.4,34.5,43.2,49.4,54.4,48.2,52.6,68.2,79.8,89.2,90.2,84.4,93,100,122.9,147.2,170.1,187.5,188.2,202.2,207.8,205.1,185.7,204.8,224.7,249.8,255.7,273.5,293.1,320.2,350.7,363.2,383.3,401.3,401,403.9,408.2,394.8,399.9,339.3,316.5,340.1
"12","5","      New motor vehicles (55)","DNMVRC1",26.8,23.4,30.5,35.2,38.7,31.7,34.6,46.6,55.9,62.7,61.4,54.3,59.1,64.3,82.9,99.7,117.8,134,128.8,138.2,139.3,134.7,112.9,126.7,138.9,151.2,147.5,153,162.2,179.4,200.1,210.7,230,243.6,251.6,252.4,248.9,233,233.2,185.2,165.9,178.5
"13","6","      Net purchases of used motor vehicles (56)","DNPVRC1",5.2,5,5.6,6.2,6.8,7,7.8,10.2,11.1,12,12.4,12.2,14.3,15.3,18,24.7,28.8,29.9,35.5,37.7,41.5,42.2,45,49.4,55,64.9,72.9,82.9,91.7,101.4,109.6,110.7,112,116.1,106.6,107.1,112.7,113.5,116.7,105.1,104.2,112.4
"14","7","      Motor vehicle parts and accessories (58)","DMVPRC1",5.4,6.1,7.1,8,8.9,9.5,10.3,11.4,12.9,14.4,16.3,17.9,19.6,20.4,22.1,22.8,23.5,23.5,23.9,26.3,27,28.3,27.8,28.7,30.8,33.7,35.4,37.6,39.1,39.5,41.1,41.8,41.3,41.7,42.8,44.3,46.6,48.2,50.1,48.9,46.4,49.2
"15","8","    Furnishings and durable household equipment","DFDHRC1",27.6,28.2,29.9,33.5,38,40.9,42.6,47.2,53.4,59,65.3,67.8,71.5,71.8,79.8,88.8,94.6,103.5,109.5,115.2,121.4,120.9,118.8,124.3,131.4,140.5,146.7,153.5,160.5,173.6,191.2,208.1,214.9,225.9,231.8,247,261.3,271.5,271.3,257.9,235.3,243.8
"16","9","      Furniture and furnishings (parts of 31 and 32)","DFFFRC1",15.7,15.8,16.6,18.6,21.2,22.9,23.5,26,29.6,32.6,36.1,36.9,38.4,37.8,43.2,49.3,53.1,59.4,64.5,67.5,70.8,69.2,67.1,69.3,73.5,79.4,83.4,88.3,93.8,101.2,111.3,121.7,124.5,130.2,133.7,143.6,153,160.2,161.2,150.9,136.4,141
"17","10","      Household appliances (part of 33)","DAPPRC1",6.8,7.3,7.9,9,9.9,10.3,10.6,11.5,12.7,13.6,14.8,15.1,15.5,15.2,16.8,18.4,19.8,21.2,21.8,22.7,23.9,23.7,23.3,24.3,25.2,25.8,26.6,26.8,26.5,28.6,31.6,34.1,35.7,37.6,38.4,40.8,43.3,44.6,44.6,43.2,39.5,40.5
