"","Table 4#2#3# Real Exports and Imports of Goods and Services by T","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14"
"1","[Index numbers, 2005=100]; Seasonally adjusted                                                                                 ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Quarterly data from 1967 To 1969",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published December 22, 2011 ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 12/21/2011 10:22:39 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1967,1967,1967,1967,1968,1968,1968,1968,1969,1969,1969
"8",NA,NA,NA,1,2,3,4,1,2,3,4,1,2,3
"9","1","    Exports of goods and services","B020RA3",10.859,10.76,10.498,10.797,11.111,11.332,11.998,11.845,10.424,12.76,12.454
"10","2","Exports of goods \1\","B253RA3",9.963,9.944,9.794,9.962,10.297,10.446,11.169,10.894,9.429,11.941,11.64
"11","3","  Foods, feeds, and beverages","B638RA3",26.24,25.993,25.361,26.742,27.765,24.348,24.953,25.608,17.352,28.096,25.576
"12","4","  Industrial supplies and materials","B639RA3",21.871,21.633,20.968,21.285,22.08,23.868,26.91,24.707,19.289,27.914,27.08
"13","5","    Durable goods","B686RA3",24.304,24.09,21.353,21.981,23.649,26.926,29.135,28.4,22.56,31.274,32.506
"14","6","    Nondurable goods","B687RA3",20.842,20.589,21.004,21.162,21.507,22.534,26.048,23.05,17.79,26.468,24.539
"15","7","  Capital goods, except automotive","B640RA3",3.896,3.97,3.905,3.952,4.013,3.917,4.233,4.041,3.803,4.435,4.463
"16","8","    Civilian aircraft, engines, and parts","B688RA3",6.748,7.301,10.449,11.605,12.659,14.14,19.221,16.196,15.786,10.74,12.393
"17","9","    Computers, peripherals, and parts","B850RA3",0.014,0.014,0.014,0.015,0.015,0.014,0.017,0.016,0.017,0.019,0.023
"18","10","    Other","B689RA3",7.448,7.553,7.189,7.166,7.231,6.933,7.187,7.012,6.491,8.136,7.983
"19","11","  Automotive vehicles, engines, and parts","B641RA3",14.147,14.449,15.12,14.663,16.202,18.269,17.953,19.532,18.055,19.874,19.67
"20","12","  Consumer goods, except automotive","B642RA3",6.433,5.979,6.049,6.191,6.29,6.837,7.002,6.651,6.513,7.702,7.42
"21","13","    Durable goods","B690RA3",6.022,5.561,5.51,5.715,5.75,6.544,6.794,6.141,6.647,7.716,7.718
"22","14","    Nondurable goods","B691RA3",6.765,6.316,6.487,6.573,6.723,7.064,7.168,7.069,6.388,7.686,7.18
"23","15","  Other","B643RA3",22.127,22.18,21.742,22.224,22.596,22.536,22.772,25.706,26.712,25.933,25.018
"24","16","Exports of services \1\","B646RA3",13.364,12.972,12.316,13.076,13.291,13.76,14.175,14.473,13.303,14.853,14.546
"25","17","  Transfers under U.S. military agency sales contracts","B267RA3",65.092,59.564,47.709,58.821,61.272,67.217,70.579,74.796,60.012,69.539,65.78
"26","18","  Travel","B493RA3",11.11,10.523,11.015,11.287,11.319,11.073,11.44,11.57,12.469,12.559,12.357
"27","19","  Passenger fares","B533RA3",7.523,7.407,8.393,8.309,8.6,8.885,8.631,8.801,9.13,9.41,9.937
"28","20","  Other transportation","B683RA3",22.864,22.783,22.142,22.174,22.262,22.963,23.536,23.404,20.116,26.736,26.271
"29","21","  Royalties and license fees","B684RA3",14.859,14.993,14.557,14.395,14.377,14.787,15.398,15.393,15.14,15.856,15.185
"30","22","  Other private services","B720RA3",1.655,1.766,1.94,1.997,1.946,1.907,1.884,1.887,1.951,2.044,2.16
"31","23","  Other","B980RA3",44.081,44.258,44.781,45.003,46.854,46.689,46.95,47.324,47.028,47.16,48.16
"32","24","    Imports of goods and services","B021RA3",9.082,9.009,9.127,9.608,10.174,10.33,10.951,10.858,9.834,11.774,11.622
"33","25","Imports of goods \1\","B255RA3",7.43,7.214,7.272,7.948,8.585,8.796,9.404,9.249,8.059,10.206,9.998
"34","26","  Foods, feeds, and beverages","B647RA3",27.856,25.721,27.168,28.051,28.758,29.847,34.956,29.89,23.104,31.492,31.418
"35","27","  Industrial supplies and materials, except petroleum and products","B649RA3",19.813,18.836,18.266,20.978,23.478,23.425,22.873,22.939,18.741,24.386,22.612
"36","28","    Durable goods","B820RA3",23.673,22.901,22.098,26.097,30.755,30.243,29.068,28.689,22.965,30.695,27.645
"37","29","    Nondurable goods","B696RA3",15.832,14.665,14.328,15.755,16.128,16.521,16.582,17.082,14.417,17.966,17.459
