"","Table 6#13C# Noncorporate Capital Consumption Allowances by Indu","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17"
"1","[Millions of dollars]                                                                                                                                                                                                                                     ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1987 To 2000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published August 20, 2009   ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 12/21/2011 9:17:46 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000
"8","1","      Noncorporate capital consumption allowances","A1700C0",107829,113593,119015,112528,111075,114649,118641,118622,124103,133673,147361,158460,178242,196668
"9","2","Agriculture, forestry, and fishing","A1701C0",11747,11466,11674,12051,12480,12523,13031,13276,14124,14891,15845,17132,18185,18671
"10","3","  Farms","B1702C0",10035,10014,10256,10601,10825,10842,10976,11361,11920,12549,13217,14147,14735,15118
"11","4","  Agricultural services, forestry, and fishing","B1703C0",1712,1452,1418,1450,1655,1681,2055,1915,2204,2342,2628,2985,3450,3553
"12","5","Mining","B1704C0",9781,8603,7485,6811,6397,6613,6157,5774,5961,5878,6602,9267,10189,12633
"13","6","Construction","B1705C0",4204,4768,4440,4031,3887,4201,4945,5357,5328,5868,6483,6746,8005,8934
"14","7","Manufacturing","A1706C0",3352,4022,5213,5177,5339,6145,6436,6050,6518,8902,10211,9469,11781,13517
"15","8","  Durable goods","B1707C0",1872,2318,2981,2987,2781,2753,2945,2956,3307,5421,6226,5038,6466,6834
"16","9","  Nondurable goods","B1708C0",1480,1704,2232,2190,2558,3392,3491,3094,3211,3481,3985,4431,5315,6683
"17","10","Transportation and public utilities","A1709C0",8766,9362,10169,10965,11017,11339,13991,12492,14071,18324,21727,23672,27990,31243
"18","11","  Transportation","B1710C0",3838,3654,3877,3897,3831,3826,4257,4632,4795,5353,6274,8451,9032,9924
"19","12","  Communications","B1711C0",2764,3366,3784,4478,4403,4582,6489,4592,6202,9837,12032,12053,15433,17692
"20","13","  Electric, gas, and sanitary services","B1712C0",2164,2342,2508,2590,2783,2931,3245,3268,3074,3134,3421,3168,3525,3627
"21","14","Wholesale trade","B1713C0",1045,976,926,1041,1185,1137,1216,1698,1818,1491,1944,1841,2105,2334
"22","15","Retail trade","B1714C0",5470,5745,6100,5204,5651,5720,6156,6758,7105,7689,7937,7749,8821,9655
"23","16","Finance, insurance, and real estate","A1715C0",41752,45488,46046,44081,41720,41783,40655,40429,41090,41902,44263,47323,49644,54632
"24","17","  Finance and insurance","B1716C0",2167,2718,1875,2157,1970,1884,2226,2534,2879,3244,4122,4904,4478,4882
"25","18","  Real estate \1\","A1717C0",39585,42770,44171,41924,39750,39899,38429,37895,38211,38658,40141,42419,45166,49750
"26","19","Services","B1720C0",21713,23163,26961,23167,23399,25187,26054,26788,28087,28728,32350,35263,41523,45049
"27","20","  Hotels and other lodging places","B2616C0",4639,5083,5015,4784,4481,4362,4272,3912,4092,4231,4515,4757,4653,5236
"28","21","  Personal services","B2617C0",1331,1452,1625,1417,1311,1449,1508,1651,1472,1623,1576,1993,1801,1989
"29","22","  Business services","B2618C0",6310,6765,6424,6084,6417,7028,7459,7557,8332,8156,9953,9939,11654,13700
"30","23","  Auto repair, services, and parking","B2619C0",1505,1289,1271,1383,1584,1770,1753,2115,2331,2209,3090,4250,7689,8441
"31","24","  Miscellaneous repair services","B2620C0",519,524,357,341,439,390,529,612,487,518,461,535,858,877
"32","25","  Motion pictures","B2621C0",496,536,696,488,810,692,886,586,864,445,448,1680,1088,212
"33","26","  Amusement and recreation services","B2622C0",1045,1132,940,988,808,1464,817,1200,1195,1474,1639,1862,1736,2484
"34","27","  Health services","B2623C0",2883,3120,5951,3289,3388,3562,3848,3787,3823,4271,4416,4599,5075,5244
"35","28","  Legal services","B2624C0",1275,1332,1564,1562,1410,1491,1565,1613,1521,1783,1761,1738,1810,1822
"36","29","  Other \2\","B2625C0",1710,1930,3118,2831,2751,2979,3417,3755,3969,4018,4490,3910,5159,5044
"37",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","1. Excludes owner-occupied housing and nonprofit institutions serving households.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","2. Consists of educational services; social services; museums, botanical and zoological",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","gardens; membership organizations; engineering and management services, except for commercial",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","research and testing services and for management and public relations; and services, not",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","elsewhere classified.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","Note.  Estimates in this table are based on the 1987 Standard Industrial Classification (SIC).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
