"","Table 6#21B# Undistributed Corporate Profits by Industry        ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22"
"1","[Millions of dollars]                                                                                                                                                                                                                                     ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1969 To 1987",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published August 20, 2009   ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 12/21/2011 9:18:51 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987
"8","1","      Undistributed corporate profits","B057RC0",27155,21928,29687,39047,55092,61772,60936,75437,91300,110485,124598,102282,85647,54399,69887,80270,60506,30106,80346
"9","2","Domestic industries","A3402C0",24396,18764,26522,34407,46994,54068,52861,67848,83266,98800,106028,83559,71413,38201,46973,55996,34244,8515,49039
"10","3","  Agriculture, forestry, and fishing","A3403C0",55,-53,7,224,480,52,325,268,5,683,530,-21,-438,-380,-602,-462,-835,481,1081
"11","4","    Farms","B3404C0",3,-86,-51,114,392,-41,246,105,-122,456,307,-128,-523,-421,-574,-610,-915,78,312
"12","5","    Agricultural services, forestry, and fishing","B3405C0",52,33,58,110,88,93,79,163,127,227,223,107,85,41,-28,148,80,403,769
